,min,from,lat,lng
0,14,東京,35.68123620000001,139.7671248
1,15,有楽町,35.6750133,139.7630204
2,19,新橋,35.666379,139.7583398
3,14,浜松町,35.6553809,139.7571289
4,17,田町,35.6457361,139.7475624
5,26,高輪ゲートウェイ,35.6355207,139.7406809
6,26,品川,35.6284713,139.7387597
7,14,大崎,35.6198513,139.7281892
8,34,五反田,35.6261591,139.7236022
9,19,目黒,35.63391319999999,139.7155561
10,6,恵比寿,35.6467145,139.7100818
11,23,渋谷,35.6580339,139.7016358
12,17,原宿,35.6700901,139.7024662
13,7,代々木,35.683033,139.7020555
14,9,新宿,35.6896067,139.7005713
15,22,新大久保,35.7012459,139.7002258
16,24,高田馬場,35.7125654,139.7038615
17,26,目白,35.7212199,139.7066115
18,25,池袋,35.7295028,139.7109001
19,33,大塚,35.7317124,139.7285029
20,32,巣鴨,35.7334192,139.7392848
21,35,駒込,35.7365665,139.7470098
22,36,田端,35.7381581,139.7608154
23,25,西日暮里,35.7324125,139.7677967
24,33,日暮里,35.7281578,139.7706414
25,30,鶯谷,35.7214573,139.7780133
26,27,上野,35.7141672,139.7774091
27,30,御徒町,35.7075185,139.7748564
28,23,秋葉原,35.698383,139.7730717
29,21,神田,35.6918216,139.7709318
30,33,赤羽,35.7776951,139.7205691
31,44,東十条,35.763949,139.7268722
32,40,王子,35.7529945,139.7378714
33,39,上中里,35.7465785,139.7469573
34,18,東京,35.68123620000001,139.7671248
35,22,大井町,35.6076153,139.7346592
36,29,大森,35.5884467,139.7278683
37,33,蒲田,35.5624794,139.7160731
38,38,川崎,35.5313654,139.696889
39,41,鶴見,35.5080356,139.6762625
40,45,新子安,35.4870546,139.6548105
41,48,東神奈川,35.4779292,139.6333614
42,37,横浜,35.46598110000001,139.622062
43,54,桜木町,35.4509136,139.6310595
44,56,関内,35.4439663,139.6354978
45,58,石川町,35.4387746,139.6430494
46,60,山手,35.42686,139.6463741
47,63,根岸,35.415819,139.6350457
48,66,磯子,35.3998639,139.6179011
49,68,新杉田,35.3867269,139.619549
50,72,洋光台,35.378769,139.597042
51,74,港南台,35.37513,139.576405
52,77,本郷台,35.3674373,139.5502526
53,54,大船,35.3540475,139.5312989
54,49,戸塚,35.40076639999999,139.5342039
55,60,藤沢,35.3388984,139.4874695
56,64,辻堂,35.3368951,139.4470874
57,69,茅ケ崎,35.3303025,139.4068167
58,76,平塚,35.3276448,139.3504658
59,84,大磯,35.311435,139.313291
60,89,二宮,35.2987859,139.2575981
61,93,国府津,35.281353,139.21494
62,97,鴨宮,35.275658,139.180026
63,58,小田原,35.2564449,139.1553932
64,113,早川,35.238689,139.145003
65,118,根府川,35.202526,139.138644
66,123,真鶴,35.156809,139.13234
67,127,湯河原,35.146087,139.102177
68,41,三河島,35.7331755,139.7784846
69,33,南千住,35.7331617,139.7989223
70,36,北千住,35.7496762,139.8053433
71,35,綾瀬,35.762315,139.824924
72,39,亀有,35.7665375,139.8475334
73,42,金町,35.769538,139.870476
74,45,松戸,35.7843004,139.9006607
75,49,北松戸,35.8005413,139.9117619
76,51,馬橋,35.81134000000001,139.917276
77,53,新松戸,35.8254725,139.920711
78,56,北小金,35.833227,139.930774
79,59,南柏,35.8446412,139.9541741
80,59,柏,35.8621498,139.9709172
81,64,北柏,35.8755954,139.9880873
82,64,我孫子,35.8727034,140.0107941
83,67,天王台,35.8725378,140.0409088
84,71,取手,35.8956987,140.0628753
85,74,藤代,35.9205553,140.1181431
86,76,龍ケ崎市,35.9300659,140.1382285
87,80,牛久,35.9756237,140.1410386
88,84,ひたち野うしく,36.007352,140.158247
89,87,荒川沖,36.0312941,140.1666344
90,92,土浦,36.078484,140.206212
91,103,神立,36.1204786,140.2485896
92,780,高浜,0.0,0.0
93,112,石岡,36.1909503,140.2802496
94,117,羽鳥,36.247523,140.2867541
95,122,岩間,36.2954645,140.2765219
96,127,友部,36.3504842,140.3060536
97,131,内原,36.3705866,140.3533065
98,136,赤塚,36.3819102,140.4151928
99,134,水戸,36.3707551,140.476308
100,140,勝田,36.3944787,140.5242313
101,165,佐和,36.4296464,140.5400125
102,147,東海,36.4654424,140.5659002
103,152,大甕,36.5128356,140.6194923
104,156,常陸多賀,36.5520816,140.632684
105,161,日立,36.590439,140.661847
106,189,小木津,36.6366565,140.6752323
107,193,十王,36.6713751,140.6859798
108,171,高萩,36.7144822,140.7170031
109,500,南中郷,36.7528116,140.7289449
110,504,磯原,36.7905022,140.746164
111,510,大津港,36.8467745,140.7780755
112,41,尻手,35.5311934,139.6844966
113,61,八丁畷,35.523005,139.691445
114,59,川崎新町,35.5182669,139.699176
115,69,小田栄,35.5147242,139.7047391
116,61,浜川崎,35.5102284,139.7138465
117,39,矢向,35.5389245,139.6804314
118,36,鹿島田,35.5512456,139.6751584
119,35,平間,35.5605559,139.6710844
120,33,向河原,35.5721934,139.6672787
121,22,武蔵小杉,35.5766335,139.659466
122,30,武蔵中原,35.5807143,139.642107
123,33,武蔵新城,35.58718,139.6298424
124,35,武蔵溝ノ口,35.5993971,139.6105195
125,38,津田山,35.6036047,139.6007276
126,40,久地,35.6106071,139.5925028
127,42,宿河原,35.6153801,139.5797295
128,36,登戸,35.6207662,139.5700976
129,44,中野島,35.6301215,139.5500898
130,47,稲田堤,35.6334204,139.5356629
131,48,矢野口,35.6417094,139.5204551
132,50,稲城長沼,35.644292,139.502568
133,53,南多摩,35.6492761,139.4899059
134,56,府中本町,35.6662815,139.4770873
135,50,分倍河原,35.6685677,139.46874
136,61,西府,35.6709726,139.4573727
137,63,谷保,35.68137,139.446738
138,61,矢川,35.685063,139.431572
139,59,西国立,35.693459,139.4242584
140,46,立川,35.6979144,139.4137408
141,41,大口,35.4921609,139.6461469
142,28,菊名,35.5099195,139.6313685
143,33,新横浜,35.5076585,139.6175553
144,44,小机,35.5085857,139.5998778
145,47,鴨居,35.5109924,139.5669896
146,50,中山,35.5148115,139.53935
147,53,十日市場,35.526222,139.516543
148,46,長津田,35.5319546,139.4943049
149,56,成瀬,35.5355157,139.4729137
150,46,町田,35.546656,139.4385568
151,58,古淵,35.555994,139.419189
152,61,淵野辺,35.5687398,139.3950611
153,63,矢部,35.5730965,139.3867762
154,65,相模原,35.5813315,139.3712564
155,64,橋本,35.5948639,139.3449224
156,76,相原,35.6069027,139.3316669
157,80,八王子みなみ野,35.631317,139.330972
158,79,片倉,35.6397424,139.3414569
159,74,八王子,35.6556157,139.3388529
160,19,西大井,35.60179189999999,139.7218021
161,28,新川崎,35.551696,139.671529
162,41,保土ケ谷,35.4467618,139.5996306
163,46,東戸塚,35.4305843,139.5567901
164,60,北鎌倉,35.3372266,139.5451937
