line,from,to,trans,req_min,req_min+walk,price
JR上野東京ライン,品川,宝町,0,15,18,9.1
JR上野東京ライン,新橋,宝町,0,3,6,11.0
JR上野東京ライン,東京,宝町,1,13,16,9.6
JR上野東京ライン,上野,宝町,1,14,17,8.1
JR中央・総武線各駅停車,三鷹,宝町,1,47,50,6.1
JR中央・総武線各駅停車,吉祥寺,宝町,1,44,47,6.3
JR中央・総武線各駅停車,西荻窪,宝町,1,42,45,6.5
JR中央・総武線各駅停車,荻窪,宝町,1,39,42,6.7
JR中央・総武線各駅停車,阿佐ケ谷,宝町,1,37,40,6.8
JR中央・総武線各駅停車,高円寺,宝町,1,35,38,6.9
JR中央・総武線各駅停車,中野,宝町,1,30,33,7.0
JR中央・総武線各駅停車,東中野,宝町,1,38,41,7.0
JR中央・総武線各駅停車,大久保,宝町,1,37,40,7.4
JR中央・総武線各駅停車,新宿,宝町,1,28,31,8.2
JR中央・総武線各駅停車,代々木,宝町,1,26,29,10.1
JR中央・総武線各駅停車,千駄ケ谷,宝町,1,29,32,10.0
JR中央・総武線各駅停車,信濃町,宝町,1,28,31,8.8
JR中央・総武線各駅停車,四ツ谷,宝町,1,26,29,10.0
JR中央・総武線各駅停車,市ケ谷,宝町,1,21,24,9.8
JR中央・総武線各駅停車,飯田橋,宝町,1,14,17,9.5
JR中央・総武線各駅停車,水道橋,宝町,1,19,22,9.0
JR中央・総武線各駅停車,御茶ノ水,宝町,1,17,20,9.4
JR中央・総武線各駅停車,秋葉原,宝町,1,10,13,9.4
JR中央・総武線各駅停車,浅草橋,宝町,0,7,10,8.8
JR中央・総武線各駅停車,両国,宝町,1,15,18,8.4
JR中央・総武線各駅停車,錦糸町,宝町,1,18,21,7.9
JR中央・総武線各駅停車,亀戸,宝町,1,20,23,7.5
JR中央・総武線各駅停車,平井,宝町,1,23,26,6.2
JR中央・総武線各駅停車,新小岩,宝町,1,26,29,6.0
JR中央・総武線各駅停車,小岩,宝町,1,30,33,6.0
JR中央・総武線各駅停車,市川,宝町,1,32,35,6.0
JR中央・総武線各駅停車,本八幡,宝町,0,43,46,5.9
JR中央・総武線各駅停車,下総中山,宝町,1,39,42,5.3
JR中央・総武線各駅停車,西船橋,宝町,1,40,43,6.3
JR中央・総武線各駅停車,船橋,宝町,0,48,51,6.2
JR中央・総武線各駅停車,東船橋,宝町,1,48,51,4.5
JR中央・総武線各駅停車,津田沼,宝町,1,43,46,5.0
JR中央・総武線各駅停車,幕張本郷,宝町,1,55,58,4.5
JR中央・総武線各駅停車,稲毛,宝町,1,51,54,4.9
JR中央・総武線各駅停車,千葉,宝町,1,55,58,5.4
JR中央本線,東京,宝町,1,13,16,9.6
JR中央本線,新宿,宝町,1,28,31,8.2
JR中央本線,三鷹,宝町,1,47,50,6.1
JR中央線,東京,宝町,1,13,16,9.6
JR中央線,神田,宝町,1,11,14,9.9
JR中央線,御茶ノ水,宝町,1,17,20,9.4
JR中央線,四ツ谷,宝町,1,26,29,10.0
JR中央線,新宿,宝町,1,28,31,8.2
JR中央線,中野,宝町,1,30,33,7.0
JR中央線,高円寺,宝町,1,35,38,6.9
JR中央線,阿佐ケ谷,宝町,1,37,40,6.8
JR中央線,荻窪,宝町,1,39,42,6.7
JR中央線,西荻窪,宝町,1,42,45,6.5
JR中央線,吉祥寺,宝町,1,44,47,6.3
JR中央線,三鷹,宝町,1,47,50,6.1
JR京浜東北線,大宮,宝町,1,53,56,6.4
JR京浜東北線,さいたま新都心,宝町,1,50,53,6.4
JR京浜東北線,浦和,宝町,1,45,48,5.6
JR京浜東北線,南浦和,宝町,1,56,59,5.2
JR京浜東北線,蕨,宝町,1,52,55,5.0
JR京浜東北線,西川口,宝町,1,49,52,5.1
JR京浜東北線,川口,宝町,1,46,49,5.3
JR京浜東北線,赤羽,宝町,1,36,39,6.7
JR京浜東北線,東十条,宝町,1,40,43,6.5
JR京浜東北線,王子,宝町,1,37,40,6.4
JR京浜東北線,上中里,宝町,1,35,38,6.8
JR京浜東北線,田端,宝町,1,29,32,7.0
JR京浜東北線,西日暮里,宝町,1,30,33,7.0
JR京浜東北線,日暮里,宝町,1,28,31,7.5
JR京浜東北線,鶯谷,宝町,1,26,29,7.6
JR京浜東北線,上野,宝町,1,14,17,8.1
JR京浜東北線,御徒町,宝町,1,17,20,8.9
JR京浜東北線,秋葉原,宝町,1,10,13,9.4
JR京浜東北線,神田,宝町,1,11,14,9.9
JR京浜東北線,東京,宝町,1,13,16,9.6
JR京浜東北線,有楽町,宝町,1,11,14,10.8
JR京浜東北線,新橋,宝町,0,3,6,11.0
JR京浜東北線,浜松町,宝町,0,15,18,10.4
JR京浜東北線,田町,宝町,0,18,21,9.9
JR京浜東北線,高輪ゲートウェイ,宝町,0,19,22,9.2
JR京浜東北線,品川,宝町,0,15,18,9.1
JR京浜東北線,大井町,宝町,1,22,25,8.1
JR京浜東北線,大森,宝町,1,25,28,7.2
JR京浜東北線,蒲田,宝町,0,42,45,7.3
JR京浜東北線,川崎,宝町,0,41,44,6.5
JR京浜東北線,鶴見,宝町,1,37,40,5.9
JR京浜東北線,新子安,宝町,1,41,44,4.7
JR京浜東北線,東神奈川,宝町,1,44,47,6.2
JR京浜東北線,横浜,宝町,0,47,50,6.8
JR京浜東北線,桜木町,宝町,1,52,55,6.4
JR京浜東北線,関内,宝町,1,55,58,6.5
JR京浜東北線,石川町,宝町,1,57,60,6.0
JR京浜東北線,大船,宝町,1,53,56,5.7
JR京葉線,東京,宝町,1,13,16,9.6
JR京葉線,八丁堀,宝町,1,8,11,9.8
JR京葉線,越中島,宝町,1,51,54,9.2
JR京葉線,南船橋,宝町,1,57,60,4.7
JR八高線,小川町,宝町,1,15,18,4.4
JR内房線,千葉,宝町,1,55,58,5.4
JR南武線,武蔵小杉,宝町,1,25,28,6.3
JR南武線,向河原,宝町,1,54,57,6.4
JR南武線,平間,宝町,1,52,55,6.1
JR南武線,鹿島田,宝町,1,37,40,6.6
JR南武線,矢向,宝町,1,47,50,6.6
JR南武線,尻手,宝町,1,45,48,6.8
JR南武線,川崎,宝町,0,41,44,6.5
JR埼京線,大宮,宝町,1,53,56,6.4
JR埼京線,赤羽,宝町,1,36,39,6.7
JR埼京線,板橋,宝町,1,47,50,6.7
JR埼京線,池袋,宝町,1,38,41,7.4
JR埼京線,新宿,宝町,1,28,31,8.2
JR埼京線,渋谷,宝町,1,25,28,10.8
JR埼京線,恵比寿,宝町,1,24,27,11.0
JR埼京線,大崎,宝町,1,23,26,8.5
JR埼京線,西大井,宝町,1,20,23,7.8
JR埼京線,武蔵小杉,宝町,1,25,28,6.3
JR外房線,千葉,宝町,1,55,58,5.4
JR宇都宮線,大宮,宝町,1,53,56,6.4
JR宇都宮線,さいたま新都心,宝町,1,50,53,6.4
JR宇都宮線,浦和,宝町,1,45,48,5.6
JR宇都宮線,赤羽,宝町,1,36,39,6.7
JR宇都宮線,尾久,宝町,1,30,33,6.6
JR宇都宮線,上野,宝町,1,14,17,8.1
JR山手線,大崎,宝町,1,23,26,8.5
JR山手線,五反田,宝町,0,16,19,8.9
JR山手線,目黒,宝町,1,23,26,9.9
JR山手線,恵比寿,宝町,1,24,27,11.0
JR山手線,渋谷,宝町,1,25,28,10.8
JR山手線,原宿,宝町,1,33,36,11.4
JR山手線,代々木,宝町,1,26,29,10.1
JR山手線,新宿,宝町,1,28,31,8.2
JR山手線,新大久保,宝町,1,40,43,7.5
JR山手線,高田馬場,宝町,1,23,26,7.5
JR山手線,目白,宝町,1,41,44,7.3
JR山手線,池袋,宝町,1,38,41,7.4
JR山手線,大塚,宝町,1,36,39,7.4
JR山手線,巣鴨,宝町,1,34,37,7.8
JR山手線,駒込,宝町,1,32,35,7.5
JR山手線,田端,宝町,1,29,32,7.0
JR山手線,西日暮里,宝町,1,30,33,7.0
JR山手線,日暮里,宝町,1,28,31,7.5
JR山手線,鶯谷,宝町,1,26,29,7.6
JR山手線,上野,宝町,1,14,17,8.1
JR山手線,御徒町,宝町,1,17,20,8.9
JR山手線,秋葉原,宝町,1,10,13,9.4
JR山手線,神田,宝町,1,11,14,9.9
JR山手線,東京,宝町,1,13,16,9.6
JR山手線,有楽町,宝町,1,11,14,10.8
JR山手線,新橋,宝町,0,3,6,11.0
JR山手線,浜松町,宝町,0,15,18,10.4
JR山手線,田町,宝町,0,18,21,9.9
JR山手線,高輪ゲートウェイ,宝町,0,19,22,9.2
JR山手線,品川,宝町,0,15,18,9.1
JR川越線,大宮,宝町,1,53,56,6.4
JR常磐線,柏,宝町,1,56,59,4.4
JR常磐線,松戸,宝町,1,45,48,5.5
JR常磐線,北千住,宝町,1,25,28,7.2
JR常磐線,南千住,宝町,1,21,24,7.7
JR常磐線,三河島,宝町,1,29,32,7.5
JR常磐線,日暮里,宝町,1,28,31,7.5
JR常磐線,上野,宝町,1,14,17,8.1
JR常磐線各駅停車,亀有,宝町,1,45,48,6.0
JR常磐線各駅停車,金町,宝町,1,40,43,4.9
JR常磐線各駅停車,松戸,宝町,1,45,48,5.5
JR常磐線各駅停車,新松戸,宝町,1,49,52,4.0
JR常磐線各駅停車,柏,宝町,1,56,59,4.4
JR東海道線,東京,宝町,1,13,16,9.6
JR東海道線,新橋,宝町,0,3,6,11.0
JR東海道線,品川,宝町,0,15,18,9.1
JR東海道線,川崎,宝町,0,41,44,6.5
JR東海道線,横浜,宝町,0,47,50,6.8
JR東海道線,戸塚,宝町,1,47,50,5.0
JR東海道線,大船,宝町,1,53,56,5.7
JR東海道線,藤沢,宝町,1,54,57,5.6
JR東海道線,小田原,宝町,1,53,56,5.2
JR根岸線,大船,宝町,1,53,56,5.7
JR根岸線,石川町,宝町,1,57,60,6.0
JR根岸線,関内,宝町,1,55,58,6.5
JR根岸線,桜木町,宝町,1,52,55,6.4
JR根岸線,横浜,宝町,0,47,50,6.8
JR横浜線,新横浜,宝町,1,39,42,6.6
JR横浜線,東神奈川,宝町,1,44,47,6.2
JR横須賀線,東京,宝町,1,13,16,9.6
JR横須賀線,新橋,宝町,0,3,6,11.0
JR横須賀線,品川,宝町,0,15,18,9.1
JR横須賀線,西大井,宝町,1,20,23,7.8
JR横須賀線,武蔵小杉,宝町,1,25,28,6.3
JR横須賀線,新川崎,宝町,1,29,32,6.6
JR横須賀線,横浜,宝町,0,47,50,6.8
JR横須賀線,保土ケ谷,宝町,1,43,46,4.8
JR横須賀線,東戸塚,宝町,1,47,50,5.3
JR横須賀線,戸塚,宝町,1,47,50,5.0
JR横須賀線,大船,宝町,1,53,56,5.7
JR武蔵野線,南浦和,宝町,1,56,59,5.2
JR武蔵野線,南越谷,宝町,1,55,58,4.8
JR武蔵野線,新三郷,宝町,1,57,60,5.2
JR武蔵野線,南流山,宝町,1,52,55,5.0
JR武蔵野線,新松戸,宝町,1,49,52,4.0
JR武蔵野線,新八柱,宝町,1,44,47,4.8
JR武蔵野線,東松戸,宝町,0,34,37,5.8
JR武蔵野線,市川大野,宝町,1,44,47,4.7
JR武蔵野線,船橋法典,宝町,1,52,55,4.8
JR武蔵野線,西船橋,宝町,1,40,43,6.3
JR湘南新宿ライン（宇都宮線・横須賀線）,大宮,宝町,1,53,56,6.4
JR湘南新宿ライン（宇都宮線・横須賀線）,浦和,宝町,1,45,48,5.6
JR湘南新宿ライン（宇都宮線・横須賀線）,赤羽,宝町,1,36,39,6.7
JR湘南新宿ライン（宇都宮線・横須賀線）,池袋,宝町,1,38,41,7.4
JR湘南新宿ライン（宇都宮線・横須賀線）,新宿,宝町,1,28,31,8.2
JR湘南新宿ライン（宇都宮線・横須賀線）,渋谷,宝町,1,25,28,10.8
JR湘南新宿ライン（宇都宮線・横須賀線）,恵比寿,宝町,1,24,27,11.0
JR湘南新宿ライン（宇都宮線・横須賀線）,大崎,宝町,1,23,26,8.5
JR湘南新宿ライン（宇都宮線・横須賀線）,武蔵小杉,宝町,1,25,28,6.3
JR湘南新宿ライン（宇都宮線・横須賀線）,新川崎,宝町,1,29,32,6.6
JR湘南新宿ライン（宇都宮線・横須賀線）,横浜,宝町,0,47,50,6.8
JR湘南新宿ライン（高崎線・東海道線）,大宮,宝町,1,53,56,6.4
JR湘南新宿ライン（高崎線・東海道線）,浦和,宝町,1,45,48,5.6
JR湘南新宿ライン（高崎線・東海道線）,赤羽,宝町,1,36,39,6.7
JR湘南新宿ライン（高崎線・東海道線）,池袋,宝町,1,38,41,7.4
JR湘南新宿ライン（高崎線・東海道線）,新宿,宝町,1,28,31,8.2
JR湘南新宿ライン（高崎線・東海道線）,渋谷,宝町,1,25,28,10.8
JR湘南新宿ライン（高崎線・東海道線）,恵比寿,宝町,1,24,27,11.0
JR湘南新宿ライン（高崎線・東海道線）,大崎,宝町,1,23,26,8.5
JR湘南新宿ライン（高崎線・東海道線）,西大井,宝町,1,20,23,7.8
JR湘南新宿ライン（高崎線・東海道線）,武蔵小杉,宝町,1,25,28,6.3
JR湘南新宿ライン（高崎線・東海道線）,新川崎,宝町,1,29,32,6.6
JR湘南新宿ライン（高崎線・東海道線）,横浜,宝町,0,47,50,6.8
JR湘南新宿ライン（高崎線・東海道線）,保土ケ谷,宝町,1,43,46,4.8
JR湘南新宿ライン（高崎線・東海道線）,東戸塚,宝町,1,47,50,5.3
JR湘南新宿ライン（高崎線・東海道線）,戸塚,宝町,1,47,50,5.0
JR湘南新宿ライン（高崎線・東海道線）,大船,宝町,1,53,56,5.7
JR相模線,入谷,宝町,1,17,20,7.5
JR総武本線,東京,宝町,1,13,16,9.6
JR総武本線,新日本橋,宝町,1,17,20,9.2
JR総武本線,馬喰町,宝町,0,14,17,8.5
JR総武本線,錦糸町,宝町,1,18,21,7.9
JR総武本線,新小岩,宝町,1,26,29,6.0
JR総武本線,市川,宝町,1,32,35,6.0
JR総武本線,船橋,宝町,0,48,51,6.2
JR総武本線,津田沼,宝町,1,43,46,5.0
JR総武本線,稲毛,宝町,1,51,54,4.9
JR総武本線,千葉,宝町,1,55,58,5.4
JR総武線快速,東京,宝町,1,13,16,9.6
