min,from
14,東京
15,有楽町
19,新橋
14,浜松町
17,田町
26,高輪ゲートウェイ
26,品川
14,大崎
34,五反田
19,目黒
6,恵比寿
23,渋谷
17,原宿
7,代々木
9,新宿
22,新大久保
24,高田馬場
26,目白
25,池袋
33,大塚
32,巣鴨
35,駒込
36,田端
25,西日暮里
33,日暮里
30,鶯谷
27,上野
30,御徒町
23,秋葉原
21,神田
33,赤羽
44,東十条
40,王子
39,上中里
18,東京
22,大井町
29,大森
33,蒲田
38,川崎
41,鶴見
45,新子安
48,東神奈川
37,横浜
54,桜木町
56,関内
58,石川町
60,山手
63,根岸
66,磯子
68,新杉田
72,洋光台
74,港南台
77,本郷台
54,大船
49,戸塚
60,藤沢
64,辻堂
69,茅ケ崎
76,平塚
84,大磯
89,二宮
93,国府津
97,鴨宮
58,小田原
113,早川
118,根府川
123,真鶴
127,湯河原
41,三河島
33,南千住
36,北千住
35,綾瀬
39,亀有
42,金町
45,松戸
49,北松戸
51,馬橋
53,新松戸
56,北小金
59,南柏
59,柏
64,北柏
64,我孫子
67,天王台
71,取手
74,藤代
76,龍ケ崎市
80,牛久
84,ひたち野うしく
87,荒川沖
92,土浦
103,神立
780,高浜
112,石岡
117,羽鳥
122,岩間
127,友部
131,内原
136,赤塚
134,水戸
140,勝田
165,佐和
147,東海
152,大甕
156,常陸多賀
161,日立
189,小木津
193,十王
171,高萩
500,南中郷
504,磯原
510,大津港
41,尻手
61,八丁畷
59,川崎新町
69,小田栄
61,浜川崎
39,矢向
36,鹿島田
35,平間
33,向河原
22,武蔵小杉
30,武蔵中原
33,武蔵新城
35,武蔵溝ノ口
38,津田山
40,久地
42,宿河原
36,登戸
44,中野島
47,稲田堤
48,矢野口
50,稲城長沼
53,南多摩
56,府中本町
50,分倍河原
61,西府
63,谷保
61,矢川
59,西国立
46,立川
41,大口
28,菊名
33,新横浜
44,小机
47,鴨居
50,中山
53,十日市場
46,長津田
56,成瀬
46,町田
58,古淵
61,淵野辺
63,矢部
65,相模原
64,橋本
76,相原
80,八王子みなみ野
79,片倉
74,八王子
19,西大井
28,新川崎
41,保土ケ谷
46,東戸塚
60,北鎌倉
64,鎌倉
69,逗子
93,東逗子
97,田浦
106,横須賀
104,衣笠
92,久里浜
23,御茶ノ水
24,水道橋
36,飯田橋
19,市ケ谷
18,四ツ谷
16,信濃町
9,千駄ケ谷
18,大久保
18,東中野
23,中野
26,高円寺
28,阿佐ケ谷
27,荻窪
33,西荻窪
31,吉祥寺
34,三鷹
37,武蔵境
39,東小金井
41,武蔵小金井
45,国分寺
53,西国分寺
55,国立
53,日野
55,豊田
63,西八王子
67,高尾
77,相模湖
81,藤野
51,西立川
53,東中神
54,中神
57,昭島
60,拝島
66,牛浜
68,福生
71,羽村
74,小作
77,河辺
79,東青梅
82,青梅
101,宮ノ平
103,日向和田
105,石神前
108,二俣尾
110,軍畑
112,沢井
115,御嶽
126,川井
129,古里
133,鳩ノ巣
70,熊川
72,東秋留
76,秋川
78,武蔵引田
81,武蔵増戸
86,武蔵五日市
67,北府中
64,新小平
58,新秋津
68,東所沢
65,新座
65,北朝霞
57,西浦和
48,武蔵浦和
58,南浦和
81,東浦和
63,東川口
68,南越谷
80,越谷レイクタウン
78,吉川
76,吉川美南
74,新三郷
250,三郷
51,南流山
62,新八柱
56,東松戸
57,市川大野
54,船橋法典
43,西船橋
74,北八王子
86,小宮
66,東福生
70,箱根ケ崎
79,金子
85,東飯能
94,高麗川
106,毛呂
123,越生
116,明覚
25,小川町
115,竹沢
161,折原
125,寄居
151,用土
148,松久
140,児玉
135,丹荘
130,群馬藤岡
125,北藤岡
126,倉賀野
102,高崎
42,羽沢横浜国大
28,板橋
31,十条
36,北赤羽
38,浮間舟渡
41,戸田公園
43,戸田
45,北戸田
51,中浦和
53,南与野
55,与野本町
57,北与野
59,大宮
42,尾久
55,浦和
59,さいたま新都心
55,宮原
59,上尾
62,北上尾
65,桶川
69,北本
73,鴻巣
77,北鴻巣
148,吹上
84,行田
84,熊谷
94,籠原
102,深谷
107,岡部
112,本庄
116,神保原
778,新町
67,土呂
70,東大宮
73,蓮田
77,白岡
81,新白岡
84,久喜
87,東鷲宮
92,栗橋
99,古河
103,野木
108,間々田
85,小山
129,自治医大
304,石橋
140,雀宮
97,宇都宮
222,岡本
122,宝積寺
128,氏家
