,price,from,lat,lng
0,9.6,東京,35.68123620000001,139.7671248
1,10.8,有楽町,35.6750133,139.7630204
2,11.0,新橋,35.666379,139.7583398
3,10.4,浜松町,35.6553809,139.7571289
4,9.9,田町,35.6457361,139.7475624
5,9.2,高輪ゲートウェイ,35.6355207,139.7406809
6,9.1,品川,35.6284713,139.7387597
7,8.5,大崎,35.6198513,139.7281892
8,8.9,五反田,35.6261591,139.7236022
9,9.9,目黒,35.63391319999999,139.7155561
10,11.0,恵比寿,35.6467145,139.7100818
11,10.8,渋谷,35.6580339,139.7016358
12,11.4,原宿,35.6700901,139.7024662
13,10.1,代々木,35.683033,139.7020555
14,8.2,新宿,35.6896067,139.7005713
15,7.5,新大久保,35.7012459,139.7002258
16,7.5,高田馬場,35.7125654,139.7038615
17,7.3,目白,35.7212199,139.7066115
18,7.4,池袋,35.7295028,139.7109001
19,7.4,大塚,35.7317124,139.7285029
20,7.8,巣鴨,35.7334192,139.7392848
21,7.5,駒込,35.7365665,139.7470098
22,7.0,田端,35.7381581,139.7608154
23,7.0,西日暮里,35.7324125,139.7677967
24,7.5,日暮里,35.7281578,139.7706414
25,7.6,鶯谷,35.7214573,139.7780133
26,8.1,上野,35.7141672,139.7774091
27,8.9,御徒町,35.7075185,139.7748564
28,9.4,秋葉原,35.698383,139.7730717
29,9.9,神田,35.6918216,139.7709318
30,6.7,赤羽,35.7776951,139.7205691
31,6.5,東十条,35.763949,139.7268722
32,6.4,王子,35.7529945,139.7378714
33,6.8,上中里,35.7465785,139.7469573
34,8.1,大井町,35.6076153,139.7346592
35,7.2,大森,35.5884467,139.7278683
36,7.3,蒲田,35.5624794,139.7160731
37,6.5,川崎,35.5313654,139.696889
38,5.9,鶴見,35.5080356,139.6762625
39,4.7,新子安,35.4870546,139.6548105
40,6.2,東神奈川,35.4779292,139.6333614
41,6.8,横浜,35.46598110000001,139.622062
42,6.4,桜木町,35.4509136,139.6310595
43,6.5,関内,35.4439663,139.6354978
44,6.0,石川町,35.4387746,139.6430494
45,4.9,山手,35.42686,139.6463741
46,4.2,根岸,35.415819,139.6350457
47,3.9,磯子,35.3998639,139.6179011
48,4.3,新杉田,35.3867269,139.619549
49,3.9,洋光台,35.378769,139.597042
50,4.5,港南台,35.37513,139.576405
51,5.0,本郷台,35.3674373,139.5502526
52,5.7,大船,35.3540475,139.5312989
53,5.0,戸塚,35.40076639999999,139.5342039
54,5.6,藤沢,35.3388984,139.4874695
55,5.9,辻堂,35.3368951,139.4470874
56,5.7,茅ケ崎,35.3303025,139.4068167
57,4.3,平塚,35.3276448,139.3504658
58,4.5,大磯,35.311435,139.313291
