line,price,from,to,trans,min,train+walk_min
ＪＲ京浜東北線,6.5,東十条,六本木,1,44,51
ＪＲ京浜東北線,6.4,王子,六本木,1,40,47
ＪＲ京浜東北線,6.5,川崎,六本木,1,38,45
ＪＲ京浜東北線,5.9,鶴見,六本木,1,41,48
ＪＲ京浜東北線,4.7,新子安,六本木,1,45,52
ＪＲ京浜東北線,6.2,東神奈川,六本木,1,48,55
ＪＲ東海道本線,6.5,川崎,六本木,1,38,45
ＪＲ東海道本線,5.0,戸塚,六本木,1,49,56
ＪＲ常磐線,5.9,綾瀬,六本木,1,35,42
ＪＲ常磐線,6.0,亀有,六本木,1,39,46
ＪＲ常磐線,4.9,金町,六本木,1,42,49
ＪＲ常磐線,5.5,松戸,六本木,1,45,52
ＪＲ常磐線,4.9,北松戸,六本木,1,49,56
ＪＲ常磐線,4.0,馬橋,六本木,1,51,58
ＪＲ常磐線,4.0,新松戸,六本木,1,53,60
ＪＲ南武線,6.5,川崎,六本木,1,38,45
ＪＲ南武線,6.3,武蔵小杉,六本木,1,22,29
ＪＲ南武線,5.5,登戸,六本木,1,36,43
ＪＲ南武線,4.9,稲田堤,六本木,1,47,54
ＪＲ南武線,4.6,分倍河原,六本木,1,50,57
ＪＲ南武線,4.9,立川,六本木,1,46,53
ＪＲ横浜線,6.2,東神奈川,六本木,1,48,55
ＪＲ横浜線,6.2,菊名,六本木,1,28,35
ＪＲ横浜線,6.0,長津田,六本木,1,46,53
ＪＲ横浜線,4.7,町田,六本木,1,46,53
ＪＲ横須賀線,6.3,武蔵小杉,六本木,1,22,29
ＪＲ横須賀線,4.8,保土ケ谷,六本木,1,41,48
ＪＲ横須賀線,5.3,東戸塚,六本木,1,46,53
ＪＲ横須賀線,5.0,戸塚,六本木,1,49,56
ＪＲ中央線,6.5,西荻窪,六本木,1,33,40
ＪＲ中央線,6.3,吉祥寺,六本木,1,31,38
ＪＲ中央線,6.1,三鷹,六本木,1,34,41
ＪＲ中央線,6.0,武蔵境,六本木,1,37,44
ＪＲ中央線,5.8,東小金井,六本木,1,39,46
ＪＲ中央線,5.4,武蔵小金井,六本木,1,41,48
ＪＲ中央線,5.1,国分寺,六本木,1,45,52
ＪＲ中央線,5.3,西国分寺,六本木,1,53,60
ＪＲ中央線,4.9,立川,六本木,1,46,53
ＪＲ中央線,3.8,日野,六本木,1,53,60
ＪＲ青梅線,4.9,立川,六本木,1,46,53
ＪＲ青梅線,4.7,西立川,六本木,1,51,58
ＪＲ青梅線,5.1,東中神,六本木,1,53,60
ＪＲ武蔵野線,5.3,西国分寺,六本木,1,53,60
ＪＲ武蔵野線,4.8,武蔵浦和,六本木,1,48,55
ＪＲ武蔵野線,5.0,南流山,六本木,1,51,58
ＪＲ武蔵野線,4.0,新松戸,六本木,1,53,60
ＪＲ武蔵野線,6.3,西船橋,六本木,1,43,50
ＪＲ八高線,4.4,小川町,六本木,1,25,32
ＪＲ埼京線,4.0,羽沢横浜国大,六本木,1,42,49
ＪＲ埼京線,6.3,武蔵小杉,六本木,1,22,29
ＪＲ埼京線,6.5,十条,六本木,1,31,38
ＪＲ埼京線,6.4,北赤羽,六本木,1,36,43
ＪＲ埼京線,5.8,浮間舟渡,六本木,1,38,45
ＪＲ埼京線,5.0,戸田公園,六本木,1,41,48
ＪＲ埼京線,5.3,戸田,六本木,1,43,50
ＪＲ埼京線,5.1,北戸田,六本木,1,45,52
ＪＲ埼京線,4.8,武蔵浦和,六本木,1,48,55
ＪＲ埼京線,4.9,中浦和,六本木,1,51,58
ＪＲ埼京線,5.0,南与野,六本木,1,53,60
ＪＲ総武線,6.3,西船橋,六本木,1,43,50
ＪＲ総武線,5.9,本八幡,六本木,1,49,56
ＪＲ総武線,6.0,市川,六本木,1,49,56
ＪＲ総武線,6.0,小岩,六本木,1,46,53
ＪＲ総武線,6.0,新小岩,六本木,1,43,50
ＪＲ総武線,6.2,平井,六本木,1,40,47
ＪＲ総武線,6.5,西荻窪,六本木,1,33,40
ＪＲ総武線,6.3,吉祥寺,六本木,1,31,38
ＪＲ総武線,6.1,三鷹,六本木,1,34,41
ＪＲ総武線快速,6.0,新小岩,六本木,1,43,50
ＪＲ総武線快速,6.0,市川,六本木,1,49,56
ＪＲ京葉線,5.5,葛西臨海公園,六本木,1,36,43
ＪＲ京葉線,5.0,舞浜,六本木,1,33,40
ＪＲ京葉線,5.2,新浦安,六本木,1,36,43
ＪＲ京葉線,5.0,市川塩浜,六本木,1,45,52
ＪＲ京葉線,6.3,西船橋,六本木,1,43,50
ＪＲ京葉線,4.7,南船橋,六本木,1,44,51
ＪＲ京葉線,6.1,海浜幕張,六本木,1,49,56
ＪＲ京葉線,5.3,検見川浜,六本木,1,53,60
湘南新宿ライン宇須,6.3,武蔵小杉,六本木,1,22,29
湘南新宿ライン宇須,4.8,保土ケ谷,六本木,1,41,48
湘南新宿ライン宇須,5.3,東戸塚,六本木,1,46,53
湘南新宿ライン宇須,5.0,戸塚,六本木,1,49,56
湘南新宿ライン高海,6.3,武蔵小杉,六本木,1,22,29
湘南新宿ライン高海,5.0,戸塚,六本木,1,49,56
東京メトロ東西線,5.7,西葛西,六本木,1,30,37
東京メトロ東西線,5.7,葛西,六本木,1,32,39
東京メトロ東西線,5.3,浦安,六本木,1,36,43
東京メトロ東西線,5.3,南行徳,六本木,1,39,46
東京メトロ東西線,5.2,行徳,六本木,1,41,48
東京メトロ東西線,5.5,妙典,六本木,1,43,50
東京メトロ東西線,5.1,原木中山,六本木,1,46,53
東京メトロ東西線,6.3,西船橋,六本木,1,43,50
東京メトロ千代田線,4.0,二重橋前,六本木,1,13,20
東京メトロ千代田線,6.5,町屋,六本木,1,32,39
東京メトロ千代田線,5.9,綾瀬,六本木,1,35,42
東京メトロ千代田線,5.9,北綾瀬,六本木,1,44,51
東京メトロ有楽町線,4.0,桜田門,六本木,1,17,24
東京メトロ有楽町線,6.2,千川,六本木,1,39,46
東京メトロ有楽町線,6.5,小竹向原,六本木,1,35,42
東京メトロ有楽町線,5.7,氷川台,六本木,1,44,51
東京メトロ有楽町線,5.5,地下鉄成増,六本木,1,51,58
東京メトロ南北線,6.5,西ケ原,六本木,1,38,45
東京メトロ南北線,6.4,王子,六本木,1,40,47
東京メトロ南北線,6.2,王子神谷,六本木,1,42,49
東京メトロ南北線,6.5,志茂,六本木,1,44,51
東京メトロ副都心線,6.2,千川,六本木,1,39,46
東京メトロ副都心線,6.5,小竹向原,六本木,1,35,42
東京メトロ副都心線,5.7,氷川台,六本木,1,44,51
東京メトロ副都心線,5.5,地下鉄成増,六本木,1,51,58
西武有楽町線,6.5,小竹向原,六本木,1,35,42
西武有楽町線,6.5,新桜台,六本木,1,38,45
西武有楽町線,6.3,練馬,六本木,0,27,34
西武新宿線,6.5,沼袋,六本木,1,34,41
西武新宿線,6.4,野方,六本木,1,35,42
西武新宿線,6.2,都立家政,六本木,1,37,44
西武新宿線,6.3,鷺ノ宮,六本木,1,38,45
西武新宿線,5.8,下井草,六本木,1,40,47
西武新宿線,6.2,井荻,六本木,1,42,49
西武新宿線,5.6,上井草,六本木,1,45,52
西武新宿線,5.7,上石神井,六本木,1,47,54
西武新宿線,5.5,武蔵関,六本木,1,45,52
西武新宿線,5.4,東伏見,六本木,1,47,54
西武新宿線,5.3,西武柳沢,六本木,1,49,56
西武新宿線,5.2,田無,六本木,1,51,58
西武新宿線,4.2,所沢,六本木,1,53,60
西武池袋線,6.5,江古田,六本木,1,32,39
西武池袋線,6.5,桜台,六本木,1,39,46
西武池袋線,6.3,練馬,六本木,0,27,34
西武池袋線,6.0,中村橋,六本木,1,37,44
西武池袋線,6.5,富士見台,六本木,1,39,46
