line,price,from,to,trans,min,train+walk_min
ＪＲ山手線,9.6,東京,六本木,1,14,21
ＪＲ山手線,9.6,東京,六本木一丁目,1,18,35
ＪＲ山手線,9.6,東京,乃木坂,0,23,30
ＪＲ山手線,9.6,東京,赤坂,0,20,34
ＪＲ山手線,10.8,有楽町,六本木,0,15,22
ＪＲ山手線,11.0,新橋,六本木,0,19,26
ＪＲ山手線,10.4,浜松町,六本木,0,14,21
ＪＲ山手線,9.9,田町,六本木,1,17,24
ＪＲ山手線,9.2,高輪ゲートウェイ,六本木,0,26,33
ＪＲ山手線,9.1,品川,六本木,0,26,33
ＪＲ山手線,8.5,大崎,六本木,1,14,21
ＪＲ山手線,8.9,五反田,六本木,0,34,41
ＪＲ山手線,9.9,目黒,六本木,1,19,26
ＪＲ山手線,11.0,恵比寿,六本木,0,6,13
ＪＲ山手線,10.8,渋谷,六本木,0,23,30
ＪＲ山手線,11.4,原宿,六本木,1,17,24
ＪＲ山手線,10.1,代々木,六本木,0,7,14
ＪＲ山手線,8.2,新宿,六本木,0,9,16
ＪＲ山手線,7.5,新大久保,六本木,1,22,29
ＪＲ山手線,7.5,高田馬場,六本木,1,24,31
ＪＲ山手線,7.3,目白,六本木,1,26,33
ＪＲ山手線,7.4,池袋,六本木,1,25,32
ＪＲ山手線,7.4,大塚,六本木,1,33,40
ＪＲ山手線,7.8,巣鴨,六本木,1,32,39
ＪＲ山手線,7.5,駒込,六本木,1,35,42
ＪＲ山手線,7.0,田端,六本木,1,36,43
ＪＲ山手線,7.0,西日暮里,六本木,1,25,32
ＪＲ山手線,7.5,日暮里,六本木,1,33,40
ＪＲ山手線,7.6,鶯谷,六本木,1,30,37
ＪＲ山手線,8.1,上野,六本木,0,27,34
ＪＲ山手線,8.9,御徒町,六本木,0,30,37
ＪＲ山手線,9.4,秋葉原,六本木,0,23,30
ＪＲ山手線,9.9,神田,六本木,1,21,28
ＪＲ京浜東北線,6.7,赤羽,六本木,1,33,40
ＪＲ京浜東北線,6.5,東十条,六本木,1,44,51
ＪＲ京浜東北線,6.4,王子,六本木,1,40,47
ＪＲ京浜東北線,6.8,上中里,六本木,1,39,46
ＪＲ京浜東北線,7.0,田端,六本木,1,36,43
ＪＲ京浜東北線,7.0,西日暮里,六本木,1,25,32
ＪＲ京浜東北線,7.5,日暮里,六本木,1,33,40
ＪＲ京浜東北線,7.6,鶯谷,六本木,1,30,37
ＪＲ京浜東北線,8.1,上野,六本木,0,27,34
ＪＲ京浜東北線,8.9,御徒町,六本木,0,30,37
ＪＲ京浜東北線,9.4,秋葉原,六本木,0,23,30
ＪＲ京浜東北線,9.9,神田,六本木,1,21,28
ＪＲ京浜東北線,9.6,東京,六本木,1,18,25
ＪＲ京浜東北線,10.8,有楽町,六本木,0,15,22
ＪＲ京浜東北線,11.0,新橋,六本木,0,19,26
ＪＲ京浜東北線,10.4,浜松町,六本木,0,14,21
ＪＲ京浜東北線,9.9,田町,六本木,1,17,24
ＪＲ京浜東北線,9.2,高輪ゲートウェイ,六本木,0,26,33
ＪＲ京浜東北線,9.1,品川,六本木,0,26,33
ＪＲ京浜東北線,8.1,大井町,六本木,1,22,29
ＪＲ京浜東北線,7.2,大森,六本木,1,29,36
ＪＲ京浜東北線,7.3,蒲田,六本木,1,33,40
