line,price,from,to,trans,min
ＪＲ山手線,26.5,東京,渋谷,0,26
ＪＲ山手線,26.5,有楽町,渋谷,0,25
ＪＲ山手線,30.0,新橋,渋谷,0,13
ＪＲ山手線,31.3,浜松町,渋谷,0,20
ＪＲ山手線,26.7,田町,渋谷,0,18
ＪＲ山手線,26.3,高輪ゲートウェイ,渋谷,0,15
ＪＲ山手線,27.4,品川,渋谷,0,13
ＪＲ山手線,25.8,大崎,渋谷,0,6
ＪＲ山手線,27.0,五反田,渋谷,0,8
ＪＲ山手線,28.5,目黒,渋谷,0,5
ＪＲ山手線,30.0,恵比寿,渋谷,0,2
ＪＲ山手線,44.2,原宿,渋谷,0,3
ＪＲ山手線,25.4,代々木,渋谷,0,5
ＪＲ山手線,27.4,新宿,渋谷,0,4
ＪＲ山手線,21.8,新大久保,渋谷,0,9
ＪＲ山手線,20.9,高田馬場,渋谷,0,11
ＪＲ山手線,21.2,目白,渋谷,0,13
ＪＲ山手線,19.6,池袋,渋谷,0,11
ＪＲ山手線,20.0,大塚,渋谷,0,18
ＪＲ山手線,19.5,巣鴨,渋谷,0,21
ＪＲ山手線,18.0,駒込,渋谷,0,23
ＪＲ山手線,15.2,田端,渋谷,0,25
ＪＲ山手線,17.2,西日暮里,渋谷,0,27
ＪＲ山手線,17.9,日暮里,渋谷,0,28
ＪＲ山手線,17.4,鶯谷,渋谷,0,30
ＪＲ山手線,19.8,上野,渋谷,0,28
ＪＲ山手線,20.5,御徒町,渋谷,0,33
ＪＲ山手線,22.1,秋葉原,渋谷,0,31
ＪＲ山手線,25.6,神田,渋谷,0,22
ＪＲ京浜東北線,16.0,赤羽,渋谷,0,21
ＪＲ京浜東北線,15.5,東十条,渋谷,1,25
ＪＲ京浜東北線,14.5,王子,渋谷,1,31
ＪＲ京浜東北線,14.4,上中里,渋谷,1,29
ＪＲ京浜東北線,15.2,田端,渋谷,0,25
ＪＲ京浜東北線,17.2,西日暮里,渋谷,0,27
ＪＲ京浜東北線,17.9,日暮里,渋谷,0,28
ＪＲ京浜東北線,17.4,鶯谷,渋谷,0,30
ＪＲ京浜東北線,19.8,上野,渋谷,0,28
ＪＲ京浜東北線,20.5,御徒町,渋谷,0,33
ＪＲ京浜東北線,22.1,秋葉原,渋谷,0,31
ＪＲ京浜東北線,25.6,神田,渋谷,0,22
ＪＲ京浜東北線,26.5,東京,渋谷,0,26
ＪＲ京浜東北線,26.5,有楽町,渋谷,0,25
ＪＲ京浜東北線,30.0,新橋,渋谷,0,13
ＪＲ京浜東北線,31.3,浜松町,渋谷,0,20
ＪＲ京浜東北線,26.7,田町,渋谷,0,18
ＪＲ京浜東北線,26.3,高輪ゲートウェイ,渋谷,0,15
ＪＲ京浜東北線,27.4,品川,渋谷,0,13
ＪＲ京浜東北線,18.9,大井町,渋谷,0,11
ＪＲ京浜東北線,15.0,大森,渋谷,1,20
ＪＲ京浜東北線,14.7,蒲田,渋谷,1,24
ＪＲ京浜東北線,12.1,川崎,渋谷,1,29
ＪＲ京浜東北線,11.4,鶴見,渋谷,1,32
ＪＲ京浜東北線,13.2,新子安,渋谷,1,36
ＪＲ京浜東北線,14.0,東神奈川,渋谷,1,35
ＪＲ京浜東北線,15.8,横浜,渋谷,0,28
ＪＲ京浜東北線,18.7,桜木町,渋谷,1,40
ＪＲ京浜東北線,17.4,関内,渋谷,1,42
ＪＲ京浜東北線,15.6,石川町,渋谷,1,44
ＪＲ京浜東北線,12.0,山手,渋谷,1,46
ＪＲ京浜東北線,11.7,根岸,渋谷,1,49
ＪＲ京浜東北線,11.3,磯子,渋谷,1,52
ＪＲ京浜東北線,9.8,新杉田,渋谷,1,54
ＪＲ京浜東北線,8.5,洋光台,渋谷,1,58
ＪＲ京浜東北線,8.3,港南台,渋谷,1,60
ＪＲ京浜東北線,8.5,本郷台,渋谷,1,63
ＪＲ京浜東北線,9.2,大船,渋谷,0,46
ＪＲ東海道本線,26.5,東京,渋谷,0,26
ＪＲ東海道本線,30.0,新橋,渋谷,0,13
ＪＲ東海道本線,27.4,品川,渋谷,0,13
ＪＲ東海道本線,12.1,川崎,渋谷,1,29
ＪＲ東海道本線,15.8,横浜,渋谷,0,28
ＪＲ東海道本線,9.0,戸塚,渋谷,0,41
ＪＲ東海道本線,9.2,大船,渋谷,0,46
ＪＲ東海道本線,9.9,藤沢,渋谷,0,52
ＪＲ東海道本線,8.3,辻堂,渋谷,0,56
ＪＲ東海道本線,8.5,茅ケ崎,渋谷,0,61
ＪＲ東海道本線,7.2,平塚,渋谷,0,68
