line,price,from,to,trans,min
ＪＲ山手線,19.6,池袋,渋谷,0,11
ＪＲ山手線,19.5,巣鴨,渋谷,0,21
ＪＲ山手線,18.0,駒込,渋谷,0,23
ＪＲ山手線,15.2,田端,渋谷,0,25
ＪＲ山手線,17.2,西日暮里,渋谷,0,27
ＪＲ山手線,17.9,日暮里,渋谷,0,28
ＪＲ山手線,17.4,鶯谷,渋谷,0,30
ＪＲ山手線,19.8,上野,渋谷,0,28
ＪＲ京浜東北線,16.0,赤羽,渋谷,0,21
ＪＲ京浜東北線,15.5,東十条,渋谷,1,25
ＪＲ京浜東北線,14.5,王子,渋谷,1,31
ＪＲ京浜東北線,14.4,上中里,渋谷,1,29
ＪＲ京浜東北線,15.2,田端,渋谷,0,25
ＪＲ京浜東北線,17.2,西日暮里,渋谷,0,27
ＪＲ京浜東北線,17.9,日暮里,渋谷,0,28
ＪＲ京浜東北線,17.4,鶯谷,渋谷,0,30
ＪＲ京浜東北線,19.8,上野,渋谷,0,28
ＪＲ京浜東北線,18.9,大井町,渋谷,0,11
ＪＲ京浜東北線,15.0,大森,渋谷,1,20
ＪＲ京浜東北線,14.7,蒲田,渋谷,1,24
ＪＲ京浜東北線,12.1,川崎,渋谷,1,29
ＪＲ京浜東北線,11.4,鶴見,渋谷,1,32
ＪＲ京浜東北線,13.2,新子安,渋谷,1,36
ＪＲ京浜東北線,14.0,東神奈川,渋谷,1,35
ＪＲ京浜東北線,15.8,横浜,渋谷,0,28
ＪＲ京浜東北線,18.7,桜木町,渋谷,1,40
ＪＲ京浜東北線,17.4,関内,渋谷,1,42
ＪＲ京浜東北線,15.6,石川町,渋谷,1,44
ＪＲ京浜東北線,12.0,山手,渋谷,1,46
ＪＲ京浜東北線,11.7,根岸,渋谷,1,49
ＪＲ京浜東北線,11.3,磯子,渋谷,1,52
ＪＲ京浜東北線,9.8,新杉田,渋谷,1,54
ＪＲ京浜東北線,8.5,洋光台,渋谷,1,58
ＪＲ京浜東北線,9.2,大船,渋谷,0,46
ＪＲ東海道本線,12.1,川崎,渋谷,1,29
ＪＲ東海道本線,15.8,横浜,渋谷,0,28
ＪＲ東海道本線,9.0,戸塚,渋谷,0,41
ＪＲ東海道本線,9.2,大船,渋谷,0,46
ＪＲ東海道本線,9.9,藤沢,渋谷,0,52
ＪＲ東海道本線,8.3,辻堂,渋谷,0,56
ＪＲ常磐線,19.8,上野,渋谷,0,28
ＪＲ常磐線,17.9,日暮里,渋谷,0,28
ＪＲ常磐線,16.0,三河島,渋谷,1,35
ＪＲ常磐線,16.7,南千住,渋谷,1,38
ＪＲ常磐線,14.3,北千住,渋谷,0,42
ＪＲ常磐線,10.4,綾瀬,渋谷,1,39
ＪＲ常磐線,10.4,亀有,渋谷,1,44
ＪＲ常磐線,9.2,金町,渋谷,1,47
ＪＲ常磐線,8.4,松戸,渋谷,1,49
ＪＲ常磐線,8.0,北松戸,渋谷,1,54
ＪＲ常磐線,7.8,馬橋,渋谷,1,56
ＪＲ常磐線,7.6,新松戸,渋谷,1,58
ＪＲ常磐線,8.5,柏,渋谷,1,58
ＪＲ南武線,12.1,川崎,渋谷,1,29
ＪＲ南武線,12.5,尻手,渋谷,1,33
ＪＲ南武線,12.9,八丁畷,渋谷,1,48
ＪＲ南武線,11.5,川崎新町,渋谷,2,40
ＪＲ南武線,11.0,小田栄,渋谷,2,42
ＪＲ南武線,10.5,浜川崎,渋谷,2,44
ＪＲ南武線,11.5,矢向,渋谷,1,31
ＪＲ南武線,11.8,鹿島田,渋谷,0,27
ＪＲ南武線,12.3,平間,渋谷,1,27
ＪＲ南武線,15.1,向河原,渋谷,1,25
ＪＲ南武線,14.0,武蔵小杉,渋谷,0,14
ＪＲ南武線,11.7,武蔵中原,渋谷,1,21
ＪＲ南武線,11.4,武蔵新城,渋谷,1,24
ＪＲ南武線,12.0,武蔵溝ノ口,渋谷,0,18
ＪＲ南武線,10.7,津田山,渋谷,1,26
ＪＲ南武線,10.2,久地,渋谷,1,28
ＪＲ南武線,10.8,宿河原,渋谷,1,30
ＪＲ南武線,11.1,登戸,渋谷,1,23
ＪＲ南武線,10.0,中野島,渋谷,1,35
ＪＲ南武線,10.0,稲田堤,渋谷,1,37
ＪＲ南武線,9.5,矢野口,渋谷,1,39
ＪＲ南武線,9.2,稲城長沼,渋谷,1,41
ＪＲ南武線,9.2,南多摩,渋谷,1,44
ＪＲ南武線,11.9,府中本町,渋谷,1,46
ＪＲ南武線,10.6,分倍河原,渋谷,1,33
ＪＲ南武線,10.1,西府,渋谷,1,50
ＪＲ南武線,10.4,谷保,渋谷,1,53
ＪＲ南武線,10.3,矢川,渋谷,1,55
ＪＲ南武線,11.0,西国立,渋谷,1,57
ＪＲ南武線,10.0,立川,渋谷,1,36
ＪＲ横浜線,14.0,東神奈川,渋谷,1,35
ＪＲ横浜線,12.4,大口,渋谷,1,32
ＪＲ横浜線,12.1,菊名,渋谷,0,22
ＪＲ横浜線,12.3,新横浜,渋谷,0,27
ＪＲ横浜線,10.1,小机,渋谷,1,32
ＪＲ横浜線,8.7,鴨居,渋谷,1,35
ＪＲ横浜線,9.2,中山,渋谷,1,38
ＪＲ横浜線,8.6,十日市場,渋谷,1,39
ＪＲ横浜線,9.0,長津田,渋谷,0,31
ＪＲ横浜線,8.2,成瀬,渋谷,1,43
ＪＲ横浜線,9.0,町田,渋谷,1,37
ＪＲ横浜線,7.3,古淵,渋谷,1,49
ＪＲ横浜線,7.5,淵野辺,渋谷,1,52
ＪＲ横浜線,7.6,矢部,渋谷,1,54
ＪＲ横浜線,7.5,相模原,渋谷,1,57
ＪＲ横浜線,8.0,橋本,渋谷,1,43
ＪＲ横浜線,8.5,八王子,渋谷,1,46
ＪＲ横須賀線,17.3,西大井,渋谷,0,10
ＪＲ横須賀線,14.0,武蔵小杉,渋谷,0,14
ＪＲ横須賀線,11.8,新川崎,渋谷,0,19
ＪＲ横須賀線,15.8,横浜,渋谷,0,28
ＪＲ横須賀線,11.0,保土ケ谷,渋谷,0,32
ＪＲ横須賀線,9.5,東戸塚,渋谷,0,37
ＪＲ横須賀線,9.0,戸塚,渋谷,0,41
ＪＲ横須賀線,9.2,大船,渋谷,0,46
ＪＲ横須賀線,11.6,北鎌倉,渋谷,0,51
ＪＲ横須賀線,15.8,鎌倉,渋谷,0,55
ＪＲ中央線,17.4,東中野,渋谷,1,12
ＪＲ中央線,17.2,中野,渋谷,0,45
ＪＲ中央線,16.9,高円寺,渋谷,1,18
ＪＲ中央線,16.5,阿佐ケ谷,渋谷,0,54
ＪＲ中央線,15.5,荻窪,渋谷,1,20
ＪＲ中央線,15.1,西荻窪,渋谷,1,25
ＪＲ中央線,14.0,吉祥寺,渋谷,0,19
ＪＲ中央線,14.2,三鷹,渋谷,1,25
ＪＲ中央線,13.5,武蔵境,渋谷,1,32
ＪＲ中央線,12.8,東小金井,渋谷,1,34
ＪＲ中央線,11.9,武蔵小金井,渋谷,1,36
ＪＲ中央線,11.6,国分寺,渋谷,1,36
ＪＲ中央線,11.8,西国分寺,渋谷,1,42
ＪＲ中央線,10.7,国立,渋谷,1,44
ＪＲ中央線,10.0,立川,渋谷,1,36
ＪＲ中央線,8.8,日野,渋谷,1,52
ＪＲ中央線,9.5,豊田,渋谷,1,55
ＪＲ中央線,8.5,八王子,渋谷,1,46
ＪＲ青梅線,10.0,立川,渋谷,1,36
ＪＲ青梅線,8.4,西立川,渋谷,1,40
ＪＲ青梅線,8.6,東中神,渋谷,1,42
ＪＲ青梅線,8.3,中神,渋谷,1,43
ＪＲ青梅線,7.8,昭島,渋谷,1,46
ＪＲ青梅線,7.2,拝島,渋谷,1,49
ＪＲ青梅線,6.9,牛浜,渋谷,1,55
ＪＲ青梅線,6.7,福生,渋谷,1,57
ＪＲ五日市線,7.2,拝島,渋谷,1,49
ＪＲ五日市線,6.9,熊川,渋谷,2,59
ＪＲ武蔵野線,11.9,府中本町,渋谷,1,46
ＪＲ武蔵野線,11.8,西国分寺,渋谷,1,42
ＪＲ武蔵野線,8.5,新小平,渋谷,1,57
ＪＲ武蔵野線,8.0,新秋津,渋谷,0,47
ＪＲ武蔵野線,7.7,東所沢,渋谷,1,48
ＪＲ武蔵野線,8.2,新座,渋谷,1,44
ＪＲ武蔵野線,9.2,北朝霞,渋谷,0,37
ＪＲ武蔵野線,8.3,西浦和,渋谷,1,45
ＪＲ武蔵野線,9.5,武蔵浦和,渋谷,0,32
ＪＲ武蔵野線,9.4,南浦和,渋谷,1,38
ＪＲ武蔵野線,7.7,東浦和,渋谷,1,47
ＪＲ武蔵野線,9.0,東川口,渋谷,1,50
ＪＲ武蔵野線,6.8,越谷レイクタウン,渋谷,1,57
ＪＲ武蔵野線,7.6,新松戸,渋谷,1,58
ＪＲ武蔵野線,9.5,西船橋,渋谷,1,44
ＪＲ八高線,8.5,八王子,渋谷,1,46
ＪＲ八高線,7.2,拝島,渋谷,1,49
ＪＲ八高線,6.8,東福生,渋谷,2,55
ＪＲ八高線,4.1,小川町,渋谷,1,20
ＪＲ埼京線,9.0,羽沢横浜国大,渋谷,0,33
ＪＲ埼京線,14.0,武蔵小杉,渋谷,0,14
ＪＲ埼京線,17.3,西大井,渋谷,0,10
ＪＲ埼京線,19.6,池袋,渋谷,0,11
ＪＲ埼京線,17.1,板橋,渋谷,0,14
ＪＲ埼京線,15.5,十条,渋谷,0,16
ＪＲ埼京線,16.0,赤羽,渋谷,0,21
