,line,price,from,to,trans,min,lat,lng
0,ＪＲ山手線,19.6,池袋,渋谷,0,11,35.7295028,139.7109001
1,ＪＲ山手線,19.5,巣鴨,渋谷,0,21,35.7334192,139.7392848
2,ＪＲ山手線,18.0,駒込,渋谷,0,23,35.7365665,139.7470098
3,ＪＲ山手線,15.2,田端,渋谷,0,25,35.7381581,139.7608154
4,ＪＲ山手線,17.2,西日暮里,渋谷,0,27,35.7324125,139.7677967
5,ＪＲ山手線,17.9,日暮里,渋谷,0,28,35.7281578,139.7706414
6,ＪＲ山手線,17.4,鶯谷,渋谷,0,30,35.7214573,139.7780133
7,ＪＲ山手線,19.8,上野,渋谷,0,28,35.7141672,139.7774091
8,ＪＲ京浜東北線,16.0,赤羽,渋谷,0,21,35.7776951,139.7205691
9,ＪＲ京浜東北線,15.5,東十条,渋谷,1,25,35.763949,139.7268722
10,ＪＲ京浜東北線,14.5,王子,渋谷,1,31,35.7529945,139.7378714
11,ＪＲ京浜東北線,14.4,上中里,渋谷,1,29,35.7465785,139.7469573
12,ＪＲ京浜東北線,15.2,田端,渋谷,0,25,35.7381581,139.7608154
13,ＪＲ京浜東北線,17.2,西日暮里,渋谷,0,27,35.7324125,139.7677967
14,ＪＲ京浜東北線,17.9,日暮里,渋谷,0,28,35.7281578,139.7706414
15,ＪＲ京浜東北線,17.4,鶯谷,渋谷,0,30,35.7214573,139.7780133
16,ＪＲ京浜東北線,19.8,上野,渋谷,0,28,35.7141672,139.7774091
17,ＪＲ京浜東北線,18.9,大井町,渋谷,0,11,35.6076153,139.7346592
18,ＪＲ京浜東北線,15.0,大森,渋谷,1,20,35.5884467,139.7278683
19,ＪＲ京浜東北線,14.7,蒲田,渋谷,1,24,35.5624794,139.7160731
20,ＪＲ京浜東北線,12.1,川崎,渋谷,1,29,35.5313654,139.696889
21,ＪＲ京浜東北線,11.4,鶴見,渋谷,1,32,35.5080356,139.6762625
22,ＪＲ京浜東北線,13.2,新子安,渋谷,1,36,35.4870546,139.6548105
23,ＪＲ京浜東北線,14.0,東神奈川,渋谷,1,35,35.4779292,139.6333614
24,ＪＲ京浜東北線,15.8,横浜,渋谷,0,28,35.46598110000001,139.622062
25,ＪＲ京浜東北線,18.7,桜木町,渋谷,1,40,35.4509136,139.6310595
26,ＪＲ京浜東北線,17.4,関内,渋谷,1,42,35.4439663,139.6354978
27,ＪＲ京浜東北線,15.6,石川町,渋谷,1,44,35.4387746,139.6430494
28,ＪＲ京浜東北線,12.0,山手,渋谷,1,46,35.42686,139.6463741
29,ＪＲ京浜東北線,11.7,根岸,渋谷,1,49,35.415819,139.6350457
30,ＪＲ京浜東北線,11.3,磯子,渋谷,1,52,35.3998639,139.6179011
31,ＪＲ京浜東北線,9.8,新杉田,渋谷,1,54,35.3867269,139.619549
32,ＪＲ京浜東北線,8.5,洋光台,渋谷,1,58,35.378769,139.597042
33,ＪＲ京浜東北線,9.2,大船,渋谷,0,46,35.3540475,139.5312989
34,ＪＲ東海道本線,12.1,川崎,渋谷,1,29,35.5313654,139.696889
35,ＪＲ東海道本線,15.8,横浜,渋谷,0,28,35.46598110000001,139.622062
36,ＪＲ東海道本線,9.0,戸塚,渋谷,0,41,35.4006131,139.5342406
37,ＪＲ東海道本線,9.2,大船,渋谷,0,46,35.3540475,139.5312989
38,ＪＲ東海道本線,9.9,藤沢,渋谷,0,52,35.3388984,139.4874695
39,ＪＲ東海道本線,8.3,辻堂,渋谷,0,56,35.3368951,139.4470874
40,ＪＲ常磐線,19.8,上野,渋谷,0,28,35.7141672,139.7774091
41,ＪＲ常磐線,17.9,日暮里,渋谷,0,28,35.7281578,139.7706414
42,ＪＲ常磐線,16.0,三河島,渋谷,1,35,35.7331755,139.7784846
43,ＪＲ常磐線,16.7,南千住,渋谷,1,38,35.7331617,139.7989223
44,ＪＲ常磐線,14.3,北千住,渋谷,0,42,35.7496762,139.8053433
45,ＪＲ常磐線,10.4,綾瀬,渋谷,1,39,35.762315,139.824924
46,ＪＲ常磐線,10.4,亀有,渋谷,1,44,35.7665375,139.8475334
47,ＪＲ常磐線,9.2,金町,渋谷,1,47,35.769538,139.870476
48,ＪＲ常磐線,8.4,松戸,渋谷,1,49,35.7843004,139.9006607
49,ＪＲ常磐線,8.0,北松戸,渋谷,1,54,35.8005413,139.9117619
50,ＪＲ常磐線,7.8,馬橋,渋谷,1,56,35.81134000000001,139.917276
51,ＪＲ常磐線,7.6,新松戸,渋谷,1,58,35.8254725,139.920711
52,ＪＲ常磐線,8.5,柏,渋谷,1,58,35.8621498,139.9709172
53,ＪＲ南武線,12.1,川崎,渋谷,1,29,35.5313654,139.696889
54,ＪＲ南武線,12.5,尻手,渋谷,1,33,35.5311934,139.6844966
55,ＪＲ南武線,12.9,八丁畷,渋谷,1,48,35.523005,139.691445
56,ＪＲ南武線,11.5,川崎新町,渋谷,2,40,35.5182669,139.699176
57,ＪＲ南武線,11.0,小田栄,渋谷,2,42,35.5147242,139.7047391
58,ＪＲ南武線,10.5,浜川崎,渋谷,2,44,35.5102284,139.7138465
59,ＪＲ南武線,11.5,矢向,渋谷,1,31,35.5389245,139.6804314
60,ＪＲ南武線,11.8,鹿島田,渋谷,0,27,35.5512456,139.6751584
61,ＪＲ南武線,12.3,平間,渋谷,1,27,35.5605559,139.6710844
62,ＪＲ南武線,15.1,向河原,渋谷,1,25,35.5721934,139.6672787
63,ＪＲ南武線,14.0,武蔵小杉,渋谷,0,14,35.5766335,139.659466
64,ＪＲ南武線,11.7,武蔵中原,渋谷,1,21,35.5807143,139.642107
65,ＪＲ南武線,11.4,武蔵新城,渋谷,1,24,35.58718,139.6298424
66,ＪＲ南武線,12.0,武蔵溝ノ口,渋谷,0,18,35.5993971,139.6105195
67,ＪＲ南武線,10.7,津田山,渋谷,1,26,35.6036047,139.6007276
68,ＪＲ南武線,10.2,久地,渋谷,1,28,35.6106071,139.5925028
69,ＪＲ南武線,10.8,宿河原,渋谷,1,30,35.6153801,139.5797295
70,ＪＲ南武線,11.1,登戸,渋谷,1,23,35.6207662,139.5700976
71,ＪＲ南武線,10.0,中野島,渋谷,1,35,35.6301215,139.5500898
72,ＪＲ南武線,10.0,稲田堤,渋谷,1,37,35.6334204,139.5356629
73,ＪＲ南武線,9.5,矢野口,渋谷,1,39,35.6417094,139.5204551
74,ＪＲ南武線,9.2,稲城長沼,渋谷,1,41,35.644292,139.502568
75,ＪＲ南武線,9.2,南多摩,渋谷,1,44,35.6492761,139.4899059
76,ＪＲ南武線,11.9,府中本町,渋谷,1,46,35.6662815,139.4770873
77,ＪＲ南武線,10.6,分倍河原,渋谷,1,33,35.6685677,139.46874
78,ＪＲ南武線,10.1,西府,渋谷,1,50,35.6709726,139.4573727
79,ＪＲ南武線,10.4,谷保,渋谷,1,53,35.68137,139.446738
80,ＪＲ南武線,10.3,矢川,渋谷,1,55,35.685063,139.431572
81,ＪＲ南武線,11.0,西国立,渋谷,1,57,35.693459,139.4242584
82,ＪＲ南武線,10.0,立川,渋谷,1,36,35.6979144,139.4137408
83,ＪＲ横浜線,14.0,東神奈川,渋谷,1,35,35.4779292,139.6333614
84,ＪＲ横浜線,12.4,大口,渋谷,1,32,35.4921609,139.6461469
85,ＪＲ横浜線,12.1,菊名,渋谷,0,22,35.5099195,139.6313685
86,ＪＲ横浜線,12.3,新横浜,渋谷,0,27,35.5076585,139.6175553
87,ＪＲ横浜線,10.1,小机,渋谷,1,32,35.5085857,139.5998778
88,ＪＲ横浜線,8.7,鴨居,渋谷,1,35,35.5109924,139.5669896
89,ＪＲ横浜線,9.2,中山,渋谷,1,38,35.5148115,139.53935
90,ＪＲ横浜線,8.6,十日市場,渋谷,1,39,35.526222,139.516543
91,ＪＲ横浜線,9.0,長津田,渋谷,0,31,35.5319546,139.4943049
92,ＪＲ横浜線,8.2,成瀬,渋谷,1,43,35.5355157,139.4729137
93,ＪＲ横浜線,9.0,町田,渋谷,1,37,0.0,0.0
94,ＪＲ横浜線,7.3,古淵,渋谷,1,49,35.555994,139.419189
95,ＪＲ横浜線,7.5,淵野辺,渋谷,1,52,35.5687398,139.3950611
96,ＪＲ横浜線,7.6,矢部,渋谷,1,54,35.5730965,139.3867762
97,ＪＲ横浜線,7.5,相模原,渋谷,1,57,35.5813315,139.3712564
98,ＪＲ横浜線,8.0,橋本,渋谷,1,43,35.5948639,139.3449224
99,ＪＲ横浜線,8.5,八王子,渋谷,1,46,35.6556157,139.3388529
100,ＪＲ横須賀線,17.3,西大井,渋谷,0,10,35.60179189999999,139.7218021
101,ＪＲ横須賀線,14.0,武蔵小杉,渋谷,0,14,35.5766335,139.659466
