line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,京橋,3,216
JR中央・総武線各駅停車,12.0,吉祥寺,京橋,3,213
JR中央・総武線各駅停車,12.5,西荻窪,京橋,3,211
JR中央・総武線各駅停車,12.5,荻窪,京橋,3,209
JR中央・総武線各駅停車,13.0,阿佐ケ谷,京橋,3,207
JR中央・総武線各駅停車,13.0,高円寺,京橋,3,205
JR中央・総武線各駅停車,13.5,中野,京橋,3,202
JR中央・総武線各駅停車,13.8,東中野,京橋,4,200
JR中央・総武線各駅停車,15.5,大久保,京橋,4,198
JR中央・総武線各駅停車,18.9,新宿,京橋,3,191
JR中央・総武線各駅停車,18.5,代々木,京橋,3,189
JR中央・総武線各駅停車,19.2,千駄ケ谷,京橋,4,204
JR中央・総武線各駅停車,17.8,信濃町,京橋,4,202
JR中央・総武線各駅停車,18.4,四ツ谷,京橋,3,194
JR中央・総武線各駅停車,18.9,市ケ谷,京橋,3,205
JR中央・総武線各駅停車,17.5,飯田橋,京橋,3,207
JR中央・総武線各駅停車,17.5,水道橋,京橋,4,194
JR中央・総武線各駅停車,17.9,御茶ノ水,京橋,3,189
JR中央・総武線各駅停車,17.0,秋葉原,京橋,3,183
JR中央・総武線各駅停車,16.2,浅草橋,京橋,3,204
JR中央・総武線各駅停車,14.8,両国,京橋,4,195
JR中央・総武線各駅停車,14.2,錦糸町,京橋,3,192
JR中央・総武線各駅停車,11.4,亀戸,京橋,4,199
JR中央・総武線各駅停車,9.7,平井,京橋,4,202
JR中央・総武線各駅停車,8.7,新小岩,京橋,3,197
JR中央・総武線各駅停車,8.5,小岩,京橋,4,208
JR中央・総武線各駅停車,9.3,市川,京橋,3,202
JR中央・総武線各駅停車,8.5,下総中山,京橋,4,215
JR中央・総武線各駅停車,9.7,西船橋,京橋,3,228
JR中央・総武線各駅停車,9.1,船橋,京橋,3,208
JR中央・総武線各駅停車,9.2,東船橋,京橋,4,213
JR中央・総武線各駅停車,8.7,津田沼,京橋,3,211
JR中央・総武線各駅停車,7.8,幕張本郷,京橋,4,231
JR中央・総武線各駅停車,7.9,幕張,京橋,4,233
JR中央・総武線各駅停車,6.6,新検見川,京橋,4,236
JR中央・総武線各駅停車,6.8,稲毛,京橋,3,218
JR中央・総武線各駅停車,6.0,西千葉,京橋,4,241
JR中央・総武線各駅停車,8.1,千葉,京橋,3,222
JR中央線,18.8,東京,京橋,2,168
JR中央線,17.7,神田,京橋,3,182
JR中央線,17.9,御茶ノ水,京橋,3,189
JR中央線,18.4,四ツ谷,京橋,3,194
JR中央線,18.9,新宿,京橋,3,191
JR中央線,13.5,中野,京橋,3,202
JR中央線,13.0,高円寺,京橋,3,205
JR中央線,13.0,阿佐ケ谷,京橋,3,207
JR中央線,12.5,荻窪,京橋,3,209
JR中央線,12.5,西荻窪,京橋,3,211
JR中央線,12.0,吉祥寺,京橋,3,213
JR中央線,11.5,三鷹,京橋,3,216
JR中央線,11.3,武蔵境,京橋,3,218
JR中央線,11.0,東小金井,京橋,3,221
JR中央線,9.7,武蔵小金井,京橋,3,223
JR中央線,9.5,国分寺,京橋,3,226
JR中央線,9.8,西国分寺,京橋,3,228
JR中央線,9.3,国立,京橋,3,230
JR中央線,8.8,立川,京橋,3,233
JR中央線,8.0,日野,京橋,3,236
