line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,八丁堀,1,48
JR中央・総武線各駅停車,12.0,吉祥寺,八丁堀,1,45
JR中央・総武線各駅停車,12.5,西荻窪,八丁堀,1,42
JR中央・総武線各駅停車,12.5,荻窪,八丁堀,1,40
JR中央・総武線各駅停車,13.0,阿佐ケ谷,八丁堀,1,37
JR中央・総武線各駅停車,13.0,高円寺,八丁堀,1,35
JR中央・総武線各駅停車,13.5,中野,八丁堀,1,31
JR中央・総武線各駅停車,13.8,東中野,八丁堀,1,39
JR中央・総武線各駅停車,15.5,大久保,八丁堀,1,37
JR中央・総武線各駅停車,18.9,新宿,八丁堀,1,28
JR中央・総武線各駅停車,18.5,代々木,八丁堀,1,32
JR中央・総武線各駅停車,19.2,千駄ケ谷,八丁堀,1,31
JR中央・総武線各駅停車,17.8,信濃町,八丁堀,1,29
JR中央・総武線各駅停車,18.4,四ツ谷,八丁堀,1,19
JR中央・総武線各駅停車,18.9,市ケ谷,八丁堀,1,24
JR中央・総武線各駅停車,17.5,飯田橋,八丁堀,1,15
JR中央・総武線各駅停車,17.5,水道橋,八丁堀,1,19
JR中央・総武線各駅停車,17.9,御茶ノ水,八丁堀,1,16
JR中央・総武線各駅停車,17.0,秋葉原,八丁堀,0,8
JR中央・総武線各駅停車,16.2,浅草橋,八丁堀,1,11
JR中央・総武線各駅停車,14.8,両国,八丁堀,1,19
JR中央・総武線各駅停車,14.2,錦糸町,八丁堀,1,21
JR中央・総武線各駅停車,11.4,亀戸,八丁堀,1,24
JR中央・総武線各駅停車,9.7,平井,八丁堀,1,28
JR中央・総武線各駅停車,8.7,新小岩,八丁堀,1,30
JR中央・総武線各駅停車,8.5,小岩,八丁堀,1,34
JR中央・総武線各駅停車,9.3,市川,八丁堀,1,37
JR中央・総武線各駅停車,8.5,下総中山,八丁堀,1,36
JR中央・総武線各駅停車,9.7,西船橋,八丁堀,0,29
JR中央・総武線各駅停車,9.1,船橋,八丁堀,1,39
JR中央・総武線各駅停車,9.2,東船橋,八丁堀,1,42
JR中央・総武線各駅停車,8.7,津田沼,八丁堀,1,45
JR中央・総武線各駅停車,7.8,幕張本郷,八丁堀,1,51
JR中央・総武線各駅停車,7.9,幕張,八丁堀,1,46
JR中央・総武線各駅停車,6.6,新検見川,八丁堀,1,49
JR中央・総武線各駅停車,6.8,稲毛,八丁堀,1,58
JR中央・総武線各駅停車,6.0,西千葉,八丁堀,1,62
JR中央・総武線各駅停車,8.1,千葉,八丁堀,1,57
JR中央線,18.8,東京,八丁堀,0,2
JR中央線,17.7,神田,八丁堀,1,16
JR中央線,17.9,御茶ノ水,八丁堀,1,16
JR中央線,18.4,四ツ谷,八丁堀,1,19
JR中央線,18.9,新宿,八丁堀,1,28
JR中央線,13.5,中野,八丁堀,1,31
JR中央線,13.0,高円寺,八丁堀,1,35
JR中央線,13.0,阿佐ケ谷,八丁堀,1,37
JR中央線,12.5,荻窪,八丁堀,1,40
JR中央線,12.5,西荻窪,八丁堀,1,42
JR中央線,12.0,吉祥寺,八丁堀,1,45
JR中央線,11.5,三鷹,八丁堀,1,48
JR中央線,11.3,武蔵境,八丁堀,1,52
JR中央線,11.0,東小金井,八丁堀,1,55
JR中央線,9.7,武蔵小金井,八丁堀,1,58
JR中央線,9.5,国分寺,八丁堀,1,61
JR中央線,9.8,西国分寺,八丁堀,1,64
JR中央線,9.3,国立,八丁堀,1,66
JR中央線,8.8,立川,八丁堀,1,70
JR中央線,8.0,日野,八丁堀,1,73
JR中央線,8.1,豊田,八丁堀,1,76
JR中央線,8.1,八王子,八丁堀,1,81
JR中央線,7.6,西八王子,八丁堀,1,85
JR中央線,6.0,高尾,八丁堀,1,88
JR久留里線,6.5,木更津,八丁堀,0,79
JR久留里線,6.1,上総清川,八丁堀,1,108
JR久留里線,5.3,東清川,八丁堀,1,111
JR久留里線,4.7,横田,八丁堀,1,116
JR久留里線,4.7,東横田,八丁堀,1,121
JR久留里線,4.7,馬来田,八丁堀,1,126
JR久留里線,4.7,下郡,八丁堀,1,130
JR久留里線,4.7,小櫃,八丁堀,1,134
JR久留里線,4.7,俵田,八丁堀,1,138
JR久留里線,4.7,久留里,八丁堀,1,143
JR久留里線,4.7,平山,八丁堀,2,93
JR久留里線,4.7,上総松丘,八丁堀,1,154
JR五日市線,6.0,拝島,八丁堀,1,84
JR五日市線,5.9,熊川,八丁堀,2,88
JR五日市線,5.3,東秋留,八丁堀,2,90
JR五日市線,5.6,秋川,八丁堀,2,96
JR五日市線,5.5,武蔵引田,八丁堀,2,98
JR五日市線,6.1,武蔵増戸,八丁堀,2,100
JR五日市線,4.5,武蔵五日市,八丁堀,2,105
JR京浜東北線,11.0,さいたま新都心,八丁堀,1,46
JR京浜東北線,9.1,与野,八丁堀,1,61
JR京浜東北線,9.8,北浦和,八丁堀,1,59
JR京浜東北線,10.3,浦和,八丁堀,1,42
