line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,内幸町,1,50
JR中央・総武線各駅停車,12.0,吉祥寺,内幸町,1,47
JR中央・総武線各駅停車,12.5,西荻窪,内幸町,1,44
JR中央・総武線各駅停車,12.5,荻窪,内幸町,1,41
JR中央・総武線各駅停車,13.0,阿佐ケ谷,内幸町,1,39
JR中央・総武線各駅停車,13.0,高円寺,内幸町,1,37
JR中央・総武線各駅停車,13.5,中野,内幸町,1,31
JR中央・総武線各駅停車,13.8,東中野,内幸町,1,38
JR中央・総武線各駅停車,15.5,大久保,内幸町,1,37
JR中央・総武線各駅停車,18.9,新宿,内幸町,0,42
JR中央・総武線各駅停車,18.5,代々木,内幸町,0,40
JR中央・総武線各駅停車,19.2,千駄ケ谷,内幸町,1,28
JR中央・総武線各駅停車,17.8,信濃町,内幸町,1,26
JR中央・総武線各駅停車,18.4,四ツ谷,内幸町,1,17
JR中央・総武線各駅停車,18.9,市ケ谷,内幸町,1,15
JR中央・総武線各駅停車,17.5,飯田橋,内幸町,1,15
JR中央・総武線各駅停車,17.5,水道橋,内幸町,0,9
JR中央・総武線各駅停車,17.9,御茶ノ水,内幸町,1,16
JR中央・総武線各駅停車,17.0,秋葉原,内幸町,0,20
JR中央・総武線各駅停車,16.2,浅草橋,内幸町,0,23
JR中央・総武線各駅停車,14.8,両国,内幸町,1,27
JR中央・総武線各駅停車,14.2,錦糸町,内幸町,0,23
JR中央・総武線各駅停車,11.4,亀戸,内幸町,1,28
JR中央・総武線各駅停車,9.7,平井,内幸町,1,31
JR中央・総武線各駅停車,8.7,新小岩,内幸町,0,29
JR中央・総武線各駅停車,8.5,小岩,内幸町,1,35
JR中央・総武線各駅停車,9.3,市川,内幸町,0,34
JR中央・総武線各駅停車,8.5,下総中山,内幸町,1,44
JR中央・総武線各駅停車,9.7,西船橋,内幸町,1,46
JR中央・総武線各駅停車,9.1,船橋,内幸町,0,41
JR中央・総武線各駅停車,9.2,東船橋,内幸町,1,47
JR中央・総武線各駅停車,8.7,津田沼,内幸町,0,45
JR中央・総武線各駅停車,7.8,幕張本郷,内幸町,1,53
JR中央・総武線各駅停車,7.9,幕張,内幸町,1,56
JR中央・総武線各駅停車,6.6,新検見川,内幸町,1,58
JR中央・総武線各駅停車,6.8,稲毛,内幸町,0,53
JR中央・総武線各駅停車,6.0,西千葉,内幸町,1,64
JR中央・総武線各駅停車,8.1,千葉,内幸町,0,57
JR中央線,18.8,東京,内幸町,0,13
JR中央線,17.7,神田,内幸町,0,17
JR中央線,17.9,御茶ノ水,内幸町,1,16
JR中央線,18.4,四ツ谷,内幸町,1,17
JR中央線,18.9,新宿,内幸町,0,42
JR中央線,13.5,中野,内幸町,1,31
JR中央線,13.0,高円寺,内幸町,1,37
JR中央線,13.0,阿佐ケ谷,内幸町,1,39
JR中央線,12.5,荻窪,内幸町,1,41
JR中央線,12.5,西荻窪,内幸町,1,44
JR中央線,12.0,吉祥寺,内幸町,1,47
JR中央線,11.5,三鷹,内幸町,1,50
JR中央線,11.3,武蔵境,内幸町,1,56
JR中央線,11.0,東小金井,内幸町,1,59
JR中央線,9.7,武蔵小金井,内幸町,1,62
JR中央線,9.5,国分寺,内幸町,1,65
JR中央線,9.8,西国分寺,内幸町,1,68
JR中央線,9.3,国立,内幸町,1,70
JR中央線,8.8,立川,内幸町,1,74
JR中央線,8.0,日野,内幸町,1,79
JR中央線,8.1,豊田,内幸町,1,82
JR中央線,8.1,八王子,内幸町,1,87
JR中央線,7.6,西八王子,内幸町,1,91
JR中央線,6.0,高尾,内幸町,1,94
JR久留里線,6.5,木更津,内幸町,0,95
JR久留里線,6.1,上総清川,内幸町,1,114
JR久留里線,5.3,東清川,内幸町,1,117
JR久留里線,4.7,横田,内幸町,1,122
JR久留里線,4.7,東横田,内幸町,1,127
JR久留里線,4.7,馬来田,内幸町,1,132
JR久留里線,4.7,下郡,内幸町,1,136
JR久留里線,4.7,小櫃,内幸町,1,140
JR久留里線,4.7,俵田,内幸町,1,144
JR久留里線,4.7,久留里,内幸町,1,149
JR久留里線,4.7,平山,内幸町,1,104
JR久留里線,4.7,上総松丘,内幸町,1,160
JR五日市線,6.0,拝島,内幸町,1,88
JR五日市線,5.9,熊川,内幸町,2,94
JR五日市線,5.3,東秋留,内幸町,2,96
JR五日市線,5.6,秋川,内幸町,2,102
JR五日市線,5.5,武蔵引田,内幸町,2,104
JR五日市線,6.1,武蔵増戸,内幸町,2,106
JR五日市線,4.5,武蔵五日市,内幸町,2,111
JR京浜東北線,11.0,さいたま新都心,内幸町,0,46
JR京浜東北線,9.1,与野,内幸町,0,64
JR京浜東北線,9.8,北浦和,内幸町,0,61
JR京浜東北線,10.3,浦和,内幸町,0,41
JR京浜東北線,8.3,南浦和,内幸町,0,56
JR京浜東北線,8.1,蕨,内幸町,0,52
JR京浜東北線,8.2,西川口,内幸町,0,49
JR京浜東北線,8.3,川口,内幸町,0,46
JR京浜東北線,12.0,赤羽,内幸町,0,32
JR京浜東北線,11.2,東十条,内幸町,0,40
JR京浜東北線,10.9,王子,内幸町,0,37
