line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,国会議事堂前,1,34
JR中央・総武線各駅停車,12.0,吉祥寺,国会議事堂前,1,31
JR中央・総武線各駅停車,12.5,西荻窪,国会議事堂前,1,29
JR中央・総武線各駅停車,12.5,荻窪,国会議事堂前,0,30
JR中央・総武線各駅停車,13.0,阿佐ケ谷,国会議事堂前,1,24
JR中央・総武線各駅停車,13.0,高円寺,国会議事堂前,1,22
JR中央・総武線各駅停車,13.5,中野,国会議事堂前,1,19
JR中央・総武線各駅停車,13.8,東中野,国会議事堂前,1,21
JR中央・総武線各駅停車,15.5,大久保,国会議事堂前,1,19
JR中央・総武線各駅停車,18.9,新宿,国会議事堂前,0,17
JR中央・総武線各駅停車,18.5,代々木,国会議事堂前,1,14
JR中央・総武線各駅停車,19.2,千駄ケ谷,国会議事堂前,1,12
JR中央・総武線各駅停車,17.8,信濃町,国会議事堂前,1,11
JR中央・総武線各駅停車,18.4,四ツ谷,国会議事堂前,0,4
JR中央・総武線各駅停車,18.9,市ケ谷,国会議事堂前,0,12
JR中央・総武線各駅停車,17.5,飯田橋,国会議事堂前,0,15
JR中央・総武線各駅停車,17.5,水道橋,国会議事堂前,1,15
JR中央・総武線各駅停車,17.9,御茶ノ水,国会議事堂前,0,13
JR中央・総武線各駅停車,17.0,秋葉原,国会議事堂前,1,17
JR中央・総武線各駅停車,16.2,浅草橋,国会議事堂前,1,22
JR中央・総武線各駅停車,14.8,両国,国会議事堂前,1,24
JR中央・総武線各駅停車,14.2,錦糸町,国会議事堂前,1,23
JR中央・総武線各駅停車,11.4,亀戸,国会議事堂前,1,30
JR中央・総武線各駅停車,9.7,平井,国会議事堂前,1,33
JR中央・総武線各駅停車,8.7,新小岩,国会議事堂前,1,28
JR中央・総武線各駅停車,8.5,小岩,国会議事堂前,1,39
JR中央・総武線各駅停車,9.3,市川,国会議事堂前,1,33
JR中央・総武線各駅停車,8.5,下総中山,国会議事堂前,1,48
JR中央・総武線各駅停車,9.7,西船橋,国会議事堂前,1,51
JR中央・総武線各駅停車,9.1,船橋,国会議事堂前,1,39
JR中央・総武線各駅停車,9.2,東船橋,国会議事堂前,1,58
JR中央・総武線各駅停車,8.7,津田沼,国会議事堂前,1,44
JR中央・総武線各駅停車,7.8,幕張本郷,国会議事堂前,1,64
JR中央・総武線各駅停車,7.9,幕張,国会議事堂前,1,67
JR中央・総武線各駅停車,6.6,新検見川,国会議事堂前,1,70
JR中央・総武線各駅停車,6.8,稲毛,国会議事堂前,1,51
JR中央・総武線各駅停車,6.0,西千葉,国会議事堂前,1,76
JR中央・総武線各駅停車,8.1,千葉,国会議事堂前,1,57
JR中央線,18.8,東京,国会議事堂前,0,6
JR中央線,17.7,神田,国会議事堂前,0,23
JR中央線,17.9,御茶ノ水,国会議事堂前,0,13
JR中央線,18.4,四ツ谷,国会議事堂前,0,4
JR中央線,18.9,新宿,国会議事堂前,0,17
JR中央線,13.5,中野,国会議事堂前,1,19
JR中央線,13.0,高円寺,国会議事堂前,1,22
JR中央線,13.0,阿佐ケ谷,国会議事堂前,1,24
JR中央線,12.5,荻窪,国会議事堂前,0,30
JR中央線,12.5,西荻窪,国会議事堂前,1,29
JR中央線,12.0,吉祥寺,国会議事堂前,1,31
JR中央線,11.5,三鷹,国会議事堂前,1,34
JR中央線,11.3,武蔵境,国会議事堂前,1,37
JR中央線,11.0,東小金井,国会議事堂前,1,39
JR中央線,9.7,武蔵小金井,国会議事堂前,1,42
JR中央線,9.5,国分寺,国会議事堂前,1,45
JR中央線,9.8,西国分寺,国会議事堂前,1,48
JR中央線,9.3,国立,国会議事堂前,1,51
JR中央線,8.8,立川,国会議事堂前,1,54
JR中央線,8.0,日野,国会議事堂前,1,59
JR中央線,8.1,豊田,国会議事堂前,1,61
JR中央線,8.1,八王子,国会議事堂前,1,66
JR中央線,7.6,西八王子,国会議事堂前,1,70
JR中央線,6.0,高尾,国会議事堂前,1,73
JR久留里線,6.5,木更津,国会議事堂前,1,95
JR久留里線,6.1,上総清川,国会議事堂前,2,100
JR久留里線,5.3,東清川,国会議事堂前,2,103
JR久留里線,4.7,横田,国会議事堂前,2,108
JR久留里線,4.7,東横田,国会議事堂前,2,113
JR久留里線,4.7,馬来田,国会議事堂前,2,118
JR久留里線,4.7,下郡,国会議事堂前,2,122
JR久留里線,4.7,小櫃,国会議事堂前,2,126
JR久留里線,4.7,俵田,国会議事堂前,2,130
JR久留里線,4.7,久留里,国会議事堂前,2,135
JR久留里線,4.7,平山,国会議事堂前,1,81
JR久留里線,4.7,上総松丘,国会議事堂前,2,146
JR五日市線,6.0,拝島,国会議事堂前,1,68
JR五日市線,5.9,熊川,国会議事堂前,2,74
JR五日市線,5.3,東秋留,国会議事堂前,2,77
JR五日市線,5.6,秋川,国会議事堂前,2,86
JR五日市線,5.5,武蔵引田,国会議事堂前,2,88
JR五日市線,6.1,武蔵増戸,国会議事堂前,2,90
JR五日市線,4.5,武蔵五日市,国会議事堂前,2,94
JR京浜東北線,11.0,さいたま新都心,国会議事堂前,1,47
JR京浜東北線,9.1,与野,国会議事堂前,1,60
JR京浜東北線,9.8,北浦和,国会議事堂前,1,58
JR京浜東北線,10.3,浦和,国会議事堂前,1,42
JR京浜東北線,8.3,南浦和,国会議事堂前,1,51
JR京浜東北線,8.1,蕨,国会議事堂前,1,46
JR京浜東北線,8.2,西川口,国会議事堂前,1,44
JR京浜東北線,8.3,川口,国会議事堂前,1,41
JR京浜東北線,12.0,赤羽,国会議事堂前,0,53
JR京浜東北線,11.2,東十条,国会議事堂前,1,35
JR京浜東北線,10.9,王子,国会議事堂前,0,30
JR京浜東北線,12.0,上中里,国会議事堂前,0,39
JR京浜東北線,11.4,田端,国会議事堂前,1,25
JR京浜東北線,12.0,西日暮里,国会議事堂前,0,20
JR京浜東北線,12.6,日暮里,国会議事堂前,1,26
JR京浜東北線,13.4,鶯谷,国会議事堂前,1,24
