line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,大塚,1,36
JR中央・総武線各駅停車,12.0,吉祥寺,大塚,1,33
JR中央・総武線各駅停車,12.5,西荻窪,大塚,1,30
JR中央・総武線各駅停車,12.5,荻窪,大塚,1,28
JR中央・総武線各駅停車,13.0,阿佐ケ谷,大塚,1,25
JR中央・総武線各駅停車,13.0,高円寺,大塚,1,23
JR中央・総武線各駅停車,13.5,中野,大塚,1,19
JR中央・総武線各駅停車,13.8,東中野,大塚,1,19
JR中央・総武線各駅停車,15.5,大久保,大塚,1,17
JR中央・総武線各駅停車,18.9,新宿,大塚,0,11
JR中央・総武線各駅停車,18.5,代々木,大塚,0,14
JR中央・総武線各駅停車,19.2,千駄ケ谷,大塚,1,16
JR中央・総武線各駅停車,17.8,信濃町,大塚,1,17
JR中央・総武線各駅停車,18.4,四ツ谷,大塚,1,18
JR中央・総武線各駅停車,18.9,市ケ谷,大塚,1,20
JR中央・総武線各駅停車,17.5,飯田橋,大塚,1,18
JR中央・総武線各駅停車,17.5,水道橋,大塚,1,14
JR中央・総武線各駅停車,17.9,御茶ノ水,大塚,1,20
JR中央・総武線各駅停車,17.0,秋葉原,大塚,0,17
JR中央・総武線各駅停車,16.2,浅草橋,大塚,1,22
JR中央・総武線各駅停車,14.8,両国,大塚,1,25
JR中央・総武線各駅停車,14.2,錦糸町,大塚,1,28
JR中央・総武線各駅停車,11.4,亀戸,大塚,1,30
JR中央・総武線各駅停車,9.7,平井,大塚,1,33
JR中央・総武線各駅停車,8.7,新小岩,大塚,1,36
JR中央・総武線各駅停車,8.5,小岩,大塚,1,40
JR中央・総武線各駅停車,9.3,市川,大塚,1,43
JR中央・総武線各駅停車,8.5,下総中山,大塚,1,49
JR中央・総武線各駅停車,9.7,西船橋,大塚,1,52
JR中央・総武線各駅停車,9.1,船橋,大塚,1,55
JR中央・総武線各駅停車,9.2,東船橋,大塚,1,57
JR中央・総武線各駅停車,8.7,津田沼,大塚,1,60
JR中央・総武線各駅停車,7.8,幕張本郷,大塚,1,64
JR中央・総武線各駅停車,7.9,幕張,大塚,1,67
JR中央・総武線各駅停車,6.6,新検見川,大塚,1,70
JR中央・総武線各駅停車,6.8,稲毛,大塚,1,70
JR中央・総武線各駅停車,6.0,西千葉,大塚,1,77
JR中央・総武線各駅停車,8.1,千葉,大塚,1,74
JR中央線,18.8,東京,大塚,0,21
JR中央線,17.7,神田,大塚,0,19
JR中央線,17.9,御茶ノ水,大塚,1,20
JR中央線,18.4,四ツ谷,大塚,1,18
JR中央線,18.9,新宿,大塚,0,11
JR中央線,13.5,中野,大塚,1,19
JR中央線,13.0,高円寺,大塚,1,23
JR中央線,13.0,阿佐ケ谷,大塚,1,25
JR中央線,12.5,荻窪,大塚,1,28
JR中央線,12.5,西荻窪,大塚,1,30
JR中央線,12.0,吉祥寺,大塚,1,33
JR中央線,11.5,三鷹,大塚,1,36
JR中央線,11.3,武蔵境,大塚,1,39
JR中央線,11.0,東小金井,大塚,1,41
JR中央線,9.7,武蔵小金井,大塚,1,44
JR中央線,9.5,国分寺,大塚,1,47
JR中央線,9.8,西国分寺,大塚,1,50
JR中央線,9.3,国立,大塚,1,53
JR中央線,8.8,立川,大塚,1,48
JR中央線,8.0,日野,大塚,1,60
JR中央線,8.1,豊田,大塚,1,63
JR中央線,8.1,八王子,大塚,1,57
JR中央線,7.6,西八王子,大塚,1,74
JR中央線,6.0,高尾,大塚,1,77
JR久留里線,6.5,木更津,大塚,1,105
JR久留里線,6.1,上総清川,大塚,2,115
JR久留里線,5.3,東清川,大塚,2,118
JR久留里線,4.7,横田,大塚,2,123
JR久留里線,4.7,東横田,大塚,2,128
JR久留里線,4.7,馬来田,大塚,2,133
JR久留里線,4.7,下郡,大塚,2,137
JR久留里線,4.7,小櫃,大塚,2,141
JR久留里線,4.7,俵田,大塚,2,145
JR久留里線,4.7,久留里,大塚,2,150
JR久留里線,4.7,平山,大塚,1,76
JR久留里線,4.7,上総松丘,大塚,2,161
JR五日市線,6.0,拝島,大塚,1,59
JR五日市線,5.9,熊川,大塚,2,71
JR五日市線,5.3,東秋留,大塚,2,73
JR五日市線,5.6,秋川,大塚,2,79
JR五日市線,5.5,武蔵引田,大塚,2,81
JR五日市線,6.1,武蔵増戸,大塚,2,83
JR五日市線,4.5,武蔵五日市,大塚,2,88
JR京浜東北線,11.0,さいたま新都心,大塚,1,46
JR京浜東北線,9.1,与野,大塚,1,41
JR京浜東北線,9.8,北浦和,大塚,1,39
JR京浜東北線,10.3,浦和,大塚,1,32
JR京浜東北線,8.3,南浦和,大塚,1,33
JR京浜東北線,8.1,蕨,大塚,1,29
JR京浜東北線,8.2,西川口,大塚,1,26
JR京浜東北線,8.3,川口,大塚,1,23
JR京浜東北線,12.0,赤羽,大塚,1,17
JR京浜東北線,11.2,東十条,大塚,1,17
JR京浜東北線,10.9,王子,大塚,0,20
JR京浜東北線,12.0,上中里,大塚,1,12
JR京浜東北線,11.4,田端,大塚,0,6
JR京浜東北線,12.0,西日暮里,大塚,0,8
JR京浜東北線,12.6,日暮里,大塚,0,10
JR京浜東北線,13.4,鶯谷,大塚,0,12
JR京浜東北線,15.5,上野,大塚,0,14
JR京浜東北線,16.0,御徒町,大塚,0,16
JR京浜東北線,17.0,秋葉原,大塚,0,17
JR京浜東北線,17.7,神田,大塚,0,19
JR京浜東北線,18.8,東京,大塚,0,21
JR京浜東北線,18.7,有楽町,大塚,0,24
JR京浜東北線,22.7,新橋,大塚,0,26
JR京浜東北線,22.4,浜松町,大塚,0,28
JR京浜東北線,19.0,田町,大塚,0,30
JR京浜東北線,19.4,高輪ゲートウェイ,大塚,0,33
JR京浜東北線,18.2,品川,大塚,0,32
JR京浜東北線,14.5,大井町,大塚,1,28
JR京浜東北線,12.7,大森,大塚,1,39
JR京浜東北線,12.0,蒲田,大塚,1,43
JR京浜東北線,10.0,川崎,大塚,1,45
JR京浜東北線,9.7,鶴見,大塚,1,52
JR京浜東北線,10.2,新子安,大塚,1,59
JR京浜東北線,11.5,東神奈川,大塚,1,62
JR京浜東北線,12.2,横浜,大塚,1,47
JR京浜東北線,12.2,桜木町,大塚,1,68
JR京浜東北線,12.3,関内,大塚,1,70
JR京浜東北線,11.2,石川町,大塚,1,72
JR京浜東北線,9.2,山手,大塚,1,74
JR京浜東北線,9.0,根岸,大塚,1,77
JR京浜東北線,8.7,磯子,大塚,1,80
JR京浜東北線,9.5,新杉田,大塚,1,84
JR京浜東北線,7.9,洋光台,大塚,1,87
JR京浜東北線,7.6,港南台,大塚,1,90
JR京浜東北線,7.5,本郷台,大塚,1,93
JR京浜東北線,8.5,大船,大塚,1,66
JR京葉線,18.8,東京,大塚,0,21
JR京葉線,17.9,八丁堀,大塚,1,33
JR京葉線,15.7,越中島,大塚,1,39
JR京葉線,12.2,潮見,大塚,1,42
JR京葉線,12.4,新木場,大塚,1,44
JR京葉線,8.5,葛西臨海公園,大塚,1,48
JR京葉線,9.0,舞浜,大塚,1,54
JR京葉線,9.4,新浦安,大塚,1,57
JR京葉線,9.0,市川塩浜,大塚,1,61
JR京葉線,8.3,二俣新町,大塚,1,65
JR京葉線,8.3,南船橋,大塚,1,68
JR京葉線,7.0,新習志野,大塚,1,71
JR京葉線,8.1,海浜幕張,大塚,1,76
JR京葉線,6.6,検見川浜,大塚,1,79
JR京葉線,6.9,稲毛海岸,大塚,1,81
JR京葉線,9.2,千葉みなと,大塚,1,85
JR京葉線,7.5,蘇我,大塚,1,78
JR八高線,8.1,八王子,大塚,1,57
JR八高線,7.2,北八王子,大塚,2,67
JR八高線,6.2,小宮,大塚,2,73
JR八高線,6.0,拝島,大塚,1,59
JR八高線,5.8,東福生,大塚,2,79
JR八高線,5.3,箱根ケ崎,大塚,2,83
JR八高線,4.5,金子,大塚,2,78
JR八高線,5.5,東飯能,大塚,2,69
JR八高線,5.2,高麗川,大塚,2,64
JR八高線,3.4,毛呂,大塚,3,80
JR八高線,4.7,越生,大塚,2,72
JR八高線,4.0,明覚,大塚,2,108
JR八高線,4.0,小川町,大塚,1,26
JR八高線,3.6,竹沢,大塚,2,107
JR八高線,4.7,折原,大塚,2,112
JR八高線,4.8,寄居,大塚,2,105
JR八高線,4.7,用土,大塚,2,117
JR八高線,4.0,児玉,大塚,2,108
JR八高線,3.7,丹荘,大塚,2,103
JR八高線,3.0,群馬藤岡,大塚,2,94
JR八高線,4.3,北藤岡,大塚,2,89
JR八高線,6.0,倉賀野,大塚,1,132
JR八高線,6.4,高崎,大塚,1,69
JR内房線,8.1,千葉,大塚,1,74
JR内房線,7.5,本千葉,大塚,1,80
JR内房線,7.5,蘇我,大塚,1,78
JR内房線,7.0,浜野,大塚,1,91
JR内房線,6.1,八幡宿,大塚,1,93
JR内房線,5.6,五井,大塚,1,88
JR内房線,5.9,姉ケ崎,大塚,1,94
JR内房線,6.8,袖ケ浦,大塚,1,111
JR内房線,5.3,巌根,大塚,1,114
JR内房線,6.5,木更津,大塚,1,105
JR内房線,4.6,君津,大塚,1,125
JR内房線,4.9,青堀,大塚,2,120
JR内房線,4.7,大貫,大塚,2,125
JR内房線,4.7,佐貫町,大塚,2,129
JR内房線,4.7,上総湊,大塚,2,134
JR内房線,4.7,竹岡,大塚,2,140
JR内房線,4.7,浜金谷,大塚,2,145
JR内房線,11.2,安房勝山,大塚,2,153
JR内房線,4.7,岩井,大塚,2,156
JR内房線,4.7,富浦,大塚,3,454
JR内房線,5.7,那古船形,大塚,2,165
JR内房線,6.2,館山,大塚,2,170
JR内房線,4.7,九重,大塚,2,176
JR内房線,5.3,千倉,大塚,2,182
JR内房線,5.3,江見,大塚,3,459
JR内房線,4.7,太海,大塚,3,465
JR南武線,8.8,立川,大塚,1,48
JR南武線,9.2,西国立,大塚,2,53
JR南武線,8.4,矢川,大塚,2,55
JR南武線,8.3,谷保,大塚,2,58
JR南武線,8.0,西府,大塚,2,59
JR南武線,8.9,分倍河原,大塚,1,54
JR南武線,9.8,府中本町,大塚,1,148
JR南武線,8.5,南多摩,大塚,2,59
JR南武線,8.2,稲城長沼,大塚,2,54
JR南武線,8.3,矢野口,大塚,2,52
JR南武線,8.7,稲田堤,大塚,1,61
JR南武線,8.5,中野島,大塚,2,47
JR南武線,10.4,登戸,大塚,1,37
JR南武線,9.8,宿河原,大塚,2,48
JR南武線,9.5,久地,大塚,2,50
JR南武線,10.2,津田山,大塚,2,52
JR南武線,11.2,武蔵溝ノ口,大塚,1,51
