line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,大手町,0,39
JR中央・総武線各駅停車,12.0,吉祥寺,大手町,0,36
JR中央・総武線各駅停車,12.5,西荻窪,大手町,0,33
JR中央・総武線各駅停車,12.5,荻窪,大手町,0,37
JR中央・総武線各駅停車,13.0,阿佐ケ谷,大手町,0,28
JR中央・総武線各駅停車,13.0,高円寺,大手町,0,26
JR中央・総武線各駅停車,13.5,中野,大手町,0,23
JR中央・総武線各駅停車,13.8,東中野,大手町,1,30
JR中央・総武線各駅停車,15.5,大久保,大手町,1,27
JR中央・総武線各駅停車,18.9,新宿,大手町,0,26
JR中央・総武線各駅停車,18.5,代々木,大手町,0,47
JR中央・総武線各駅停車,19.2,千駄ケ谷,大手町,1,21
JR中央・総武線各駅停車,17.8,信濃町,大手町,1,19
JR中央・総武線各駅停車,18.4,四ツ谷,大手町,0,13
JR中央・総武線各駅停車,18.9,市ケ谷,大手町,1,9
JR中央・総武線各駅停車,17.5,飯田橋,大手町,0,6
JR中央・総武線各駅停車,17.5,水道橋,大手町,0,4
JR中央・総武線各駅停車,17.9,御茶ノ水,大手町,0,4
JR中央・総武線各駅停車,17.0,秋葉原,大手町,0,19
JR中央・総武線各駅停車,16.2,浅草橋,大手町,1,12
JR中央・総武線各駅停車,14.8,両国,大手町,1,17
JR中央・総武線各駅停車,14.2,錦糸町,大手町,0,13
JR中央・総武線各駅停車,11.4,亀戸,大手町,1,22
JR中央・総武線各駅停車,9.7,平井,大手町,1,26
JR中央・総武線各駅停車,8.7,新小岩,大手町,0,29
JR中央・総武線各駅停車,8.5,小岩,大手町,1,32
JR中央・総武線各駅停車,9.3,市川,大手町,0,35
JR中央・総武線各駅停車,8.5,下総中山,大手町,1,41
JR中央・総武線各駅停車,9.7,西船橋,大手町,0,36
JR中央・総武線各駅停車,9.1,船橋,大手町,0,41
JR中央・総武線各駅停車,9.2,東船橋,大手町,0,44
JR中央・総武線各駅停車,8.7,津田沼,大手町,0,45
JR中央・総武線各駅停車,7.8,幕張本郷,大手町,1,53
JR中央・総武線各駅停車,7.9,幕張,大手町,1,55
JR中央・総武線各駅停車,6.6,新検見川,大手町,1,58
JR中央・総武線各駅停車,6.8,稲毛,大手町,0,53
JR中央・総武線各駅停車,6.0,西千葉,大手町,1,57
JR中央・総武線各駅停車,8.1,千葉,大手町,0,57
