line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,宝町,1,49
JR中央・総武線各駅停車,12.0,吉祥寺,宝町,1,46
JR中央・総武線各駅停車,12.5,西荻窪,宝町,1,43
JR中央・総武線各駅停車,12.5,荻窪,宝町,1,41
JR中央・総武線各駅停車,13.0,阿佐ケ谷,宝町,1,38
JR中央・総武線各駅停車,13.0,高円寺,宝町,1,36
JR中央・総武線各駅停車,13.5,中野,宝町,1,32
JR中央・総武線各駅停車,13.8,東中野,宝町,1,38
JR中央・総武線各駅停車,15.5,大久保,宝町,1,38
JR中央・総武線各駅停車,18.9,新宿,宝町,1,28
JR中央・総武線各駅停車,18.5,代々木,宝町,1,26
JR中央・総武線各駅停車,19.2,千駄ケ谷,宝町,1,29
JR中央・総武線各駅停車,17.8,信濃町,宝町,1,30
JR中央・総武線各駅停車,18.4,四ツ谷,宝町,1,26
JR中央・総武線各駅停車,18.9,市ケ谷,宝町,1,22
JR中央・総武線各駅停車,17.5,飯田橋,宝町,1,16
JR中央・総武線各駅停車,17.5,水道橋,宝町,1,20
JR中央・総武線各駅停車,17.9,御茶ノ水,宝町,1,17
JR中央・総武線各駅停車,17.0,秋葉原,宝町,1,9
JR中央・総武線各駅停車,16.2,浅草橋,宝町,0,7
JR中央・総武線各駅停車,14.8,両国,宝町,1,15
JR中央・総武線各駅停車,14.2,錦糸町,宝町,1,18
JR中央・総武線各駅停車,11.4,亀戸,宝町,1,20
JR中央・総武線各駅停車,9.7,平井,宝町,1,24
JR中央・総武線各駅停車,8.7,新小岩,宝町,1,26
JR中央・総武線各駅停車,8.5,小岩,宝町,1,30
JR中央・総武線各駅停車,9.3,市川,宝町,1,32
JR中央・総武線各駅停車,8.5,下総中山,宝町,1,39
JR中央・総武線各駅停車,9.7,西船橋,宝町,1,41
JR中央・総武線各駅停車,9.1,船橋,宝町,0,49
JR中央・総武線各駅停車,9.2,東船橋,宝町,1,48
JR中央・総武線各駅停車,8.7,津田沼,宝町,1,43
JR中央・総武線各駅停車,7.8,幕張本郷,宝町,1,58
JR中央・総武線各駅停車,7.9,幕張,宝町,1,57
JR中央・総武線各駅停車,6.6,新検見川,宝町,1,60
JR中央・総武線各駅停車,6.8,稲毛,宝町,1,51
JR中央・総武線各駅停車,6.0,西千葉,宝町,1,65
JR中央・総武線各駅停車,8.1,千葉,宝町,1,55
JR中央線,18.8,東京,宝町,1,13
JR中央線,17.7,神田,宝町,1,10
JR中央線,17.9,御茶ノ水,宝町,1,17
JR中央線,18.4,四ツ谷,宝町,1,26
JR中央線,18.9,新宿,宝町,1,28
JR中央線,13.5,中野,宝町,1,32
JR中央線,13.0,高円寺,宝町,1,36
JR中央線,13.0,阿佐ケ谷,宝町,1,38
JR中央線,12.5,荻窪,宝町,1,41
JR中央線,12.5,西荻窪,宝町,1,43
JR中央線,12.0,吉祥寺,宝町,1,46
JR中央線,11.5,三鷹,宝町,1,49
JR中央線,11.3,武蔵境,宝町,2,50
JR中央線,11.0,東小金井,宝町,2,52
JR中央線,9.7,武蔵小金井,宝町,2,55
JR中央線,9.5,国分寺,宝町,2,58
JR中央線,9.8,西国分寺,宝町,2,61
JR中央線,9.3,国立,宝町,2,63
JR中央線,8.8,立川,宝町,1,108
JR中央線,8.0,日野,宝町,2,71
JR中央線,8.1,豊田,宝町,2,74
JR中央線,8.1,八王子,宝町,2,80
JR中央線,7.6,西八王子,宝町,2,83
JR中央線,6.0,高尾,宝町,1,136
JR久留里線,6.5,木更津,宝町,1,93
JR久留里線,6.1,上総清川,宝町,2,109
JR久留里線,5.3,東清川,宝町,2,112
JR久留里線,4.7,横田,宝町,2,117
JR久留里線,4.7,東横田,宝町,2,122
JR久留里線,4.7,馬来田,宝町,2,127
JR久留里線,4.7,下郡,宝町,2,131
JR久留里線,4.7,小櫃,宝町,2,135
JR久留里線,4.7,俵田,宝町,2,139
JR久留里線,4.7,久留里,宝町,2,144
JR久留里線,4.7,平山,宝町,2,90
JR久留里線,4.7,上総松丘,宝町,2,155
JR五日市線,6.0,拝島,宝町,2,81
JR五日市線,5.9,熊川,宝町,3,88
JR五日市線,5.3,東秋留,宝町,3,90
JR五日市線,5.6,秋川,宝町,3,96
JR五日市線,5.5,武蔵引田,宝町,3,98
JR五日市線,6.1,武蔵増戸,宝町,3,100
JR五日市線,4.5,武蔵五日市,宝町,3,105
JR京浜東北線,11.0,さいたま新都心,宝町,1,45
JR京浜東北線,9.1,与野,宝町,1,64
JR京浜東北線,9.8,北浦和,宝町,1,61
JR京浜東北線,10.3,浦和,宝町,1,40
JR京浜東北線,8.3,南浦和,宝町,1,56
JR京浜東北線,8.1,蕨,宝町,1,52
JR京浜東北線,8.2,西川口,宝町,1,49
