line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,新橋,1,42
JR中央・総武線各駅停車,12.0,吉祥寺,新橋,1,39
JR中央・総武線各駅停車,12.5,西荻窪,新橋,1,37
JR中央・総武線各駅停車,12.5,荻窪,新橋,1,33
JR中央・総武線各駅停車,13.0,阿佐ケ谷,新橋,1,32
JR中央・総武線各駅停車,13.0,高円寺,新橋,1,30
JR中央・総武線各駅停車,13.5,中野,新橋,1,27
JR中央・総武線各駅停車,13.8,東中野,新橋,0,40
JR中央・総武線各駅停車,15.5,大久保,新橋,1,37
JR中央・総武線各駅停車,18.9,新宿,新橋,0,30
JR中央・総武線各駅停車,18.5,代々木,新橋,0,28
JR中央・総武線各駅停車,19.2,千駄ケ谷,新橋,0,31
JR中央・総武線各駅停車,17.8,信濃町,新橋,1,26
JR中央・総武線各駅停車,18.4,四ツ谷,新橋,1,9
JR中央・総武線各駅停車,18.9,市ケ谷,新橋,1,13
JR中央・総武線各駅停車,17.5,飯田橋,新橋,1,16
JR中央・総武線各駅停車,17.5,水道橋,新橋,0,17
JR中央・総武線各駅停車,17.9,御茶ノ水,新橋,1,12
JR中央・総武線各駅停車,17.0,秋葉原,新橋,0,9
JR中央・総武線各駅停車,16.2,浅草橋,新橋,0,11
JR中央・総武線各駅停車,14.8,両国,新橋,1,17
JR中央・総武線各駅停車,14.2,錦糸町,新橋,0,12
JR中央・総武線各駅停車,11.4,亀戸,新橋,1,17
JR中央・総武線各駅停車,9.7,平井,新橋,1,20
JR中央・総武線各駅停車,8.7,新小岩,新橋,0,18
JR中央・総武線各駅停車,8.5,小岩,新橋,1,24
JR中央・総武線各駅停車,9.3,市川,新橋,0,23
JR中央・総武線各駅停車,8.5,下総中山,新橋,1,33
JR中央・総武線各駅停車,9.7,西船橋,新橋,1,36
JR中央・総武線各駅停車,9.1,船橋,新橋,0,30
JR中央・総武線各駅停車,9.2,東船橋,新橋,1,37
JR中央・総武線各駅停車,8.7,津田沼,新橋,0,34
JR中央・総武線各駅停車,7.8,幕張本郷,新橋,1,42
JR中央・総武線各駅停車,7.9,幕張,新橋,1,45
JR中央・総武線各駅停車,6.6,新検見川,新橋,1,47
JR中央・総武線各駅停車,6.8,稲毛,新橋,0,41
JR中央・総武線各駅停車,6.0,西千葉,新橋,1,46
JR中央・総武線各駅停車,8.1,千葉,新橋,0,46
JR中央線,18.8,東京,新橋,0,2
JR中央線,17.7,神田,新橋,0,7
JR中央線,17.9,御茶ノ水,新橋,1,12
JR中央線,18.4,四ツ谷,新橋,1,9
JR中央線,18.9,新宿,新橋,0,30
JR中央線,13.5,中野,新橋,1,27
JR中央線,13.0,高円寺,新橋,1,30
JR中央線,13.0,阿佐ケ谷,新橋,1,32
JR中央線,12.5,荻窪,新橋,1,33
JR中央線,12.5,西荻窪,新橋,1,37
JR中央線,12.0,吉祥寺,新橋,1,39
JR中央線,11.5,三鷹,新橋,1,42
JR中央線,11.3,武蔵境,新橋,1,45
JR中央線,11.0,東小金井,新橋,1,48
JR中央線,9.7,武蔵小金井,新橋,1,50
JR中央線,9.5,国分寺,新橋,1,54
JR中央線,9.8,西国分寺,新橋,1,56
JR中央線,9.3,国立,新橋,1,59
JR中央線,8.8,立川,新橋,1,63
JR中央線,8.0,日野,新橋,1,67
JR中央線,8.1,豊田,新橋,1,69
JR中央線,8.1,八王子,新橋,1,74
JR中央線,7.6,西八王子,新橋,1,78
JR中央線,6.0,高尾,新橋,1,81
JR久留里線,6.5,木更津,新橋,0,84
JR久留里線,6.1,上総清川,新橋,1,103
JR久留里線,5.3,東清川,新橋,1,106
JR久留里線,4.7,横田,新橋,1,111
JR久留里線,4.7,東横田,新橋,1,116
JR久留里線,4.7,馬来田,新橋,1,121
JR久留里線,4.7,下郡,新橋,1,125
JR久留里線,4.7,小櫃,新橋,1,129
JR久留里線,4.7,俵田,新橋,1,133
JR久留里線,4.7,久留里,新橋,1,138
JR久留里線,4.7,平山,新橋,1,96
JR久留里線,4.7,上総松丘,新橋,1,149
JR五日市線,6.0,拝島,新橋,1,79
JR五日市線,5.9,熊川,新橋,2,83
JR五日市線,5.3,東秋留,新橋,2,85
JR五日市線,5.6,秋川,新橋,2,91
JR五日市線,5.5,武蔵引田,新橋,2,93
JR五日市線,6.1,武蔵増戸,新橋,2,95
JR五日市線,4.5,武蔵五日市,新橋,2,100
JR京浜東北線,11.0,さいたま新都心,新橋,0,35
JR京浜東北線,9.1,与野,新橋,0,53
JR京浜東北線,9.8,北浦和,新橋,0,50
JR京浜東北線,10.3,浦和,新橋,0,30
JR京浜東北線,8.3,南浦和,新橋,0,45
JR京浜東北線,8.1,蕨,新橋,0,41
JR京浜東北線,8.2,西川口,新橋,0,38
JR京浜東北線,8.3,川口,新橋,0,35
JR京浜東北線,12.0,赤羽,新橋,0,22
JR京浜東北線,11.2,東十条,新橋,0,29
JR京浜東北線,10.9,王子,新橋,0,26
JR京浜東北線,12.0,上中里,新橋,0,24
JR京浜東北線,11.4,田端,新橋,0,20
JR京浜東北線,12.0,西日暮里,新橋,0,19
JR京浜東北線,12.6,日暮里,新橋,0,13
JR京浜東北線,13.4,鶯谷,新橋,0,15
JR京浜東北線,15.5,上野,新橋,0,9
JR京浜東北線,16.0,御徒町,新橋,0,11
JR京浜東北線,17.0,秋葉原,新橋,0,9
JR京浜東北線,17.7,神田,新橋,0,7
JR京浜東北線,18.8,東京,新橋,0,2
JR京浜東北線,18.7,有楽町,新橋,0,2
JR京浜東北線,22.4,浜松町,新橋,0,2
JR京浜東北線,19.0,田町,新橋,0,5
JR京浜東北線,19.4,高輪ゲートウェイ,新橋,0,7
JR京浜東北線,18.2,品川,新橋,0,4
