line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,日本橋,3,226
JR中央・総武線各駅停車,12.0,吉祥寺,日本橋,3,223
JR中央・総武線各駅停車,12.5,西荻窪,日本橋,3,221
JR中央・総武線各駅停車,12.5,荻窪,日本橋,3,219
JR中央・総武線各駅停車,13.0,阿佐ケ谷,日本橋,3,217
JR中央・総武線各駅停車,13.0,高円寺,日本橋,3,215
JR中央・総武線各駅停車,13.5,中野,日本橋,3,212
JR中央・総武線各駅停車,13.8,東中野,日本橋,4,210
JR中央・総武線各駅停車,15.5,大久保,日本橋,4,208
JR中央・総武線各駅停車,18.9,新宿,日本橋,3,201
JR中央・総武線各駅停車,18.5,代々木,日本橋,3,199
JR中央・総武線各駅停車,19.2,千駄ケ谷,日本橋,4,213
JR中央・総武線各駅停車,17.8,信濃町,日本橋,4,212
JR中央・総武線各駅停車,18.4,四ツ谷,日本橋,3,204
JR中央・総武線各駅停車,18.9,市ケ谷,日本橋,3,215
JR中央・総武線各駅停車,17.5,飯田橋,日本橋,3,217
JR中央・総武線各駅停車,17.5,水道橋,日本橋,4,204
JR中央・総武線各駅停車,17.9,御茶ノ水,日本橋,3,199
JR中央・総武線各駅停車,17.0,秋葉原,日本橋,3,193
JR中央・総武線各駅停車,16.2,浅草橋,日本橋,3,209
JR中央・総武線各駅停車,14.8,両国,日本橋,4,205
JR中央・総武線各駅停車,14.2,錦糸町,日本橋,3,202
JR中央・総武線各駅停車,11.4,亀戸,日本橋,4,209
JR中央・総武線各駅停車,9.7,平井,日本橋,4,212
JR中央・総武線各駅停車,8.7,新小岩,日本橋,3,207
JR中央・総武線各駅停車,8.5,小岩,日本橋,4,218
JR中央・総武線各駅停車,9.3,市川,日本橋,3,212
JR中央・総武線各駅停車,8.5,下総中山,日本橋,4,225
JR中央・総武線各駅停車,9.7,西船橋,日本橋,3,238
JR中央・総武線各駅停車,9.1,船橋,日本橋,3,218
JR中央・総武線各駅停車,9.2,東船橋,日本橋,4,223
JR中央・総武線各駅停車,8.7,津田沼,日本橋,3,221
JR中央・総武線各駅停車,7.8,幕張本郷,日本橋,4,241
JR中央・総武線各駅停車,7.9,幕張,日本橋,4,243
JR中央・総武線各駅停車,6.6,新検見川,日本橋,4,246
JR中央・総武線各駅停車,6.8,稲毛,日本橋,3,228
JR中央・総武線各駅停車,6.0,西千葉,日本橋,4,251
JR中央・総武線各駅停車,8.1,千葉,日本橋,3,232
JR中央線,18.8,東京,日本橋,2,178
JR中央線,17.7,神田,日本橋,3,192
JR中央線,17.9,御茶ノ水,日本橋,3,199
JR中央線,18.4,四ツ谷,日本橋,3,204
JR中央線,18.9,新宿,日本橋,3,201
JR中央線,13.5,中野,日本橋,3,212
JR中央線,13.0,高円寺,日本橋,3,215
JR中央線,13.0,阿佐ケ谷,日本橋,3,217
JR中央線,12.5,荻窪,日本橋,3,219
JR中央線,12.5,西荻窪,日本橋,3,221
JR中央線,12.0,吉祥寺,日本橋,3,223
JR中央線,11.5,三鷹,日本橋,3,226
JR中央線,11.3,武蔵境,日本橋,3,228
JR中央線,11.0,東小金井,日本橋,3,231
JR中央線,9.7,武蔵小金井,日本橋,3,233
JR中央線,9.5,国分寺,日本橋,3,236
JR中央線,9.8,西国分寺,日本橋,3,238
JR中央線,9.3,国立,日本橋,3,240
JR中央線,8.8,立川,日本橋,3,243
JR中央線,8.0,日野,日本橋,3,246
JR中央線,8.1,豊田,日本橋,3,249
JR中央線,8.1,八王子,日本橋,3,215
JR中央線,7.6,西八王子,日本橋,3,268
JR中央線,6.0,高尾,日本橋,3,271
JR久留里線,6.5,木更津,日本橋,4,581
JR久留里線,6.1,上総清川,日本橋,5,634
JR久留里線,5.3,東清川,日本橋,5,638
JR久留里線,4.7,横田,日本橋,4,314
JR久留里線,4.7,東横田,日本橋,4,319
JR久留里線,4.7,馬来田,日本橋,4,324
JR久留里線,4.7,下郡,日本橋,4,328
JR久留里線,4.7,小櫃,日本橋,5,660
JR久留里線,4.7,俵田,日本橋,5,664
JR久留里線,4.7,久留里,日本橋,5,668
JR久留里線,4.7,平山,日本橋,4,244
JR久留里線,4.7,上総松丘,日本橋,5,788
JR五日市線,6.0,拝島,日本橋,4,525
JR五日市線,5.9,熊川,日本橋,5,533
JR五日市線,5.3,東秋留,日本橋,5,536
JR五日市線,5.6,秋川,日本橋,5,540
JR五日市線,5.5,武蔵引田,日本橋,5,542
JR五日市線,6.1,武蔵増戸,日本橋,5,544
JR五日市線,4.5,武蔵五日市,日本橋,5,549
JR京浜東北線,11.0,さいたま新都心,日本橋,3,247
JR京浜東北線,9.1,与野,日本橋,3,245
JR京浜東北線,9.8,北浦和,日本橋,3,243
JR京浜東北線,10.3,浦和,日本橋,3,240
JR京浜東北線,8.3,南浦和,日本橋,3,227
JR京浜東北線,8.1,蕨,日本橋,3,223
JR京浜東北線,8.2,西川口,日本橋,3,221
JR京浜東北線,8.3,川口,日本橋,3,218
JR京浜東北線,12.0,赤羽,日本橋,3,215
JR京浜東北線,11.2,東十条,日本橋,3,212
JR京浜東北線,10.9,王子,日本橋,3,209
JR京浜東北線,12.0,上中里,日本橋,3,208
JR京浜東北線,11.4,田端,日本橋,3,205
JR京浜東北線,12.0,西日暮里,日本橋,3,203
JR京浜東北線,12.6,日暮里,日本橋,3,201
JR京浜東北線,13.4,鶯谷,日本橋,3,199
JR京浜東北線,15.5,上野,日本橋,3,197
JR京浜東北線,16.0,御徒町,日本橋,3,196
JR京浜東北線,17.0,秋葉原,日本橋,3,193
JR京浜東北線,17.7,神田,日本橋,3,192
JR京浜東北線,18.8,東京,日本橋,2,178
JR京浜東北線,18.7,有楽町,日本橋,3,196
JR京浜東北線,22.7,新橋,日本橋,3,186
JR京浜東北線,22.4,浜松町,日本橋,3,187
JR京浜東北線,19.0,田町,日本橋,3,185
JR京浜東北線,19.4,高輪ゲートウェイ,日本橋,3,183
JR京浜東北線,18.2,品川,日本橋,2,169
JR京浜東北線,14.5,大井町,日本橋,3,184
JR京浜東北線,12.7,大森,日本橋,3,187
JR京浜東北線,12.0,蒲田,日本橋,3,191
JR京浜東北線,10.0,川崎,日本橋,3,195
JR京浜東北線,9.7,鶴見,日本橋,3,200
JR京浜東北線,10.2,新子安,日本橋,3,204
JR京浜東北線,11.5,東神奈川,日本橋,3,171
JR京浜東北線,12.2,横浜,日本橋,3,179
JR京浜東北線,12.2,桜木町,日本橋,3,183
JR京浜東北線,12.3,関内,日本橋,3,184
JR京浜東北線,11.2,石川町,日本橋,3,217
JR京浜東北線,9.2,山手,日本橋,3,219
JR京浜東北線,9.0,根岸,日本橋,3,222
JR京浜東北線,8.7,磯子,日本橋,3,225
JR京浜東北線,9.5,新杉田,日本橋,3,233
JR京浜東北線,7.9,洋光台,日本橋,3,237
JR京浜東北線,7.6,港南台,日本橋,3,239
JR京浜東北線,7.5,本郷台,日本橋,3,242
JR京浜東北線,8.5,大船,日本橋,3,215
