line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,桜田門,1,45
JR中央・総武線各駅停車,12.0,吉祥寺,桜田門,1,42
JR中央・総武線各駅停車,12.5,西荻窪,桜田門,1,39
JR中央・総武線各駅停車,12.5,荻窪,桜田門,1,36
JR中央・総武線各駅停車,13.0,阿佐ケ谷,桜田門,1,34
JR中央・総武線各駅停車,13.0,高円寺,桜田門,1,31
JR中央・総武線各駅停車,13.5,中野,桜田門,1,29
JR中央・総武線各駅停車,13.8,東中野,桜田門,1,26
JR中央・総武線各駅停車,15.5,大久保,桜田門,1,23
JR中央・総武線各駅停車,18.9,新宿,桜田門,1,16
JR中央・総武線各駅停車,18.5,代々木,桜田門,1,20
JR中央・総武線各駅停車,19.2,千駄ケ谷,桜田門,1,17
JR中央・総武線各駅停車,17.8,信濃町,桜田門,1,15
JR中央・総武線各駅停車,18.4,四ツ谷,桜田門,1,10
JR中央・総武線各駅停車,18.9,市ケ谷,桜田門,0,6
JR中央・総武線各駅停車,17.5,飯田橋,桜田門,0,9
JR中央・総武線各駅停車,17.5,水道橋,桜田門,1,14
JR中央・総武線各駅停車,17.9,御茶ノ水,桜田門,1,17
JR中央・総武線各駅停車,17.0,秋葉原,桜田門,1,16
JR中央・総武線各駅停車,16.2,浅草橋,桜田門,1,22
JR中央・総武線各駅停車,14.8,両国,桜田門,1,24
JR中央・総武線各駅停車,14.2,錦糸町,桜田門,1,27
JR中央・総武線各駅停車,11.4,亀戸,桜田門,1,29
JR中央・総武線各駅停車,9.7,平井,桜田門,1,32
JR中央・総武線各駅停車,8.7,新小岩,桜田門,1,36
JR中央・総武線各駅停車,8.5,小岩,桜田門,1,39
JR中央・総武線各駅停車,9.3,市川,桜田門,1,43
JR中央・総武線各駅停車,8.5,下総中山,桜田門,1,48
JR中央・総武線各駅停車,9.7,西船橋,桜田門,1,38
JR中央・総武線各駅停車,9.1,船橋,桜田門,1,54
JR中央・総武線各駅停車,9.2,東船橋,桜田門,1,56
JR中央・総武線各駅停車,8.7,津田沼,桜田門,1,59
JR中央・総武線各駅停車,7.8,幕張本郷,桜田門,1,63
JR中央・総武線各駅停車,7.9,幕張,桜田門,1,66
JR中央・総武線各駅停車,6.6,新検見川,桜田門,1,69
JR中央・総武線各駅停車,6.8,稲毛,桜田門,2,59
JR中央・総武線各駅停車,6.0,西千葉,桜田門,2,65
