line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,溜池山王,1,37
JR中央・総武線各駅停車,12.0,吉祥寺,溜池山王,1,34
JR中央・総武線各駅停車,12.5,西荻窪,溜池山王,1,32
JR中央・総武線各駅停車,12.5,荻窪,溜池山王,1,31
JR中央・総武線各駅停車,13.0,阿佐ケ谷,溜池山王,1,26
JR中央・総武線各駅停車,13.0,高円寺,溜池山王,1,24
JR中央・総武線各駅停車,13.5,中野,溜池山王,1,22
JR中央・総武線各駅停車,13.8,東中野,溜池山王,1,24
JR中央・総武線各駅停車,15.5,大久保,溜池山王,1,22
JR中央・総武線各駅停車,18.9,新宿,溜池山王,0,28
JR中央・総武線各駅停車,18.5,代々木,溜池山王,1,14
JR中央・総武線各駅停車,19.2,千駄ケ谷,溜池山王,1,16
JR中央・総武線各駅停車,17.8,信濃町,溜池山王,1,14
JR中央・総武線各駅停車,18.4,四ツ谷,溜池山王,0,4
JR中央・総武線各駅停車,18.9,市ケ谷,溜池山王,0,6
JR中央・総武線各駅停車,17.5,飯田橋,溜池山王,0,9
JR中央・総武線各駅停車,17.5,水道橋,溜池山王,1,18
JR中央・総武線各駅停車,17.9,御茶ノ水,溜池山王,0,26
JR中央・総武線各駅停車,17.0,秋葉原,溜池山王,1,18
JR中央・総武線各駅停車,16.2,浅草橋,溜池山王,1,22
JR中央・総武線各駅停車,14.8,両国,溜池山王,1,27
JR中央・総武線各駅停車,14.2,錦糸町,溜池山王,1,22
JR中央・総武線各駅停車,11.4,亀戸,溜池山王,1,33
JR中央・総武線各駅停車,9.7,平井,溜池山王,1,36
JR中央・総武線各駅停車,8.7,新小岩,溜池山王,1,28
JR中央・総武線各駅停車,8.5,小岩,溜池山王,1,42
JR中央・総武線各駅停車,9.3,市川,溜池山王,1,33
JR中央・総武線各駅停車,8.5,下総中山,溜池山王,1,51
JR中央・総武線各駅停車,9.7,西船橋,溜池山王,1,48
JR中央・総武線各駅停車,9.1,船橋,溜池山王,1,38
JR中央・総武線各駅停車,9.2,東船橋,溜池山王,1,55
JR中央・総武線各駅停車,8.7,津田沼,溜池山王,1,42
JR中央・総武線各駅停車,7.8,幕張本郷,溜池山王,1,67
JR中央・総武線各駅停車,7.9,幕張,溜池山王,1,70
JR中央・総武線各駅停車,6.6,新検見川,溜池山王,1,72
JR中央・総武線各駅停車,6.8,稲毛,溜池山王,1,52
JR中央・総武線各駅停車,6.0,西千葉,溜池山王,1,76
JR中央・総武線各駅停車,8.1,千葉,溜池山王,1,56
JR中央線,18.8,東京,溜池山王,0,16
JR中央線,17.7,神田,溜池山王,0,14
JR中央線,17.9,御茶ノ水,溜池山王,0,26
JR中央線,18.4,四ツ谷,溜池山王,0,4
JR中央線,18.9,新宿,溜池山王,0,28
JR中央線,13.5,中野,溜池山王,1,22
JR中央線,13.0,高円寺,溜池山王,1,24
JR中央線,13.0,阿佐ケ谷,溜池山王,1,26
JR中央線,12.5,荻窪,溜池山王,1,31
JR中央線,12.5,西荻窪,溜池山王,1,32
JR中央線,12.0,吉祥寺,溜池山王,1,34
JR中央線,11.5,三鷹,溜池山王,1,37
JR中央線,11.3,武蔵境,溜池山王,1,40
JR中央線,11.0,東小金井,溜池山王,1,42
JR中央線,9.7,武蔵小金井,溜池山王,1,45
JR中央線,9.5,国分寺,溜池山王,1,48
JR中央線,9.8,西国分寺,溜池山王,1,51
JR中央線,9.3,国立,溜池山王,1,54
JR中央線,8.8,立川,溜池山王,1,57
JR中央線,8.0,日野,溜池山王,1,60
JR中央線,8.1,豊田,溜池山王,1,62
JR中央線,8.1,八王子,溜池山王,1,67
JR中央線,7.6,西八王子,溜池山王,1,71
JR中央線,6.0,高尾,溜池山王,1,74
JR久留里線,6.5,木更津,溜池山王,1,93
JR久留里線,6.1,上総清川,溜池山王,2,110
JR久留里線,5.3,東清川,溜池山王,2,113
JR久留里線,4.7,横田,溜池山王,2,118
JR久留里線,4.7,東横田,溜池山王,2,123
JR久留里線,4.7,馬来田,溜池山王,2,128
JR久留里線,4.7,下郡,溜池山王,2,132
JR久留里線,4.7,小櫃,溜池山王,2,136
JR久留里線,4.7,俵田,溜池山王,2,140
JR久留里線,4.7,久留里,溜池山王,2,145
JR久留里線,4.7,平山,溜池山王,1,91
JR久留里線,4.7,上総松丘,溜池山王,2,156
JR五日市線,6.0,拝島,溜池山王,1,71
JR五日市線,5.9,熊川,溜池山王,2,77
JR五日市線,5.3,東秋留,溜池山王,2,80
JR五日市線,5.6,秋川,溜池山王,2,89
JR五日市線,5.5,武蔵引田,溜池山王,2,91
JR五日市線,6.1,武蔵増戸,溜池山王,2,93
JR五日市線,4.5,武蔵五日市,溜池山王,2,97
JR京浜東北線,11.0,さいたま新都心,溜池山王,1,43
JR京浜東北線,9.1,与野,溜池山王,1,59
JR京浜東北線,9.8,北浦和,溜池山王,1,57
JR京浜東北線,10.3,浦和,溜池山王,1,38
JR京浜東北線,8.3,南浦和,溜池山王,1,50
JR京浜東北線,8.1,蕨,溜池山王,1,46
JR京浜東北線,8.2,西川口,溜池山王,1,43
JR京浜東北線,8.3,川口,溜池山王,1,40
JR京浜東北線,12.0,赤羽,溜池山王,0,47
JR京浜東北線,11.2,東十条,溜池山王,1,34
JR京浜東北線,10.9,王子,溜池山王,0,24
JR京浜東北線,12.0,上中里,溜池山王,0,33
JR京浜東北線,11.4,田端,溜池山王,1,29
JR京浜東北線,12.0,西日暮里,溜池山王,0,26
JR京浜東北線,12.6,日暮里,溜池山王,1,26
JR京浜東北線,13.4,鶯谷,溜池山王,1,24
JR京浜東北線,15.5,上野,溜池山王,0,19
JR京浜東北線,16.0,御徒町,溜池山王,0,24
JR京浜東北線,17.0,秋葉原,溜池山王,1,18
JR京浜東北線,17.7,神田,溜池山王,0,14
JR京浜東北線,18.8,東京,溜池山王,0,16
JR京浜東北線,18.7,有楽町,溜池山王,0,17
JR京浜東北線,22.7,新橋,溜池山王,0,3
JR京浜東北線,22.4,浜松町,溜池山王,1,10
JR京浜東北線,19.0,田町,溜池山王,1,14
JR京浜東北線,19.4,高輪ゲートウェイ,溜池山王,1,16
JR京浜東北線,18.2,品川,溜池山王,1,14
JR京浜東北線,14.5,大井町,溜池山王,1,22
JR京浜東北線,12.7,大森,溜池山王,1,24
JR京浜東北線,12.0,蒲田,溜池山王,1,28
JR京浜東北線,10.0,川崎,溜池山王,1,25
JR京浜東北線,9.7,鶴見,溜池山王,1,37
JR京浜東北線,10.2,新子安,溜池山王,1,41
JR京浜東北線,11.5,東神奈川,溜池山王,1,44
JR京浜東北線,12.2,横浜,溜池山王,1,34
JR京浜東北線,12.2,桜木町,溜池山王,1,51
JR京浜東北線,12.3,関内,溜池山王,1,53
JR京浜東北線,11.2,石川町,溜池山王,1,55
JR京浜東北線,9.2,山手,溜池山王,1,59
JR京浜東北線,9.0,根岸,溜池山王,1,62
JR京浜東北線,8.7,磯子,溜池山王,1,65
JR京浜東北線,9.5,新杉田,溜池山王,1,66
JR京浜東北線,7.9,洋光台,溜池山王,1,70
JR京浜東北線,7.6,港南台,溜池山王,1,72
