line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,虎ノ門,1,48
JR中央・総武線各駅停車,12.0,吉祥寺,虎ノ門,1,46
JR中央・総武線各駅停車,12.5,西荻窪,虎ノ門,1,43
JR中央・総武線各駅停車,12.5,荻窪,虎ノ門,1,31
JR中央・総武線各駅停車,13.0,阿佐ケ谷,虎ノ門,1,38
JR中央・総武線各駅停車,13.0,高円寺,虎ノ門,1,36
JR中央・総武線各駅停車,13.5,中野,虎ノ門,1,33
JR中央・総武線各駅停車,13.8,東中野,虎ノ門,1,28
JR中央・総武線各駅停車,15.5,大久保,虎ノ門,2,21
JR中央・総武線各駅停車,18.9,新宿,虎ノ門,1,18
JR中央・総武線各駅停車,18.5,代々木,虎ノ門,1,16
JR中央・総武線各駅停車,19.2,千駄ケ谷,虎ノ門,1,19
JR中央・総武線各駅停車,17.8,信濃町,虎ノ門,2,13
JR中央・総武線各駅停車,18.4,四ツ谷,虎ノ門,1,7
JR中央・総武線各駅停車,18.9,市ケ谷,虎ノ門,1,11
JR中央・総武線各駅停車,17.5,飯田橋,虎ノ門,1,15
JR中央・総武線各駅停車,17.5,水道橋,虎ノ門,1,19
JR中央・総武線各駅停車,17.9,御茶ノ水,虎ノ門,1,17
JR中央・総武線各駅停車,17.0,秋葉原,虎ノ門,0,29
JR中央・総武線各駅停車,16.2,浅草橋,虎ノ門,1,19
JR中央・総武線各駅停車,14.8,両国,虎ノ門,1,36
JR中央・総武線各駅停車,14.2,錦糸町,虎ノ門,1,18
JR中央・総武線各駅停車,11.4,亀戸,虎ノ門,1,45
JR中央・総武線各駅停車,9.7,平井,虎ノ門,1,48
JR中央・総武線各駅停車,8.7,新小岩,虎ノ門,1,24
JR中央・総武線各駅停車,8.5,小岩,虎ノ門,1,54
JR中央・総武線各駅停車,9.3,市川,虎ノ門,1,29
JR中央・総武線各駅停車,8.5,下総中山,虎ノ門,1,63
JR中央・総武線各駅停車,9.7,西船橋,虎ノ門,1,47
JR中央・総武線各駅停車,9.1,船橋,虎ノ門,1,36
JR中央・総武線各駅停車,9.2,東船橋,虎ノ門,1,53
JR中央・総武線各駅停車,8.7,津田沼,虎ノ門,1,40
JR中央・総武線各駅停車,7.8,幕張本郷,虎ノ門,1,80
JR中央・総武線各駅停車,7.9,幕張,虎ノ門,1,82
JR中央・総武線各駅停車,6.6,新検見川,虎ノ門,1,85
