line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,銀座一丁目,1,43
JR中央・総武線各駅停車,12.0,吉祥寺,銀座一丁目,1,40
JR中央・総武線各駅停車,12.5,西荻窪,銀座一丁目,1,38
JR中央・総武線各駅停車,12.5,荻窪,銀座一丁目,0,40
JR中央・総武線各駅停車,13.0,阿佐ケ谷,銀座一丁目,1,32
JR中央・総武線各駅停車,13.0,高円寺,銀座一丁目,1,30
JR中央・総武線各駅停車,13.5,中野,銀座一丁目,1,27
JR中央・総武線各駅停車,13.8,東中野,銀座一丁目,1,33
JR中央・総武線各駅停車,15.5,大久保,銀座一丁目,1,30
JR中央・総武線各駅停車,18.9,新宿,銀座一丁目,0,29
JR中央・総武線各駅停車,18.5,代々木,銀座一丁目,1,25
JR中央・総武線各駅停車,19.2,千駄ケ谷,銀座一丁目,1,23
JR中央・総武線各駅停車,17.8,信濃町,銀座一丁目,1,21
JR中央・総武線各駅停車,18.4,四ツ谷,銀座一丁目,0,16
JR中央・総武線各駅停車,18.9,市ケ谷,銀座一丁目,0,11
JR中央・総武線各駅停車,17.5,飯田橋,銀座一丁目,0,14
JR中央・総武線各駅停車,17.5,水道橋,銀座一丁目,1,18
JR中央・総武線各駅停車,17.9,御茶ノ水,銀座一丁目,0,15
JR中央・総武線各駅停車,17.0,秋葉原,銀座一丁目,0,22
JR中央・総武線各駅停車,16.2,浅草橋,銀座一丁目,1,22
JR中央・総武線各駅停車,14.8,両国,銀座一丁目,1,25
JR中央・総武線各駅停車,14.2,錦糸町,銀座一丁目,1,24
JR中央・総武線各駅停車,11.4,亀戸,銀座一丁目,1,33
JR中央・総武線各駅停車,9.7,平井,銀座一丁目,1,36
JR中央・総武線各駅停車,8.7,新小岩,銀座一丁目,1,30
JR中央・総武線各駅停車,8.5,小岩,銀座一丁目,1,43
JR中央・総武線各駅停車,9.3,市川,銀座一丁目,1,35
JR中央・総武線各駅停車,8.5,下総中山,銀座一丁目,1,52
JR中央・総武線各駅停車,9.7,西船橋,銀座一丁目,1,34
JR中央・総武線各駅停車,9.1,船橋,銀座一丁目,1,42
