line,price,from,to,trans,min
JR中央・総武線各駅停車,11.5,三鷹,霞ケ関,1,35
JR中央・総武線各駅停車,12.0,吉祥寺,霞ケ関,1,33
JR中央・総武線各駅停車,12.5,西荻窪,霞ケ関,1,31
JR中央・総武線各駅停車,12.5,荻窪,霞ケ関,0,30
JR中央・総武線各駅停車,13.0,阿佐ケ谷,霞ケ関,1,25
JR中央・総武線各駅停車,13.0,高円寺,霞ケ関,1,23
JR中央・総武線各駅停車,13.5,中野,霞ケ関,1,21
JR中央・総武線各駅停車,13.8,東中野,霞ケ関,1,23
JR中央・総武線各駅停車,15.5,大久保,霞ケ関,1,20
JR中央・総武線各駅停車,18.9,新宿,霞ケ関,0,19
JR中央・総武線各駅停車,18.5,代々木,霞ケ関,1,16
JR中央・総武線各駅停車,19.2,千駄ケ谷,霞ケ関,1,14
JR中央・総武線各駅停車,17.8,信濃町,霞ケ関,1,12
JR中央・総武線各駅停車,18.4,四ツ谷,霞ケ関,0,6
JR中央・総武線各駅停車,18.9,市ケ谷,霞ケ関,1,12
JR中央・総武線各駅停車,17.5,飯田橋,霞ケ関,1,14
JR中央・総武線各駅停車,17.5,水道橋,霞ケ関,1,15
JR中央・総武線各駅停車,17.9,御茶ノ水,霞ケ関,0,10
JR中央・総武線各駅停車,17.0,秋葉原,霞ケ関,0,19
JR中央・総武線各駅停車,16.2,浅草橋,霞ケ関,1,18
JR中央・総武線各駅停車,14.8,両国,霞ケ関,1,23
JR中央・総武線各駅停車,14.2,錦糸町,霞ケ関,1,19
JR中央・総武線各駅停車,11.4,亀戸,霞ケ関,1,28
JR中央・総武線各駅停車,9.7,平井,霞ケ関,1,31
JR中央・総武線各駅停車,8.7,新小岩,霞ケ関,1,25
JR中央・総武線各駅停車,8.5,小岩,霞ケ関,1,38
JR中央・総武線各駅停車,9.3,市川,霞ケ関,1,30
JR中央・総武線各駅停車,8.5,下総中山,霞ケ関,1,47
JR中央・総武線各駅停車,9.7,西船橋,霞ケ関,1,49
JR中央・総武線各駅停車,9.1,船橋,霞ケ関,1,37
JR中央・総武線各駅停車,9.2,東船橋,霞ケ関,1,55
JR中央・総武線各駅停車,8.7,津田沼,霞ケ関,1,41
JR中央・総武線各駅停車,7.8,幕張本郷,霞ケ関,1,63
JR中央・総武線各駅停車,7.9,幕張,霞ケ関,1,65
JR中央・総武線各駅停車,6.6,新検見川,霞ケ関,1,68
JR中央・総武線各駅停車,6.8,稲毛,霞ケ関,1,49
JR中央・総武線各駅停車,6.0,西千葉,霞ケ関,1,73
JR中央・総武線各駅停車,8.1,千葉,霞ケ関,1,55
JR中央線,18.8,東京,霞ケ関,0,4
JR中央線,17.7,神田,霞ケ関,1,13
JR中央線,17.9,御茶ノ水,霞ケ関,0,10
JR中央線,18.4,四ツ谷,霞ケ関,0,6
JR中央線,18.9,新宿,霞ケ関,0,19
JR中央線,13.5,中野,霞ケ関,1,21
JR中央線,13.0,高円寺,霞ケ関,1,23
JR中央線,13.0,阿佐ケ谷,霞ケ関,1,25
JR中央線,12.5,荻窪,霞ケ関,0,30
JR中央線,12.5,西荻窪,霞ケ関,1,31
JR中央線,12.0,吉祥寺,霞ケ関,1,33
JR中央線,11.5,三鷹,霞ケ関,1,35
JR中央線,11.3,武蔵境,霞ケ関,1,38
JR中央線,11.0,東小金井,霞ケ関,1,41
JR中央線,9.7,武蔵小金井,霞ケ関,1,44
JR中央線,9.5,国分寺,霞ケ関,1,47
JR中央線,9.8,西国分寺,霞ケ関,1,50
JR中央線,9.3,国立,霞ケ関,1,53
JR中央線,8.8,立川,霞ケ関,1,56
JR中央線,8.0,日野,霞ケ関,1,58
JR中央線,8.1,豊田,霞ケ関,1,61
JR中央線,8.1,八王子,霞ケ関,1,68
JR中央線,7.6,西八王子,霞ケ関,1,72
JR中央線,6.0,高尾,霞ケ関,1,75
JR久留里線,6.5,木更津,霞ケ関,1,96
JR久留里線,6.1,上総清川,霞ケ関,2,98
JR久留里線,5.3,東清川,霞ケ関,2,101
JR久留里線,4.7,横田,霞ケ関,2,106
JR久留里線,4.7,東横田,霞ケ関,2,111
