line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,京橋,3,216
JR中央・総武線各駅停車,吉祥寺,京橋,3,213
JR中央・総武線各駅停車,西荻窪,京橋,3,211
JR中央・総武線各駅停車,荻窪,京橋,3,209
JR中央・総武線各駅停車,阿佐ケ谷,京橋,3,207
JR中央・総武線各駅停車,高円寺,京橋,3,205
JR中央・総武線各駅停車,中野,京橋,3,202
JR中央・総武線各駅停車,東中野,京橋,4,200
JR中央・総武線各駅停車,大久保,京橋,4,198
JR中央・総武線各駅停車,新宿,京橋,3,191
JR中央・総武線各駅停車,代々木,京橋,3,189
JR中央・総武線各駅停車,千駄ケ谷,京橋,4,204
JR中央・総武線各駅停車,信濃町,京橋,4,202
JR中央・総武線各駅停車,四ツ谷,京橋,3,194
JR中央・総武線各駅停車,市ケ谷,京橋,3,205
JR中央・総武線各駅停車,飯田橋,京橋,3,207
JR中央・総武線各駅停車,水道橋,京橋,4,194
JR中央・総武線各駅停車,御茶ノ水,京橋,3,189
JR中央・総武線各駅停車,秋葉原,京橋,3,183
JR中央・総武線各駅停車,浅草橋,京橋,3,204
JR中央・総武線各駅停車,両国,京橋,4,195
JR中央・総武線各駅停車,錦糸町,京橋,3,192
JR中央・総武線各駅停車,亀戸,京橋,4,199
JR中央・総武線各駅停車,平井,京橋,4,202
JR中央・総武線各駅停車,新小岩,京橋,3,197
JR中央・総武線各駅停車,小岩,京橋,4,208
JR中央・総武線各駅停車,市川,京橋,3,202
JR中央・総武線各駅停車,下総中山,京橋,4,215
JR中央・総武線各駅停車,西船橋,京橋,3,228
JR中央・総武線各駅停車,船橋,京橋,3,208
JR中央・総武線各駅停車,東船橋,京橋,4,213
JR中央・総武線各駅停車,津田沼,京橋,3,211
JR中央・総武線各駅停車,幕張本郷,京橋,4,231
JR中央・総武線各駅停車,幕張,京橋,4,233
JR中央・総武線各駅停車,新検見川,京橋,4,236
JR中央・総武線各駅停車,稲毛,京橋,3,218
JR中央・総武線各駅停車,西千葉,京橋,4,241
JR中央・総武線各駅停車,千葉,京橋,3,222
JR中央線,東京,京橋,2,168
JR中央線,神田,京橋,3,182
JR中央線,御茶ノ水,京橋,3,189
JR中央線,四ツ谷,京橋,3,194
JR中央線,新宿,京橋,3,191
JR中央線,中野,京橋,3,202
JR中央線,高円寺,京橋,3,205
JR中央線,阿佐ケ谷,京橋,3,207
JR中央線,荻窪,京橋,3,209
JR中央線,西荻窪,京橋,3,211
JR中央線,吉祥寺,京橋,3,213
JR中央線,三鷹,京橋,3,216
JR中央線,武蔵境,京橋,3,218
JR中央線,東小金井,京橋,3,221
JR中央線,武蔵小金井,京橋,3,223
JR中央線,国分寺,京橋,3,226
JR中央線,西国分寺,京橋,3,228
JR中央線,国立,京橋,3,230
JR中央線,立川,京橋,3,233
JR中央線,日野,京橋,3,236
JR中央線,豊田,京橋,3,239
JR中央線,八王子,京橋,3,210
