line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,八丁堀,1,48
JR中央・総武線各駅停車,吉祥寺,八丁堀,1,45
JR中央・総武線各駅停車,西荻窪,八丁堀,1,42
JR中央・総武線各駅停車,荻窪,八丁堀,1,40
JR中央・総武線各駅停車,阿佐ケ谷,八丁堀,1,37
JR中央・総武線各駅停車,高円寺,八丁堀,1,35
JR中央・総武線各駅停車,中野,八丁堀,1,31
JR中央・総武線各駅停車,東中野,八丁堀,1,39
JR中央・総武線各駅停車,大久保,八丁堀,1,37
JR中央・総武線各駅停車,新宿,八丁堀,1,28
JR中央・総武線各駅停車,代々木,八丁堀,1,32
JR中央・総武線各駅停車,千駄ケ谷,八丁堀,1,31
JR中央・総武線各駅停車,信濃町,八丁堀,1,29
JR中央・総武線各駅停車,四ツ谷,八丁堀,1,19
JR中央・総武線各駅停車,市ケ谷,八丁堀,1,24
JR中央・総武線各駅停車,飯田橋,八丁堀,1,15
JR中央・総武線各駅停車,水道橋,八丁堀,1,19
JR中央・総武線各駅停車,御茶ノ水,八丁堀,1,16
JR中央・総武線各駅停車,秋葉原,八丁堀,0,8
JR中央・総武線各駅停車,浅草橋,八丁堀,1,11
JR中央・総武線各駅停車,両国,八丁堀,1,19
JR中央・総武線各駅停車,錦糸町,八丁堀,1,21
JR中央・総武線各駅停車,亀戸,八丁堀,1,24
JR中央・総武線各駅停車,平井,八丁堀,1,28
JR中央・総武線各駅停車,新小岩,八丁堀,1,30
JR中央・総武線各駅停車,小岩,八丁堀,1,34
JR中央・総武線各駅停車,市川,八丁堀,1,37
JR中央・総武線各駅停車,下総中山,八丁堀,1,36
JR中央・総武線各駅停車,西船橋,八丁堀,0,29
JR中央・総武線各駅停車,船橋,八丁堀,1,39
JR中央・総武線各駅停車,東船橋,八丁堀,1,42
JR中央・総武線各駅停車,津田沼,八丁堀,1,45
JR中央・総武線各駅停車,幕張本郷,八丁堀,1,51
JR中央・総武線各駅停車,幕張,八丁堀,1,46
JR中央・総武線各駅停車,新検見川,八丁堀,1,49
JR中央・総武線各駅停車,稲毛,八丁堀,1,58
JR中央・総武線各駅停車,西千葉,八丁堀,1,62
JR中央・総武線各駅停車,千葉,八丁堀,1,57
JR中央線,東京,八丁堀,0,2
JR中央線,神田,八丁堀,1,16
JR中央線,御茶ノ水,八丁堀,1,16
JR中央線,四ツ谷,八丁堀,1,19
JR中央線,新宿,八丁堀,1,28
JR中央線,中野,八丁堀,1,31
JR中央線,高円寺,八丁堀,1,35
JR中央線,阿佐ケ谷,八丁堀,1,37
JR中央線,荻窪,八丁堀,1,40
JR中央線,西荻窪,八丁堀,1,42
JR中央線,吉祥寺,八丁堀,1,45
JR中央線,三鷹,八丁堀,1,48
JR中央線,武蔵境,八丁堀,1,52
JR中央線,東小金井,八丁堀,1,55
JR中央線,武蔵小金井,八丁堀,1,58
JR中央線,国分寺,八丁堀,1,61
JR中央線,西国分寺,八丁堀,1,64
JR中央線,国立,八丁堀,1,66
JR中央線,立川,八丁堀,1,70
JR中央線,日野,八丁堀,1,73
JR中央線,豊田,八丁堀,1,76
JR中央線,八王子,八丁堀,1,81
JR中央線,西八王子,八丁堀,1,85
JR中央線,高尾,八丁堀,1,88
JR久留里線,木更津,八丁堀,0,79
JR久留里線,上総清川,八丁堀,1,108
JR久留里線,東清川,八丁堀,1,111
JR久留里線,横田,八丁堀,1,116
JR久留里線,東横田,八丁堀,1,121
JR久留里線,馬来田,八丁堀,1,126
JR久留里線,下郡,八丁堀,1,130
JR久留里線,小櫃,八丁堀,1,134
JR久留里線,俵田,八丁堀,1,138
JR久留里線,久留里,八丁堀,1,143
JR久留里線,平山,八丁堀,2,93
JR久留里線,上総松丘,八丁堀,1,154
JR五日市線,拝島,八丁堀,1,84
JR五日市線,熊川,八丁堀,2,88
JR五日市線,東秋留,八丁堀,2,90
JR五日市線,秋川,八丁堀,2,96
JR五日市線,武蔵引田,八丁堀,2,98
JR五日市線,武蔵増戸,八丁堀,2,100
JR五日市線,武蔵五日市,八丁堀,2,105
JR京浜東北線,さいたま新都心,八丁堀,1,46
JR京浜東北線,与野,八丁堀,1,61
JR京浜東北線,北浦和,八丁堀,1,59
JR京浜東北線,浦和,八丁堀,1,42
JR京浜東北線,南浦和,八丁堀,0,82
JR京浜東北線,蕨,八丁堀,1,48
JR京浜東北線,西川口,八丁堀,1,45
JR京浜東北線,川口,八丁堀,1,42
JR京浜東北線,赤羽,八丁堀,1,33
JR京浜東北線,東十条,八丁堀,1,35
JR京浜東北線,王子,八丁堀,1,33
JR京浜東北線,上中里,八丁堀,1,30
JR京浜東北線,田端,八丁堀,1,28
JR京浜東北線,西日暮里,八丁堀,1,26
JR京浜東北線,日暮里,八丁堀,1,24
JR京浜東北線,鶯谷,八丁堀,1,22
JR京浜東北線,上野,八丁堀,0,13
JR京浜東北線,御徒町,八丁堀,0,16
JR京浜東北線,秋葉原,八丁堀,0,8
JR京浜東北線,神田,八丁堀,1,16
JR京浜東北線,東京,八丁堀,0,2
JR京浜東北線,有楽町,八丁堀,0,14
JR京浜東北線,新橋,八丁堀,1,8
JR京浜東北線,浜松町,八丁堀,1,21
