line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,内幸町,1,50
JR中央・総武線各駅停車,吉祥寺,内幸町,1,47
JR中央・総武線各駅停車,西荻窪,内幸町,1,44
JR中央・総武線各駅停車,荻窪,内幸町,1,41
JR中央・総武線各駅停車,阿佐ケ谷,内幸町,1,39
JR中央・総武線各駅停車,高円寺,内幸町,1,37
JR中央・総武線各駅停車,中野,内幸町,1,31
JR中央・総武線各駅停車,東中野,内幸町,1,38
JR中央・総武線各駅停車,大久保,内幸町,1,37
JR中央・総武線各駅停車,新宿,内幸町,0,42
JR中央・総武線各駅停車,代々木,内幸町,0,40
JR中央・総武線各駅停車,千駄ケ谷,内幸町,1,28
JR中央・総武線各駅停車,信濃町,内幸町,1,26
JR中央・総武線各駅停車,四ツ谷,内幸町,1,17
JR中央・総武線各駅停車,市ケ谷,内幸町,1,15
JR中央・総武線各駅停車,飯田橋,内幸町,1,15
JR中央・総武線各駅停車,水道橋,内幸町,0,9
JR中央・総武線各駅停車,御茶ノ水,内幸町,1,16
JR中央・総武線各駅停車,秋葉原,内幸町,0,20
JR中央・総武線各駅停車,浅草橋,内幸町,0,23
JR中央・総武線各駅停車,両国,内幸町,1,27
JR中央・総武線各駅停車,錦糸町,内幸町,0,23
JR中央・総武線各駅停車,亀戸,内幸町,1,28
JR中央・総武線各駅停車,平井,内幸町,1,31
JR中央・総武線各駅停車,新小岩,内幸町,0,29
JR中央・総武線各駅停車,小岩,内幸町,1,35
JR中央・総武線各駅停車,市川,内幸町,0,34
JR中央・総武線各駅停車,下総中山,内幸町,1,44
JR中央・総武線各駅停車,西船橋,内幸町,1,46
JR中央・総武線各駅停車,船橋,内幸町,0,41
JR中央・総武線各駅停車,東船橋,内幸町,1,47
JR中央・総武線各駅停車,津田沼,内幸町,0,45
JR中央・総武線各駅停車,幕張本郷,内幸町,1,53
JR中央・総武線各駅停車,幕張,内幸町,1,56
JR中央・総武線各駅停車,新検見川,内幸町,1,58
JR中央・総武線各駅停車,稲毛,内幸町,0,53
JR中央・総武線各駅停車,西千葉,内幸町,1,64
JR中央・総武線各駅停車,千葉,内幸町,0,57
JR中央線,東京,内幸町,0,13
JR中央線,神田,内幸町,0,17
JR中央線,御茶ノ水,内幸町,1,16
JR中央線,四ツ谷,内幸町,1,17
JR中央線,新宿,内幸町,0,42
JR中央線,中野,内幸町,1,31
JR中央線,高円寺,内幸町,1,37
JR中央線,阿佐ケ谷,内幸町,1,39
JR中央線,荻窪,内幸町,1,41
JR中央線,西荻窪,内幸町,1,44
JR中央線,吉祥寺,内幸町,1,47
JR中央線,三鷹,内幸町,1,50
JR中央線,武蔵境,内幸町,1,56
JR中央線,東小金井,内幸町,1,59
JR中央線,武蔵小金井,内幸町,1,62
JR中央線,国分寺,内幸町,1,65
JR中央線,西国分寺,内幸町,1,68
JR中央線,国立,内幸町,1,70
JR中央線,立川,内幸町,1,74
JR中央線,日野,内幸町,1,79
JR中央線,豊田,内幸町,1,82
JR中央線,八王子,内幸町,1,87
JR中央線,西八王子,内幸町,1,91
JR中央線,高尾,内幸町,1,94
JR久留里線,木更津,内幸町,0,95
JR久留里線,上総清川,内幸町,1,114
JR久留里線,東清川,内幸町,1,117
JR久留里線,横田,内幸町,1,122
JR久留里線,東横田,内幸町,1,127
JR久留里線,馬来田,内幸町,1,132
JR久留里線,下郡,内幸町,1,136
JR久留里線,小櫃,内幸町,1,140
JR久留里線,俵田,内幸町,1,144
JR久留里線,久留里,内幸町,1,149
JR久留里線,平山,内幸町,1,104
JR久留里線,上総松丘,内幸町,1,160
JR五日市線,拝島,内幸町,1,88
JR五日市線,熊川,内幸町,2,94
JR五日市線,東秋留,内幸町,2,96
JR五日市線,秋川,内幸町,2,102
JR五日市線,武蔵引田,内幸町,2,104
JR五日市線,武蔵増戸,内幸町,2,106
JR五日市線,武蔵五日市,内幸町,2,111
JR京浜東北線,さいたま新都心,内幸町,0,46
JR京浜東北線,与野,内幸町,0,64
JR京浜東北線,北浦和,内幸町,0,61
JR京浜東北線,浦和,内幸町,0,41
JR京浜東北線,南浦和,内幸町,0,56
JR京浜東北線,蕨,内幸町,0,52
JR京浜東北線,西川口,内幸町,0,49
JR京浜東北線,川口,内幸町,0,46
JR京浜東北線,赤羽,内幸町,0,32
JR京浜東北線,東十条,内幸町,0,40
JR京浜東北線,王子,内幸町,0,37
JR京浜東北線,上中里,内幸町,0,35
JR京浜東北線,田端,内幸町,0,32
JR京浜東北線,西日暮里,内幸町,0,30
JR京浜東北線,日暮里,内幸町,0,28
JR京浜東北線,鶯谷,内幸町,0,26
JR京浜東北線,上野,内幸町,0,20
JR京浜東北線,御徒町,内幸町,0,22
JR京浜東北線,秋葉原,内幸町,0,20
JR京浜東北線,神田,内幸町,0,17
JR京浜東北線,東京,内幸町,0,13
JR京浜東北線,有楽町,内幸町,0,7
JR京浜東北線,新橋,内幸町,0,7
JR京浜東北線,浜松町,内幸町,0,13
JR京浜東北線,田町,内幸町,0,13
JR京浜東北線,高輪ゲートウェイ,内幸町,0,18
JR京浜東北線,品川,内幸町,0,16
JR京浜東北線,大井町,内幸町,0,24
JR京浜東北線,大森,内幸町,0,27
JR京浜東北線,蒲田,内幸町,0,30
JR京浜東北線,川崎,内幸町,0,28
JR京浜東北線,鶴見,内幸町,0,39
JR京浜東北線,新子安,内幸町,0,43
JR京浜東北線,東神奈川,内幸町,0,46
JR京浜東北線,横浜,内幸町,0,37
JR京浜東北線,桜木町,内幸町,0,53
JR京浜東北線,関内,内幸町,0,55
JR京浜東北線,石川町,内幸町,0,57
JR京浜東北線,山手,内幸町,0,59
JR京浜東北線,根岸,内幸町,0,62
JR京浜東北線,磯子,内幸町,0,65
JR京浜東北線,新杉田,内幸町,0,68
JR京浜東北線,洋光台,内幸町,0,72
JR京浜東北線,港南台,内幸町,0,74
JR京浜東北線,本郷台,内幸町,0,77
JR京浜東北線,大船,内幸町,0,54
JR京葉線,東京,内幸町,0,13
JR京葉線,八丁堀,内幸町,1,13
JR京葉線,越中島,内幸町,1,28
JR京葉線,潮見,内幸町,1,31
JR京葉線,新木場,内幸町,1,23
JR京葉線,葛西臨海公園,内幸町,1,40
JR京葉線,舞浜,内幸町,1,43
JR京葉線,新浦安,内幸町,1,46
JR京葉線,市川塩浜,内幸町,1,50
JR京葉線,二俣新町,内幸町,1,54
JR京葉線,南船橋,内幸町,1,58
JR京葉線,新習志野,内幸町,1,61
JR京葉線,海浜幕張,内幸町,1,69
JR京葉線,検見川浜,内幸町,1,72
JR京葉線,稲毛海岸,内幸町,1,74
JR京葉線,千葉みなと,内幸町,1,70
JR京葉線,蘇我,内幸町,0,63
JR八高線,八王子,内幸町,1,87
JR八高線,北八王子,内幸町,2,93
JR八高線,小宮,内幸町,2,99
JR八高線,拝島,内幸町,1,88
JR八高線,東福生,内幸町,2,97
JR八高線,箱根ケ崎,内幸町,2,102
JR八高線,金子,内幸町,2,107
JR八高線,東飯能,内幸町,2,113
JR八高線,高麗川,内幸町,2,99
JR八高線,毛呂,内幸町,3,116
JR八高線,越生,内幸町,2,120
JR八高線,明覚,内幸町,2,152
JR八高線,小川町,内幸町,1,12
JR八高線,竹沢,内幸町,2,136
JR八高線,折原,内幸町,2,130
JR八高線,寄居,内幸町,1,133
JR八高線,用土,内幸町,2,119
JR八高線,児玉,内幸町,2,110
JR八高線,丹荘,内幸町,2,105
JR八高線,群馬藤岡,内幸町,2,96
JR八高線,北藤岡,内幸町,2,91
JR八高線,倉賀野,内幸町,0,134
JR八高線,高崎,内幸町,0,139
JR内房線,千葉,内幸町,0,57
JR内房線,本千葉,内幸町,0,60
JR内房線,蘇我,内幸町,0,63
JR内房線,浜野,内幸町,0,68
JR内房線,八幡宿,内幸町,0,71
JR内房線,五井,内幸町,0,75
JR内房線,姉ケ崎,内幸町,0,80
JR内房線,袖ケ浦,内幸町,0,89
JR内房線,巌根,内幸町,1,105
JR内房線,木更津,内幸町,0,95
JR内房線,君津,内幸町,0,102
JR内房線,青堀,内幸町,1,119
JR内房線,大貫,内幸町,1,124
JR内房線,佐貫町,内幸町,1,128
JR内房線,上総湊,内幸町,1,133
JR内房線,竹岡,内幸町,1,139
JR内房線,浜金谷,内幸町,1,144
JR内房線,安房勝山,内幸町,1,152
JR内房線,岩井,内幸町,1,155
JR内房線,富浦,内幸町,3,456
JR内房線,那古船形,内幸町,1,164
JR内房線,館山,内幸町,1,169
JR内房線,九重,内幸町,1,175
JR内房線,千倉,内幸町,1,181
JR内房線,江見,内幸町,2,593
JR内房線,太海,内幸町,2,587
JR南武線,立川,内幸町,1,74
JR南武線,西国立,内幸町,1,77
JR南武線,矢川,内幸町,1,75
JR南武線,谷保,内幸町,1,72
JR南武線,西府,内幸町,1,70
JR南武線,分倍河原,内幸町,1,68
JR南武線,府中本町,内幸町,1,65
JR南武線,南多摩,内幸町,1,63
JR南武線,稲城長沼,内幸町,1,60
JR南武線,矢野口,内幸町,1,58
JR南武線,稲田堤,内幸町,1,55
JR南武線,中野島,内幸町,1,53
JR南武線,登戸,内幸町,1,50
JR南武線,宿河原,内幸町,1,48
JR南武線,久地,内幸町,1,46
JR南武線,津田山,内幸町,1,44
