line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,国会議事堂前,1,34
JR中央・総武線各駅停車,吉祥寺,国会議事堂前,1,31
JR中央・総武線各駅停車,西荻窪,国会議事堂前,1,29
JR中央・総武線各駅停車,荻窪,国会議事堂前,0,30
JR中央・総武線各駅停車,阿佐ケ谷,国会議事堂前,1,24
JR中央・総武線各駅停車,高円寺,国会議事堂前,1,22
JR中央・総武線各駅停車,中野,国会議事堂前,1,19
JR中央・総武線各駅停車,東中野,国会議事堂前,1,21
JR中央・総武線各駅停車,大久保,国会議事堂前,1,19
JR中央・総武線各駅停車,新宿,国会議事堂前,0,17
JR中央・総武線各駅停車,代々木,国会議事堂前,1,14
JR中央・総武線各駅停車,千駄ケ谷,国会議事堂前,1,12
JR中央・総武線各駅停車,信濃町,国会議事堂前,1,11
JR中央・総武線各駅停車,四ツ谷,国会議事堂前,0,4
JR中央・総武線各駅停車,市ケ谷,国会議事堂前,0,12
JR中央・総武線各駅停車,飯田橋,国会議事堂前,0,15
JR中央・総武線各駅停車,水道橋,国会議事堂前,1,15
JR中央・総武線各駅停車,御茶ノ水,国会議事堂前,0,13
JR中央・総武線各駅停車,秋葉原,国会議事堂前,1,17
JR中央・総武線各駅停車,浅草橋,国会議事堂前,1,22
JR中央・総武線各駅停車,両国,国会議事堂前,1,24
JR中央・総武線各駅停車,錦糸町,国会議事堂前,1,23
JR中央・総武線各駅停車,亀戸,国会議事堂前,1,30
JR中央・総武線各駅停車,平井,国会議事堂前,1,33
JR中央・総武線各駅停車,新小岩,国会議事堂前,1,28
JR中央・総武線各駅停車,小岩,国会議事堂前,1,39
JR中央・総武線各駅停車,市川,国会議事堂前,1,33
JR中央・総武線各駅停車,下総中山,国会議事堂前,1,48
JR中央・総武線各駅停車,西船橋,国会議事堂前,1,51
JR中央・総武線各駅停車,船橋,国会議事堂前,1,39
JR中央・総武線各駅停車,東船橋,国会議事堂前,1,58
JR中央・総武線各駅停車,津田沼,国会議事堂前,1,44
JR中央・総武線各駅停車,幕張本郷,国会議事堂前,1,64
JR中央・総武線各駅停車,幕張,国会議事堂前,1,67
JR中央・総武線各駅停車,新検見川,国会議事堂前,1,70
JR中央・総武線各駅停車,稲毛,国会議事堂前,1,51
JR中央・総武線各駅停車,西千葉,国会議事堂前,1,76
JR中央・総武線各駅停車,千葉,国会議事堂前,1,57
JR中央線,東京,国会議事堂前,0,6
JR中央線,神田,国会議事堂前,0,23
JR中央線,御茶ノ水,国会議事堂前,0,13
JR中央線,四ツ谷,国会議事堂前,0,4
JR中央線,新宿,国会議事堂前,0,17
JR中央線,中野,国会議事堂前,1,19
JR中央線,高円寺,国会議事堂前,1,22
JR中央線,阿佐ケ谷,国会議事堂前,1,24
JR中央線,荻窪,国会議事堂前,0,30
JR中央線,西荻窪,国会議事堂前,1,29
JR中央線,吉祥寺,国会議事堂前,1,31
JR中央線,三鷹,国会議事堂前,1,34
JR中央線,武蔵境,国会議事堂前,1,37
JR中央線,東小金井,国会議事堂前,1,39
JR中央線,武蔵小金井,国会議事堂前,1,42
JR中央線,国分寺,国会議事堂前,1,45
JR中央線,西国分寺,国会議事堂前,1,48
JR中央線,国立,国会議事堂前,1,51
JR中央線,立川,国会議事堂前,1,54
JR中央線,日野,国会議事堂前,1,59
JR中央線,豊田,国会議事堂前,1,61
JR中央線,八王子,国会議事堂前,1,66
JR中央線,西八王子,国会議事堂前,1,70
JR中央線,高尾,国会議事堂前,1,73
JR久留里線,木更津,国会議事堂前,1,95
JR久留里線,上総清川,国会議事堂前,2,100
JR久留里線,東清川,国会議事堂前,2,103
JR久留里線,横田,国会議事堂前,2,108
JR久留里線,東横田,国会議事堂前,2,113
JR久留里線,馬来田,国会議事堂前,2,118
JR久留里線,下郡,国会議事堂前,2,122
JR久留里線,小櫃,国会議事堂前,2,126
JR久留里線,俵田,国会議事堂前,2,130
JR久留里線,久留里,国会議事堂前,2,135
JR久留里線,平山,国会議事堂前,1,81
JR久留里線,上総松丘,国会議事堂前,2,146
JR五日市線,拝島,国会議事堂前,1,68
JR五日市線,熊川,国会議事堂前,2,74
JR五日市線,東秋留,国会議事堂前,2,77
JR五日市線,秋川,国会議事堂前,2,86
JR五日市線,武蔵引田,国会議事堂前,2,88
JR五日市線,武蔵増戸,国会議事堂前,2,90
JR五日市線,武蔵五日市,国会議事堂前,2,94
JR京浜東北線,さいたま新都心,国会議事堂前,1,47
JR京浜東北線,与野,国会議事堂前,1,60
JR京浜東北線,北浦和,国会議事堂前,1,58
JR京浜東北線,浦和,国会議事堂前,1,42
JR京浜東北線,南浦和,国会議事堂前,1,51
JR京浜東北線,蕨,国会議事堂前,1,46
JR京浜東北線,西川口,国会議事堂前,1,44
JR京浜東北線,川口,国会議事堂前,1,41
JR京浜東北線,赤羽,国会議事堂前,0,53
JR京浜東北線,東十条,国会議事堂前,1,35
JR京浜東北線,王子,国会議事堂前,0,30
JR京浜東北線,上中里,国会議事堂前,0,39
JR京浜東北線,田端,国会議事堂前,1,25
JR京浜東北線,西日暮里,国会議事堂前,0,20
JR京浜東北線,日暮里,国会議事堂前,1,26
JR京浜東北線,鶯谷,国会議事堂前,1,24
JR京浜東北線,上野,国会議事堂前,0,29
JR京浜東北線,御徒町,国会議事堂前,0,33
JR京浜東北線,秋葉原,国会議事堂前,1,17
JR京浜東北線,神田,国会議事堂前,0,23
JR京浜東北線,東京,国会議事堂前,0,6
JR京浜東北線,有楽町,国会議事堂前,0,11
JR京浜東北線,新橋,国会議事堂前,0,12
JR京浜東北線,浜松町,国会議事堂前,1,19
JR京浜東北線,田町,国会議事堂前,1,22
JR京浜東北線,高輪ゲートウェイ,国会議事堂前,1,24
JR京浜東北線,品川,国会議事堂前,1,22
JR京浜東北線,大井町,国会議事堂前,1,30
JR京浜東北線,大森,国会議事堂前,1,33
JR京浜東北線,蒲田,国会議事堂前,1,36
JR京浜東北線,川崎,国会議事堂前,1,34
JR京浜東北線,鶴見,国会議事堂前,1,45
JR京浜東北線,新子安,国会議事堂前,1,49
JR京浜東北線,東神奈川,国会議事堂前,1,52
JR京浜東北線,横浜,国会議事堂前,1,43
JR京浜東北線,桜木町,国会議事堂前,1,61
JR京浜東北線,関内,国会議事堂前,1,65
JR京浜東北線,石川町,国会議事堂前,1,67
JR京浜東北線,山手,国会議事堂前,1,69
JR京浜東北線,根岸,国会議事堂前,1,72
JR京浜東北線,磯子,国会議事堂前,1,75
JR京浜東北線,新杉田,国会議事堂前,1,75
JR京浜東北線,洋光台,国会議事堂前,1,79
JR京浜東北線,港南台,国会議事堂前,1,84
JR京浜東北線,本郷台,国会議事堂前,1,84
JR京浜東北線,大船,国会議事堂前,1,60
JR京葉線,東京,国会議事堂前,0,6
JR京葉線,八丁堀,国会議事堂前,1,14
JR京葉線,越中島,国会議事堂前,1,24
JR京葉線,潮見,国会議事堂前,1,27
JR京葉線,新木場,国会議事堂前,1,24
JR京葉線,葛西臨海公園,国会議事堂前,1,33
JR京葉線,舞浜,国会議事堂前,1,36
JR京葉線,新浦安,国会議事堂前,1,40
JR京葉線,市川塩浜,国会議事堂前,1,43
JR京葉線,二俣新町,国会議事堂前,1,47
JR京葉線,南船橋,国会議事堂前,1,50
JR京葉線,新習志野,国会議事堂前,1,53
JR京葉線,海浜幕張,国会議事堂前,1,58
JR京葉線,検見川浜,国会議事堂前,1,61
JR京葉線,稲毛海岸,国会議事堂前,1,63
JR京葉線,千葉みなと,国会議事堂前,1,67
JR京葉線,蘇我,国会議事堂前,1,62
JR八高線,八王子,国会議事堂前,1,66
JR八高線,北八王子,国会議事堂前,2,72
JR八高線,小宮,国会議事堂前,2,79
JR八高線,拝島,国会議事堂前,1,68
JR八高線,東福生,国会議事堂前,2,77
JR八高線,箱根ケ崎,国会議事堂前,2,81
JR八高線,金子,国会議事堂前,2,86
JR八高線,東飯能,国会議事堂前,2,87
JR八高線,高麗川,国会議事堂前,2,93
JR八高線,毛呂,国会議事堂前,3,102
JR八高線,越生,国会議事堂前,2,102
JR八高線,明覚,国会議事堂前,2,128
JR八高線,小川町,国会議事堂前,0,14
JR八高線,竹沢,国会議事堂前,2,127
JR八高線,折原,国会議事堂前,2,132
JR八高線,寄居,国会議事堂前,2,107
JR八高線,用土,国会議事堂前,2,122
JR八高線,児玉,国会議事堂前,2,113
JR八高線,丹荘,国会議事堂前,2,108
JR八高線,群馬藤岡,国会議事堂前,2,99
JR八高線,北藤岡,国会議事堂前,2,94
JR八高線,倉賀野,国会議事堂前,1,135
JR八高線,高崎,国会議事堂前,1,74
JR内房線,千葉,国会議事堂前,1,57
JR内房線,本千葉,国会議事堂前,1,59
JR内房線,蘇我,国会議事堂前,1,62
JR内房線,浜野,国会議事堂前,1,68
JR内房線,八幡宿,国会議事堂前,1,71
JR内房線,五井,国会議事堂前,1,75
JR内房線,姉ケ崎,国会議事堂前,1,80
JR内房線,袖ケ浦,国会議事堂前,1,89
JR内房線,巌根,国会議事堂前,1,99
JR内房線,木更津,国会議事堂前,1,95
JR内房線,君津,国会議事堂前,1,102
JR内房線,青堀,国会議事堂前,2,105
JR内房線,大貫,国会議事堂前,2,110
JR内房線,佐貫町,国会議事堂前,2,114
JR内房線,上総湊,国会議事堂前,2,119
JR内房線,竹岡,国会議事堂前,2,125
