line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,大塚,1,36
JR中央・総武線各駅停車,吉祥寺,大塚,1,33
JR中央・総武線各駅停車,西荻窪,大塚,1,30
JR中央・総武線各駅停車,荻窪,大塚,1,28
JR中央・総武線各駅停車,阿佐ケ谷,大塚,1,25
JR中央・総武線各駅停車,高円寺,大塚,1,23
JR中央・総武線各駅停車,中野,大塚,1,19
JR中央・総武線各駅停車,東中野,大塚,1,19
JR中央・総武線各駅停車,大久保,大塚,1,17
JR中央・総武線各駅停車,新宿,大塚,0,11
JR中央・総武線各駅停車,代々木,大塚,0,14
JR中央・総武線各駅停車,千駄ケ谷,大塚,1,16
JR中央・総武線各駅停車,信濃町,大塚,1,17
JR中央・総武線各駅停車,四ツ谷,大塚,1,18
JR中央・総武線各駅停車,市ケ谷,大塚,1,20
JR中央・総武線各駅停車,飯田橋,大塚,1,18
JR中央・総武線各駅停車,水道橋,大塚,1,14
JR中央・総武線各駅停車,御茶ノ水,大塚,1,20
JR中央・総武線各駅停車,秋葉原,大塚,0,17
JR中央・総武線各駅停車,浅草橋,大塚,1,22
JR中央・総武線各駅停車,両国,大塚,1,25
JR中央・総武線各駅停車,錦糸町,大塚,1,28
JR中央・総武線各駅停車,亀戸,大塚,1,30
JR中央・総武線各駅停車,平井,大塚,1,33
JR中央・総武線各駅停車,新小岩,大塚,1,36
JR中央・総武線各駅停車,小岩,大塚,1,40
JR中央・総武線各駅停車,市川,大塚,1,43
JR中央・総武線各駅停車,下総中山,大塚,1,49
JR中央・総武線各駅停車,西船橋,大塚,1,52
JR中央・総武線各駅停車,船橋,大塚,1,55
JR中央・総武線各駅停車,東船橋,大塚,1,57
JR中央・総武線各駅停車,津田沼,大塚,1,60
JR中央・総武線各駅停車,幕張本郷,大塚,1,64
JR中央・総武線各駅停車,幕張,大塚,1,67
JR中央・総武線各駅停車,新検見川,大塚,1,70
JR中央・総武線各駅停車,稲毛,大塚,1,70
JR中央・総武線各駅停車,西千葉,大塚,1,77
JR中央・総武線各駅停車,千葉,大塚,1,74
JR中央線,東京,大塚,0,21
JR中央線,神田,大塚,0,19
JR中央線,御茶ノ水,大塚,1,20
JR中央線,四ツ谷,大塚,1,18
JR中央線,新宿,大塚,0,11
JR中央線,中野,大塚,1,19
JR中央線,高円寺,大塚,1,23
JR中央線,阿佐ケ谷,大塚,1,25
JR中央線,荻窪,大塚,1,28
JR中央線,西荻窪,大塚,1,30
JR中央線,吉祥寺,大塚,1,33
JR中央線,三鷹,大塚,1,36
JR中央線,武蔵境,大塚,1,39
JR中央線,東小金井,大塚,1,41
JR中央線,武蔵小金井,大塚,1,44
JR中央線,国分寺,大塚,1,47
JR中央線,西国分寺,大塚,1,50
JR中央線,国立,大塚,1,53
JR中央線,立川,大塚,1,48
JR中央線,日野,大塚,1,60
JR中央線,豊田,大塚,1,63
JR中央線,八王子,大塚,1,57
JR中央線,西八王子,大塚,1,74
JR中央線,高尾,大塚,1,77
JR久留里線,木更津,大塚,1,105
JR久留里線,上総清川,大塚,2,115
JR久留里線,東清川,大塚,2,118
JR久留里線,横田,大塚,2,123
JR久留里線,東横田,大塚,2,128
JR久留里線,馬来田,大塚,2,133
JR久留里線,下郡,大塚,2,137
JR久留里線,小櫃,大塚,2,141
JR久留里線,俵田,大塚,2,145
JR久留里線,久留里,大塚,2,150
JR久留里線,平山,大塚,1,76
JR久留里線,上総松丘,大塚,2,161
JR五日市線,拝島,大塚,1,59
JR五日市線,熊川,大塚,2,71
JR五日市線,東秋留,大塚,2,73
