line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,大手町,0,39
JR中央・総武線各駅停車,吉祥寺,大手町,0,36
JR中央・総武線各駅停車,西荻窪,大手町,0,33
JR中央・総武線各駅停車,荻窪,大手町,0,37
JR中央・総武線各駅停車,阿佐ケ谷,大手町,0,28
JR中央・総武線各駅停車,高円寺,大手町,0,26
JR中央・総武線各駅停車,中野,大手町,0,23
JR中央・総武線各駅停車,東中野,大手町,1,30
JR中央・総武線各駅停車,大久保,大手町,1,27
JR中央・総武線各駅停車,新宿,大手町,0,26
JR中央・総武線各駅停車,代々木,大手町,0,47
JR中央・総武線各駅停車,千駄ケ谷,大手町,1,21
JR中央・総武線各駅停車,信濃町,大手町,1,19
JR中央・総武線各駅停車,四ツ谷,大手町,0,13
JR中央・総武線各駅停車,市ケ谷,大手町,1,9
JR中央・総武線各駅停車,飯田橋,大手町,0,6
JR中央・総武線各駅停車,水道橋,大手町,0,4
JR中央・総武線各駅停車,御茶ノ水,大手町,0,4
JR中央・総武線各駅停車,秋葉原,大手町,0,19
JR中央・総武線各駅停車,浅草橋,大手町,1,12
JR中央・総武線各駅停車,両国,大手町,1,17
JR中央・総武線各駅停車,錦糸町,大手町,0,13
JR中央・総武線各駅停車,亀戸,大手町,1,22
JR中央・総武線各駅停車,平井,大手町,1,26
JR中央・総武線各駅停車,新小岩,大手町,0,29
JR中央・総武線各駅停車,小岩,大手町,1,32
JR中央・総武線各駅停車,市川,大手町,0,35
JR中央・総武線各駅停車,下総中山,大手町,1,41
JR中央・総武線各駅停車,西船橋,大手町,0,36
JR中央・総武線各駅停車,船橋,大手町,0,41
JR中央・総武線各駅停車,東船橋,大手町,0,44
JR中央・総武線各駅停車,津田沼,大手町,0,45
JR中央・総武線各駅停車,幕張本郷,大手町,1,53
JR中央・総武線各駅停車,幕張,大手町,1,55
JR中央・総武線各駅停車,新検見川,大手町,1,58
JR中央・総武線各駅停車,稲毛,大手町,0,53
JR中央・総武線各駅停車,西千葉,大手町,1,57
JR中央・総武線各駅停車,千葉,大手町,0,57
JR中央線,東京,大手町,0,1
JR中央線,神田,大手町,0,17
JR中央線,御茶ノ水,大手町,0,4
JR中央線,四ツ谷,大手町,0,13
JR中央線,新宿,大手町,0,26
JR中央線,中野,大手町,0,23
JR中央線,高円寺,大手町,0,26
JR中央線,阿佐ケ谷,大手町,0,28
JR中央線,荻窪,大手町,0,37
JR中央線,西荻窪,大手町,0,33
JR中央線,吉祥寺,大手町,0,36
JR中央線,三鷹,大手町,0,39
JR中央線,武蔵境,大手町,0,53
JR中央線,東小金井,大手町,0,56
JR中央線,武蔵小金井,大手町,0,58
JR中央線,国分寺,大手町,0,62
JR中央線,西国分寺,大手町,0,64
JR中央線,国立,大手町,0,67
JR中央線,立川,大手町,0,71
JR中央線,日野,大手町,0,76
JR中央線,豊田,大手町,0,79
JR中央線,八王子,大手町,0,84
JR中央線,西八王子,大手町,0,86
JR中央線,高尾,大手町,0,89
JR久留里線,木更津,大手町,0,95
JR久留里線,上総清川,大手町,1,88
JR久留里線,東清川,大手町,1,92
JR久留里線,横田,大手町,1,97
JR久留里線,東横田,大手町,1,100
JR久留里線,馬来田,大手町,1,105
JR久留里線,下郡,大手町,1,108
JR久留里線,小櫃,大手町,1,112
JR久留里線,俵田,大手町,1,116
JR久留里線,久留里,大手町,1,120
JR久留里線,平山,大手町,1,89
JR久留里線,上総松丘,大手町,2,151
JR五日市線,拝島,大手町,0,85
JR五日市線,熊川,大手町,1,89
JR五日市線,東秋留,大手町,1,91
JR五日市線,秋川,大手町,1,97
JR五日市線,武蔵引田,大手町,1,99
JR五日市線,武蔵増戸,大手町,1,101
JR五日市線,武蔵五日市,大手町,1,106
JR京浜東北線,さいたま新都心,大手町,0,51
JR京浜東北線,与野,大手町,0,64
JR京浜東北線,北浦和,大手町,0,61
JR京浜東北線,浦和,大手町,0,46
JR京浜東北線,南浦和,大手町,0,56
JR京浜東北線,蕨,大手町,0,52
JR京浜東北線,西川口,大手町,0,49
JR京浜東北線,川口,大手町,0,46
JR京浜東北線,赤羽,大手町,0,36
JR京浜東北線,東十条,大手町,0,40
JR京浜東北線,王子,大手町,0,37
JR京浜東北線,上中里,大手町,0,35
JR京浜東北線,田端,大手町,0,32
JR京浜東北線,西日暮里,大手町,0,11
JR京浜東北線,日暮里,大手町,0,28
JR京浜東北線,鶯谷,大手町,0,26
JR京浜東北線,上野,大手町,0,20
JR京浜東北線,御徒町,大手町,0,22
JR京浜東北線,秋葉原,大手町,0,19
JR京浜東北線,神田,大手町,0,17
JR京浜東北線,東京,大手町,0,1
JR京浜東北線,有楽町,大手町,0,7
JR京浜東北線,新橋,大手町,0,12
JR京浜東北線,浜松町,大手町,0,22
JR京浜東北線,田町,大手町,0,18
JR京浜東北線,高輪ゲートウェイ,大手町,0,28
JR京浜東北線,品川,大手町,0,23
JR京浜東北線,大井町,大手町,0,33
JR京浜東北線,大森,大手町,0,36
JR京浜東北線,蒲田,大手町,0,40
JR京浜東北線,川崎,大手町,0,35
JR京浜東北線,鶴見,大手町,0,48
JR京浜東北線,新子安,大手町,1,45
JR京浜東北線,東神奈川,大手町,1,49
JR京浜東北線,横浜,大手町,0,44
JR京浜東北線,桜木町,大手町,1,53
JR京浜東北線,関内,大手町,1,57
JR京浜東北線,石川町,大手町,0,66
JR京浜東北線,山手,大手町,0,68
JR京浜東北線,根岸,大手町,0,71
JR京浜東北線,磯子,大手町,0,74
JR京浜東北線,新杉田,大手町,0,78
JR京浜東北線,洋光台,大手町,0,81
JR京浜東北線,港南台,大手町,1,74
JR京浜東北線,本郷台,大手町,1,71
JR京浜東北線,大船,大手町,0,61
JR京葉線,東京,大手町,0,1
JR京葉線,八丁堀,大手町,0,22
JR京葉線,越中島,大手町,0,24
JR京葉線,潮見,大手町,0,27
JR京葉線,新木場,大手町,0,29
JR京葉線,葛西臨海公園,大手町,0,33
JR京葉線,舞浜,大手町,0,36
JR京葉線,新浦安,大手町,0,40
JR京葉線,市川塩浜,大手町,0,44
JR京葉線,二俣新町,大手町,0,47
JR京葉線,南船橋,大手町,0,50
JR京葉線,新習志野,大手町,0,53
JR京葉線,海浜幕張,大手町,0,58
JR京葉線,検見川浜,大手町,0,61
JR京葉線,稲毛海岸,大手町,0,63
JR京葉線,千葉みなと,大手町,0,67
JR京葉線,蘇我,大手町,0,71
JR八高線,八王子,大手町,0,84
JR八高線,北八王子,大手町,1,92
JR八高線,小宮,大手町,1,95
JR八高線,拝島,大手町,0,85
JR八高線,東福生,大手町,1,94
JR八高線,箱根ケ崎,大手町,1,99
JR八高線,金子,大手町,1,104
JR八高線,東飯能,大手町,1,110
JR八高線,高麗川,大手町,1,118
JR八高線,毛呂,大手町,2,129
JR八高線,越生,大手町,2,93
JR八高線,明覚,大手町,2,119
JR八高線,小川町,大手町,0,6
JR八高線,竹沢,大手町,1,132
JR八高線,折原,大手町,1,126
JR八高線,寄居,大手町,1,102
JR八高線,用土,大手町,1,115
JR八高線,児玉,大手町,1,106
JR八高線,丹荘,大手町,1,101
JR八高線,群馬藤岡,大手町,1,92
JR八高線,北藤岡,大手町,1,87
JR八高線,倉賀野,大手町,0,134
JR八高線,高崎,大手町,0,67
JR内房線,千葉,大手町,0,57
JR内房線,本千葉,大手町,0,61
JR内房線,蘇我,大手町,0,71
JR内房線,浜野,大手町,0,76
JR内房線,八幡宿,大手町,0,78
JR内房線,五井,大手町,0,82
JR内房線,姉ケ崎,大手町,0,78
JR内房線,袖ケ浦,大手町,0,89
JR内房線,巌根,大手町,0,99
JR内房線,木更津,大手町,0,95
JR内房線,君津,大手町,0,110
JR内房線,青堀,大手町,1,125
JR内房線,大貫,大手町,1,130
JR内房線,佐貫町,大手町,1,134
JR内房線,上総湊,大手町,1,139
JR内房線,竹岡,大手町,1,145
JR内房線,浜金谷,大手町,1,150
JR内房線,安房勝山,大手町,1,158
JR内房線,岩井,大手町,1,161
JR内房線,富浦,大手町,2,451
JR内房線,那古船形,大手町,1,170
JR内房線,館山,大手町,1,175
JR内房線,九重,大手町,1,181
JR内房線,千倉,大手町,1,187
JR内房線,江見,大手町,2,210
JR内房線,太海,大手町,2,216
JR南武線,立川,大手町,0,71
JR南武線,西国立,大手町,1,77
JR南武線,矢川,大手町,1,71
JR南武線,谷保,大手町,1,69
JR南武線,西府,大手町,1,66
JR南武線,分倍河原,大手町,1,64
JR南武線,府中本町,大手町,1,62
JR南武線,南多摩,大手町,1,59
JR南武線,稲城長沼,大手町,1,57
JR南武線,矢野口,大手町,1,54
JR南武線,稲田堤,大手町,1,52
JR南武線,中野島,大手町,1,50
JR南武線,登戸,大手町,0,40
JR南武線,宿河原,大手町,1,53
JR南武線,久地,大手町,1,51
JR南武線,津田山,大手町,1,49
JR南武線,武蔵溝ノ口,大手町,0,44
JR南武線,武蔵新城,大手町,1,48
JR南武線,武蔵中原,大手町,1,44
JR南武線,武蔵小杉,大手町,0,33
JR南武線,向河原,大手町,1,42
JR南武線,平間,大手町,1,45
JR南武線,鹿島田,大手町,0,45
JR南武線,矢向,大手町,1,44
JR南武線,尻手,大手町,1,42
JR南武線,川崎,大手町,0,35
JR埼京線,北与野,大手町,1,57
JR埼京線,与野本町,大手町,1,55
JR埼京線,南与野,大手町,1,53
JR埼京線,中浦和,大手町,1,51
JR埼京線,武蔵浦和,大手町,1,47
JR埼京線,北戸田,大手町,1,44
JR埼京線,戸田公園,大手町,1,40
JR埼京線,浮間舟渡,大手町,1,37
JR埼京線,北赤羽,大手町,1,34
JR埼京線,赤羽,大手町,0,36
JR埼京線,十条,大手町,1,28
JR埼京線,板橋,大手町,0,25
JR埼京線,池袋,大手町,0,17
JR埼京線,新宿,大手町,0,26
JR埼京線,渋谷,大手町,0,17
JR埼京線,恵比寿,大手町,0,40
JR埼京線,大崎,大手町,0,32
JR埼京線,西大井,大手町,0,28
JR埼京線,武蔵小杉,大手町,0,33
JR埼京線,羽沢横浜国大,大手町,0,51
JR外房線,千葉,大手町,0,57
JR外房線,本千葉,大手町,0,61
JR外房線,蘇我,大手町,0,71
JR外房線,鎌取,大手町,0,79
JR外房線,誉田,大手町,0,84
JR外房線,土気,大手町,0,73
JR外房線,大網,大手町,0,78
JR外房線,永田,大手町,0,9
JR外房線,本納,大手町,0,109
JR外房線,新茂原,大手町,0,113
JR外房線,茂原,大手町,0,92
JR外房線,八積,大手町,0,120
JR外房線,上総一ノ宮,大手町,0,100
JR外房線,東浪見,大手町,1,119
JR外房線,太東,大手町,1,123
JR外房線,長者町,大手町,1,126
JR外房線,三門,大手町,1,129
JR外房線,浪花,大手町,1,137
JR外房線,御宿,大手町,0,112
JR外房線,勝浦,大手町,0,118
JR外房線,鵜原,大手町,1,164
JR外房線,上総興津,大手町,1,169
JR外房線,安房小湊,大手町,2,167
JR外房線,安房天津,大手町,1,170
JR宇都宮線,矢板,大手町,1,114
JR宇都宮線,片岡,大手町,1,108
JR宇都宮線,蒲須坂,大手町,1,104
JR宇都宮線,氏家,大手町,1,99
JR宇都宮線,宝積寺,大手町,1,94
JR宇都宮線,宇都宮,大手町,0,73
JR宇都宮線,雀宮,大手町,0,131
JR宇都宮線,石橋,大手町,2,216
JR宇都宮線,自治医大,大手町,1,87
JR宇都宮線,小金井,大手町,0,119
JR宇都宮線,小山,大手町,0,62
JR宇都宮線,間々田,大手町,0,104
JR宇都宮線,野木,大手町,0,100
JR宇都宮線,古河,大手町,0,96
JR宇都宮線,栗橋,大手町,0,89
JR宇都宮線,東鷲宮,大手町,0,84
JR宇都宮線,久喜,大手町,0,80
JR宇都宮線,新白岡,大手町,0,77
JR宇都宮線,白岡,大手町,0,73
JR宇都宮線,蓮田,大手町,0,69
JR宇都宮線,東大宮,大手町,0,64
JR宇都宮線,土呂,大手町,0,61
JR宇都宮線,さいたま新都心,大手町,0,51
JR宇都宮線,浦和,大手町,0,46
JR宇都宮線,赤羽,大手町,0,36
JR宇都宮線,尾久,大手町,0,31
JR宇都宮線,上野,大手町,0,20
JR山手線,大崎,大手町,0,32
JR山手線,五反田,大手町,0,34
JR山手線,目黒,大手町,0,17
JR山手線,恵比寿,大手町,0,40
JR山手線,渋谷,大手町,0,17
JR山手線,原宿,大手町,0,20
JR山手線,代々木,大手町,0,47
