line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,宝町,1,49
JR中央・総武線各駅停車,吉祥寺,宝町,1,46
JR中央・総武線各駅停車,西荻窪,宝町,1,43
JR中央・総武線各駅停車,荻窪,宝町,1,41
JR中央・総武線各駅停車,阿佐ケ谷,宝町,1,38
JR中央・総武線各駅停車,高円寺,宝町,1,36
JR中央・総武線各駅停車,中野,宝町,1,32
JR中央・総武線各駅停車,東中野,宝町,1,38
JR中央・総武線各駅停車,大久保,宝町,1,38
JR中央・総武線各駅停車,新宿,宝町,1,28
JR中央・総武線各駅停車,代々木,宝町,1,26
JR中央・総武線各駅停車,千駄ケ谷,宝町,1,29
JR中央・総武線各駅停車,信濃町,宝町,1,30
JR中央・総武線各駅停車,四ツ谷,宝町,1,26
JR中央・総武線各駅停車,市ケ谷,宝町,1,22
JR中央・総武線各駅停車,飯田橋,宝町,1,16
JR中央・総武線各駅停車,水道橋,宝町,1,20
JR中央・総武線各駅停車,御茶ノ水,宝町,1,17
JR中央・総武線各駅停車,秋葉原,宝町,1,9
JR中央・総武線各駅停車,浅草橋,宝町,0,7
JR中央・総武線各駅停車,両国,宝町,1,15
JR中央・総武線各駅停車,錦糸町,宝町,1,18
JR中央・総武線各駅停車,亀戸,宝町,1,20
JR中央・総武線各駅停車,平井,宝町,1,24
JR中央・総武線各駅停車,新小岩,宝町,1,26
JR中央・総武線各駅停車,小岩,宝町,1,30
JR中央・総武線各駅停車,市川,宝町,1,32
JR中央・総武線各駅停車,下総中山,宝町,1,39
JR中央・総武線各駅停車,西船橋,宝町,1,41
JR中央・総武線各駅停車,船橋,宝町,0,49
JR中央・総武線各駅停車,東船橋,宝町,1,48
JR中央・総武線各駅停車,津田沼,宝町,1,43
JR中央・総武線各駅停車,幕張本郷,宝町,1,58
JR中央・総武線各駅停車,幕張,宝町,1,57
JR中央・総武線各駅停車,新検見川,宝町,1,60
JR中央・総武線各駅停車,稲毛,宝町,1,51
JR中央・総武線各駅停車,西千葉,宝町,1,65
JR中央・総武線各駅停車,千葉,宝町,1,55
JR中央線,東京,宝町,1,13
JR中央線,神田,宝町,1,10
JR中央線,御茶ノ水,宝町,1,17
JR中央線,四ツ谷,宝町,1,26
JR中央線,新宿,宝町,1,28
JR中央線,中野,宝町,1,32
JR中央線,高円寺,宝町,1,36
JR中央線,阿佐ケ谷,宝町,1,38
JR中央線,荻窪,宝町,1,41
JR中央線,西荻窪,宝町,1,43
JR中央線,吉祥寺,宝町,1,46
JR中央線,三鷹,宝町,1,49
JR中央線,武蔵境,宝町,2,50
JR中央線,東小金井,宝町,2,52
JR中央線,武蔵小金井,宝町,2,55
JR中央線,国分寺,宝町,2,58
JR中央線,西国分寺,宝町,2,61
JR中央線,国立,宝町,2,63
JR中央線,立川,宝町,1,108
JR中央線,日野,宝町,2,71
JR中央線,豊田,宝町,2,74
