line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,新橋,1,42
JR中央・総武線各駅停車,吉祥寺,新橋,1,39
JR中央・総武線各駅停車,西荻窪,新橋,1,37
JR中央・総武線各駅停車,荻窪,新橋,1,33
JR中央・総武線各駅停車,阿佐ケ谷,新橋,1,32
JR中央・総武線各駅停車,高円寺,新橋,1,30
JR中央・総武線各駅停車,中野,新橋,1,27
JR中央・総武線各駅停車,東中野,新橋,0,40
JR中央・総武線各駅停車,大久保,新橋,1,37
JR中央・総武線各駅停車,新宿,新橋,0,30
JR中央・総武線各駅停車,代々木,新橋,0,28
JR中央・総武線各駅停車,千駄ケ谷,新橋,0,31
JR中央・総武線各駅停車,信濃町,新橋,1,26
JR中央・総武線各駅停車,四ツ谷,新橋,1,9
JR中央・総武線各駅停車,市ケ谷,新橋,1,13
JR中央・総武線各駅停車,飯田橋,新橋,1,16
JR中央・総武線各駅停車,水道橋,新橋,0,17
JR中央・総武線各駅停車,御茶ノ水,新橋,1,12
JR中央・総武線各駅停車,秋葉原,新橋,0,9
JR中央・総武線各駅停車,浅草橋,新橋,0,11
JR中央・総武線各駅停車,両国,新橋,1,17
JR中央・総武線各駅停車,錦糸町,新橋,0,12
JR中央・総武線各駅停車,亀戸,新橋,1,17
JR中央・総武線各駅停車,平井,新橋,1,20
JR中央・総武線各駅停車,新小岩,新橋,0,18
JR中央・総武線各駅停車,小岩,新橋,1,24
JR中央・総武線各駅停車,市川,新橋,0,23
JR中央・総武線各駅停車,下総中山,新橋,1,33
JR中央・総武線各駅停車,西船橋,新橋,1,36
JR中央・総武線各駅停車,船橋,新橋,0,30
JR中央・総武線各駅停車,東船橋,新橋,1,37
JR中央・総武線各駅停車,津田沼,新橋,0,34
JR中央・総武線各駅停車,幕張本郷,新橋,1,42
JR中央・総武線各駅停車,幕張,新橋,1,45
JR中央・総武線各駅停車,新検見川,新橋,1,47
JR中央・総武線各駅停車,稲毛,新橋,0,41
JR中央・総武線各駅停車,西千葉,新橋,1,46
JR中央・総武線各駅停車,千葉,新橋,0,46
JR中央線,東京,新橋,0,2
JR中央線,神田,新橋,0,7
JR中央線,御茶ノ水,新橋,1,12
JR中央線,四ツ谷,新橋,1,9
JR中央線,新宿,新橋,0,30
JR中央線,中野,新橋,1,27
JR中央線,高円寺,新橋,1,30
JR中央線,阿佐ケ谷,新橋,1,32
JR中央線,荻窪,新橋,1,33
JR中央線,西荻窪,新橋,1,37
JR中央線,吉祥寺,新橋,1,39
JR中央線,三鷹,新橋,1,42
JR中央線,武蔵境,新橋,1,45
JR中央線,東小金井,新橋,1,48
JR中央線,武蔵小金井,新橋,1,50
JR中央線,国分寺,新橋,1,54
JR中央線,西国分寺,新橋,1,56
JR中央線,国立,新橋,1,59
JR中央線,立川,新橋,1,63
JR中央線,日野,新橋,1,67
JR中央線,豊田,新橋,1,69
JR中央線,八王子,新橋,1,74
JR中央線,西八王子,新橋,1,78
JR中央線,高尾,新橋,1,81
JR久留里線,木更津,新橋,0,84
JR久留里線,上総清川,新橋,1,103
JR久留里線,東清川,新橋,1,106
JR久留里線,横田,新橋,1,111
JR久留里線,東横田,新橋,1,116
JR久留里線,馬来田,新橋,1,121
JR久留里線,下郡,新橋,1,125
JR久留里線,小櫃,新橋,1,129
JR久留里線,俵田,新橋,1,133
JR久留里線,久留里,新橋,1,138
JR久留里線,平山,新橋,1,96
JR久留里線,上総松丘,新橋,1,149
JR五日市線,拝島,新橋,1,79
JR五日市線,熊川,新橋,2,83
JR五日市線,東秋留,新橋,2,85
JR五日市線,秋川,新橋,2,91
JR五日市線,武蔵引田,新橋,2,93
JR五日市線,武蔵増戸,新橋,2,95
JR五日市線,武蔵五日市,新橋,2,100
JR京浜東北線,さいたま新都心,新橋,0,35
JR京浜東北線,与野,新橋,0,53
JR京浜東北線,北浦和,新橋,0,50
JR京浜東北線,浦和,新橋,0,30
JR京浜東北線,南浦和,新橋,0,45
JR京浜東北線,蕨,新橋,0,41
JR京浜東北線,西川口,新橋,0,38
JR京浜東北線,川口,新橋,0,35
JR京浜東北線,赤羽,新橋,0,22
JR京浜東北線,東十条,新橋,0,29
JR京浜東北線,王子,新橋,0,26
JR京浜東北線,上中里,新橋,0,24
JR京浜東北線,田端,新橋,0,20
JR京浜東北線,西日暮里,新橋,0,19
JR京浜東北線,日暮里,新橋,0,13
JR京浜東北線,鶯谷,新橋,0,15
JR京浜東北線,上野,新橋,0,9
JR京浜東北線,御徒町,新橋,0,11
JR京浜東北線,秋葉原,新橋,0,9
JR京浜東北線,神田,新橋,0,7
JR京浜東北線,東京,新橋,0,2
JR京浜東北線,有楽町,新橋,0,2
JR京浜東北線,浜松町,新橋,0,2
JR京浜東北線,田町,新橋,0,5
JR京浜東北線,高輪ゲートウェイ,新橋,0,7
JR京浜東北線,品川,新橋,0,4
JR京浜東北線,大井町,新橋,0,13
JR京浜東北線,大森,新橋,0,16
JR京浜東北線,蒲田,新橋,0,19
JR京浜東北線,川崎,新橋,0,17
JR京浜東北線,鶴見,新橋,0,28
JR京浜東北線,新子安,新橋,0,32
JR京浜東北線,東神奈川,新橋,0,36
JR京浜東北線,横浜,新橋,0,27
JR京浜東北線,桜木町,新橋,0,42
JR京浜東北線,関内,新橋,0,45
JR京浜東北線,石川町,新橋,0,47
JR京浜東北線,山手,新橋,0,49
JR京浜東北線,根岸,新橋,0,52
JR京浜東北線,磯子,新橋,0,55
JR京浜東北線,新杉田,新橋,0,58
JR京浜東北線,洋光台,新橋,0,61
JR京浜東北線,港南台,新橋,0,64
JR京浜東北線,本郷台,新橋,0,67
JR京浜東北線,大船,新橋,0,44
JR京葉線,東京,新橋,0,2
