line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,日本橋,3,226
JR中央・総武線各駅停車,吉祥寺,日本橋,3,223
JR中央・総武線各駅停車,西荻窪,日本橋,3,221
JR中央・総武線各駅停車,荻窪,日本橋,3,219
JR中央・総武線各駅停車,阿佐ケ谷,日本橋,3,217
JR中央・総武線各駅停車,高円寺,日本橋,3,215
JR中央・総武線各駅停車,中野,日本橋,3,212
JR中央・総武線各駅停車,東中野,日本橋,4,210
JR中央・総武線各駅停車,大久保,日本橋,4,208
JR中央・総武線各駅停車,新宿,日本橋,3,201
JR中央・総武線各駅停車,代々木,日本橋,3,199
JR中央・総武線各駅停車,千駄ケ谷,日本橋,4,213
JR中央・総武線各駅停車,信濃町,日本橋,4,212
JR中央・総武線各駅停車,四ツ谷,日本橋,3,204
JR中央・総武線各駅停車,市ケ谷,日本橋,3,215
JR中央・総武線各駅停車,飯田橋,日本橋,3,217
JR中央・総武線各駅停車,水道橋,日本橋,4,204
JR中央・総武線各駅停車,御茶ノ水,日本橋,3,199
JR中央・総武線各駅停車,秋葉原,日本橋,3,193
JR中央・総武線各駅停車,浅草橋,日本橋,3,209
JR中央・総武線各駅停車,両国,日本橋,4,205
JR中央・総武線各駅停車,錦糸町,日本橋,3,202
JR中央・総武線各駅停車,亀戸,日本橋,4,209
JR中央・総武線各駅停車,平井,日本橋,4,212
JR中央・総武線各駅停車,新小岩,日本橋,3,207
JR中央・総武線各駅停車,小岩,日本橋,4,218
JR中央・総武線各駅停車,市川,日本橋,3,212
JR中央・総武線各駅停車,下総中山,日本橋,4,225
JR中央・総武線各駅停車,西船橋,日本橋,3,238
JR中央・総武線各駅停車,船橋,日本橋,3,218
JR中央・総武線各駅停車,東船橋,日本橋,4,223
JR中央・総武線各駅停車,津田沼,日本橋,3,221
JR中央・総武線各駅停車,幕張本郷,日本橋,4,241
JR中央・総武線各駅停車,幕張,日本橋,4,243
JR中央・総武線各駅停車,新検見川,日本橋,4,246
JR中央・総武線各駅停車,稲毛,日本橋,3,228
JR中央・総武線各駅停車,西千葉,日本橋,4,251
JR中央・総武線各駅停車,千葉,日本橋,3,232
JR中央線,東京,日本橋,2,178
JR中央線,神田,日本橋,3,192
JR中央線,御茶ノ水,日本橋,3,199
JR中央線,四ツ谷,日本橋,3,204
JR中央線,新宿,日本橋,3,201
JR中央線,中野,日本橋,3,212
JR中央線,高円寺,日本橋,3,215
JR中央線,阿佐ケ谷,日本橋,3,217
JR中央線,荻窪,日本橋,3,219
JR中央線,西荻窪,日本橋,3,221
JR中央線,吉祥寺,日本橋,3,223
JR中央線,三鷹,日本橋,3,226
JR中央線,武蔵境,日本橋,3,228
JR中央線,東小金井,日本橋,3,231
JR中央線,武蔵小金井,日本橋,3,233
JR中央線,国分寺,日本橋,3,236
JR中央線,西国分寺,日本橋,3,238
JR中央線,国立,日本橋,3,240
JR中央線,立川,日本橋,3,243
JR中央線,日野,日本橋,3,246
JR中央線,豊田,日本橋,3,249
JR中央線,八王子,日本橋,3,215
JR中央線,西八王子,日本橋,3,268
JR中央線,高尾,日本橋,3,271
JR久留里線,木更津,日本橋,4,581
JR久留里線,上総清川,日本橋,5,634
JR久留里線,東清川,日本橋,5,638
JR久留里線,横田,日本橋,4,314
JR久留里線,東横田,日本橋,4,319
JR久留里線,馬来田,日本橋,4,324
JR久留里線,下郡,日本橋,4,328
JR久留里線,小櫃,日本橋,5,660
JR久留里線,俵田,日本橋,5,664
JR久留里線,久留里,日本橋,5,668
JR久留里線,平山,日本橋,4,244
JR久留里線,上総松丘,日本橋,5,788
JR五日市線,拝島,日本橋,4,525
JR五日市線,熊川,日本橋,5,533
JR五日市線,東秋留,日本橋,5,536
JR五日市線,秋川,日本橋,5,540
JR五日市線,武蔵引田,日本橋,5,542
