line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,東京,0,34
JR中央・総武線各駅停車,吉祥寺,東京,0,31
JR中央・総武線各駅停車,西荻窪,東京,0,29
JR中央・総武線各駅停車,荻窪,東京,0,26
JR中央・総武線各駅停車,阿佐ケ谷,東京,0,24
JR中央・総武線各駅停車,高円寺,東京,0,22
JR中央・総武線各駅停車,中野,東京,0,19
JR中央・総武線各駅停車,東中野,東京,1,24
JR中央・総武線各駅停車,大久保,東京,1,21
JR中央・総武線各駅停車,新宿,東京,0,13
JR中央・総武線各駅停車,代々木,東京,0,33
JR中央・総武線各駅停車,千駄ケ谷,東京,1,18
JR中央・総武線各駅停車,信濃町,東京,1,15
JR中央・総武線各駅停車,四ツ谷,東京,0,9
JR中央・総武線各駅停車,市ケ谷,東京,1,11
JR中央・総武線各駅停車,飯田橋,東京,0,17
JR中央・総武線各駅停車,水道橋,東京,0,16
JR中央・総武線各駅停車,御茶ノ水,東京,0,4
JR中央・総武線各駅停車,秋葉原,東京,0,4
JR中央・総武線各駅停車,浅草橋,東京,1,10
JR中央・総武線各駅停車,両国,東京,1,12
JR中央・総武線各駅停車,錦糸町,東京,0,8
JR中央・総武線各駅停車,亀戸,東京,1,13
JR中央・総武線各駅停車,平井,東京,1,17
JR中央・総武線各駅停車,新小岩,東京,0,14
JR中央・総武線各駅停車,小岩,東京,1,20
JR中央・総武線各駅停車,市川,東京,0,19
JR中央・総武線各駅停車,下総中山,東京,1,28
JR中央・総武線各駅停車,西船橋,東京,0,31
JR中央・総武線各駅停車,船橋,東京,0,26
JR中央・総武線各駅停車,東船橋,東京,1,32
JR中央・総武線各駅停車,津田沼,東京,0,30
JR中央・総武線各駅停車,幕張本郷,東京,1,39
JR中央・総武線各駅停車,幕張,東京,1,42
JR中央・総武線各駅停車,新検見川,東京,1,44
JR中央・総武線各駅停車,稲毛,東京,0,37
JR中央・総武線各駅停車,西千葉,東京,1,50
JR中央・総武線各駅停車,千葉,東京,0,41
JR中央線,神田,東京,0,1
JR中央線,御茶ノ水,東京,0,4
JR中央線,四ツ谷,東京,0,9
JR中央線,新宿,東京,0,13
JR中央線,中野,東京,0,19
