line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,桜田門,1,45
JR中央・総武線各駅停車,吉祥寺,桜田門,1,42
JR中央・総武線各駅停車,西荻窪,桜田門,1,39
JR中央・総武線各駅停車,荻窪,桜田門,1,36
JR中央・総武線各駅停車,阿佐ケ谷,桜田門,1,34
JR中央・総武線各駅停車,高円寺,桜田門,1,31
JR中央・総武線各駅停車,中野,桜田門,1,29
JR中央・総武線各駅停車,東中野,桜田門,1,26
JR中央・総武線各駅停車,大久保,桜田門,1,23
JR中央・総武線各駅停車,新宿,桜田門,1,16
JR中央・総武線各駅停車,代々木,桜田門,1,20
JR中央・総武線各駅停車,千駄ケ谷,桜田門,1,17
JR中央・総武線各駅停車,信濃町,桜田門,1,15
JR中央・総武線各駅停車,四ツ谷,桜田門,1,10
JR中央・総武線各駅停車,市ケ谷,桜田門,0,6
JR中央・総武線各駅停車,飯田橋,桜田門,0,9
JR中央・総武線各駅停車,水道橋,桜田門,1,14
JR中央・総武線各駅停車,御茶ノ水,桜田門,1,17
JR中央・総武線各駅停車,秋葉原,桜田門,1,16
JR中央・総武線各駅停車,浅草橋,桜田門,1,22
JR中央・総武線各駅停車,両国,桜田門,1,24
JR中央・総武線各駅停車,錦糸町,桜田門,1,27
JR中央・総武線各駅停車,亀戸,桜田門,1,29
JR中央・総武線各駅停車,平井,桜田門,1,32
JR中央・総武線各駅停車,新小岩,桜田門,1,36
JR中央・総武線各駅停車,小岩,桜田門,1,39
JR中央・総武線各駅停車,市川,桜田門,1,43
JR中央・総武線各駅停車,下総中山,桜田門,1,48
JR中央・総武線各駅停車,西船橋,桜田門,1,38
JR中央・総武線各駅停車,船橋,桜田門,1,54
JR中央・総武線各駅停車,東船橋,桜田門,1,56
JR中央・総武線各駅停車,津田沼,桜田門,1,59
JR中央・総武線各駅停車,幕張本郷,桜田門,1,63
JR中央・総武線各駅停車,幕張,桜田門,1,66
JR中央・総武線各駅停車,新検見川,桜田門,1,69
JR中央・総武線各駅停車,稲毛,桜田門,2,59
JR中央・総武線各駅停車,西千葉,桜田門,2,65
JR中央・総武線各駅停車,千葉,桜田門,2,63
JR中央線,東京,桜田門,1,11
JR中央線,神田,桜田門,1,14
JR中央線,御茶ノ水,桜田門,1,17
JR中央線,四ツ谷,桜田門,1,10
JR中央線,新宿,桜田門,1,16
JR中央線,中野,桜田門,1,29
JR中央線,高円寺,桜田門,1,31
JR中央線,阿佐ケ谷,桜田門,1,34
JR中央線,荻窪,桜田門,1,36
JR中央線,西荻窪,桜田門,1,39
JR中央線,吉祥寺,桜田門,1,42
JR中央線,三鷹,桜田門,1,45
JR中央線,武蔵境,桜田門,2,44
JR中央線,東小金井,桜田門,2,47
JR中央線,武蔵小金井,桜田門,2,49
JR中央線,国分寺,桜田門,2,53
JR中央線,西国分寺,桜田門,1,80
JR中央線,国立,桜田門,2,58
JR中央線,立川,桜田門,2,62
JR中央線,日野,桜田門,2,66
JR中央線,豊田,桜田門,2,68
JR中央線,八王子,桜田門,2,73
JR中央線,西八王子,桜田門,2,77
JR中央線,高尾,桜田門,2,80
JR久留里線,木更津,桜田門,1,93
JR久留里線,上総清川,桜田門,3,102
JR久留里線,東清川,桜田門,3,105
JR久留里線,横田,桜田門,3,110
JR久留里線,東横田,桜田門,3,115
JR久留里線,馬来田,桜田門,3,120
JR久留里線,下郡,桜田門,3,124
JR久留里線,小櫃,桜田門,3,128
JR久留里線,俵田,桜田門,3,132
JR久留里線,久留里,桜田門,3,137
JR久留里線,平山,桜田門,2,80
JR久留里線,上総松丘,桜田門,3,148
JR五日市線,拝島,桜田門,2,80
JR五日市線,熊川,桜田門,3,82
JR五日市線,東秋留,桜田門,3,84
JR五日市線,秋川,桜田門,3,90
JR五日市線,武蔵引田,桜田門,3,92
JR五日市線,武蔵増戸,桜田門,3,94
JR五日市線,武蔵五日市,桜田門,3,99
JR京浜東北線,さいたま新都心,桜田門,2,47
JR京浜東北線,与野,桜田門,1,61
JR京浜東北線,北浦和,桜田門,1,59
JR京浜東北線,浦和,桜田門,1,46
JR京浜東北線,南浦和,桜田門,1,52
JR京浜東北線,蕨,桜田門,1,48
JR京浜東北線,西川口,桜田門,1,45
JR京浜東北線,川口,桜田門,1,42
JR京浜東北線,赤羽,桜田門,1,36
JR京浜東北線,東十条,桜田門,1,36
JR京浜東北線,王子,桜田門,1,26
JR京浜東北線,上中里,桜田門,1,31
JR京浜東北線,田端,桜田門,1,28
JR京浜東北線,西日暮里,桜田門,1,25
JR京浜東北線,日暮里,桜田門,1,24
JR京浜東北線,鶯谷,桜田門,1,22
JR京浜東北線,上野,桜田門,1,20
JR京浜東北線,御徒町,桜田門,1,18
JR京浜東北線,秋葉原,桜田門,1,16
JR京浜東北線,神田,桜田門,1,14
JR京浜東北線,東京,桜田門,1,11
JR京浜東北線,有楽町,桜田門,0,1
JR京浜東北線,新橋,桜田門,1,11
JR京浜東北線,浜松町,桜田門,1,13
JR京浜東北線,田町,桜田門,1,16
JR京浜東北線,高輪ゲートウェイ,桜田門,1,18
JR京浜東北線,品川,桜田門,1,20
JR京浜東北線,大井町,桜田門,1,24
JR京浜東北線,大森,桜田門,1,27
JR京浜東北線,蒲田,桜田門,1,30
JR京浜東北線,川崎,桜田門,1,35
JR京浜東北線,鶴見,桜田門,1,39
JR京浜東北線,新子安,桜田門,1,43
JR京浜東北線,東神奈川,桜田門,1,46
JR京浜東北線,横浜,桜田門,1,52
JR京浜東北線,桜木町,桜田門,1,53
JR京浜東北線,関内,桜田門,1,58
JR京浜東北線,石川町,桜田門,1,60
JR京浜東北線,山手,桜田門,1,62
JR京浜東北線,根岸,桜田門,1,65
JR京浜東北線,磯子,桜田門,1,68
JR京浜東北線,新杉田,桜田門,1,71
JR京浜東北線,洋光台,桜田門,1,74
JR京浜東北線,港南台,桜田門,1,77
JR京浜東北線,本郷台,桜田門,1,80
JR京浜東北線,大船,桜田門,2,59
JR京葉線,東京,桜田門,1,11
JR京葉線,八丁堀,桜田門,1,15
JR京葉線,越中島,桜田門,1,27
JR京葉線,潮見,桜田門,1,22
JR京葉線,新木場,桜田門,0,15
JR京葉線,葛西臨海公園,桜田門,1,22
JR京葉線,舞浜,桜田門,1,25
JR京葉線,新浦安,桜田門,1,29
JR京葉線,市川塩浜,桜田門,1,32
JR京葉線,二俣新町,桜田門,1,37
JR京葉線,南船橋,桜田門,1,41
JR京葉線,新習志野,桜田門,1,44
JR京葉線,海浜幕張,桜田門,1,46
JR京葉線,検見川浜,桜田門,1,49
JR京葉線,稲毛海岸,桜田門,1,51
JR京葉線,千葉みなと,桜田門,1,55
JR京葉線,蘇我,桜田門,1,59
JR八高線,八王子,桜田門,2,73
JR八高線,北八王子,桜田門,3,79
JR八高線,小宮,桜田門,3,86
JR八高線,拝島,桜田門,2,80
JR八高線,東福生,桜田門,3,87
JR八高線,箱根ケ崎,桜田門,1,125
JR八高線,金子,桜田門,1,117
JR八高線,東飯能,桜田門,1,93
JR八高線,高麗川,桜田門,1,103
JR八高線,毛呂,桜田門,2,120
JR八高線,越生,桜田門,1,110
JR八高線,明覚,桜田門,2,124
JR八高線,小川町,桜田門,1,18
JR八高線,竹沢,桜田門,2,123
JR八高線,折原,桜田門,2,128
JR八高線,寄居,桜田門,2,124
JR八高線,用土,桜田門,2,140
JR八高線,児玉,桜田門,2,150
JR八高線,丹荘,桜田門,2,156
JR八高線,群馬藤岡,桜田門,2,161
JR八高線,北藤岡,桜田門,2,166
JR八高線,倉賀野,桜田門,1,134
JR八高線,高崎,桜田門,1,139
JR内房線,千葉,桜田門,2,63
JR内房線,本千葉,桜田門,2,66
JR内房線,蘇我,桜田門,1,59
JR内房線,浜野,桜田門,1,66
JR内房線,八幡宿,桜田門,1,68
JR内房線,五井,桜田門,1,72
JR内房線,姉ケ崎,桜田門,1,77
JR内房線,袖ケ浦,桜田門,1,86
JR内房線,巌根,桜田門,1,89
JR内房線,木更津,桜田門,1,93
JR内房線,君津,桜田門,1,101
JR内房線,青堀,桜田門,1,105
JR内房線,大貫,桜田門,1,110
JR内房線,佐貫町,桜田門,1,114
JR内房線,上総湊,桜田門,1,119
JR内房線,竹岡,桜田門,2,140
