line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,溜池山王,1,37
JR中央・総武線各駅停車,吉祥寺,溜池山王,1,34
JR中央・総武線各駅停車,西荻窪,溜池山王,1,32
JR中央・総武線各駅停車,荻窪,溜池山王,1,31
JR中央・総武線各駅停車,阿佐ケ谷,溜池山王,1,26
JR中央・総武線各駅停車,高円寺,溜池山王,1,24
JR中央・総武線各駅停車,中野,溜池山王,1,22
JR中央・総武線各駅停車,東中野,溜池山王,1,24
JR中央・総武線各駅停車,大久保,溜池山王,1,22
JR中央・総武線各駅停車,新宿,溜池山王,0,28
JR中央・総武線各駅停車,代々木,溜池山王,1,14
JR中央・総武線各駅停車,千駄ケ谷,溜池山王,1,16
JR中央・総武線各駅停車,信濃町,溜池山王,1,14
JR中央・総武線各駅停車,四ツ谷,溜池山王,0,4
JR中央・総武線各駅停車,市ケ谷,溜池山王,0,6
JR中央・総武線各駅停車,飯田橋,溜池山王,0,9
JR中央・総武線各駅停車,水道橋,溜池山王,1,18
JR中央・総武線各駅停車,御茶ノ水,溜池山王,0,26
JR中央・総武線各駅停車,秋葉原,溜池山王,1,18
JR中央・総武線各駅停車,浅草橋,溜池山王,1,22
JR中央・総武線各駅停車,両国,溜池山王,1,27
JR中央・総武線各駅停車,錦糸町,溜池山王,1,22
JR中央・総武線各駅停車,亀戸,溜池山王,1,33
JR中央・総武線各駅停車,平井,溜池山王,1,36
JR中央・総武線各駅停車,新小岩,溜池山王,1,28
JR中央・総武線各駅停車,小岩,溜池山王,1,42
JR中央・総武線各駅停車,市川,溜池山王,1,33
JR中央・総武線各駅停車,下総中山,溜池山王,1,51
JR中央・総武線各駅停車,西船橋,溜池山王,1,48
JR中央・総武線各駅停車,船橋,溜池山王,1,38
JR中央・総武線各駅停車,東船橋,溜池山王,1,55
JR中央・総武線各駅停車,津田沼,溜池山王,1,42
JR中央・総武線各駅停車,幕張本郷,溜池山王,1,67
JR中央・総武線各駅停車,幕張,溜池山王,1,70
JR中央・総武線各駅停車,新検見川,溜池山王,1,72
JR中央・総武線各駅停車,稲毛,溜池山王,1,52
JR中央・総武線各駅停車,西千葉,溜池山王,1,76
JR中央・総武線各駅停車,千葉,溜池山王,1,56
JR中央線,東京,溜池山王,0,16
JR中央線,神田,溜池山王,0,14
JR中央線,御茶ノ水,溜池山王,0,26
JR中央線,四ツ谷,溜池山王,0,4
JR中央線,新宿,溜池山王,0,28
JR中央線,中野,溜池山王,1,22
JR中央線,高円寺,溜池山王,1,24
JR中央線,阿佐ケ谷,溜池山王,1,26
JR中央線,荻窪,溜池山王,1,31
JR中央線,西荻窪,溜池山王,1,32
JR中央線,吉祥寺,溜池山王,1,34
JR中央線,三鷹,溜池山王,1,37
JR中央線,武蔵境,溜池山王,1,40
JR中央線,東小金井,溜池山王,1,42
JR中央線,武蔵小金井,溜池山王,1,45
JR中央線,国分寺,溜池山王,1,48
JR中央線,西国分寺,溜池山王,1,51
JR中央線,国立,溜池山王,1,54
JR中央線,立川,溜池山王,1,57
JR中央線,日野,溜池山王,1,60
JR中央線,豊田,溜池山王,1,62
JR中央線,八王子,溜池山王,1,67
JR中央線,西八王子,溜池山王,1,71
JR中央線,高尾,溜池山王,1,74
JR久留里線,木更津,溜池山王,1,93
JR久留里線,上総清川,溜池山王,2,110
JR久留里線,東清川,溜池山王,2,113
JR久留里線,横田,溜池山王,2,118
JR久留里線,東横田,溜池山王,2,123
JR久留里線,馬来田,溜池山王,2,128
JR久留里線,下郡,溜池山王,2,132
JR久留里線,小櫃,溜池山王,2,136
JR久留里線,俵田,溜池山王,2,140
JR久留里線,久留里,溜池山王,2,145
JR久留里線,平山,溜池山王,1,91
JR久留里線,上総松丘,溜池山王,2,156
JR五日市線,拝島,溜池山王,1,71
JR五日市線,熊川,溜池山王,2,77
JR五日市線,東秋留,溜池山王,2,80
JR五日市線,秋川,溜池山王,2,89
JR五日市線,武蔵引田,溜池山王,2,91
