line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,虎ノ門,1,48
JR中央・総武線各駅停車,吉祥寺,虎ノ門,1,46
JR中央・総武線各駅停車,西荻窪,虎ノ門,1,43
JR中央・総武線各駅停車,荻窪,虎ノ門,1,31
JR中央・総武線各駅停車,阿佐ケ谷,虎ノ門,1,38
JR中央・総武線各駅停車,高円寺,虎ノ門,1,36
JR中央・総武線各駅停車,中野,虎ノ門,1,33
JR中央・総武線各駅停車,東中野,虎ノ門,1,28
JR中央・総武線各駅停車,大久保,虎ノ門,2,21
JR中央・総武線各駅停車,新宿,虎ノ門,1,18
JR中央・総武線各駅停車,代々木,虎ノ門,1,16
JR中央・総武線各駅停車,千駄ケ谷,虎ノ門,1,19
JR中央・総武線各駅停車,信濃町,虎ノ門,2,13
JR中央・総武線各駅停車,四ツ谷,虎ノ門,1,7
JR中央・総武線各駅停車,市ケ谷,虎ノ門,1,11
JR中央・総武線各駅停車,飯田橋,虎ノ門,1,15
JR中央・総武線各駅停車,水道橋,虎ノ門,1,19
JR中央・総武線各駅停車,御茶ノ水,虎ノ門,1,17
JR中央・総武線各駅停車,秋葉原,虎ノ門,0,29
JR中央・総武線各駅停車,浅草橋,虎ノ門,1,19
JR中央・総武線各駅停車,両国,虎ノ門,1,36
JR中央・総武線各駅停車,錦糸町,虎ノ門,1,18
JR中央・総武線各駅停車,亀戸,虎ノ門,1,45
JR中央・総武線各駅停車,平井,虎ノ門,1,48
JR中央・総武線各駅停車,新小岩,虎ノ門,1,24
JR中央・総武線各駅停車,小岩,虎ノ門,1,54
JR中央・総武線各駅停車,市川,虎ノ門,1,29
JR中央・総武線各駅停車,下総中山,虎ノ門,1,63
JR中央・総武線各駅停車,西船橋,虎ノ門,1,47
JR中央・総武線各駅停車,船橋,虎ノ門,1,36
JR中央・総武線各駅停車,東船橋,虎ノ門,1,53
JR中央・総武線各駅停車,津田沼,虎ノ門,1,40
JR中央・総武線各駅停車,幕張本郷,虎ノ門,1,80
JR中央・総武線各駅停車,幕張,虎ノ門,1,82
JR中央・総武線各駅停車,新検見川,虎ノ門,1,85
JR中央・総武線各駅停車,稲毛,虎ノ門,1,50
JR中央・総武線各駅停車,西千葉,虎ノ門,2,53
JR中央・総武線各駅停車,千葉,虎ノ門,1,54
JR中央線,東京,虎ノ門,1,9
JR中央線,神田,虎ノ門,0,12
JR中央線,御茶ノ水,虎ノ門,1,17
JR中央線,四ツ谷,虎ノ門,1,7
JR中央線,新宿,虎ノ門,1,18
JR中央線,中野,虎ノ門,1,33
JR中央線,高円寺,虎ノ門,1,36
JR中央線,阿佐ケ谷,虎ノ門,1,38
JR中央線,荻窪,虎ノ門,1,31
JR中央線,西荻窪,虎ノ門,1,43
JR中央線,吉祥寺,虎ノ門,1,46
JR中央線,三鷹,虎ノ門,1,48
JR中央線,武蔵境,虎ノ門,1,51
JR中央線,東小金井,虎ノ門,1,54
JR中央線,武蔵小金井,虎ノ門,1,56
JR中央線,国分寺,虎ノ門,1,60
JR中央線,西国分寺,虎ノ門,1,62
JR中央線,国立,虎ノ門,1,65
JR中央線,立川,虎ノ門,1,69
JR中央線,日野,虎ノ門,1,74
JR中央線,豊田,虎ノ門,1,77
JR中央線,八王子,虎ノ門,1,82
JR中央線,西八王子,虎ノ門,1,87
JR中央線,高尾,虎ノ門,1,90
JR久留里線,木更津,虎ノ門,1,91
JR久留里線,上総清川,虎ノ門,2,110
JR久留里線,東清川,虎ノ門,2,113
JR久留里線,横田,虎ノ門,2,118
JR久留里線,東横田,虎ノ門,2,123
JR久留里線,馬来田,虎ノ門,2,128
JR久留里線,下郡,虎ノ門,2,132
JR久留里線,小櫃,虎ノ門,2,136
JR久留里線,俵田,虎ノ門,2,140
JR久留里線,久留里,虎ノ門,2,145
JR久留里線,平山,虎ノ門,2,83
JR久留里線,上総松丘,虎ノ門,2,156
JR五日市線,拝島,虎ノ門,1,83
JR五日市線,熊川,虎ノ門,3,77
JR五日市線,東秋留,虎ノ門,3,80
JR五日市線,秋川,虎ノ門,3,88
JR五日市線,武蔵引田,虎ノ門,3,90
JR五日市線,武蔵増戸,虎ノ門,3,92
JR五日市線,武蔵五日市,虎ノ門,3,97
JR京浜東北線,さいたま新都心,虎ノ門,1,44
JR京浜東北線,与野,虎ノ門,1,61
JR京浜東北線,北浦和,虎ノ門,1,59
JR京浜東北線,浦和,虎ノ門,1,40
JR京浜東北線,南浦和,虎ノ門,1,52
JR京浜東北線,蕨,虎ノ門,1,48
JR京浜東北線,西川口,虎ノ門,1,45
JR京浜東北線,川口,虎ノ門,1,42
JR京浜東北線,赤羽,虎ノ門,1,30
JR京浜東北線,東十条,虎ノ門,1,36
JR京浜東北線,王子,虎ノ門,1,29
JR京浜東北線,上中里,虎ノ門,1,31
JR京浜東北線,田端,虎ノ門,1,28
JR京浜東北線,西日暮里,虎ノ門,1,26
JR京浜東北線,日暮里,虎ノ門,1,24
JR京浜東北線,鶯谷,虎ノ門,1,22
JR京浜東北線,上野,虎ノ門,0,17
JR京浜東北線,御徒町,虎ノ門,0,22
JR京浜東北線,秋葉原,虎ノ門,0,29
JR京浜東北線,神田,虎ノ門,0,12
JR京浜東北線,東京,虎ノ門,1,9
JR京浜東北線,有楽町,虎ノ門,0,18
JR京浜東北線,新橋,虎ノ門,0,1
JR京浜東北線,浜松町,虎ノ門,1,9
JR京浜東北線,田町,虎ノ門,1,11
JR京浜東北線,高輪ゲートウェイ,虎ノ門,1,14
JR京浜東北線,品川,虎ノ門,1,12
JR京浜東北線,大井町,虎ノ門,1,19
JR京浜東北線,大森,虎ノ門,1,22
JR京浜東北線,蒲田,虎ノ門,1,28
JR京浜東北線,川崎,虎ノ門,1,23
JR京浜東北線,鶴見,虎ノ門,1,35
JR京浜東北線,新子安,虎ノ門,1,39
JR京浜東北線,東神奈川,虎ノ門,1,43
JR京浜東北線,横浜,虎ノ門,1,35
JR京浜東北線,桜木町,虎ノ門,1,49
JR京浜東北線,関内,虎ノ門,1,53
JR京浜東北線,石川町,虎ノ門,1,55
JR京浜東北線,山手,虎ノ門,1,57
JR京浜東北線,根岸,虎ノ門,1,60
JR京浜東北線,磯子,虎ノ門,1,63
JR京浜東北線,新杉田,虎ノ門,1,64
JR京浜東北線,洋光台,虎ノ門,1,68
JR京浜東北線,港南台,虎ノ門,1,70
JR京浜東北線,本郷台,虎ノ門,1,73
JR京浜東北線,大船,虎ノ門,1,52
JR京葉線,東京,虎ノ門,1,9
JR京葉線,八丁堀,虎ノ門,0,20
JR京葉線,越中島,虎ノ門,1,28
JR京葉線,潮見,虎ノ門,1,31
JR京葉線,新木場,虎ノ門,1,23
JR京葉線,葛西臨海公園,虎ノ門,1,37
JR京葉線,舞浜,虎ノ門,1,40
