line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,銀座一丁目,1,43
JR中央・総武線各駅停車,吉祥寺,銀座一丁目,1,40
JR中央・総武線各駅停車,西荻窪,銀座一丁目,1,38
JR中央・総武線各駅停車,荻窪,銀座一丁目,0,40
JR中央・総武線各駅停車,阿佐ケ谷,銀座一丁目,1,32
JR中央・総武線各駅停車,高円寺,銀座一丁目,1,30
JR中央・総武線各駅停車,中野,銀座一丁目,1,27
JR中央・総武線各駅停車,東中野,銀座一丁目,1,33
JR中央・総武線各駅停車,大久保,銀座一丁目,1,30
JR中央・総武線各駅停車,新宿,銀座一丁目,0,29
JR中央・総武線各駅停車,代々木,銀座一丁目,1,25
JR中央・総武線各駅停車,千駄ケ谷,銀座一丁目,1,23
JR中央・総武線各駅停車,信濃町,銀座一丁目,1,21
JR中央・総武線各駅停車,四ツ谷,銀座一丁目,0,16
JR中央・総武線各駅停車,市ケ谷,銀座一丁目,0,11
JR中央・総武線各駅停車,飯田橋,銀座一丁目,0,14
JR中央・総武線各駅停車,水道橋,銀座一丁目,1,18
JR中央・総武線各駅停車,御茶ノ水,銀座一丁目,0,15
JR中央・総武線各駅停車,秋葉原,銀座一丁目,0,22
JR中央・総武線各駅停車,浅草橋,銀座一丁目,1,22
JR中央・総武線各駅停車,両国,銀座一丁目,1,25
JR中央・総武線各駅停車,錦糸町,銀座一丁目,1,24
JR中央・総武線各駅停車,亀戸,銀座一丁目,1,33
JR中央・総武線各駅停車,平井,銀座一丁目,1,36
JR中央・総武線各駅停車,新小岩,銀座一丁目,1,30
JR中央・総武線各駅停車,小岩,銀座一丁目,1,43
JR中央・総武線各駅停車,市川,銀座一丁目,1,35
JR中央・総武線各駅停車,下総中山,銀座一丁目,1,52
JR中央・総武線各駅停車,西船橋,銀座一丁目,1,34
JR中央・総武線各駅停車,船橋,銀座一丁目,1,42
JR中央・総武線各駅停車,東船橋,銀座一丁目,1,55
JR中央・総武線各駅停車,津田沼,銀座一丁目,1,46
JR中央・総武線各駅停車,幕張本郷,銀座一丁目,1,67
JR中央・総武線各駅停車,幕張,銀座一丁目,1,70
JR中央・総武線各駅停車,新検見川,銀座一丁目,1,73
JR中央・総武線各駅停車,稲毛,銀座一丁目,1,54
JR中央・総武線各駅停車,西千葉,銀座一丁目,1,78
JR中央・総武線各駅停車,千葉,銀座一丁目,1,58
JR中央線,東京,銀座一丁目,0,9
JR中央線,神田,銀座一丁目,0,14
JR中央線,御茶ノ水,銀座一丁目,0,15
JR中央線,四ツ谷,銀座一丁目,0,16
JR中央線,新宿,銀座一丁目,0,29
JR中央線,中野,銀座一丁目,1,27
JR中央線,高円寺,銀座一丁目,1,30
JR中央線,阿佐ケ谷,銀座一丁目,1,32
JR中央線,荻窪,銀座一丁目,0,40
JR中央線,西荻窪,銀座一丁目,1,38
JR中央線,吉祥寺,銀座一丁目,1,40
JR中央線,三鷹,銀座一丁目,1,43
JR中央線,武蔵境,銀座一丁目,1,46
JR中央線,東小金井,銀座一丁目,1,48
JR中央線,武蔵小金井,銀座一丁目,1,51
JR中央線,国分寺,銀座一丁目,1,54
JR中央線,西国分寺,銀座一丁目,1,57
JR中央線,国立,銀座一丁目,1,59
JR中央線,立川,銀座一丁目,1,63
JR中央線,日野,銀座一丁目,1,67
JR中央線,豊田,銀座一丁目,1,70
JR中央線,八王子,銀座一丁目,1,76
JR中央線,西八王子,銀座一丁目,1,79
JR中央線,高尾,銀座一丁目,1,83
JR久留里線,木更津,銀座一丁目,1,89
JR久留里線,上総清川,銀座一丁目,2,103
JR久留里線,東清川,銀座一丁目,2,106
JR久留里線,横田,銀座一丁目,2,111
JR久留里線,東横田,銀座一丁目,2,116
JR久留里線,馬来田,銀座一丁目,2,121
JR久留里線,下郡,銀座一丁目,2,125
JR久留里線,小櫃,銀座一丁目,2,129
JR久留里線,俵田,銀座一丁目,2,133
JR久留里線,久留里,銀座一丁目,2,138
