line,from,to,trans,min
JR中央・総武線各駅停車,三鷹,霞ケ関,1,35
JR中央・総武線各駅停車,吉祥寺,霞ケ関,1,33
JR中央・総武線各駅停車,西荻窪,霞ケ関,1,31
JR中央・総武線各駅停車,荻窪,霞ケ関,0,30
JR中央・総武線各駅停車,阿佐ケ谷,霞ケ関,1,25
JR中央・総武線各駅停車,高円寺,霞ケ関,1,23
JR中央・総武線各駅停車,中野,霞ケ関,1,21
JR中央・総武線各駅停車,東中野,霞ケ関,1,23
JR中央・総武線各駅停車,大久保,霞ケ関,1,20
JR中央・総武線各駅停車,新宿,霞ケ関,0,19
JR中央・総武線各駅停車,代々木,霞ケ関,1,16
JR中央・総武線各駅停車,千駄ケ谷,霞ケ関,1,14
JR中央・総武線各駅停車,信濃町,霞ケ関,1,12
JR中央・総武線各駅停車,四ツ谷,霞ケ関,0,6
JR中央・総武線各駅停車,市ケ谷,霞ケ関,1,12
JR中央・総武線各駅停車,飯田橋,霞ケ関,1,14
JR中央・総武線各駅停車,水道橋,霞ケ関,1,15
JR中央・総武線各駅停車,御茶ノ水,霞ケ関,0,10
JR中央・総武線各駅停車,秋葉原,霞ケ関,0,19
JR中央・総武線各駅停車,浅草橋,霞ケ関,1,18
JR中央・総武線各駅停車,両国,霞ケ関,1,23
JR中央・総武線各駅停車,錦糸町,霞ケ関,1,19
JR中央・総武線各駅停車,亀戸,霞ケ関,1,28
JR中央・総武線各駅停車,平井,霞ケ関,1,31
JR中央・総武線各駅停車,新小岩,霞ケ関,1,25
JR中央・総武線各駅停車,小岩,霞ケ関,1,38
JR中央・総武線各駅停車,市川,霞ケ関,1,30
JR中央・総武線各駅停車,下総中山,霞ケ関,1,47
JR中央・総武線各駅停車,西船橋,霞ケ関,1,49
JR中央・総武線各駅停車,船橋,霞ケ関,1,37
JR中央・総武線各駅停車,東船橋,霞ケ関,1,55
JR中央・総武線各駅停車,津田沼,霞ケ関,1,41
JR中央・総武線各駅停車,幕張本郷,霞ケ関,1,63
JR中央・総武線各駅停車,幕張,霞ケ関,1,65
JR中央・総武線各駅停車,新検見川,霞ケ関,1,68
JR中央・総武線各駅停車,稲毛,霞ケ関,1,49
JR中央・総武線各駅停車,西千葉,霞ケ関,1,73
JR中央・総武線各駅停車,千葉,霞ケ関,1,55
JR中央線,東京,霞ケ関,0,4
JR中央線,神田,霞ケ関,1,13
JR中央線,御茶ノ水,霞ケ関,0,10
JR中央線,四ツ谷,霞ケ関,0,6
JR中央線,新宿,霞ケ関,0,19
JR中央線,中野,霞ケ関,1,21
JR中央線,高円寺,霞ケ関,1,23
JR中央線,阿佐ケ谷,霞ケ関,1,25
JR中央線,荻窪,霞ケ関,0,30
JR中央線,西荻窪,霞ケ関,1,31
JR中央線,吉祥寺,霞ケ関,1,33
JR中央線,三鷹,霞ケ関,1,35
JR中央線,武蔵境,霞ケ関,1,38
JR中央線,東小金井,霞ケ関,1,41
JR中央線,武蔵小金井,霞ケ関,1,44
JR中央線,国分寺,霞ケ関,1,47
JR中央線,西国分寺,霞ケ関,1,50
JR中央線,国立,霞ケ関,1,53
JR中央線,立川,霞ケ関,1,56
JR中央線,日野,霞ケ関,1,58
JR中央線,豊田,霞ケ関,1,61
JR中央線,八王子,霞ケ関,1,68
JR中央線,西八王子,霞ケ関,1,72
JR中央線,高尾,霞ケ関,1,75
JR久留里線,木更津,霞ケ関,1,96
JR久留里線,上総清川,霞ケ関,2,98
JR久留里線,東清川,霞ケ関,2,101
