line,from,to,trans,min,lat,lng,price,walk_min
京成本線,お花茶屋,虎ノ門,1,46,35.7475917,139.8401103,8.4,4
JR京浜東北線,さいたま新都心,虎ノ門,1,44,35.893795,139.633741,11.0,4
京王線,つつじヶ丘,虎ノ門,2,47,35.6581118,139.5753087,9.8,4
西武池袋線,ひばりヶ丘,国会議事堂前,1,50,35.75142,139.545782,8.2,10
新京成線,みのり台,虎ノ門ヒルズ,2,53,35.7893535,139.9294876,6.2,4
都営新宿線,一之江,内幸町,1,33,35.685936,139.882978,8.7,13
JR常磐線,三河島,虎ノ門,1,28,35.7331755,139.7784846,11.9,4
つくばエクスプレス,三郷中央,国会議事堂前,1,46,35.824115,139.878056,8.3,10
JR中央・総武線各駅停車,三鷹,国会議事堂前,1,34,35.7027156,139.5610291,11.5,10
JR京浜東北線,上中里,虎ノ門,1,31,35.7465785,139.7469573,12.0,4
新京成線,上本郷,虎ノ門ヒルズ,2,50,35.7897487,139.9163439,7.7,4
東武東上線,上板橋,虎ノ門,2,41,35.7635268,139.6764216,10.1,4
西武新宿線,上石神井,虎ノ門,2,48,35.7262543,139.5921496,10.4,4
東急多摩川線,下丸子,虎ノ門ヒルズ,2,37,35.5712152,139.6858078,11.5,4
西武新宿線,下井草,虎ノ門,2,51,35.72387000000001,139.624693,10.7,4
東武東上線,下板橋,虎ノ門,2,37,35.7457094,139.7148162,12.0,4
JR中央・総武線各駅停車,下総中山,新橋,1,33,35.7143133,139.9430576,8.5,20
東武東上線,下赤塚,国会議事堂前,1,41,35.770476,139.644884,9.9,10
西武池袋線,中村橋,溜池山王,1,43,35.7367952,139.6376668,11.1,10
東武東上線,中板橋,虎ノ門,2,41,35.75560189999999,139.6954142,11.0,4
JR南武線,中野島,国会議事堂前,1,41,35.6301215,139.5500898,8.5,10
東急池上線,久が原,虎ノ門,2,42,35.5798491,139.685354,12.0,4
JR南武線,久地,国会議事堂前,1,39,35.6106071,139.5925028,9.5,10
京王井の頭線,久我山,虎ノ門,1,43,35.688151,139.599308,11.5,4
JR中央・総武線各駅停車,亀戸,新橋,1,17,35.6973225,139.8265658,11.4,20
東武亀戸線,亀戸水神,新橋,2,25,35.7002625,139.8336793,11.1,20
東急大井町線,二子新地,虎ノ門,1,35,35.60695750000001,139.6224949,11.4,4
東武伊勢崎線,五反野,虎ノ門ヒルズ,0,42,35.7660319,139.8093604,8.6,4
西武新宿線,井荻,虎ノ門,2,52,35.724675,139.61561,10.6,4
京急大師線,京急川崎,虎ノ門,1,35,35.5329877,139.7008715,10.6,4
京急本線,京急蒲田,虎ノ門,1,30,35.5613144,139.724151,12.0,4
京成本線,京成八幡,虎ノ門ヒルズ,1,48,35.723822,139.928167,10.0,4
京成本線,京成小岩,新橋,1,37,35.7420784,139.8839119,8.5,20
京成押上線,京成立石,虎ノ門,1,37,35.7382817,139.8486384,8.5,4
京成本線,京成船橋,虎ノ門,1,42,35.7001512,139.9854356,9.5,4
京成金町線,京成金町,虎ノ門ヒルズ,1,42,35.7685695,139.8704944,7.9,4
京成本線,京成関屋,虎ノ門,1,43,35.7439417,139.8118024,11.4,4
京成成田空港線,京成高砂,虎ノ門,1,39,35.7509628,139.8675536,8.2,4
京王相模原線,京王稲田堤,国会議事堂前,1,50,35.6337511,139.5312067,8.5,10
京王線,仙川,虎ノ門,2,48,35.66230360000001,139.5849083,10.9,4
西武池袋線,保谷,溜池山王,1,50,35.7483557,139.5676,8.7,10
東急東横線,元住吉,虎ノ門,1,42,35.5643213,139.6540395,10.5,4
都営大江戸線,光が丘,虎ノ門,1,43,35.7585093,139.6289329,10.2,4
つくばエクスプレス,八潮,国会議事堂前,1,43,35.8078127,139.8448461,8.0,10
つくばエクスプレス,六町,国会議事堂前,1,39,35.7848987,139.8216325,8.0,10
JR常磐線,北千住,国会議事堂前,0,27,35.7496762,139.8053433,10.9,10
北総鉄道北総線,北国分,虎ノ門ヒルズ,1,52,35.762929,139.913889,6.6,4
JR埼京線,北戸田,虎ノ門,1,49,35.827581,139.660269,8.3,4
東京メトロ千代田線,北綾瀬,虎ノ門ヒルズ,1,39,35.7770135,139.8321012,8.4,4
JR埼京線,北赤羽,虎ノ門,1,39,35.7866831,139.706194,10.3,4
JR埼京線,十条,虎ノ門,1,33,35.760257,139.7222387,11.4,4
京成本線,千住大橋,虎ノ門,1,36,35.742372,139.797261,11.6,4
京王線,千歳烏山,虎ノ門,2,43,35.6681814,139.6010149,11.6,4
東急池上線,千鳥町,虎ノ門,2,40,35.5729995,139.6914155,11.2,4
JR京浜東北線,南浦和,虎ノ門,1,52,35.8473849,139.6695734,8.3,4
東京メトロ東西線,南砂町,虎ノ門,1,24,35.6686978,139.8308161,10.7,4
埼玉高速鉄道線,南鳩ヶ谷,虎ノ門,1,43,35.8162585,139.7361382,7.7,4
JR中央・総武線各駅停車,吉祥寺,国会議事堂前,1,31,35.7031485,139.5798087,12.0,10
小田急小田原線,向ヶ丘遊園,虎ノ門,1,41,35.6171694,139.5645675,10.0,4
JR南武線,向河原,虎ノ門,2,35,35.5721934,139.6672787,12.0,4
東武東上線,和光市,国会議事堂前,1,42,35.788363,139.6127811,10.0,10
小田急小田原線,喜多見,虎ノ門,1,45,35.636684,139.587422,11.5,4
JR中央線,国分寺,国会議事堂前,1,45,35.7002201,139.4802697,9.5,10
東京メトロ副都心線,地下鉄成増,国会議事堂前,1,38,35.7766972,139.6311902,10.3,10
東京メトロ副都心線,地下鉄赤塚,国会議事堂前,1,36,35.769976,139.6440227,10.4,10
東武伊勢崎線,堀切,虎ノ門,1,43,35.7429583,139.817731,8.5,4
京成本線,堀切菖蒲園,虎ノ門,1,45,35.747622,139.827536,8.3,4
西武多摩川線,多磨,国会議事堂前,2,50,35.6766308,139.5170499,8.7,10
東武東上線,大山,虎ノ門,2,39,35.7485637,139.7022837,11.4,4
都営新宿線,大島,国会議事堂前,1,30,35.689932,139.8475291,8.6,10
東武大師線,大師前,虎ノ門ヒルズ,1,52,35.7788779,139.7816241,8.3,4
西武池袋線,大泉学園,溜池山王,1,47,35.7493601,139.5865462,9.3,10
京急空港線,天空橋,虎ノ門,1,37,35.548032,139.754661,11.0,4
都電荒川線,宮ノ前,国会議事堂前,1,38,35.749997,139.765577,9.8,10
JR南武線,宿河原,国会議事堂前,1,37,35.6153801,139.5797295,9.8,10
京王井の頭線,富士見ヶ丘,虎ノ門,1,41,35.6847865,139.6072018,11.5,4
西武池袋線,富士見台,溜池山王,1,45,35.7356895,139.629611,10.6,10
都電荒川線,小台,国会議事堂前,1,39,35.7505233,139.7615643,9.7,10
JR中央・総武線各駅停車,小岩,新橋,1,24,35.7174462,139.8586312,8.7,20
東武亀戸線,小村井,虎ノ門,2,42,35.7101364,139.8280191,11.5,4
西武有楽町線,小竹向原,国会議事堂前,1,29,35.74334109999999,139.6795208,11.0,10
東武伊勢崎線,小菅,虎ノ門ヒルズ,0,40,35.7587165,139.8126622,9.5,4
JR南武線,尻手,虎ノ門,2,32,35.5311934,139.6844966,10.4,4
JR宇都宮線,尾久,虎ノ門,1,22,35.746768,139.7546,11.0,4
JR京浜東北線,川口,虎ノ門,1,42,35.8155374,139.7043642,8.2,4
埼玉高速鉄道線,川口元郷,虎ノ門,1,42,35.800392,139.730209,8.5,4
JR京浜東北線,川崎,虎ノ門,1,23,35.5313654,139.696889,10.0,4
JR中央・総武線各駅停車,市川,虎ノ門,1,29,35.728821,139.908197,9.3,4
JR中央・総武線各駅停車,平井,新橋,1,20,35.7065625,139.8427227,9.7,20
東京メトロ副都心線,平和台,国会議事堂前,1,33,35.7575611,139.6543279,10.9,10
京急本線,平和島,虎ノ門,1,26,35.5787778,139.7349051,12.0,4
JR南武線,平間,虎ノ門,2,38,35.5605559,139.6710844,10.7,4
流鉄流山線,幸谷,虎ノ門ヒルズ,1,56,35.826334,139.9198036,7.2,4
東武東上線,志木,国会議事堂前,1,50,35.822163,139.575249,8.0,10
都営三田線,志村三丁目,虎ノ門ヒルズ,1,38,35.7774805,139.6858707,9.5,4
都営三田線,志村坂上,虎ノ門ヒルズ,1,36,35.7757692,139.6953874,9.9,4
東京メトロ南北線,志茂,虎ノ門,1,35,35.778324,139.7322949,12.0,4
東武東上線,成増,虎ノ門ヒルズ,2,46,35.7775982,139.6329467,10.0,4
埼玉高速鉄道線,戸塚安行,虎ノ門,1,52,35.8590492,139.7537087,7.9,4
JR埼京線,戸田公園,虎ノ門,1,44,35.8080807,139.6780402,8.5,4
日暮里・舎人ライナー,扇大橋,虎ノ門ヒルズ,2,36,35.763891,139.7708649,8.9,4
東京モノレール,整備場,虎ノ門,2,28,35.5551801,139.7534099,11.3,4
京成本線,新三河島,虎ノ門,1,32,35.7371879,139.7739183,11.3,4
埼玉高速鉄道線,新井宿,虎ノ門,1,48,35.842748,139.737956,7.4,4
JR中央・総武線各駅停車,新小岩,虎ノ門,1,24,35.7174462,139.8586312,8.7,4
西武多摩川線,新小金井,国会議事堂前,2,46,35.695926,139.526786,10.4,10
JR横須賀線,新川崎,虎ノ門,1,26,35.551696,139.671529,10.0,4
JR武蔵野線,新松戸,虎ノ門ヒルズ,1,51,35.8254725,139.920711,7.1,4
都営三田線,新板橋,虎ノ門ヒルズ,1,30,35.7488113,139.7201652,12.0,4
北総鉄道北総線,新柴又,虎ノ門,1,47,35.75114689999999,139.8794192,8.2,4
西武有楽町線,新桜台,国会議事堂前,1,34,35.7412366,139.6688231,11.0,10
JR横浜線,新横浜,虎ノ門ヒルズ,1,42,35.5076585,139.6175553,11.5,4
都営大江戸線,新江古田,虎ノ門,1,34,35.732592,139.670439,11.7,4
小田急多摩線,新百合ヶ丘,虎ノ門,1,51,35.60344,139.5077543,8.3,4
都営三田線,新高島平,虎ノ門ヒルズ,1,46,35.7902275,139.6542777,8.6,4
東急新横浜線,日吉,虎ノ門ヒルズ,1,36,35.553449,139.6470623,10.3,4
JR京浜東北線,日暮里,虎ノ門,1,24,35.7324125,139.7677967,12.0,4
東京モノレール,昭和島,虎ノ門,2,26,35.570682,139.7498986,10.8,4
東武東上線,朝霞,国会議事堂前,1,45,35.814553,139.587081,8.3,10
東武東上線,朝霞台,国会議事堂前,1,48,35.814553,139.587081,8.3,10
都営三田線,本蓮沼,虎ノ門ヒルズ,1,34,35.7685159,139.70247,10.8,4
東武亀戸線,東あずま,虎ノ門,2,44,35.7070922,139.831884,10.5,4
西武新宿線,東伏見,虎ノ門,2,52,35.7286904,139.5642362,9.1,4
JR京浜東北線,東十条,虎ノ門,1,36,35.763949,139.7268722,11.2,4
都営新宿線,東大島,内幸町,1,28,35.689932,139.8475291,8.6,13
JR中央線,東小金井,国会議事堂前,1,39,35.7015507,139.5239042,11.0,10
都電荒川線,東尾久三丁目,国会議事堂前,1,32,35.7457854,139.7736639,9.3,10
