line,from,to,trans,min,lat,lng,price,walk_min
JR中央・総武線各駅停車,三鷹,大塚,1,36,35.7027156,139.5610291,11.5,8
JR中央・総武線各駅停車,吉祥寺,大塚,1,33,35.7031485,139.5798087,12.0,8
JR中央・総武線各駅停車,西荻窪,大塚,1,30,35.7036961,139.600182,12.5,8
JR中央・総武線各駅停車,荻窪,大塚,1,28,35.7036961,139.600182,12.5,8
JR中央・総武線各駅停車,阿佐ケ谷,大塚,1,25,35.7049247,139.6361231,13.0,8
JR中央・総武線各駅停車,高円寺,大塚,1,23,35.7053457,139.6499291,13.0,8
JR中央・総武線各駅停車,中野,大塚,1,19,35.7054067,139.6658254,13.5,8
JR中央・総武線各駅停車,東中野,大塚,1,19,35.7062478,139.6837613,13.8,8
JR中央・総武線各駅停車,大久保,大塚,1,17,0.0,0.0,15.5,8
JR中央・総武線各駅停車,新宿,大塚,0,11,35.6896067,139.7005713,18.9,8
JR中央・総武線各駅停車,代々木,大塚,0,14,35.683033,139.7020555,18.5,8
JR中央・総武線各駅停車,千駄ケ谷,大塚,1,16,35.6811956,139.7112808,19.2,8
JR中央・総武線各駅停車,信濃町,大塚,1,17,35.6800602,139.7203199,17.8,8
JR中央・総武線各駅停車,四ツ谷,大塚,1,18,35.6861525,139.7302183,18.4,8
JR中央・総武線各駅停車,市ケ谷,大塚,1,20,35.6910121,139.7355674,18.9,8
JR中央・総武線各駅停車,飯田橋,大塚,1,18,35.7020837,139.7450232,17.5,8
JR中央・総武線各駅停車,水道橋,大塚,1,14,35.7020484,139.7535016,17.5,8
JR中央・総武線各駅停車,御茶ノ水,大塚,1,20,35.6997175,139.7644404,17.9,8
JR中央・総武線各駅停車,秋葉原,大塚,0,17,35.698383,139.7730717,17.0,8
JR中央・総武線各駅停車,浅草橋,大塚,1,22,35.6974952,139.7859834,16.2,8
JR中央・総武線各駅停車,両国,大塚,1,25,35.6961328,139.7927196,14.8,8
JR中央・総武線各駅停車,錦糸町,大塚,1,28,35.6967393,139.8144835,14.2,8
JR中央・総武線各駅停車,亀戸,大塚,1,30,35.6973225,139.8265658,11.4,8
JR中央・総武線各駅停車,平井,大塚,1,33,35.7065625,139.8427227,9.7,8
JR中央・総武線各駅停車,新小岩,大塚,1,36,35.7174462,139.8586312,8.7,8
JR中央・総武線各駅停車,小岩,大塚,1,40,35.7174462,139.8586312,8.7,8
JR中央・総武線各駅停車,市川,大塚,1,43,35.728821,139.908197,9.3,8
JR中央・総武線各駅停車,下総中山,大塚,1,49,35.7143133,139.9430576,8.5,8
JR中央・総武線各駅停車,西船橋,大塚,1,52,35.7074443,139.9590775,9.7,8
JR中央・総武線各駅停車,船橋,大塚,1,55,35.7074443,139.9590775,9.7,8
JR中央・総武線各駅停車,東船橋,大塚,1,57,35.6998137,140.0042979,9.2,8
JR中央・総武線各駅停車,津田沼,大塚,1,60,35.6912149,140.0204072,8.7,8
JR中央・総武線各駅停車,幕張本郷,大塚,1,64,35.6727454,140.042304,7.8,8
JR中央・総武線各駅停車,幕張,大塚,1,67,35.6727454,140.042304,7.8,8
JR中央・総武線各駅停車,新検見川,大塚,1,70,35.651751,140.073325,6.6,8
JR中央・総武線各駅停車,稲毛,大塚,1,70,35.63717,140.09249,6.8,8
JR中央・総武線各駅停車,西千葉,大塚,1,77,35.622644,140.103295,6.0,8
JR中央・総武線各駅停車,千葉,大塚,1,74,35.622644,140.103295,6.0,8
JR中央線,東京,大塚,0,21,35.68123620000001,139.7671248,18.8,8
JR中央線,神田,大塚,0,19,35.6918216,139.7709318,17.7,8
JR中央線,御茶ノ水,大塚,1,20,35.6997175,139.7644404,17.9,8
JR中央線,四ツ谷,大塚,1,18,35.6861525,139.7302183,18.4,8
JR中央線,新宿,大塚,0,11,35.6896067,139.7005713,18.9,8
JR中央線,中野,大塚,1,19,35.7054067,139.6658254,13.5,8
