line,from,to,trans,min,lat,lng,price,walk_min
JR中央・総武線各駅停車,三鷹,東京,0,34,35.7027156,139.5610291,11.5,2
JR中央・総武線各駅停車,吉祥寺,東京,0,31,35.7031485,139.5798087,12.0,2
JR中央・総武線各駅停車,西荻窪,東京,0,29,35.7036961,139.600182,12.5,2
JR中央・総武線各駅停車,荻窪,東京,0,26,35.7036961,139.600182,12.5,2
JR中央・総武線各駅停車,阿佐ケ谷,東京,0,24,35.7049247,139.6361231,13.0,2
JR中央・総武線各駅停車,高円寺,東京,0,22,35.7053457,139.6499291,13.0,2
JR中央・総武線各駅停車,中野,東京,0,19,35.7054067,139.6658254,13.5,2
JR中央・総武線各駅停車,東中野,東京,1,24,35.7062478,139.6837613,13.8,2
JR中央・総武線各駅停車,大久保,東京,1,21,0.0,0.0,15.5,2
JR中央・総武線各駅停車,新宿,東京,0,13,35.6896067,139.7005713,18.9,2
JR中央・総武線各駅停車,代々木,東京,0,33,35.683033,139.7020555,18.5,2
JR中央・総武線各駅停車,千駄ケ谷,東京,1,18,35.6811956,139.7112808,19.2,2
JR中央・総武線各駅停車,信濃町,東京,1,15,35.6800602,139.7203199,17.8,2
JR中央・総武線各駅停車,四ツ谷,東京,0,9,35.6861525,139.7302183,18.4,2
JR中央・総武線各駅停車,市ケ谷,東京,1,11,35.6910121,139.7355674,18.9,2
JR中央・総武線各駅停車,飯田橋,東京,0,17,35.7020837,139.7450232,17.5,2
JR中央・総武線各駅停車,水道橋,東京,0,16,35.7020484,139.7535016,17.5,2
JR中央・総武線各駅停車,御茶ノ水,東京,0,4,35.6997175,139.7644404,17.9,2
JR中央・総武線各駅停車,秋葉原,東京,0,4,35.698383,139.7730717,17.0,2
JR中央・総武線各駅停車,浅草橋,東京,1,10,35.6974952,139.7859834,16.2,2
JR中央・総武線各駅停車,両国,東京,1,12,35.6961328,139.7927196,14.8,2
JR中央・総武線各駅停車,錦糸町,東京,0,8,35.6967393,139.8144835,14.2,2
JR中央・総武線各駅停車,亀戸,東京,1,13,35.6973225,139.8265658,11.4,2
JR中央・総武線各駅停車,平井,東京,1,17,35.7065625,139.8427227,9.7,2
JR中央・総武線各駅停車,新小岩,東京,0,14,35.7174462,139.8586312,8.7,2
JR中央・総武線各駅停車,小岩,東京,1,20,35.7174462,139.8586312,8.7,2
JR中央・総武線各駅停車,市川,東京,0,19,35.728821,139.908197,9.3,2
JR中央・総武線各駅停車,下総中山,東京,1,28,35.7143133,139.9430576,8.5,2
JR中央・総武線各駅停車,西船橋,東京,0,31,35.7074443,139.9590775,9.7,2
JR中央・総武線各駅停車,船橋,東京,0,26,35.7074443,139.9590775,9.7,2
JR中央・総武線各駅停車,東船橋,東京,1,32,35.6998137,140.0042979,9.2,2
JR中央・総武線各駅停車,津田沼,東京,0,30,35.6912149,140.0204072,8.7,2
JR中央・総武線各駅停車,幕張本郷,東京,1,39,35.6727454,140.042304,7.8,2
JR中央・総武線各駅停車,幕張,東京,1,42,35.6727454,140.042304,7.8,2
JR中央・総武線各駅停車,新検見川,東京,1,44,35.651751,140.073325,6.6,2
JR中央・総武線各駅停車,稲毛,東京,0,37,35.63717,140.09249,6.8,2
JR中央・総武線各駅停車,西千葉,東京,1,50,35.622644,140.103295,6.0,2
JR中央・総武線各駅停車,千葉,東京,0,41,35.622644,140.103295,6.0,2
JR中央線,神田,東京,0,1,35.6918216,139.7709318,17.7,2
JR中央線,御茶ノ水,東京,0,4,35.6997175,139.7644404,17.9,2
JR中央線,四ツ谷,東京,0,9,35.6861525,139.7302183,18.4,2
JR中央線,新宿,東京,0,13,35.6896067,139.7005713,18.9,2
JR中央線,中野,東京,0,19,35.7054067,139.6658254,13.5,2
JR中央線,高円寺,東京,0,22,35.7053457,139.6499291,13.0,2
JR中央線,阿佐ケ谷,東京,0,24,35.7049247,139.6361231,13.0,2
JR中央線,荻窪,東京,0,26,35.7045751,139.6200629,12.5,2
JR中央線,西荻窪,東京,0,29,35.7036961,139.600182,12.5,2
JR中央線,吉祥寺,東京,0,31,35.7031485,139.5798087,12.0,2
JR中央線,三鷹,東京,0,34,35.7027156,139.5610291,11.5,2
JR中央線,武蔵境,東京,0,37,35.7021388,139.5436578,11.3,2
JR中央線,東小金井,東京,0,40,35.7015507,139.5239042,11.0,2
JR中央線,武蔵小金井,東京,0,43,35.7011232,139.506912,9.7,2
JR中央線,国分寺,東京,0,46,35.7002201,139.4802697,9.5,2
JR中央線,西国分寺,東京,0,49,35.6998082,139.4657772,9.8,2
JR中央線,国立,東京,0,51,35.69917300000001,139.446376,9.3,2
JR中央線,立川,東京,0,45,35.6979144,139.4137408,8.8,2
JR中央線,日野,東京,0,59,35.6793641,139.3940577,8.0,2
JR中央線,豊田,東京,0,62,35.6595199,139.3815002,8.1,2
JR中央線,八王子,東京,0,54,35.6556157,139.3388529,8.1,2
JR中央線,西八王子,東京,0,71,35.6565083,139.3124204,7.6,2
JR中央線,高尾,東京,0,74,35.64222609999999,139.2818312,6.0,2
JR久留里線,木更津,東京,0,62,35.3815785,139.926229,6.5,2
JR久留里線,上総清川,東京,1,79,35.3909554,139.9655329,6.1,2
JR久留里線,東清川,東京,1,82,35.39002809999999,139.9858005,5.3,2
JR久留里線,横田,東京,1,87,35.3861959,140.0201175,4.7,2
JR久留里線,東横田,東京,1,92,35.3862769,140.0364353,4.7,2
JR久留里線,馬来田,東京,1,97,35.3667824,140.0585317,4.7,2
JR久留里線,下郡,東京,1,101,35.3552795,140.0554536,4.7,2
JR久留里線,小櫃,東京,1,105,35.3280923,140.0598387,4.7,2
JR久留里線,俵田,東京,1,109,35.31454000000001,140.0613769,4.7,2
JR久留里線,久留里,東京,1,114,35.29586949999999,140.0757362,4.7,2
JR久留里線,平山,東京,1,77,35.2742929,140.0645627,4.7,2
JR久留里線,上総松丘,東京,1,125,35.2577822,140.0640014,4.7,2
JR五日市線,拝島,東京,0,69,35.72113,139.3436514,6.0,2
JR五日市線,熊川,東京,1,69,35.7284086,139.3354048,5.9,2
JR五日市線,東秋留,東京,1,72,35.7259108,139.3108079,5.3,2
JR五日市線,秋川,東京,1,76,35.728084,139.2866522,5.6,2
JR五日市線,武蔵引田,東京,1,78,35.72986119999999,139.2702242,5.5,2
JR五日市線,武蔵増戸,東京,1,81,35.7309423,139.2563073,6.1,2
JR五日市線,武蔵五日市,東京,1,86,35.732303,139.228337,4.5,2
JR京浜東北線,さいたま新都心,東京,0,33,35.893795,139.633741,11.0,2
JR京浜東北線,与野,東京,0,49,35.8843917,139.6390764,9.1,2
JR京浜東北線,北浦和,東京,0,47,35.872187,139.645713,9.8,2
JR京浜東北線,浦和,東京,0,28,35.872187,139.645713,9.8,2
JR京浜東北線,南浦和,東京,0,40,35.8473849,139.6695734,8.3,2
JR京浜東北線,蕨,東京,0,37,35.8280777,139.6903234,8.1,2
JR京浜東北線,西川口,東京,0,34,35.8155374,139.7043642,8.2,2
JR京浜東北線,川口,東京,0,31,35.8155374,139.7043642,8.2,2
JR京浜東北線,赤羽,東京,0,18,35.7776951,139.7205691,12.0,2
JR京浜東北線,東十条,東京,0,24,35.763949,139.7268722,11.2,2
JR京浜東北線,王子,東京,0,22,35.7529945,139.7378714,10.9,2
JR京浜東北線,上中里,東京,0,20,35.7465785,139.7469573,12.0,2
JR京浜東北線,田端,東京,0,17,35.7381581,139.7608154,11.4,2
JR京浜東北線,西日暮里,東京,0,15,35.7324125,139.7677967,12.0,2
JR京浜東北線,日暮里,東京,0,9,35.7324125,139.7677967,12.0,2
