line,price,from,to,trans,min,train+walk_min,lat,lng
ＪＲ山手線,9.3,東京,大塚,0,21,29,35.6812996,139.7670658
ＪＲ山手線,11.8,有楽町,大塚,0,23,31,35.6750133,139.7630204
ＪＲ山手線,11.4,新橋,大塚,0,26,34,35.666379,139.7583398
ＪＲ山手線,10.9,浜松町,大塚,0,27,35,35.6553809,139.7571289
ＪＲ山手線,10.1,田町,大塚,0,30,38,35.6457361,139.7475624
ＪＲ山手線,9.3,高輪ゲートウェイ,大塚,0,33,41,35.6355207,139.7406809
ＪＲ山手線,9.1,品川,大塚,0,30,38,35.6284713,139.7387597
ＪＲ山手線,8.2,大崎,大塚,0,27,35,35.6198513,139.7281892
ＪＲ山手線,8.9,五反田,大塚,0,25,33,35.6261591,139.7236022
ＪＲ山手線,9.9,目黒,大塚,0,23,31,35.6340929,139.7158331
ＪＲ山手線,11.0,恵比寿,大塚,0,21,29,35.6467145,139.7100818
ＪＲ山手線,11.0,渋谷,大塚,0,18,26,35.6580339,139.7016358
ＪＲ山手線,11.4,原宿,大塚,0,16,24,35.6700901,139.7024662
ＪＲ山手線,10.1,代々木,大塚,0,13,21,35.683033,139.7020555
ＪＲ山手線,8.2,新宿,大塚,0,11,19,35.6896067,139.7005713
ＪＲ山手線,7.9,新大久保,大塚,0,9,17,35.7012459,139.7002258
ＪＲ山手線,7.6,高田馬場,大塚,0,7,15,35.7125654,139.7038615
ＪＲ山手線,7.2,目白,大塚,0,5,13,35.7212199,139.7066115
ＪＲ山手線,7.3,池袋,大塚,0,3,11,35.7295028,139.7109001
ＪＲ山手線,7.7,巣鴨,大塚,0,2,10,35.7334192,139.7392848
ＪＲ山手線,7.3,駒込,大塚,0,3,11,35.7365665,139.7470098
ＪＲ山手線,7.0,田端,大塚,0,6,14,35.7381581,139.7608154
ＪＲ山手線,7.2,西日暮里,大塚,0,8,16,35.7328473,139.7676078
ＪＲ山手線,7.7,日暮里,大塚,0,9,17,35.7281578,139.7706414
ＪＲ山手線,7.7,鶯谷,大塚,0,11,19,35.7214573,139.7780133
ＪＲ山手線,8.2,上野,大塚,0,13,21,35.7141672,139.7774091
ＪＲ山手線,8.9,御徒町,大塚,0,15,23,35.7075185,139.7748564
ＪＲ山手線,9.5,秋葉原,大塚,0,17,25,35.698383,139.7730717
ＪＲ山手線,10.1,神田,大塚,0,19,27,35.6918216,139.7709318
ＪＲ京浜東北線,7.0,赤羽,大塚,1,18,26,35.7777451,139.7210653
ＪＲ京浜東北線,6.6,東十条,大塚,1,16,24,35.763949,139.7268722
ＪＲ京浜東北線,6.7,王子,大塚,0,20,28,35.7529945,139.7378714
ＪＲ京浜東北線,6.9,上中里,大塚,1,11,19,35.7465785,139.7469573
ＪＲ京浜東北線,7.0,田端,大塚,0,6,14,35.7381581,139.7608154
ＪＲ京浜東北線,7.2,西日暮里,大塚,0,8,16,35.7328473,139.7676078
ＪＲ京浜東北線,7.7,日暮里,大塚,0,9,17,35.7281578,139.7706414
ＪＲ京浜東北線,7.7,鶯谷,大塚,0,11,19,35.7214573,139.7780133
ＪＲ京浜東北線,8.2,上野,大塚,0,13,21,35.7141672,139.7774091
ＪＲ京浜東北線,8.9,御徒町,大塚,0,15,23,35.7075185,139.7748564
ＪＲ京浜東北線,9.5,秋葉原,大塚,0,17,25,35.698383,139.7730717
ＪＲ京浜東北線,10.1,神田,大塚,0,19,27,35.6918216,139.7709318
ＪＲ京浜東北線,9.3,東京,大塚,0,21,29,35.6812996,139.7670658
ＪＲ京浜東北線,11.8,有楽町,大塚,0,23,31,35.6750133,139.7630204
ＪＲ京浜東北線,11.4,新橋,大塚,0,26,34,35.666379,139.7583398
ＪＲ京浜東北線,10.9,浜松町,大塚,0,27,35,35.6553809,139.7571289
ＪＲ京浜東北線,10.1,田町,大塚,0,30,38,35.6457361,139.7475624
ＪＲ京浜東北線,9.3,高輪ゲートウェイ,大塚,0,33,41,35.6355207,139.7406809
ＪＲ京浜東北線,9.1,品川,大塚,0,30,38,35.6284713,139.7387597
ＪＲ京浜東北線,7.9,大井町,大塚,1,29,37,35.6076153,139.7346592
ＪＲ京浜東北線,7.2,大森,大塚,1,41,49,35.5884467,139.7278683
ＪＲ京浜東北線,7.4,蒲田,大塚,1,45,53,35.5624794,139.7160731
ＪＲ京浜東北線,6.5,川崎,大塚,1,46,54,35.5313654,139.696889
ＪＲ京浜東北線,5.9,鶴見,大塚,1,54,62,35.5080356,139.6762625
ＪＲ京浜東北線,5.0,新子安,大塚,1,58,66,35.4870546,139.6548105
ＪＲ京浜東北線,6.1,東神奈川,大塚,1,61,69,35.4779292,139.6333614
ＪＲ京浜東北線,6.8,横浜,大塚,1,47,55,35.46598110000001,139.622062
ＪＲ京浜東北線,6.8,桜木町,大塚,1,66,74,35.4509136,139.6310595
ＪＲ京浜東北線,6.7,関内,大塚,1,69,77,35.4451803,139.6356297
ＪＲ京浜東北線,6.2,石川町,大塚,1,70,78,35.4387746,139.6430494
ＪＲ京浜東北線,5.2,山手,大塚,1,73,81,35.42686,139.6463741
ＪＲ京浜東北線,4.0,根岸,大塚,1,75,83,35.415819,139.6350457
ＪＲ京浜東北線,3.9,磯子,大塚,1,78,86,35.3998639,139.6179011
ＪＲ京浜東北線,4.2,新杉田,大塚,1,81,89,35.3867269,139.619549
ＪＲ京浜東北線,3.9,洋光台,大塚,1,84,92,35.378769,139.597042
ＪＲ京浜東北線,4.5,港南台,大塚,1,87,95,35.37513,139.576405
ＪＲ京浜東北線,5.0,本郷台,大塚,1,90,98,35.3674373,139.5502526
ＪＲ京浜東北線,5.5,大船,大塚,1,65,73,35.3540475,139.5312989
ＪＲ東海道本線,9.3,東京,大塚,0,21,29,35.6812996,139.7670658
ＪＲ東海道本線,11.4,新橋,大塚,0,26,34,35.666379,139.7583398
ＪＲ東海道本線,9.1,品川,大塚,0,30,38,35.6284713,139.7387597
ＪＲ東海道本線,6.5,川崎,大塚,1,46,54,35.5313654,139.696889
ＪＲ東海道本線,6.8,横浜,大塚,1,47,55,35.46598110000001,139.622062
ＪＲ東海道本線,5.1,戸塚,大塚,1,60,68,35.40076639999999,139.5342039
ＪＲ東海道本線,5.5,大船,大塚,1,65,73,35.3540475,139.5312989
ＪＲ東海道本線,5.9,藤沢,大塚,1,76,84,35.3388984,139.4874695
ＪＲ東海道本線,6.1,辻堂,大塚,1,84,92,35.3368951,139.4470874
ＪＲ東海道本線,5.2,茅ケ崎,大塚,1,88,96,35.3303025,139.4068167
ＪＲ東海道本線,4.1,平塚,大塚,1,93,101,35.3276448,139.3504658
ＪＲ東海道本線,3.4,大磯,大塚,1,97,105,35.311435,139.313291
ＪＲ東海道本線,2.7,二宮,大塚,1,102,110,35.2987859,139.2575981
ＪＲ東海道本線,4.5,国府津,大塚,1,106,114,35.281353,139.21494
ＪＲ東海道本線,4.4,鴨宮,大塚,1,95,103,35.275658,139.180026
ＪＲ東海道本線,5.3,小田原,大塚,1,67,75,35.2564449,139.1553932
ＪＲ東海道本線,4.3,早川,大塚,1,117,125,35.238689,139.145003
ＪＲ東海道本線,3.6,根府川,大塚,1,122,130,35.202526,139.138644
ＪＲ東海道本線,4.1,真鶴,大塚,1,127,135,35.156809,139.13234
ＪＲ東海道本線,5.6,湯河原,大塚,1,131,139,35.146087,139.102177
ＪＲ常磐線,9.1,品川,大塚,0,30,38,35.6284713,139.7387597
ＪＲ常磐線,11.4,新橋,大塚,0,26,34,35.666379,139.7583398
ＪＲ常磐線,9.3,東京,大塚,0,21,29,35.6812996,139.7670658
ＪＲ常磐線,8.2,上野,大塚,0,13,21,35.7141672,139.7774091
