line,station,price
ＪＲ山手線,東京,9.3
ＪＲ山手線,有楽町,11.8
ＪＲ山手線,新橋,11.4
ＪＲ山手線,浜松町,10.9
ＪＲ山手線,田町,10.1
ＪＲ山手線,高輪ゲートウェイ,9.3
ＪＲ山手線,品川,9.1
ＪＲ山手線,大崎,8.2
ＪＲ山手線,五反田,8.9
ＪＲ山手線,目黒,9.9
ＪＲ山手線,恵比寿,11.0
ＪＲ山手線,渋谷,11.0
ＪＲ山手線,原宿,11.4
ＪＲ山手線,代々木,10.1
ＪＲ山手線,新宿,8.2
ＪＲ山手線,新大久保,7.9
ＪＲ山手線,高田馬場,7.6
ＪＲ山手線,目白,7.2
ＪＲ山手線,池袋,7.3
ＪＲ山手線,大塚,7.5
ＪＲ山手線,巣鴨,7.7
ＪＲ山手線,駒込,7.3
ＪＲ山手線,田端,7.0
ＪＲ山手線,西日暮里,7.2
ＪＲ山手線,日暮里,7.7
ＪＲ山手線,鶯谷,7.7
ＪＲ山手線,上野,8.2
ＪＲ山手線,御徒町,8.9
ＪＲ山手線,秋葉原,9.5
ＪＲ山手線,神田,10.1
ＪＲ京浜東北線,赤羽,7.0
ＪＲ京浜東北線,東十条,6.6
ＪＲ京浜東北線,王子,6.7
ＪＲ京浜東北線,上中里,6.9
ＪＲ京浜東北線,田端,7.0
ＪＲ京浜東北線,西日暮里,7.2
ＪＲ京浜東北線,日暮里,7.7
ＪＲ京浜東北線,鶯谷,7.7
ＪＲ京浜東北線,上野,8.2
ＪＲ京浜東北線,御徒町,8.9
ＪＲ京浜東北線,秋葉原,9.5
ＪＲ京浜東北線,神田,10.1
ＪＲ京浜東北線,東京,9.3
ＪＲ京浜東北線,有楽町,11.8
ＪＲ京浜東北線,新橋,11.4
ＪＲ京浜東北線,浜松町,10.9
ＪＲ京浜東北線,田町,10.1
ＪＲ京浜東北線,高輪ゲートウェイ,9.3
ＪＲ京浜東北線,品川,9.1
ＪＲ京浜東北線,大井町,7.9
ＪＲ京浜東北線,大森,7.2
ＪＲ京浜東北線,蒲田,7.4
ＪＲ京浜東北線,川崎,6.5
ＪＲ京浜東北線,鶴見,5.9
ＪＲ京浜東北線,新子安,5.0
ＪＲ京浜東北線,東神奈川,6.1
ＪＲ京浜東北線,横浜,6.8
ＪＲ京浜東北線,桜木町,6.8
ＪＲ京浜東北線,関内,6.7
ＪＲ京浜東北線,石川町,6.2
ＪＲ京浜東北線,山手,5.2
ＪＲ京浜東北線,根岸,4.0
ＪＲ京浜東北線,磯子,3.9
ＪＲ京浜東北線,新杉田,4.2
ＪＲ京浜東北線,洋光台,3.9
ＪＲ京浜東北線,港南台,4.5
ＪＲ京浜東北線,本郷台,5.0
ＪＲ京浜東北線,大船,5.5
ＪＲ東海道本線,東京,9.3
ＪＲ東海道本線,新橋,11.4
ＪＲ東海道本線,品川,9.1
ＪＲ東海道本線,川崎,6.5
ＪＲ東海道本線,横浜,6.8
ＪＲ東海道本線,戸塚,5.1
ＪＲ東海道本線,大船,5.5
ＪＲ東海道本線,藤沢,5.9
ＪＲ東海道本線,辻堂,6.1
ＪＲ東海道本線,茅ケ崎,5.2
ＪＲ東海道本線,平塚,4.1
ＪＲ東海道本線,大磯,3.4
ＪＲ東海道本線,二宮,2.7
ＪＲ東海道本線,国府津,4.5
ＪＲ東海道本線,鴨宮,4.4
ＪＲ東海道本線,小田原,5.3
ＪＲ東海道本線,早川,4.3
ＪＲ東海道本線,根府川,3.6
ＪＲ東海道本線,真鶴,4.1
