line,price,from,to,trans,min,train+walk_min
JR上越線,3.9,高崎,内幸町,2,97,110
JR上越線,3.4,高崎問屋町,内幸町,2,134,147
JR上越線,4.1,井野,内幸町,2,88,101
JR上越線,3.3,新前橋,内幸町,2,140,153
JR上野東京ライン,9.1,品川,内幸町,1,21,34
JR上野東京ライン,11.0,新橋,内幸町,0,14,27
JR上野東京ライン,9.6,東京,内幸町,0,13,26
JR上野東京ライン,8.1,上野,内幸町,1,22,35
JR両毛線,3.9,高崎,内幸町,2,97,110
JR両毛線,3.4,高崎問屋町,内幸町,2,134,147
JR両毛線,4.1,井野,内幸町,2,88,101
JR両毛線,3.3,新前橋,内幸町,2,140,153
JR両毛線,3.2,前橋,内幸町,2,145,158
JR両毛線,3.1,伊勢崎,内幸町,2,144,157
JR両毛線,2.8,栃木,内幸町,2,139,152
JR両毛線,3.2,小山,内幸町,2,80,93
JR中央・総武線各駅停車,6.1,三鷹,内幸町,1,29,42
JR中央・総武線各駅停車,6.3,吉祥寺,内幸町,1,26,39
JR中央・総武線各駅停車,6.5,西荻窪,内幸町,1,28,41
JR中央・総武線各駅停車,6.7,荻窪,内幸町,1,22,35
JR中央・総武線各駅停車,6.8,阿佐ケ谷,内幸町,1,23,36
JR中央・総武線各駅停車,6.9,高円寺,内幸町,1,21,34
JR中央・総武線各駅停車,7.0,中野,内幸町,1,18,31
JR中央・総武線各駅停車,7.0,東中野,内幸町,0,13,26
JR中央・総武線各駅停車,7.4,大久保,内幸町,0,13,26
JR中央・総武線各駅停車,8.2,新宿,内幸町,0,4,17
JR中央・総武線各駅停車,10.1,代々木,内幸町,0,2,15
JR中央・総武線各駅停車,10.0,千駄ケ谷,内幸町,0,4,17
JR中央・総武線各駅停車,8.8,信濃町,内幸町,0,11,24
JR中央・総武線各駅停車,10.0,四ツ谷,内幸町,0,13,26
JR中央・総武線各駅停車,9.8,市ケ谷,内幸町,0,14,27
JR中央・総武線各駅停車,9.5,飯田橋,内幸町,2,31,44
JR中央・総武線各駅停車,9.0,水道橋,内幸町,1,19,32
JR中央・総武線各駅停車,9.4,御茶ノ水,内幸町,1,18,31
JR中央・総武線各駅停車,9.4,秋葉原,内幸町,1,18,31
JR中央・総武線各駅停車,8.8,浅草橋,内幸町,1,21,34
JR中央・総武線各駅停車,8.3,両国,内幸町,1,28,41
JR中央・総武線各駅停車,7.9,錦糸町,内幸町,1,27,40
JR中央・総武線各駅停車,7.5,亀戸,内幸町,2,33,46
JR中央・総武線各駅停車,6.2,平井,内幸町,2,35,48
JR中央・総武線各駅停車,6.0,新小岩,内幸町,2,38,51
JR中央・総武線各駅停車,6.0,小岩,内幸町,2,41,54
JR中央・総武線各駅停車,6.0,市川,内幸町,2,44,57
JR中央・総武線各駅停車,5.9,本八幡,内幸町,2,44,57
JR中央・総武線各駅停車,5.3,下総中山,内幸町,2,49,62
JR中央・総武線各駅停車,6.3,西船橋,内幸町,2,38,51
JR中央・総武線各駅停車,6.2,船橋,内幸町,2,54,67
JR中央・総武線各駅停車,4.5,東船橋,内幸町,2,57,70
JR中央・総武線各駅停車,5.0,津田沼,内幸町,2,59,72
JR中央・総武線各駅停車,4.5,幕張本郷,内幸町,2,62,75
JR中央・総武線各駅停車,6.2,幕張,内幸町,2,64,77
JR中央・総武線各駅停車,4.9,新検見川,内幸町,2,67,80
JR中央・総武線各駅停車,4.9,稲毛,内幸町,2,69,82
JR中央・総武線各駅停車,4.3,西千葉,内幸町,2,72,85
JR中央・総武線各駅停車,5.4,千葉,内幸町,2,73,86
JR中央本線,9.6,東京,内幸町,0,13,26
JR中央本線,8.2,新宿,内幸町,0,4,17
JR中央本線,6.1,三鷹,内幸町,1,29,42
JR中央本線,4.9,立川,内幸町,2,41,54
JR中央本線,3.8,日野,内幸町,2,48,61
JR中央本線,3.7,豊田,内幸町,2,50,63
JR中央本線,3.7,八王子,内幸町,2,69,82
JR中央本線,3.4,西八王子,内幸町,2,58,71
JR中央本線,3.5,高尾,内幸町,2,62,75
JR中央本線,2.2,相模湖,内幸町,2,72,85
JR中央本線,4.4,藤野,内幸町,2,76,89
JR中央線,9.3,東京,内幸町,0,13,26
JR中央線,10.1,神田,内幸町,1,16,29
JR中央線,9.2,御茶ノ水,内幸町,1,18,31
JR中央線,10.0,四ツ谷,内幸町,0,13,26
JR中央線,8.2,新宿,内幸町,0,4,17
JR中央線,7.2,中野,内幸町,1,18,31
JR中央線,7.0,高円寺,内幸町,1,21,34
JR中央線,6.7,阿佐ケ谷,内幸町,1,23,36
JR中央線,6.6,荻窪,内幸町,1,22,35
JR中央線,6.6,西荻窪,内幸町,1,28,41
JR中央線,6.5,吉祥寺,内幸町,1,26,39
JR中央線,6.5,三鷹,内幸町,1,29,42
JR中央線,6.2,武蔵境,内幸町,2,32,45
JR中央線,5.8,東小金井,内幸町,2,34,47
JR中央線,5.3,武蔵小金井,内幸町,2,36,49
JR中央線,5.2,国分寺,内幸町,2,40,53
JR中央線,5.0,西国分寺,内幸町,2,48,61
JR中央線,4.8,国立,内幸町,2,50,63
JR中央線,5.0,立川,内幸町,2,41,54
JR中央線,3.9,日野,内幸町,2,48,61
JR中央線,4.1,豊田,内幸町,2,50,63
JR中央線,3.8,八王子,内幸町,2,69,82
JR中央線,3.5,西八王子,内幸町,2,58,71
JR中央線,3.7,高尾,内幸町,2,62,75
JR久留里線,5.0,木更津,内幸町,2,90,103
JR久留里線,5.2,祇園,内幸町,2,116,129
JR久留里線,5.2,上総清川,内幸町,2,119,132
JR久留里線,4.2,東清川,内幸町,2,123,136
JR久留里線,4.0,横田,内幸町,2,128,141
JR久留里線,4.0,東横田,内幸町,2,131,144
JR久留里線,4.0,馬来田,内幸町,2,135,148
JR久留里線,4.0,下郡,内幸町,2,139,152
JR久留里線,4.0,小櫃,内幸町,2,122,135
JR久留里線,4.0,俵田,内幸町,2,141,154
JR久留里線,4.0,平山,内幸町,2,134,147
JR久留里線,4.1,上総松丘,内幸町,2,140,153
JR五日市線,4.5,拝島,内幸町,2,55,68
JR五日市線,3.6,熊川,内幸町,2,65,78
JR五日市線,4.6,東秋留,内幸町,2,67,80
JR五日市線,4.8,秋川,内幸町,2,71,84
JR五日市線,4.7,武蔵引田,内幸町,2,73,86
JR五日市線,3.3,武蔵増戸,内幸町,2,76,89
JR五日市線,3.0,武蔵五日市,内幸町,2,81,94
JR京浜東北線,6.5,大宮,内幸町,2,54,67
JR京浜東北線,6.5,さいたま新都心,内幸町,2,54,67
JR京浜東北線,5.4,与野,内幸町,2,61,74
JR京浜東北線,5.5,北浦和,内幸町,2,58,71
JR京浜東北線,5.7,浦和,内幸町,2,50,63
JR京浜東北線,5.2,南浦和,内幸町,2,53,66
JR京浜東北線,5.2,蕨,内幸町,2,50,63
JR京浜東北線,5.3,西川口,内幸町,2,47,60
JR京浜東北線,5.4,川口,内幸町,2,45,58
JR京浜東北線,7.0,赤羽,内幸町,1,28,41
JR京浜東北線,6.6,東十条,内幸町,2,39,52
JR京浜東北線,6.7,王子,内幸町,2,35,48
JR京浜東北線,6.9,上中里,内幸町,2,34,47
JR京浜東北線,7.0,田端,内幸町,2,31,44
JR京浜東北線,7.2,西日暮里,内幸町,1,20,33
JR京浜東北線,7.7,日暮里,内幸町,1,28,41
JR京浜東北線,7.7,鶯谷,内幸町,1,25,38
JR京浜東北線,8.2,上野,内幸町,1,22,35
JR京浜東北線,8.9,御徒町,内幸町,1,25,38
JR京浜東北線,9.5,秋葉原,内幸町,1,18,31
JR京浜東北線,10.1,神田,内幸町,1,16,29
JR京浜東北線,9.3,東京,内幸町,0,13,26
JR京浜東北線,11.8,有楽町,内幸町,0,10,23
JR京浜東北線,11.4,新橋,内幸町,0,14,27
JR京浜東北線,10.9,浜松町,内幸町,0,9,22
JR京浜東北線,10.1,田町,内幸町,0,12,25
JR京浜東北線,9.3,高輪ゲートウェイ,内幸町,1,21,34
JR京浜東北線,9.1,品川,内幸町,1,21,34
JR京浜東北線,7.9,大井町,内幸町,1,17,30
JR京浜東北線,7.2,大森,内幸町,1,24,37
JR京浜東北線,7.4,蒲田,内幸町,1,28,41
JR京浜東北線,6.5,川崎,内幸町,2,33,46
JR京浜東北線,5.9,鶴見,内幸町,2,36,49
JR京浜東北線,5.0,新子安,内幸町,2,40,53
JR京浜東北線,6.1,東神奈川,内幸町,2,43,56
JR京浜東北線,6.8,横浜,内幸町,2,32,45
JR京浜東北線,6.8,桜木町,内幸町,2,49,62
JR京浜東北線,6.7,関内,内幸町,2,51,64
JR京浜東北線,6.2,石川町,内幸町,2,53,66
JR京浜東北線,5.2,山手,内幸町,2,55,68
JR京浜東北線,4.0,根岸,内幸町,2,58,71
JR京浜東北線,3.9,磯子,内幸町,2,61,74
JR京浜東北線,4.2,新杉田,内幸町,2,63,76
JR京浜東北線,3.9,洋光台,内幸町,2,67,80
JR京浜東北線,4.5,港南台,内幸町,2,69,82
JR京浜東北線,5.0,本郷台,内幸町,2,72,85
JR京浜東北線,5.5,大船,内幸町,2,49,62
JR京葉線,9.3,東京,内幸町,0,13,26
JR京葉線,10.3,八丁堀,内幸町,0,11,24
JR京葉線,9.0,越中島,内幸町,1,22,35
JR京葉線,7.9,潮見,内幸町,1,25,38
JR京葉線,9.3,新木場,内幸町,1,21,34
JR京葉線,5.6,葛西臨海公園,内幸町,2,31,44
JR京葉線,5.0,舞浜,内幸町,1,28,41
JR京葉線,5.2,新浦安,内幸町,2,31,44
JR京葉線,4.8,市川塩浜,内幸町,2,40,53
JR京葉線,4.4,二俣新町,内幸町,2,49,62
JR京葉線,4.7,南船橋,内幸町,2,39,52
JR京葉線,6.0,新習志野,内幸町,2,55,68
JR京葉線,6.0,海浜幕張,内幸町,2,44,57
JR京葉線,5.5,検見川浜,内幸町,2,48,61
JR京葉線,6.4,稲毛海岸,内幸町,2,50,63
JR京葉線,6.3,千葉みなと,内幸町,2,54,67
JR京葉線,5.3,蘇我,内幸町,2,58,71
JR信越本線（群馬県）,3.9,高崎,内幸町,2,97,110
JR八高線,3.8,八王子,内幸町,2,69,82
JR八高線,3.2,北八王子,内幸町,2,69,82
JR八高線,3.2,小宮,内幸町,2,81,94
JR八高線,4.5,拝島,内幸町,2,55,68
JR八高線,3.5,東福生,内幸町,2,61,74
JR八高線,3.8,箱根ケ崎,内幸町,2,65,78
JR八高線,2.9,金子,内幸町,2,74,87
JR八高線,3.7,東飯能,内幸町,2,80,93
JR八高線,5.0,高麗川,内幸町,2,89,102
JR八高線,3.2,毛呂,内幸町,2,101,114
JR八高線,3.8,越生,内幸町,2,118,131
JR八高線,3.8,明覚,内幸町,2,111,124
JR八高線,3.8,小川町,内幸町,1,20,33
JR八高線,3.3,竹沢,内幸町,2,110,123
JR八高線,4.0,折原,内幸町,2,156,169
JR八高線,4.5,寄居,内幸町,2,120,133
JR八高線,4.0,用土,内幸町,2,146,159
JR八高線,2.8,松久,内幸町,2,143,156
JR八高線,3.6,児玉,内幸町,2,135,148
JR八高線,3.4,丹荘,内幸町,2,130,143
JR八高線,2.0,群馬藤岡,内幸町,2,125,138
JR八高線,3.3,北藤岡,内幸町,2,120,133
JR八高線,4.3,倉賀野,内幸町,2,121,134
JR八高線,4.5,高崎,内幸町,2,97,110
JR内房線,6.0,千葉,内幸町,2,73,86
JR内房線,6.1,本千葉,内幸町,2,73,86
JR内房線,5.3,蘇我,内幸町,2,58,71
JR内房線,3.8,浜野,内幸町,2,63,76
JR内房線,4.3,八幡宿,内幸町,2,66,79
JR内房線,4.8,五井,内幸町,2,70,83
JR内房線,5.6,姉ケ崎,内幸町,2,75,88
JR内房線,5.4,長浦,内幸町,2,171,184
JR内房線,5.5,袖ケ浦,内幸町,2,83,96
JR内房線,5.0,木更津,内幸町,2,90,103
JR内房線,4.4,君津,内幸町,2,101,114
JR内房線,4.7,青堀,内幸町,2,105,118
JR内房線,4.2,大貫,内幸町,2,110,123
JR内房線,4.0,佐貫町,内幸町,2,114,127
JR内房線,4.0,上総湊,内幸町,2,119,132
JR内房線,4.0,竹岡,内幸町,2,145,158
JR内房線,4.0,浜金谷,内幸町,2,150,163
JR内房線,4.0,保田,内幸町,2,154,167
JR内房線,4.0,安房勝山,内幸町,2,159,172
JR内房線,4.0,岩井,内幸町,2,162,175
JR内房線,4.0,富浦,内幸町,2,162,175
JR内房線,5.5,那古船形,内幸町,2,166,179
JR内房線,5.0,館山,内幸町,2,157,170
JR内房線,4.0,九重,内幸町,2,172,185
JR内房線,4.2,千倉,内幸町,2,182,195
JR内房線,4.0,江見,内幸町,2,579,592
JR内房線,4.0,太海,内幸町,2,574,587
JR内房線,9.4,安房鴨川,内幸町,2,167,180
JR南武線,5.0,立川,内幸町,2,41,54
JR南武線,5.2,西国立,内幸町,2,54,67
JR南武線,5.3,矢川,内幸町,2,56,69
JR南武線,5.0,谷保,内幸町,2,58,71
JR南武線,4.1,西府,内幸町,2,56,69
JR南武線,5.0,分倍河原,内幸町,2,45,58
JR南武線,5.2,府中本町,内幸町,2,51,64
