line,price,from,to,trans,min,train+walk_min
JR上越線,3.9,高崎,国会議事堂前,2,97,107
JR上越線,3.4,高崎問屋町,国会議事堂前,2,134,144
JR上越線,4.1,井野,国会議事堂前,2,88,98
JR上越線,3.3,新前橋,国会議事堂前,2,140,150
JR上野東京ライン,9.1,品川,国会議事堂前,1,21,31
JR上野東京ライン,11.0,新橋,国会議事堂前,0,14,24
JR上野東京ライン,9.6,東京,国会議事堂前,0,13,23
JR上野東京ライン,8.1,上野,国会議事堂前,1,22,32
JR両毛線,3.9,高崎,国会議事堂前,2,97,107
JR両毛線,3.4,高崎問屋町,国会議事堂前,2,134,144
JR両毛線,4.1,井野,国会議事堂前,2,88,98
JR両毛線,3.3,新前橋,国会議事堂前,2,140,150
JR両毛線,3.2,前橋,国会議事堂前,2,145,155
JR両毛線,3.1,伊勢崎,国会議事堂前,2,144,154
JR両毛線,2.8,栃木,国会議事堂前,2,139,149
JR両毛線,3.2,小山,国会議事堂前,2,80,90
JR中央・総武線各駅停車,6.1,三鷹,国会議事堂前,1,29,39
JR中央・総武線各駅停車,6.3,吉祥寺,国会議事堂前,1,26,36
JR中央・総武線各駅停車,6.5,西荻窪,国会議事堂前,1,28,38
JR中央・総武線各駅停車,6.7,荻窪,国会議事堂前,1,22,32
JR中央・総武線各駅停車,6.8,阿佐ケ谷,国会議事堂前,1,23,33
JR中央・総武線各駅停車,6.9,高円寺,国会議事堂前,1,21,31
JR中央・総武線各駅停車,7.0,中野,国会議事堂前,1,18,28
JR中央・総武線各駅停車,7.0,東中野,国会議事堂前,0,13,23
JR中央・総武線各駅停車,7.4,大久保,国会議事堂前,0,13,23
JR中央・総武線各駅停車,8.2,新宿,国会議事堂前,0,4,14
JR中央・総武線各駅停車,10.1,代々木,国会議事堂前,0,2,12
JR中央・総武線各駅停車,10.0,千駄ケ谷,国会議事堂前,0,4,14
JR中央・総武線各駅停車,8.8,信濃町,国会議事堂前,0,11,21
JR中央・総武線各駅停車,10.0,四ツ谷,国会議事堂前,0,13,23
JR中央・総武線各駅停車,9.8,市ケ谷,国会議事堂前,0,14,24
JR中央・総武線各駅停車,9.5,飯田橋,国会議事堂前,2,31,41
JR中央・総武線各駅停車,9.0,水道橋,国会議事堂前,1,19,29
JR中央・総武線各駅停車,9.4,御茶ノ水,国会議事堂前,1,18,28
JR中央・総武線各駅停車,9.4,秋葉原,国会議事堂前,1,18,28
JR中央・総武線各駅停車,8.8,浅草橋,国会議事堂前,1,21,31
JR中央・総武線各駅停車,8.3,両国,国会議事堂前,1,28,38
JR中央・総武線各駅停車,7.9,錦糸町,国会議事堂前,1,27,37
JR中央・総武線各駅停車,7.5,亀戸,国会議事堂前,2,33,43
JR中央・総武線各駅停車,6.2,平井,国会議事堂前,2,35,45
JR中央・総武線各駅停車,6.0,新小岩,国会議事堂前,2,38,48
JR中央・総武線各駅停車,6.0,小岩,国会議事堂前,2,41,51
JR中央・総武線各駅停車,6.0,市川,国会議事堂前,2,44,54
JR中央・総武線各駅停車,5.9,本八幡,国会議事堂前,2,44,54
JR中央・総武線各駅停車,5.3,下総中山,国会議事堂前,2,49,59
JR中央・総武線各駅停車,6.3,西船橋,国会議事堂前,2,38,48
JR中央・総武線各駅停車,6.2,船橋,国会議事堂前,2,54,64
JR中央・総武線各駅停車,4.5,東船橋,国会議事堂前,2,57,67
JR中央・総武線各駅停車,5.0,津田沼,国会議事堂前,2,59,69
JR中央・総武線各駅停車,4.5,幕張本郷,国会議事堂前,2,62,72
JR中央・総武線各駅停車,6.2,幕張,国会議事堂前,2,64,74
JR中央・総武線各駅停車,4.9,新検見川,国会議事堂前,2,67,77
JR中央・総武線各駅停車,4.9,稲毛,国会議事堂前,2,69,79
JR中央・総武線各駅停車,4.3,西千葉,国会議事堂前,2,72,82
JR中央・総武線各駅停車,5.4,千葉,国会議事堂前,2,73,83
JR中央本線,9.6,東京,国会議事堂前,0,13,23
JR中央本線,8.2,新宿,国会議事堂前,0,4,14
JR中央本線,6.1,三鷹,国会議事堂前,1,29,39
JR中央本線,4.9,立川,国会議事堂前,2,41,51
JR中央本線,3.8,日野,国会議事堂前,2,48,58
JR中央本線,3.7,豊田,国会議事堂前,2,50,60
JR中央本線,3.7,八王子,国会議事堂前,2,69,79
JR中央本線,3.4,西八王子,国会議事堂前,2,58,68
JR中央本線,3.5,高尾,国会議事堂前,2,62,72
JR中央本線,2.2,相模湖,国会議事堂前,2,72,82
JR中央本線,4.4,藤野,国会議事堂前,2,76,86
JR中央線,9.3,東京,国会議事堂前,0,13,23
JR中央線,10.1,神田,国会議事堂前,1,16,26
JR中央線,9.2,御茶ノ水,国会議事堂前,1,18,28
JR中央線,10.0,四ツ谷,国会議事堂前,0,13,23
JR中央線,8.2,新宿,国会議事堂前,0,4,14
JR中央線,7.2,中野,国会議事堂前,1,18,28
JR中央線,7.0,高円寺,国会議事堂前,1,21,31
JR中央線,6.7,阿佐ケ谷,国会議事堂前,1,23,33
JR中央線,6.6,荻窪,国会議事堂前,1,22,32
JR中央線,6.6,西荻窪,国会議事堂前,1,28,38
JR中央線,6.5,吉祥寺,国会議事堂前,1,26,36
JR中央線,6.5,三鷹,国会議事堂前,1,29,39
JR中央線,6.2,武蔵境,国会議事堂前,2,32,42
JR中央線,5.8,東小金井,国会議事堂前,2,34,44
JR中央線,5.3,武蔵小金井,国会議事堂前,2,36,46
JR中央線,5.2,国分寺,国会議事堂前,2,40,50
JR中央線,5.0,西国分寺,国会議事堂前,2,48,58
JR中央線,4.8,国立,国会議事堂前,2,50,60
JR中央線,5.0,立川,国会議事堂前,2,41,51
JR中央線,3.9,日野,国会議事堂前,2,48,58
JR中央線,4.1,豊田,国会議事堂前,2,50,60
JR中央線,3.8,八王子,国会議事堂前,2,69,79
JR中央線,3.5,西八王子,国会議事堂前,2,58,68
JR中央線,3.7,高尾,国会議事堂前,2,62,72
JR久留里線,5.0,木更津,国会議事堂前,2,90,100
JR久留里線,5.2,祇園,国会議事堂前,2,116,126
JR久留里線,5.2,上総清川,国会議事堂前,2,119,129
JR久留里線,4.2,東清川,国会議事堂前,2,123,133
JR久留里線,4.0,横田,国会議事堂前,2,128,138
JR久留里線,4.0,東横田,国会議事堂前,2,131,141
JR久留里線,4.0,馬来田,国会議事堂前,2,135,145
JR久留里線,4.0,下郡,国会議事堂前,2,139,149
JR久留里線,4.0,小櫃,国会議事堂前,2,122,132
JR久留里線,4.0,俵田,国会議事堂前,2,141,151
JR久留里線,4.0,平山,国会議事堂前,2,134,144
JR久留里線,4.1,上総松丘,国会議事堂前,2,140,150
JR五日市線,4.5,拝島,国会議事堂前,2,55,65
JR五日市線,3.6,熊川,国会議事堂前,2,65,75
JR五日市線,4.6,東秋留,国会議事堂前,2,67,77
JR五日市線,4.8,秋川,国会議事堂前,2,71,81
JR五日市線,4.7,武蔵引田,国会議事堂前,2,73,83
JR五日市線,3.3,武蔵増戸,国会議事堂前,2,76,86
JR五日市線,3.0,武蔵五日市,国会議事堂前,2,81,91
JR京浜東北線,6.5,大宮,国会議事堂前,2,54,64
JR京浜東北線,6.5,さいたま新都心,国会議事堂前,2,54,64
JR京浜東北線,5.4,与野,国会議事堂前,2,61,71
JR京浜東北線,5.5,北浦和,国会議事堂前,2,58,68
JR京浜東北線,5.7,浦和,国会議事堂前,2,50,60
JR京浜東北線,5.2,南浦和,国会議事堂前,2,53,63
JR京浜東北線,5.2,蕨,国会議事堂前,2,50,60
JR京浜東北線,5.3,西川口,国会議事堂前,2,47,57
JR京浜東北線,5.4,川口,国会議事堂前,2,45,55
JR京浜東北線,7.0,赤羽,国会議事堂前,1,28,38
JR京浜東北線,6.6,東十条,国会議事堂前,2,39,49
JR京浜東北線,6.7,王子,国会議事堂前,2,35,45
JR京浜東北線,6.9,上中里,国会議事堂前,2,34,44
JR京浜東北線,7.0,田端,国会議事堂前,2,31,41
JR京浜東北線,7.2,西日暮里,国会議事堂前,1,20,30
JR京浜東北線,7.7,日暮里,国会議事堂前,1,28,38
JR京浜東北線,7.7,鶯谷,国会議事堂前,1,25,35
JR京浜東北線,8.2,上野,国会議事堂前,1,22,32
JR京浜東北線,8.9,御徒町,国会議事堂前,1,25,35
JR京浜東北線,9.5,秋葉原,国会議事堂前,1,18,28
JR京浜東北線,10.1,神田,国会議事堂前,1,16,26
JR京浜東北線,9.3,東京,国会議事堂前,0,13,23
JR京浜東北線,11.8,有楽町,国会議事堂前,0,10,20
JR京浜東北線,11.4,新橋,国会議事堂前,0,14,24
JR京浜東北線,10.9,浜松町,国会議事堂前,0,9,19
JR京浜東北線,10.1,田町,国会議事堂前,0,12,22
JR京浜東北線,9.3,高輪ゲートウェイ,国会議事堂前,1,21,31
JR京浜東北線,9.1,品川,国会議事堂前,1,21,31
JR京浜東北線,7.9,大井町,国会議事堂前,1,17,27
JR京浜東北線,7.2,大森,国会議事堂前,1,24,34
JR京浜東北線,7.4,蒲田,国会議事堂前,1,28,38
JR京浜東北線,6.5,川崎,国会議事堂前,2,33,43
JR京浜東北線,5.9,鶴見,国会議事堂前,2,36,46
JR京浜東北線,5.0,新子安,国会議事堂前,2,40,50
JR京浜東北線,6.1,東神奈川,国会議事堂前,2,43,53
JR京浜東北線,6.8,横浜,国会議事堂前,2,32,42
JR京浜東北線,6.8,桜木町,国会議事堂前,2,49,59
JR京浜東北線,6.7,関内,国会議事堂前,2,51,61
JR京浜東北線,6.2,石川町,国会議事堂前,2,53,63
JR京浜東北線,5.2,山手,国会議事堂前,2,55,65
JR京浜東北線,4.0,根岸,国会議事堂前,2,58,68
JR京浜東北線,3.9,磯子,国会議事堂前,2,61,71
JR京浜東北線,4.2,新杉田,国会議事堂前,2,63,73
JR京浜東北線,3.9,洋光台,国会議事堂前,2,67,77
JR京浜東北線,4.5,港南台,国会議事堂前,2,69,79
