line,price,from,to,trans,min,train+walk_min
ＪＲ山手線,9.3,東京,大塚,0,21,29
ＪＲ山手線,11.8,有楽町,大塚,0,23,31
ＪＲ山手線,11.4,新橋,大塚,0,26,34
ＪＲ山手線,10.9,浜松町,大塚,0,27,35
ＪＲ山手線,10.1,田町,大塚,0,30,38
ＪＲ山手線,9.3,高輪ゲートウェイ,大塚,0,33,41
ＪＲ山手線,9.1,品川,大塚,0,30,38
ＪＲ山手線,8.2,大崎,大塚,0,27,35
ＪＲ山手線,8.9,五反田,大塚,0,25,33
ＪＲ山手線,9.9,目黒,大塚,0,23,31
ＪＲ山手線,11.0,恵比寿,大塚,0,21,29
ＪＲ山手線,11.0,渋谷,大塚,0,18,26
ＪＲ山手線,11.4,原宿,大塚,0,16,24
ＪＲ山手線,10.1,代々木,大塚,0,13,21
ＪＲ山手線,8.2,新宿,大塚,0,11,19
ＪＲ山手線,7.9,新大久保,大塚,0,9,17
ＪＲ山手線,7.6,高田馬場,大塚,0,7,15
ＪＲ山手線,7.2,目白,大塚,0,5,13
ＪＲ山手線,7.3,池袋,大塚,0,3,11
ＪＲ山手線,7.7,巣鴨,大塚,0,2,10
ＪＲ山手線,7.3,駒込,大塚,0,3,11
ＪＲ山手線,7.0,田端,大塚,0,6,14
ＪＲ山手線,7.2,西日暮里,大塚,0,8,16
ＪＲ山手線,7.7,日暮里,大塚,0,9,17
ＪＲ山手線,7.7,鶯谷,大塚,0,11,19
ＪＲ山手線,8.2,上野,大塚,0,13,21
ＪＲ山手線,8.9,御徒町,大塚,0,15,23
ＪＲ山手線,9.5,秋葉原,大塚,0,17,25
ＪＲ山手線,10.1,神田,大塚,0,19,27
ＪＲ京浜東北線,7.0,赤羽,大塚,1,18,26
ＪＲ京浜東北線,6.6,東十条,大塚,1,16,24
ＪＲ京浜東北線,6.7,王子,大塚,0,20,28
ＪＲ京浜東北線,6.9,上中里,大塚,1,11,19
ＪＲ京浜東北線,7.0,田端,大塚,0,6,14
ＪＲ京浜東北線,7.2,西日暮里,大塚,0,8,16
ＪＲ京浜東北線,7.7,日暮里,大塚,0,9,17
ＪＲ京浜東北線,7.7,鶯谷,大塚,0,11,19
