line,price,from,to,trans,min,train+walk_min
JR上越線,3.9,高崎,新橋,2,97,117
JR上越線,3.4,高崎問屋町,新橋,2,134,154
JR上越線,4.1,井野,新橋,2,88,108
JR上越線,3.3,新前橋,新橋,2,140,160
JR上野東京ライン,9.1,品川,新橋,1,21,41
JR上野東京ライン,11.0,新橋,新橋,0,14,34
JR上野東京ライン,9.6,東京,新橋,0,13,33
JR上野東京ライン,8.1,上野,新橋,1,22,42
JR両毛線,3.9,高崎,新橋,2,97,117
JR両毛線,3.4,高崎問屋町,新橋,2,134,154
JR両毛線,4.1,井野,新橋,2,88,108
JR両毛線,3.3,新前橋,新橋,2,140,160
JR両毛線,3.2,前橋,新橋,2,145,165
JR両毛線,3.1,伊勢崎,新橋,2,144,164
JR両毛線,2.8,栃木,新橋,2,139,159
JR両毛線,3.2,小山,新橋,2,80,100
JR中央・総武線各駅停車,6.1,三鷹,新橋,1,29,49
JR中央・総武線各駅停車,6.3,吉祥寺,新橋,1,26,46
JR中央・総武線各駅停車,6.5,西荻窪,新橋,1,28,48
JR中央・総武線各駅停車,6.7,荻窪,新橋,1,22,42
JR中央・総武線各駅停車,6.8,阿佐ケ谷,新橋,1,23,43
JR中央・総武線各駅停車,6.9,高円寺,新橋,1,21,41
JR中央・総武線各駅停車,7.0,中野,新橋,1,18,38
JR中央・総武線各駅停車,7.0,東中野,新橋,0,13,33
JR中央・総武線各駅停車,7.4,大久保,新橋,0,13,33
JR中央・総武線各駅停車,8.2,新宿,新橋,0,4,24
JR中央・総武線各駅停車,10.1,代々木,新橋,0,2,22
JR中央・総武線各駅停車,10.0,千駄ケ谷,新橋,0,4,24
JR中央・総武線各駅停車,8.8,信濃町,新橋,0,11,31
JR中央・総武線各駅停車,10.0,四ツ谷,新橋,0,13,33
JR中央・総武線各駅停車,9.8,市ケ谷,新橋,0,14,34
JR中央・総武線各駅停車,9.5,飯田橋,新橋,2,31,51
JR中央・総武線各駅停車,9.0,水道橋,新橋,1,19,39
JR中央・総武線各駅停車,9.4,御茶ノ水,新橋,1,18,38
JR中央・総武線各駅停車,9.4,秋葉原,新橋,1,18,38
JR中央・総武線各駅停車,8.8,浅草橋,新橋,1,21,41
JR中央・総武線各駅停車,8.3,両国,新橋,1,28,48
JR中央・総武線各駅停車,7.9,錦糸町,新橋,1,27,47
JR中央・総武線各駅停車,7.5,亀戸,新橋,2,33,53
JR中央・総武線各駅停車,6.2,平井,新橋,2,35,55
JR中央・総武線各駅停車,6.0,新小岩,新橋,2,38,58
JR中央・総武線各駅停車,6.0,小岩,新橋,2,41,61
JR中央・総武線各駅停車,6.0,市川,新橋,2,44,64
JR中央・総武線各駅停車,5.9,本八幡,新橋,2,44,64
JR中央・総武線各駅停車,5.3,下総中山,新橋,2,49,69
JR中央・総武線各駅停車,6.3,西船橋,新橋,2,38,58
JR中央・総武線各駅停車,6.2,船橋,新橋,2,54,74
JR中央・総武線各駅停車,4.5,東船橋,新橋,2,57,77
JR中央・総武線各駅停車,5.0,津田沼,新橋,2,59,79
JR中央・総武線各駅停車,4.5,幕張本郷,新橋,2,62,82
JR中央・総武線各駅停車,6.2,幕張,新橋,2,64,84
JR中央・総武線各駅停車,4.9,新検見川,新橋,2,67,87
JR中央・総武線各駅停車,4.9,稲毛,新橋,2,69,89
JR中央・総武線各駅停車,4.3,西千葉,新橋,2,72,92
JR中央・総武線各駅停車,5.4,千葉,新橋,2,73,93
JR中央本線,9.6,東京,新橋,0,13,33
JR中央本線,8.2,新宿,新橋,0,4,24
JR中央本線,6.1,三鷹,新橋,1,29,49
JR中央本線,4.9,立川,新橋,2,41,61
JR中央本線,3.8,日野,新橋,2,48,68
JR中央本線,3.7,豊田,新橋,2,50,70
JR中央本線,3.7,八王子,新橋,2,69,89
JR中央本線,3.4,西八王子,新橋,2,58,78
JR中央本線,3.5,高尾,新橋,2,62,82
JR中央本線,2.2,相模湖,新橋,2,72,92
JR中央本線,4.4,藤野,新橋,2,76,96
JR中央線,9.3,東京,新橋,0,13,33
JR中央線,10.1,神田,新橋,1,16,36
JR中央線,9.2,御茶ノ水,新橋,1,18,38
JR中央線,10.0,四ツ谷,新橋,0,13,33
JR中央線,8.2,新宿,新橋,0,4,24
JR中央線,7.2,中野,新橋,1,18,38
JR中央線,7.0,高円寺,新橋,1,21,41
JR中央線,6.7,阿佐ケ谷,新橋,1,23,43
JR中央線,6.6,荻窪,新橋,1,22,42
JR中央線,6.6,西荻窪,新橋,1,28,48
JR中央線,6.5,吉祥寺,新橋,1,26,46
JR中央線,6.5,三鷹,新橋,1,29,49
JR中央線,6.2,武蔵境,新橋,2,32,52
JR中央線,5.8,東小金井,新橋,2,34,54
JR中央線,5.3,武蔵小金井,新橋,2,36,56
JR中央線,5.2,国分寺,新橋,2,40,60
JR中央線,5.0,西国分寺,新橋,2,48,68
JR中央線,4.8,国立,新橋,2,50,70
JR中央線,5.0,立川,新橋,2,41,61
JR中央線,3.9,日野,新橋,2,48,68
JR中央線,4.1,豊田,新橋,2,50,70
JR中央線,3.8,八王子,新橋,2,69,89
JR中央線,3.5,西八王子,新橋,2,58,78
JR中央線,3.7,高尾,新橋,2,62,82
JR久留里線,5.0,木更津,新橋,2,90,110
JR久留里線,5.2,祇園,新橋,2,116,136
JR久留里線,5.2,上総清川,新橋,2,119,139
JR久留里線,4.2,東清川,新橋,2,123,143
JR久留里線,4.0,横田,新橋,2,128,148
JR久留里線,4.0,東横田,新橋,2,131,151
JR久留里線,4.0,馬来田,新橋,2,135,155
JR久留里線,4.0,下郡,新橋,2,139,159
JR久留里線,4.0,小櫃,新橋,2,122,142
JR久留里線,4.0,俵田,新橋,2,141,161
JR久留里線,4.0,平山,新橋,2,134,154
JR久留里線,4.1,上総松丘,新橋,2,140,160
JR五日市線,4.5,拝島,新橋,2,55,75
JR五日市線,3.6,熊川,新橋,2,65,85
JR五日市線,4.6,東秋留,新橋,2,67,87
JR五日市線,4.8,秋川,新橋,2,71,91
JR五日市線,4.7,武蔵引田,新橋,2,73,93
JR五日市線,3.3,武蔵増戸,新橋,2,76,96
JR五日市線,3.0,武蔵五日市,新橋,2,81,101
JR京浜東北線,6.5,大宮,新橋,2,54,74
JR京浜東北線,6.5,さいたま新都心,新橋,2,54,74
JR京浜東北線,5.4,与野,新橋,2,61,81
JR京浜東北線,5.5,北浦和,新橋,2,58,78
JR京浜東北線,5.7,浦和,新橋,2,50,70
JR京浜東北線,5.2,南浦和,新橋,2,53,73
JR京浜東北線,5.2,蕨,新橋,2,50,70
JR京浜東北線,5.3,西川口,新橋,2,47,67
JR京浜東北線,5.4,川口,新橋,2,45,65
JR京浜東北線,7.0,赤羽,新橋,1,28,48
JR京浜東北線,6.6,東十条,新橋,2,39,59
JR京浜東北線,6.7,王子,新橋,2,35,55
JR京浜東北線,6.9,上中里,新橋,2,34,54
JR京浜東北線,7.0,田端,新橋,2,31,51
JR京浜東北線,7.2,西日暮里,新橋,1,20,40
JR京浜東北線,7.7,日暮里,新橋,1,28,48
JR京浜東北線,7.7,鶯谷,新橋,1,25,45
JR京浜東北線,8.2,上野,新橋,1,22,42
JR京浜東北線,8.9,御徒町,新橋,1,25,45
