line,price,from,to,trans,min,train+walk_min
JR上越線,3.9,高崎,桜田門,2,97,113
JR上越線,3.4,高崎問屋町,桜田門,2,134,150
JR上越線,4.1,井野,桜田門,2,88,104
JR上越線,3.3,新前橋,桜田門,2,140,156
JR上野東京ライン,9.1,品川,桜田門,1,21,37
JR上野東京ライン,11.0,新橋,桜田門,0,14,30
JR上野東京ライン,9.6,東京,桜田門,0,13,29
JR上野東京ライン,8.1,上野,桜田門,1,22,38
JR両毛線,3.9,高崎,桜田門,2,97,113
JR両毛線,3.4,高崎問屋町,桜田門,2,134,150
JR両毛線,4.1,井野,桜田門,2,88,104
JR両毛線,3.3,新前橋,桜田門,2,140,156
JR両毛線,3.2,前橋,桜田門,2,145,161
JR両毛線,3.1,伊勢崎,桜田門,2,144,160
JR両毛線,2.8,栃木,桜田門,2,139,155
JR両毛線,3.2,小山,桜田門,2,80,96
JR中央・総武線各駅停車,6.1,三鷹,桜田門,1,29,45
JR中央・総武線各駅停車,6.3,吉祥寺,桜田門,1,26,42
JR中央・総武線各駅停車,6.5,西荻窪,桜田門,1,28,44
JR中央・総武線各駅停車,6.7,荻窪,桜田門,1,22,38
JR中央・総武線各駅停車,6.8,阿佐ケ谷,桜田門,1,23,39
JR中央・総武線各駅停車,6.9,高円寺,桜田門,1,21,37
JR中央・総武線各駅停車,7.0,中野,桜田門,1,18,34
JR中央・総武線各駅停車,7.0,東中野,桜田門,0,13,29
JR中央・総武線各駅停車,7.4,大久保,桜田門,0,13,29
JR中央・総武線各駅停車,8.2,新宿,桜田門,0,4,20
JR中央・総武線各駅停車,10.1,代々木,桜田門,0,2,18
JR中央・総武線各駅停車,10.0,千駄ケ谷,桜田門,0,4,20
JR中央・総武線各駅停車,8.8,信濃町,桜田門,0,11,27
JR中央・総武線各駅停車,10.0,四ツ谷,桜田門,0,13,29
JR中央・総武線各駅停車,9.8,市ケ谷,桜田門,0,14,30
JR中央・総武線各駅停車,9.5,飯田橋,桜田門,2,31,47
JR中央・総武線各駅停車,9.0,水道橋,桜田門,1,19,35
JR中央・総武線各駅停車,9.4,御茶ノ水,桜田門,1,18,34
JR中央・総武線各駅停車,9.4,秋葉原,桜田門,1,18,34
JR中央・総武線各駅停車,8.8,浅草橋,桜田門,1,21,37
JR中央・総武線各駅停車,8.3,両国,桜田門,1,28,44
JR中央・総武線各駅停車,7.9,錦糸町,桜田門,1,27,43
JR中央・総武線各駅停車,7.5,亀戸,桜田門,2,33,49
JR中央・総武線各駅停車,6.2,平井,桜田門,2,35,51
JR中央・総武線各駅停車,6.0,新小岩,桜田門,2,38,54
JR中央・総武線各駅停車,6.0,小岩,桜田門,2,41,57
JR中央・総武線各駅停車,6.0,市川,桜田門,2,44,60
JR中央・総武線各駅停車,5.9,本八幡,桜田門,2,44,60
JR中央・総武線各駅停車,5.3,下総中山,桜田門,2,49,65
JR中央・総武線各駅停車,6.3,西船橋,桜田門,2,38,54
JR中央・総武線各駅停車,6.2,船橋,桜田門,2,54,70
JR中央・総武線各駅停車,4.5,東船橋,桜田門,2,57,73
JR中央・総武線各駅停車,5.0,津田沼,桜田門,2,59,75
JR中央・総武線各駅停車,4.5,幕張本郷,桜田門,2,62,78
JR中央・総武線各駅停車,6.2,幕張,桜田門,2,64,80
JR中央・総武線各駅停車,4.9,新検見川,桜田門,2,67,83
JR中央・総武線各駅停車,4.9,稲毛,桜田門,2,69,85
JR中央・総武線各駅停車,4.3,西千葉,桜田門,2,72,88
JR中央・総武線各駅停車,5.4,千葉,桜田門,2,73,89
JR中央本線,9.6,東京,桜田門,0,13,29
JR中央本線,8.2,新宿,桜田門,0,4,20
JR中央本線,6.1,三鷹,桜田門,1,29,45
JR中央本線,4.9,立川,桜田門,2,41,57
JR中央本線,3.8,日野,桜田門,2,48,64
JR中央本線,3.7,豊田,桜田門,2,50,66
JR中央本線,3.7,八王子,桜田門,2,69,85
JR中央本線,3.4,西八王子,桜田門,2,58,74
JR中央本線,3.5,高尾,桜田門,2,62,78
JR中央本線,2.2,相模湖,桜田門,2,72,88
JR中央本線,4.4,藤野,桜田門,2,76,92
JR中央線,9.3,東京,桜田門,0,13,29
JR中央線,10.1,神田,桜田門,1,16,32
JR中央線,9.2,御茶ノ水,桜田門,1,18,34
JR中央線,10.0,四ツ谷,桜田門,0,13,29
JR中央線,8.2,新宿,桜田門,0,4,20
JR中央線,7.2,中野,桜田門,1,18,34
JR中央線,7.0,高円寺,桜田門,1,21,37
JR中央線,6.7,阿佐ケ谷,桜田門,1,23,39
JR中央線,6.6,荻窪,桜田門,1,22,38
JR中央線,6.6,西荻窪,桜田門,1,28,44
JR中央線,6.5,吉祥寺,桜田門,1,26,42
JR中央線,6.5,三鷹,桜田門,1,29,45
JR中央線,6.2,武蔵境,桜田門,2,32,48
JR中央線,5.8,東小金井,桜田門,2,34,50
JR中央線,5.3,武蔵小金井,桜田門,2,36,52
JR中央線,5.2,国分寺,桜田門,2,40,56
JR中央線,5.0,西国分寺,桜田門,2,48,64
JR中央線,4.8,国立,桜田門,2,50,66
JR中央線,5.0,立川,桜田門,2,41,57
JR中央線,3.9,日野,桜田門,2,48,64
JR中央線,4.1,豊田,桜田門,2,50,66
JR中央線,3.8,八王子,桜田門,2,69,85
JR中央線,3.5,西八王子,桜田門,2,58,74
JR中央線,3.7,高尾,桜田門,2,62,78
JR久留里線,5.0,木更津,桜田門,2,90,106
JR久留里線,5.2,祇園,桜田門,2,116,132
JR久留里線,5.2,上総清川,桜田門,2,119,135
JR久留里線,4.2,東清川,桜田門,2,123,139
JR久留里線,4.0,横田,桜田門,2,128,144
JR久留里線,4.0,東横田,桜田門,2,131,147
JR久留里線,4.0,馬来田,桜田門,2,135,151
JR久留里線,4.0,下郡,桜田門,2,139,155
JR久留里線,4.0,小櫃,桜田門,2,122,138
JR久留里線,4.0,俵田,桜田門,2,141,157
JR久留里線,4.0,平山,桜田門,2,134,150
JR久留里線,4.1,上総松丘,桜田門,2,140,156
JR五日市線,4.5,拝島,桜田門,2,55,71
JR五日市線,3.6,熊川,桜田門,2,65,81
JR五日市線,4.6,東秋留,桜田門,2,67,83
JR五日市線,4.8,秋川,桜田門,2,71,87
JR五日市線,4.7,武蔵引田,桜田門,2,73,89
JR五日市線,3.3,武蔵増戸,桜田門,2,76,92
JR五日市線,3.0,武蔵五日市,桜田門,2,81,97
JR京浜東北線,6.5,大宮,桜田門,2,54,70
JR京浜東北線,6.5,さいたま新都心,桜田門,2,54,70
JR京浜東北線,5.4,与野,桜田門,2,61,77
JR京浜東北線,5.5,北浦和,桜田門,2,58,74
JR京浜東北線,5.7,浦和,桜田門,2,50,66
JR京浜東北線,5.2,南浦和,桜田門,2,53,69
JR京浜東北線,5.2,蕨,桜田門,2,50,66
JR京浜東北線,5.3,西川口,桜田門,2,47,63
JR京浜東北線,5.4,川口,桜田門,2,45,61
JR京浜東北線,7.0,赤羽,桜田門,1,28,44
JR京浜東北線,6.6,東十条,桜田門,2,39,55
JR京浜東北線,6.7,王子,桜田門,2,35,51
JR京浜東北線,6.9,上中里,桜田門,2,34,50
JR京浜東北線,7.0,田端,桜田門,2,31,47
JR京浜東北線,7.2,西日暮里,桜田門,1,20,36
JR京浜東北線,7.7,日暮里,桜田門,1,28,44
JR京浜東北線,7.7,鶯谷,桜田門,1,25,41
JR京浜東北線,8.2,上野,桜田門,1,22,38
JR京浜東北線,8.9,御徒町,桜田門,1,25,41
JR京浜東北線,9.5,秋葉原,桜田門,1,18,34
JR京浜東北線,10.1,神田,桜田門,1,16,32
JR京浜東北線,9.3,東京,桜田門,0,13,29
JR京浜東北線,11.8,有楽町,桜田門,0,10,26
JR京浜東北線,11.4,新橋,桜田門,0,14,30
JR京浜東北線,10.9,浜松町,桜田門,0,9,25
JR京浜東北線,10.1,田町,桜田門,0,12,28
