line,price,from,to,trans,min,train+walk_min
つくばエクスプレス,9.5,秋葉原,溜池山王,1,16,26
つくばエクスプレス,9.0,新御徒町,溜池山王,1,22,32
つくばエクスプレス,7.5,浅草,溜池山王,0,23,33
つくばエクスプレス,7.8,南千住,溜池山王,1,27,37
つくばエクスプレス,7.2,北千住,溜池山王,0,29,39
つくばエクスプレス,6.3,青井,溜池山王,1,39,49
つくばエクスプレス,5.5,六町,溜池山王,1,41,51
つくばエクスプレス,6.5,八潮,溜池山王,1,45,55
つくばエクスプレス,6.4,三郷中央,溜池山王,1,50,60
つくばエクスプレス,5.0,南流山,溜池山王,1,53,63
つくばエクスプレス,6.3,流山セントラルパーク,溜池山王,1,57,67
つくばエクスプレス,5.6,流山おおたかの森,溜池山王,1,56,66
つくばエクスプレス,5.4,柏の葉キャンパス,溜池山王,1,59,69
つくばエクスプレス,7.3,柏たなか,溜池山王,1,65,75
つくばエクスプレス,6.1,守谷,溜池山王,1,65,75
つくばエクスプレス,5.8,みらい平,溜池山王,1,70,80
つくばエクスプレス,3.3,みどりの,溜池山王,1,73,83
つくばエクスプレス,5.0,万博記念公園,溜池山王,2,502,512
つくばエクスプレス,4.6,研究学園,溜池山王,1,79,89
つくばエクスプレス,4.4,つくば,溜池山王,1,82,92
りんかい線,8.2,大崎,溜池山王,1,20,30
りんかい線,7.9,大井町,溜池山王,1,22,32
りんかい線,8.5,品川シーサイド,溜池山王,1,29,39
りんかい線,9.1,天王洲アイル,溜池山王,1,32,42
りんかい線,12.6,東京テレポート,溜池山王,1,33,43
りんかい線,9.5,国際展示場,溜池山王,1,28,38
りんかい線,9.6,東雲,溜池山王,3,330,340
りんかい線,9.3,新木場,溜池山王,1,26,36
京急久里浜線,4.2,堀ノ内,溜池山王,1,80,90
京急久里浜線,4.0,新大津,溜池山王,1,81,91
京急久里浜線,3.5,北久里浜,溜池山王,1,83,93
京急久里浜線,4.6,京急久里浜,溜池山王,1,86,96
京急久里浜線,5.4,ＹＲＰ野比,溜池山王,1,93,103
京急久里浜線,5.0,京急長沢,溜池山王,1,95,105
京急久里浜線,4.9,津久井浜,溜池山王,1,97,107
京急久里浜線,2.6,三浦海岸,溜池山王,1,99,109
京急久里浜線,4.8,三崎口,溜池山王,1,101,111
京急大師線,6.8,京急川崎,溜池山王,1,33,43
京急大師線,6.6,港町,溜池山王,2,35,45
京急大師線,6.8,鈴木町,溜池山王,2,37,47
