line,price,from,to,trans,min,train+walk_min
つくばエクスプレス,9.5,秋葉原,霞ケ関,0,17,30
つくばエクスプレス,9.0,新御徒町,霞ケ関,1,23,36
つくばエクスプレス,7.5,浅草,霞ケ関,1,20,33
つくばエクスプレス,7.8,南千住,霞ケ関,0,27,40
つくばエクスプレス,7.2,北千住,霞ケ関,0,21,34
つくばエクスプレス,6.3,青井,霞ケ関,1,32,45
つくばエクスプレス,5.5,六町,霞ケ関,1,34,47
つくばエクスプレス,6.5,八潮,霞ケ関,1,38,51
つくばエクスプレス,6.4,三郷中央,霞ケ関,1,41,54
つくばエクスプレス,5.0,南流山,霞ケ関,1,44,57
つくばエクスプレス,6.3,流山セントラルパーク,霞ケ関,1,47,60
つくばエクスプレス,5.6,流山おおたかの森,霞ケ関,1,50,63
つくばエクスプレス,5.4,柏の葉キャンパス,霞ケ関,1,53,66
つくばエクスプレス,7.3,柏たなか,霞ケ関,1,55,68
つくばエクスプレス,6.1,守谷,霞ケ関,1,57,70
つくばエクスプレス,5.8,みらい平,霞ケ関,1,62,75
つくばエクスプレス,3.3,みどりの,霞ケ関,1,65,78
つくばエクスプレス,5.0,万博記念公園,霞ケ関,2,494,507
つくばエクスプレス,4.6,研究学園,霞ケ関,1,71,84
つくばエクスプレス,4.4,つくば,霞ケ関,1,74,87
りんかい線,8.2,大崎,霞ケ関,1,24,37
りんかい線,7.9,大井町,霞ケ関,1,26,39
りんかい線,8.5,品川シーサイド,霞ケ関,1,29,42
りんかい線,9.1,天王洲アイル,霞ケ関,1,32,45
りんかい線,12.6,東京テレポート,霞ケ関,1,35,48
りんかい線,9.5,国際展示場,霞ケ関,1,36,49
りんかい線,9.6,東雲,霞ケ関,3,803,816
りんかい線,9.3,新木場,霞ケ関,1,23,36
京急久里浜線,4.2,堀ノ内,霞ケ関,1,80,93
京急久里浜線,4.0,新大津,霞ケ関,1,81,94
京急久里浜線,3.5,北久里浜,霞ケ関,1,83,96
京急久里浜線,4.6,京急久里浜,霞ケ関,1,86,99
京急久里浜線,5.4,ＹＲＰ野比,霞ケ関,1,93,106
京急久里浜線,5.0,京急長沢,霞ケ関,1,95,108
京急久里浜線,4.9,津久井浜,霞ケ関,1,97,110
京急久里浜線,2.6,三浦海岸,霞ケ関,1,99,112
京急久里浜線,4.8,三崎口,霞ケ関,1,101,114
京急大師線,6.8,京急川崎,霞ケ関,1,39,52
京急大師線,6.6,港町,霞ケ関,2,43,56
京急大師線,6.8,鈴木町,霞ケ関,2,45,58
京急大師線,6.4,川崎大師,霞ケ関,2,46,59
京急大師線,6.2,東門前,霞ケ関,2,48,61
京急大師線,5.0,小島新田,霞ケ関,2,51,64
京急本線,10.1,泉岳寺,霞ケ関,1,19,32
京急本線,9.1,品川,霞ケ関,1,20,33
京急本線,8.9,北品川,霞ケ関,1,47,60
京急本線,8.2,新馬場,霞ケ関,1,50,63
京急本線,8.2,青物横丁,霞ケ関,1,26,39
京急本線,7.9,鮫洲,霞ケ関,2,32,45
京急本線,7.6,立会川,霞ケ関,1,28,41
京急本線,7.4,大森海岸,霞ケ関,2,32,45
京急本線,6.9,平和島,霞ケ関,1,31,44
京急本線,6.7,大森町,霞ケ関,2,33,46
京急本線,6.8,梅屋敷,霞ケ関,2,35,48
京急本線,7.4,京急蒲田,霞ケ関,1,34,47
京急本線,6.7,雑色,霞ケ関,2,38,51
京急本線,6.2,六郷土手,霞ケ関,2,44,57
京急本線,6.8,京急川崎,霞ケ関,1,39,52
京急本線,6.1,八丁畷,霞ケ関,2,46,59
京急本線,6.0,鶴見市場,霞ケ関,2,48,61
京急本線,6.0,京急鶴見,霞ケ関,1,46,59
京急本線,4.8,生麦,霞ケ関,2,51,64
京急本線,4.6,京急新子安,霞ケ関,1,49,62
京急本線,5.0,子安,霞ケ関,2,54,67
京急本線,5.1,神奈川新町,霞ケ関,1,42,55
京急本線,6.8,神奈川,霞ケ関,2,48,61
京急本線,6.8,横浜,霞ケ関,1,39,52
京急本線,6.4,戸部,霞ケ関,2,48,61
京急本線,6.9,日ノ出町,霞ケ関,2,47,60
京急本線,5.2,黄金町,霞ケ関,2,51,64
京急本線,5.3,南太田,霞ケ関,2,53,66
京急本線,5.0,井土ヶ谷,霞ケ関,2,50,63
京急本線,5.0,弘明寺,霞ケ関,2,64,77
京急本線,5.3,上大岡,霞ケ関,1,56,69
京急本線,3.9,屏風浦,霞ケ関,2,61,74
京急本線,4.6,杉田,霞ケ関,1,80,93
京急本線,4.0,京急富岡,霞ケ関,2,66,79
京急本線,4.0,能見台,霞ケ関,2,61,74
京急本線,5.2,金沢文庫,霞ケ関,1,64,77
京急本線,5.0,金沢八景,霞ケ関,1,66,79
京急本線,4.8,追浜,霞ケ関,1,69,82
京急本線,4.4,京急田浦,霞ケ関,2,75,88
京急本線,4.0,安針塚,霞ケ関,2,78,91
京急本線,4.6,逸見,霞ケ関,2,79,92
京急本線,5.0,汐入,霞ケ関,1,75,88
京急本線,5.0,横須賀中央,霞ケ関,1,77,90
京急本線,5.3,県立大学,霞ケ関,2,84,97
京急本線,4.2,堀ノ内,霞ケ関,1,80,93
京急本線,5.8,京急大津,霞ケ関,2,83,96
京急本線,4.8,馬堀海岸,霞ケ関,2,84,97
京急本線,4.6,浦賀,霞ケ関,2,86,99
京急空港線,7.4,京急蒲田,霞ケ関,1,34,47
京急空港線,7.2,糀谷,霞ケ関,1,36,49
京急空港線,7.4,大鳥居,霞ケ関,1,38,51
京急空港線,7.4,穴守稲荷,霞ケ関,1,40,53
京急空港線,7.3,天空橋,霞ケ関,1,41,54
京急逗子線,5.0,金沢八景,霞ケ関,1,66,79
京急逗子線,4.7,六浦,霞ケ関,2,68,81
京成千原線,6.5,千葉中央,霞ケ関,2,68,81
京成千原線,5.3,千葉寺,霞ケ関,2,72,85
京成千原線,5.3,大森台,霞ケ関,2,74,87
京成千原線,4.3,学園前,霞ケ関,2,543,556
京成千原線,4.4,おゆみ野,霞ケ関,1,105,118
京成千原線,3.0,ちはら台,霞ケ関,2,84,97
京成千葉線,6.0,京成津田沼,霞ケ関,1,58,71
京成千葉線,3.7,京成幕張本郷,霞ケ関,1,60,73
京成千葉線,6.2,京成幕張,霞ケ関,2,75,88
京成千葉線,4.9,検見川,霞ケ関,2,73,86
京成千葉線,6.2,京成稲毛,霞ケ関,2,70,83
京成千葉線,4.5,みどり台,霞ケ関,2,68,81
京成千葉線,4.3,西登戸,霞ケ関,2,66,79
京成千葉線,5.2,新千葉,霞ケ関,2,65,78
京成千葉線,6.3,京成千葉,霞ケ関,1,60,73
京成千葉線,6.5,千葉中央,霞ケ関,2,68,81
京成押上線,6.9,京成曳舟,霞ケ関,1,27,40
京成押上線,6.7,八広,霞ケ関,1,28,41
京成押上線,5.8,四ツ木,霞ケ関,1,30,43
京成押上線,5.7,京成立石,霞ケ関,1,32,45
京成押上線,5.3,青砥,霞ケ関,1,33,46
京成本線,5.5,京成成田,霞ケ関,1,85,98
京成本線,5.6,公津の杜,霞ケ関,1,100,113
京成本線,5.9,宗吾参道,霞ケ関,1,98,111
京成本線,3.5,京成酒々井,霞ケ関,1,96,109
京成本線,4.0,大佐倉,霞ケ関,1,94,107
京成本線,5.1,京成佐倉,霞ケ関,1,84,97
京成本線,4.8,京成臼井,霞ケ関,1,79,92
京成本線,3.0,ユーカリが丘,霞ケ関,1,76,89
京成本線,3.5,志津,霞ケ関,1,75,88
京成本線,5.1,勝田台,霞ケ関,1,69,82
京成本線,4.5,京成大和田,霞ケ関,1,71,84
京成本線,4.2,八千代台,霞ケ関,1,68,81
京成本線,4.5,実籾,霞ケ関,1,65,78
京成本線,4.0,京成大久保,霞ケ関,1,63,76
京成本線,6.0,京成津田沼,霞ケ関,1,58,71
京成本線,5.0,谷津,霞ケ関,2,53,66
京成本線,5.0,船橋競馬場,霞ケ関,1,55,68
京成本線,5.5,大神宮下,霞ケ関,2,50,63
京成本線,5.9,京成船橋,霞ケ関,1,45,58
京成本線,5.9,海神,霞ケ関,1,63,76
京成本線,6.4,京成西船,霞ケ関,1,45,58
京成本線,5.1,東中山,霞ケ関,1,60,73
京成本線,5.3,京成中山,霞ケ関,1,58,71
京成本線,5.5,鬼越,霞ケ関,1,57,70
京成本線,6.1,京成八幡,霞ケ関,1,47,60
京成本線,6.2,菅野,霞ケ関,1,54,67
京成本線,6.5,市川真間,霞ケ関,1,53,66
京成本線,6.5,国府台,霞ケ関,1,51,64
京成本線,6.2,江戸川,霞ケ関,1,50,63
京成本線,6.0,京成小岩,霞ケ関,1,48,61
京成本線,4.9,京成高砂,霞ケ関,1,40,53
京成本線,5.3,青砥,霞ケ関,1,33,46
京成本線,5.5,お花茶屋,霞ケ関,1,39,52
京成本線,5.3,堀切菖蒲園,霞ケ関,1,37,50
京成本線,7.1,京成関屋,霞ケ関,1,31,44
京成本線,7.2,千住大橋,霞ケ関,1,28,41
京成本線,6.8,町屋,霞ケ関,0,22,35
京成本線,7.0,新三河島,霞ケ関,1,27,40
京成本線,7.7,日暮里,霞ケ関,1,20,33
京成本線,7.5,京成上野,霞ケ関,0,29,42
京成金町線,4.9,京成高砂,霞ケ関,1,40,53
京成金町線,5.0,柴又,霞ケ関,1,40,53
京成金町線,5.5,京成金町,霞ケ関,0,34,47
京王井の頭線,11.0,渋谷,霞ケ関,1,14,27
京王井の頭線,10.5,神泉,霞ケ関,1,39,52
京王井の頭線,9.0,駒場東大前,霞ケ関,1,29,42
京王井の頭線,8.5,池ノ上,霞ケ関,1,27,40
京王井の頭線,7.8,下北沢,霞ケ関,0,19,32
京王井の頭線,7.2,新代田,霞ケ関,1,30,43
京王井の頭線,7.0,東松原,霞ケ関,1,32,45
京王井の頭線,6.9,明大前,霞ケ関,1,28,41
京王井の頭線,6.5,永福町,霞ケ関,1,30,43
京王井の頭線,6.5,西永福,霞ケ関,1,48,61
京王井の頭線,6.2,浜田山,霞ケ関,1,57,70
京王井の頭線,6.2,高井戸,霞ケ関,1,57,70
京王井の頭線,5.8,富士見ヶ丘,霞ケ関,2,39,52
京王井の頭線,6.4,久我山,霞ケ関,1,35,48
京王井の頭線,6.5,三鷹台,霞ケ関,1,71,84
京王井の頭線,6.8,井の頭公園,霞ケ関,2,38,51
京王井の頭線,6.5,吉祥寺,霞ケ関,1,31,44
