line,price,from,to,trans,min
つくばエクスプレス,17.0,秋葉原,乃木坂,1,24
つくばエクスプレス,15.4,新御徒町,乃木坂,1,33
つくばエクスプレス,14.0,浅草,乃木坂,1,37
つくばエクスプレス,12.5,南千住,乃木坂,1,35
つくばエクスプレス,10.9,北千住,乃木坂,0,27
つくばエクスプレス,9.0,青井,乃木坂,1,37
つくばエクスプレス,8.0,六町,乃木坂,1,39
つくばエクスプレス,8.0,八潮,乃木坂,1,43
つくばエクスプレス,8.3,三郷中央,乃木坂,1,46
つくばエクスプレス,7.9,南流山,乃木坂,1,49
つくばエクスプレス,9.4,流山セントラルパーク,乃木坂,1,55
つくばエクスプレス,10.4,流山おおたかの森,乃木坂,1,54
つくばエクスプレス,9.3,柏の葉キャンパス,乃木坂,1,57
つくばエクスプレス,9.8,柏たなか,乃木坂,1,59
つくばエクスプレス,7.6,守谷,乃木坂,1,63
つくばエクスプレス,7.0,みらい平,乃木坂,1,65
つくばエクスプレス,7.0,みどりの,乃木坂,1,68
つくばエクスプレス,7.2,万博記念公園,乃木坂,3,502
つくばエクスプレス,7.3,研究学園,乃木坂,1,74
つくばエクスプレス,6.3,つくば,乃木坂,1,71
りんかい線,16.8,大崎,乃木坂,1,23
りんかい線,14.5,大井町,乃木坂,1,35
りんかい線,17.0,品川シーサイド,乃木坂,2,28
りんかい線,17.1,天王洲アイル,乃木坂,1,50
りんかい線,16.9,東京テレポート,乃木坂,1,69
りんかい線,20.0,国際展示場,乃木坂,2,37
りんかい線,17.7,東雲,乃木坂,3,847
りんかい線,12.4,新木場,乃木坂,1,28
京急久里浜線,6.8,堀ノ内,乃木坂,1,92
京急久里浜線,6.5,新大津,乃木坂,1,93
京急久里浜線,6.0,北久里浜,乃木坂,1,95
京急久里浜線,6.8,京急久里浜,乃木坂,1,98
京急久里浜線,5.8,ＹＲＰ野比,乃木坂,1,111
京急久里浜線,6.7,京急長沢,乃木坂,1,113
京急久里浜線,6.3,津久井浜,乃木坂,1,115
京急久里浜線,6.4,三浦海岸,乃木坂,1,117
京急久里浜線,5.9,三崎口,乃木坂,1,120
京急大師線,10.6,京急川崎,乃木坂,1,53
京急大師線,10.1,港町,乃木坂,2,53
京急大師線,9.7,鈴木町,乃木坂,2,55
京急大師線,9.6,川崎大師,乃木坂,2,56
京急大師線,9.5,東門前,乃木坂,2,58
京急大師線,9.1,小島新田,乃木坂,2,61
京急本線,19.4,泉岳寺,乃木坂,0,28
京急本線,18.2,品川,乃木坂,0,30
京急本線,17.5,北品川,乃木坂,1,39
京急本線,15.5,新馬場,乃木坂,1,40
京急本線,15.5,青物横丁,乃木坂,1,38
京急本線,14.1,鮫洲,乃木坂,1,42
京急本線,13.6,立会川,乃木坂,1,45
京急本線,13.2,大森海岸,乃木坂,1,49
京急本線,12.0,平和島,乃木坂,1,41
京急本線,11.5,大森町,乃木坂,1,58
京急本線,11.6,梅屋敷,乃木坂,1,60
京急本線,12.0,京急蒲田,乃木坂,1,44
京急本線,10.8,雑色,乃木坂,1,63
京急本線,11.3,六郷土手,乃木坂,1,65
京急本線,10.6,京急川崎,乃木坂,1,53
京急本線,10.2,八丁畷,乃木坂,1,69
京急本線,10.0,鶴見市場,乃木坂,1,71
京急本線,10.0,京急鶴見,乃木坂,1,55
京急本線,9.0,生麦,乃木坂,2,57
京急本線,10.8,京急新子安,乃木坂,1,58
京急本線,9.9,子安,乃木坂,1,76
京急本線,11.6,神奈川新町,乃木坂,1,54
京急本線,12.5,神奈川,乃木坂,1,92
京急本線,12.2,横浜,乃木坂,1,40
京急本線,11.3,戸部,乃木坂,2,49
京急本線,11.8,日ノ出町,乃木坂,2,51
京急本線,10.4,黄金町,乃木坂,2,52
京急本線,8.8,南太田,乃木坂,1,101
京急本線,8.5,井土ヶ谷,乃木坂,2,56
京急本線,8.6,弘明寺,乃木坂,2,66
京急本線,8.7,上大岡,乃木坂,1,68
京急本線,8.2,屏風浦,乃木坂,1,116
京急本線,8.7,杉田,乃木坂,1,89
京急本線,7.9,京急富岡,乃木坂,1,121
京急本線,8.9,能見台,乃木坂,2,67
京急本線,8.5,金沢文庫,乃木坂,1,76
京急本線,8.3,金沢八景,乃木坂,1,78
京急本線,7.0,追浜,乃木坂,1,81
京急本線,6.9,京急田浦,乃木坂,1,139
