line,price,from,to,trans,min
つくばエクスプレス,17.0,秋葉原,六本木一丁目,1,24
つくばエクスプレス,15.4,新御徒町,六本木一丁目,1,25
つくばエクスプレス,14.0,浅草,六本木一丁目,1,28
つくばエクスプレス,12.5,南千住,六本木一丁目,1,41
つくばエクスプレス,10.9,北千住,六本木一丁目,1,34
つくばエクスプレス,9.0,青井,六本木一丁目,2,40
つくばエクスプレス,8.0,六町,六本木一丁目,2,42
つくばエクスプレス,8.0,八潮,六本木一丁目,2,45
つくばエクスプレス,8.3,三郷中央,六本木一丁目,2,49
つくばエクスプレス,7.9,南流山,六本木一丁目,1,73
つくばエクスプレス,9.4,流山セントラルパーク,六本木一丁目,2,58
つくばエクスプレス,10.4,流山おおたかの森,六本木一丁目,2,55
つくばエクスプレス,9.3,柏の葉キャンパス,六本木一丁目,2,58
つくばエクスプレス,9.8,柏たなか,六本木一丁目,2,66
つくばエクスプレス,7.6,守谷,六本木一丁目,2,64
つくばエクスプレス,7.0,みらい平,六本木一丁目,2,69
つくばエクスプレス,7.0,みどりの,六本木一丁目,2,72
つくばエクスプレス,7.2,万博記念公園,六本木一丁目,3,500
つくばエクスプレス,7.3,研究学園,六本木一丁目,2,78
つくばエクスプレス,6.3,つくば,六本木一丁目,2,79
りんかい線,16.8,大崎,六本木一丁目,1,19
りんかい線,14.5,大井町,六本木一丁目,1,34
りんかい線,17.0,品川シーサイド,六本木一丁目,1,46
りんかい線,17.1,天王洲アイル,六本木一丁目,2,32
りんかい線,16.9,東京テレポート,六本木一丁目,1,45
りんかい線,20.0,国際展示場,六本木一丁目,1,41
りんかい線,17.7,東雲,六本木一丁目,4,328
りんかい線,12.4,新木場,六本木一丁目,1,29
京急久里浜線,6.8,堀ノ内,六本木一丁目,1,92
京急久里浜線,6.5,新大津,六本木一丁目,1,93
京急久里浜線,6.0,北久里浜,六本木一丁目,1,95
京急久里浜線,6.8,京急久里浜,六本木一丁目,1,98
京急久里浜線,5.8,ＹＲＰ野比,六本木一丁目,1,105
京急久里浜線,6.7,京急長沢,六本木一丁目,1,107
京急久里浜線,6.3,津久井浜,六本木一丁目,1,109
京急久里浜線,6.4,三浦海岸,六本木一丁目,1,111
京急久里浜線,5.9,三崎口,六本木一丁目,1,113
京急大師線,10.6,京急川崎,六本木一丁目,1,45
京急大師線,10.1,港町,六本木一丁目,2,53
京急大師線,9.7,鈴木町,六本木一丁目,2,55
京急大師線,9.6,川崎大師,六本木一丁目,2,56
京急大師線,9.5,東門前,六本木一丁目,2,58
京急大師線,9.1,小島新田,六本木一丁目,2,61
京急本線,19.4,泉岳寺,六本木一丁目,1,31
京急本線,18.2,品川,六本木一丁目,1,22
京急本線,17.5,北品川,六本木一丁目,1,31
京急本線,15.5,新馬場,六本木一丁目,1,37
京急本線,15.5,青物横丁,六本木一丁目,1,38
京急本線,14.1,鮫洲,六本木一丁目,2,39
京急本線,13.6,立会川,六本木一丁目,1,37
京急本線,13.2,大森海岸,六本木一丁目,2,41
京急本線,12.0,平和島,六本木一丁目,1,41
京急本線,11.5,大森町,六本木一丁目,2,45
京急本線,11.6,梅屋敷,六本木一丁目,2,47
京急本線,12.0,京急蒲田,六本木一丁目,1,44
京急本線,10.8,雑色,六本木一丁目,2,50
京急本線,11.3,六郷土手,六本木一丁目,2,49
京急本線,10.6,京急川崎,六本木一丁目,1,45
京急本線,10.2,八丁畷,六本木一丁目,2,53
京急本線,10.0,鶴見市場,六本木一丁目,2,58
京急本線,10.0,京急鶴見,六本木一丁目,1,54
京急本線,9.0,生麦,六本木一丁目,2,61
京急本線,10.8,京急新子安,六本木一丁目,1,57
京急本線,9.9,子安,六本木一丁目,2,58
京急本線,11.6,神奈川新町,六本木一丁目,1,54
京急本線,12.5,神奈川,六本木一丁目,2,53
京急本線,12.2,横浜,六本木一丁目,1,46
京急本線,11.3,戸部,六本木一丁目,2,53
京急本線,11.8,日ノ出町,六本木一丁目,2,55
京急本線,10.4,黄金町,六本木一丁目,2,56
京急本線,8.8,南太田,六本木一丁目,2,58
京急本線,8.5,井土ヶ谷,六本木一丁目,2,60
京急本線,8.6,弘明寺,六本木一丁目,1,74
京急本線,8.7,上大岡,六本木一丁目,1,68
京急本線,8.2,屏風浦,六本木一丁目,2,73
京急本線,8.7,杉田,六本木一丁目,1,88
京急本線,7.9,京急富岡,六本木一丁目,2,78
京急本線,8.9,能見台,六本木一丁目,2,71
京急本線,8.5,金沢文庫,六本木一丁目,1,76
京急本線,8.3,金沢八景,六本木一丁目,1,78
京急本線,7.0,追浜,六本木一丁目,1,81
京急本線,6.9,京急田浦,六本木一丁目,2,87
京急本線,6.4,安針塚,六本木一丁目,2,90
京急本線,6.3,逸見,六本木一丁目,2,91
京急本線,8.2,汐入,六本木一丁目,1,87
京急本線,8.5,横須賀中央,六本木一丁目,1,89
京急本線,7.7,県立大学,六本木一丁目,2,96
京急本線,6.8,堀ノ内,六本木一丁目,1,92
京急本線,6.0,京急大津,六本木一丁目,2,95
京急本線,5.0,馬堀海岸,六本木一丁目,2,96
京急本線,5.1,浦賀,六本木一丁目,2,98
京急空港線,12.0,京急蒲田,六本木一丁目,1,44
京急空港線,11.4,糀谷,六本木一丁目,1,45
京急空港線,11.2,大鳥居,六本木一丁目,1,47
京急空港線,11.3,穴守稲荷,六本木一丁目,1,49
京急空港線,11.0,天空橋,六本木一丁目,1,50
京急逗子線,8.3,金沢八景,六本木一丁目,1,78
京急逗子線,8.2,六浦,六本木一丁目,2,78
京急逗子線,10.7,神武寺,六本木一丁目,2,82
京成千原線,8.0,千葉中央,六本木一丁目,2,74
京成千原線,7.7,千葉寺,六本木一丁目,2,78
京成千原線,7.4,大森台,六本木一丁目,2,80
京成千原線,6.8,学園前,六本木一丁目,5,213
京成千原線,6.8,おゆみ野,六本木一丁目,2,87
京成千原線,5.7,ちはら台,六本木一丁目,2,89
京成千葉線,8.3,京成津田沼,六本木一丁目,2,62
京成千葉線,7.9,京成幕張本郷,六本木一丁目,1,67
京成千葉線,7.8,京成幕張,六本木一丁目,2,71
京成千葉線,7.2,検見川,六本木一丁目,2,73
京成千葉線,7.5,京成稲毛,六本木一丁目,2,76
京成千葉線,5.7,みどり台,六本木一丁目,2,78
京成千葉線,5.8,西登戸,六本木一丁目,2,79
京成千葉線,9.0,新千葉,六本木一丁目,2,77
京成千葉線,9.2,京成千葉,六本木一丁目,1,77
京成千葉線,8.0,千葉中央,六本木一丁目,2,74
京成押上線,12.7,京成曳舟,六本木一丁目,1,44
京成押上線,12.2,八広,六本木一丁目,1,46
