line,price,from,to,trans,min,train+walk_min
つくばエクスプレス,17.0,秋葉原,赤坂,1,22,36
つくばエクスプレス,15.4,新御徒町,赤坂,1,31,45
つくばエクスプレス,14.0,浅草,赤坂,1,35,49
つくばエクスプレス,12.5,南千住,赤坂,1,33,47
つくばエクスプレス,10.9,北千住,赤坂,0,25,39
つくばエクスプレス,9.0,青井,赤坂,1,35,49
つくばエクスプレス,8.0,六町,赤坂,1,37,51
つくばエクスプレス,8.0,八潮,赤坂,1,41,55
つくばエクスプレス,8.3,三郷中央,赤坂,1,44,58
つくばエクスプレス,7.9,南流山,赤坂,1,46,60
つくばエクスプレス,9.4,流山セントラルパーク,赤坂,1,49,63
つくばエクスプレス,10.4,流山おおたかの森,赤坂,1,52,66
つくばエクスプレス,9.3,柏の葉キャンパス,赤坂,1,55,69
つくばエクスプレス,9.8,柏たなか,赤坂,1,57,71
つくばエクスプレス,7.6,守谷,赤坂,1,61,75
つくばエクスプレス,7.0,みらい平,赤坂,1,63,77
つくばエクスプレス,7.0,みどりの,赤坂,1,66,80
つくばエクスプレス,7.2,万博記念公園,赤坂,3,504,518
つくばエクスプレス,7.3,研究学園,赤坂,1,72,86
つくばエクスプレス,6.3,つくば,赤坂,1,69,83
りんかい線,16.8,大崎,赤坂,1,26,40
りんかい線,14.5,大井町,赤坂,1,33,47
りんかい線,17.0,品川シーサイド,赤坂,2,31,45
りんかい線,17.1,天王洲アイル,赤坂,2,34,48
りんかい線,16.9,東京テレポート,赤坂,2,37,51
りんかい線,20.0,国際展示場,赤坂,2,39,53
りんかい線,17.7,東雲,赤坂,4,349,363
りんかい線,12.4,新木場,赤坂,1,25,39
京急久里浜線,6.8,堀ノ内,赤坂,2,85,99
京急久里浜線,6.5,新大津,赤坂,2,86,100
京急久里浜線,6.0,北久里浜,赤坂,2,88,102
京急久里浜線,6.8,京急久里浜,赤坂,1,117,131
京急久里浜線,5.8,ＹＲＰ野比,赤坂,2,98,112
京急久里浜線,6.7,京急長沢,赤坂,2,100,114
京急久里浜線,6.3,津久井浜,赤坂,2,102,116
京急久里浜線,6.4,三浦海岸,赤坂,2,104,118
京急久里浜線,5.9,三崎口,赤坂,2,106,120
京急大師線,10.6,京急川崎,赤坂,1,53,67
京急大師線,10.1,港町,赤坂,2,56,70
京急大師線,9.7,鈴木町,赤坂,2,58,72
京急大師線,9.6,川崎大師,赤坂,2,59,73
京急大師線,9.5,東門前,赤坂,2,61,75
京急大師線,9.1,小島新田,赤坂,2,64,78
京急本線,19.4,泉岳寺,赤坂,1,35,49
京急本線,18.2,品川,赤坂,1,29,43
京急本線,17.5,北品川,赤坂,2,38,52
京急本線,15.5,新馬場,赤坂,2,39,53
京急本線,15.5,青物横丁,赤坂,2,32,46
京急本線,14.1,鮫洲,赤坂,2,41,55
京急本線,13.6,立会川,赤坂,2,34,48
京急本線,13.2,大森海岸,赤坂,2,48,62
京急本線,12.0,平和島,赤坂,2,37,51
京急本線,11.5,大森町,赤坂,2,54,68
京急本線,11.6,梅屋敷,赤坂,2,55,69
京急本線,12.0,京急蒲田,赤坂,1,54,68
京急本線,10.8,雑色,赤坂,2,59,73
京急本線,11.3,六郷土手,赤坂,2,58,72
京急本線,10.6,京急川崎,赤坂,1,53,67
京急本線,10.2,八丁畷,赤坂,2,56,70
京急本線,10.0,鶴見市場,赤坂,2,55,69
京急本線,10.0,京急鶴見,赤坂,1,53,67
