line,station,price
ＪＲ山手線,東京,26.5
ＪＲ山手線,有楽町,26.5
ＪＲ山手線,新橋,30.0
ＪＲ山手線,浜松町,31.3
ＪＲ山手線,田町,26.7
ＪＲ山手線,高輪ゲートウェイ,26.3
ＪＲ山手線,品川,27.4
ＪＲ山手線,大崎,25.8
ＪＲ山手線,五反田,27.0
ＪＲ山手線,目黒,28.5
ＪＲ山手線,恵比寿,30.0
ＪＲ山手線,渋谷,35.0
ＪＲ山手線,原宿,44.2
ＪＲ山手線,代々木,25.4
ＪＲ山手線,新宿,27.4
ＪＲ山手線,新大久保,21.8
ＪＲ山手線,高田馬場,20.9
ＪＲ山手線,目白,21.2
ＪＲ山手線,池袋,19.6
ＪＲ山手線,大塚,20.0
ＪＲ山手線,巣鴨,19.5
ＪＲ山手線,駒込,18.0
ＪＲ山手線,田端,15.2
ＪＲ山手線,西日暮里,17.2
ＪＲ山手線,日暮里,17.9
ＪＲ山手線,鶯谷,17.4
ＪＲ山手線,上野,19.8
ＪＲ山手線,御徒町,20.5
ＪＲ山手線,秋葉原,22.1
ＪＲ山手線,神田,25.6
ＪＲ京浜東北線,赤羽,16.0
ＪＲ京浜東北線,東十条,15.5
ＪＲ京浜東北線,王子,14.5
ＪＲ京浜東北線,上中里,14.4
ＪＲ京浜東北線,田端,15.2
ＪＲ京浜東北線,西日暮里,17.2
ＪＲ京浜東北線,日暮里,17.9
ＪＲ京浜東北線,鶯谷,17.4
ＪＲ京浜東北線,上野,19.8
ＪＲ京浜東北線,御徒町,20.5
ＪＲ京浜東北線,秋葉原,22.1
ＪＲ京浜東北線,神田,25.6
ＪＲ京浜東北線,東京,26.5
ＪＲ京浜東北線,有楽町,26.5
ＪＲ京浜東北線,新橋,30.0
ＪＲ京浜東北線,浜松町,31.3
ＪＲ京浜東北線,田町,26.7
ＪＲ京浜東北線,高輪ゲートウェイ,26.3
ＪＲ京浜東北線,品川,27.4
ＪＲ京浜東北線,大井町,18.9
ＪＲ京浜東北線,大森,15.0
ＪＲ京浜東北線,蒲田,14.7
ＪＲ京浜東北線,川崎,12.1
ＪＲ京浜東北線,鶴見,11.4
ＪＲ京浜東北線,新子安,13.2
ＪＲ京浜東北線,東神奈川,14.0
ＪＲ京浜東北線,横浜,15.8
ＪＲ京浜東北線,桜木町,18.7
ＪＲ京浜東北線,関内,17.4
ＪＲ京浜東北線,石川町,15.6
ＪＲ京浜東北線,山手,12.0
ＪＲ京浜東北線,根岸,11.7
ＪＲ京浜東北線,磯子,11.3
ＪＲ京浜東北線,新杉田,9.8
ＪＲ京浜東北線,洋光台,8.5
ＪＲ京浜東北線,港南台,8.3
ＪＲ京浜東北線,本郷台,8.5
ＪＲ京浜東北線,大船,9.2
ＪＲ東海道本線,東京,26.5
ＪＲ東海道本線,新橋,30.0
ＪＲ東海道本線,品川,27.4
ＪＲ東海道本線,川崎,12.1
ＪＲ東海道本線,横浜,15.8
ＪＲ東海道本線,戸塚,9.0
ＪＲ東海道本線,大船,9.2
ＪＲ東海道本線,藤沢,9.9
ＪＲ東海道本線,辻堂,8.3
ＪＲ東海道本線,茅ケ崎,8.5
ＪＲ東海道本線,平塚,7.2
ＪＲ東海道本線,大磯,7.4
ＪＲ東海道本線,二宮,6.2
ＪＲ東海道本線,国府津,6.5
ＪＲ東海道本線,鴨宮,6.6
ＪＲ東海道本線,小田原,7.0
ＪＲ東海道本線,早川,7.3
ＪＲ東海道本線,根府川,5.4
ＪＲ東海道本線,真鶴,5.5
ＪＲ東海道本線,湯河原,6.9
ＪＲ常磐線,品川,27.4
ＪＲ常磐線,新橋,30.0
ＪＲ常磐線,東京,26.5
ＪＲ常磐線,上野,19.8
ＪＲ常磐線,日暮里,17.9
ＪＲ常磐線,三河島,16.0
ＪＲ常磐線,南千住,16.7
ＪＲ常磐線,北千住,14.3
ＪＲ常磐線,綾瀬,10.4
ＪＲ常磐線,亀有,10.4
ＪＲ常磐線,金町,9.2
ＪＲ常磐線,松戸,8.4
ＪＲ常磐線,北松戸,8.0
ＪＲ常磐線,馬橋,7.8
ＪＲ常磐線,新松戸,7.6
ＪＲ常磐線,北小金,7.0
ＪＲ常磐線,南柏,8.0
ＪＲ常磐線,柏,8.5
ＪＲ常磐線,北柏,8.0
ＪＲ常磐線,我孫子,7.5
ＪＲ常磐線,天王台,6.1
ＪＲ常磐線,取手,4.8
ＪＲ常磐線,藤代,5.8
ＪＲ常磐線,龍ケ崎市,4.7
ＪＲ常磐線,牛久,6.3
ＪＲ常磐線,ひたち野うしく,6.5
ＪＲ常磐線,荒川沖,6.0
ＪＲ常磐線,土浦,6.2
ＪＲ常磐線,神立,5.2
ＪＲ常磐線,高浜,6.0
ＪＲ常磐線,石岡,5.2
ＪＲ常磐線,羽鳥,6.0
ＪＲ常磐線,岩間,3.5
ＪＲ常磐線,友部,4.7
ＪＲ常磐線,内原,6.3
ＪＲ常磐線,赤塚,5.8
ＪＲ常磐線,偕楽園,6.3
ＪＲ常磐線,水戸,6.0
ＪＲ常磐線,勝田,6.0
ＪＲ常磐線,佐和,5.9
ＪＲ常磐線,東海,5.0
ＪＲ常磐線,大甕,4.7
ＪＲ常磐線,常陸多賀,5.2
ＪＲ常磐線,日立,5.5
ＪＲ常磐線,小木津,5.4
ＪＲ常磐線,十王,5.2
ＪＲ常磐線,高萩,4.8
ＪＲ常磐線,南中郷,4.8
ＪＲ常磐線,大津港,5.5
ＪＲ南武線,川崎,12.1
ＪＲ南武線,尻手,12.5
