line,station,lat,lng
JR上越線,高崎,36.3228267,139.0126623
JR上越線,高崎問屋町,36.34606,139.0171158
JR上越線,井野,36.3572949,139.0229725
JR上越線,新前橋,36.3789167,139.0470967
JR上越線,群馬総社,36.4158198,139.0323929
JR上越線,八木原,36.4635627,139.0191274
JR上越線,渋川,36.4913217,139.0087977
JR上越線,敷島,36.53865529999999,139.0339521
JR上越線,津久田,36.5610369,139.0428197
JR上越線,岩本,36.6031556,139.0471395
JR上越線,沼田,36.6424996,139.0356225
JR上越線,後閑,36.67955,138.9999852
JR上越線,上牧,37.1478952,138.236135
JR上越線,水上,36.778636,138.9688398
JR上越線,湯檜曽,36.80271159999999,138.9865917
JR上越線,土合,36.8313766,138.9670159
JR上越線,土樽,36.8752738,138.8617668
JR上越線,越後中里,36.9104083,138.8484887
JR上越線,岩原スキー場前,36.9243542,138.8393796
JR上越線,越後湯沢,36.9359839,138.8096335
JR上越線,石打,36.9889814,138.8041559
JR上越線,大沢,37.0212004,138.821292
JR上越線,上越国際スキー場前,37.0290052,138.8278744
JR上越線,塩沢,37.041398,138.848529
JR上越線,六日町,37.0666966,138.8755353
JR上越線,五日町,37.1199136,138.9083913
JR上越線,浦佐,37.1674363,138.9228047
JR上越線,八色,37.1917672,138.9350526
JR上越線,小出,37.2335129,138.953577
JR上越線,越後堀之内,37.2389283,138.9282179
JR上越線,北堀之内,37.2557032,138.8961922
JR上越線,越後川口,37.2730892,138.8615833
JR上越線,小千谷,37.3096392,138.8135304
JR上越線,越後滝谷,37.3686885,138.8349149
JR上越線,宮内,37.4220992,138.8402455
JR上越線,長岡,37.448014,138.8540468
JR上野東京ライン,品川,35.6284713,139.7387597
JR上野東京ライン,新橋,35.666379,139.7583398
JR上野東京ライン,東京,35.68123620000001,139.7671248
JR上野東京ライン,上野,35.7141672,139.7774091
JR両毛線,高崎,36.3228267,139.0126623
JR両毛線,高崎問屋町,36.34606,139.0171158
JR両毛線,井野,36.3572949,139.0229725
JR両毛線,新前橋,36.3789167,139.0470967
JR両毛線,前橋,36.38332219999999,139.0731784
JR両毛線,前橋大島,36.3705444,139.1096538
JR両毛線,駒形,36.3541186,139.1393199
JR両毛線,伊勢崎,36.3269062,139.1938954
JR両毛線,国定,36.358843,139.2421164
JR両毛線,岩宿,36.3958681,139.2972768
JR両毛線,桐生,36.4110162,139.3331401
JR両毛線,小俣,36.375067,139.3743266
JR両毛線,山前,36.3474045,139.411269
JR両毛線,足利,36.3318241,139.455877
JR両毛線,あしかがフラワーパーク,36.315106,139.518445
JR両毛線,富田,36.3161612,139.5289824
JR両毛線,佐野,36.3168661,139.57884
JR両毛線,岩舟,36.326739,139.65768
JR両毛線,大平下,36.3442912,139.6975969
JR両毛線,栃木,36.3716588,139.7314296
JR両毛線,思川,36.3510808,139.7810983
JR両毛線,小山,36.3131205,139.8063241
JR中央・総武線各駅停車,三鷹,35.7027156,139.5610291
JR中央・総武線各駅停車,吉祥寺,35.7031485,139.5798087
JR中央・総武線各駅停車,西荻窪,35.7036961,139.600182
JR中央・総武線各駅停車,荻窪,35.7045751,139.6200629
JR中央・総武線各駅停車,阿佐ケ谷,35.7049247,139.6361231
JR中央・総武線各駅停車,高円寺,35.7053457,139.6499291
JR中央・総武線各駅停車,中野,35.7054067,139.6658254
JR中央・総武線各駅停車,東中野,35.7062478,139.6837613
JR中央・総武線各駅停車,大久保,0.0,0.0
JR中央・総武線各駅停車,新宿,35.6896067,139.7005713
JR中央・総武線各駅停車,代々木,35.683033,139.7020555
JR中央・総武線各駅停車,千駄ケ谷,35.6811956,139.7112808
JR中央・総武線各駅停車,信濃町,35.6800602,139.7203199
JR中央・総武線各駅停車,四ツ谷,35.6861525,139.7302183
JR中央・総武線各駅停車,市ケ谷,35.6910121,139.7355674
JR中央・総武線各駅停車,飯田橋,35.7020837,139.7450232
JR中央・総武線各駅停車,水道橋,35.7020484,139.7535016
JR中央・総武線各駅停車,御茶ノ水,35.6997175,139.7644404
JR中央・総武線各駅停車,秋葉原,35.698383,139.7730717
JR中央・総武線各駅停車,浅草橋,35.6974952,139.7859834
JR中央・総武線各駅停車,両国,35.6961328,139.7927196
JR中央・総武線各駅停車,錦糸町,35.6967393,139.8144835
JR中央・総武線各駅停車,亀戸,35.6973225,139.8265658
JR中央・総武線各駅停車,平井,35.7065625,139.8427227
JR中央・総武線各駅停車,新小岩,35.7174462,139.8586312
JR中央・総武線各駅停車,小岩,35.7333003,139.881958
JR中央・総武線各駅停車,市川,35.728821,139.908197
JR中央・総武線各駅停車,本八幡,35.7210914,139.9272341
JR中央・総武線各駅停車,下総中山,35.7143133,139.9430576
JR中央・総武線各駅停車,西船橋,35.7074443,139.9590775
JR中央・総武線各駅停車,船橋,35.7017357,139.9853815
JR中央・総武線各駅停車,東船橋,35.6998137,140.0042979
JR中央・総武線各駅停車,津田沼,35.6912149,140.0204072
JR中央・総武線各駅停車,幕張本郷,35.6727454,140.042304
JR中央・総武線各駅停車,幕張,35.6593754,140.0579636
JR中央・総武線各駅停車,新検見川,35.651751,140.073325
JR中央・総武線各駅停車,稲毛,35.63717,140.09249
JR中央・総武線各駅停車,西千葉,35.622644,140.103295
JR中央・総武線各駅停車,千葉,35.6129259,140.1134781
JR中央本線,東京,35.68123620000001,139.7671248
JR中央本線,新宿,35.6896067,139.7005713
JR中央本線,三鷹,35.7027156,139.5610291
JR中央本線,立川,35.6979144,139.4137408
JR中央本線,日野,35.6793641,139.3940577
JR中央本線,豊田,35.6595199,139.3815002
JR中央本線,八王子,35.6556157,139.3388529
JR中央本線,西八王子,35.6565083,139.3124204
JR中央本線,高尾,35.64222609999999,139.2818312
JR中央本線,相模湖,35.6170681,139.1889685
JR中央本線,藤野,35.616036,139.151349
JR中央本線,上野原,35.6188568,139.1160605
JR中央本線,四方津,35.614303,139.0728002
JR中央本線,梁川,35.6053989,139.0382207
JR中央本線,鳥沢,35.608283,139.0032412
JR中央本線,猿橋,35.612806,138.9680999
JR中央本線,大月,35.6132125,138.9427266
JR中央本線,初狩,35.5946216,138.8844431
JR中央本線,笹子,35.6041451,138.8270688
JR中央本線,甲斐大和,35.6396216,138.7804532
JR中央本線,勝沼ぶどう郷,35.6724373,138.7430054
JR中央本線,塩山,35.7054135,138.7346248
JR中央本線,東山梨,35.6942577,138.7028252
JR中央本線,山梨市,35.6849321,138.6834355
