line,station,price
ＪＲ山手線,東京,10.5
ＪＲ山手線,有楽町,11.9
ＪＲ山手線,新橋,11.5
ＪＲ山手線,浜松町,11.0
ＪＲ山手線,田町,10.5
ＪＲ山手線,高輪ゲートウェイ,9.4
ＪＲ山手線,品川,9.2
ＪＲ山手線,大崎,9.3
ＪＲ山手線,五反田,9.4
ＪＲ山手線,目黒,10.2
ＪＲ山手線,恵比寿,11.7
ＪＲ山手線,渋谷,11.1
ＪＲ山手線,原宿,12.4
ＪＲ山手線,代々木,10.8
ＪＲ山手線,新宿,11.0
ＪＲ山手線,新大久保,9.7
ＪＲ山手線,高田馬場,9.2
ＪＲ山手線,目白,8.5
ＪＲ山手線,池袋,8.6
ＪＲ山手線,大塚,8.6
ＪＲ山手線,巣鴨,9.0
ＪＲ山手線,駒込,8.9
ＪＲ山手線,田端,8.1
ＪＲ山手線,西日暮里,8.3
ＪＲ山手線,日暮里,8.5
ＪＲ山手線,鶯谷,9.0
ＪＲ山手線,上野,10.4
ＪＲ山手線,御徒町,10.4
ＪＲ山手線,秋葉原,10.3
ＪＲ山手線,神田,10.2
ＪＲ京浜東北線,赤羽,8.0
ＪＲ京浜東北線,東十条,7.9
ＪＲ京浜東北線,王子,8.2
ＪＲ京浜東北線,上中里,8.2
ＪＲ京浜東北線,田端,8.1
ＪＲ京浜東北線,西日暮里,8.3
ＪＲ京浜東北線,日暮里,8.5
ＪＲ京浜東北線,鶯谷,9.0
ＪＲ京浜東北線,上野,10.4
ＪＲ京浜東北線,御徒町,10.4
ＪＲ京浜東北線,秋葉原,10.3
ＪＲ京浜東北線,神田,10.2
ＪＲ京浜東北線,東京,10.5
ＪＲ京浜東北線,有楽町,11.9
ＪＲ京浜東北線,新橋,11.5
ＪＲ京浜東北線,浜松町,11.0
ＪＲ京浜東北線,田町,10.5
ＪＲ京浜東北線,高輪ゲートウェイ,9.4
ＪＲ京浜東北線,品川,9.2
ＪＲ京浜東北線,大井町,8.9
ＪＲ京浜東北線,大森,8.5
ＪＲ京浜東北線,蒲田,8.2
ＪＲ京浜東北線,川崎,7.6
ＪＲ京浜東北線,鶴見,7.3
ＪＲ京浜東北線,新子安,7.3
ＪＲ京浜東北線,東神奈川,7.6
ＪＲ京浜東北線,横浜,7.7
ＪＲ京浜東北線,桜木町,7.6
ＪＲ京浜東北線,関内,7.5
ＪＲ京浜東北線,石川町,7.5
ＪＲ京浜東北線,山手,7.1
ＪＲ京浜東北線,根岸,6.9
ＪＲ京浜東北線,磯子,6.9
ＪＲ京浜東北線,新杉田,7.1
ＪＲ京浜東北線,洋光台,6.6
ＪＲ京浜東北線,港南台,6.6
ＪＲ京浜東北線,本郷台,6.1
ＪＲ京浜東北線,大船,7.0
ＪＲ東海道本線,東京,10.5
ＪＲ東海道本線,新橋,11.5
ＪＲ東海道本線,品川,9.2
ＪＲ東海道本線,川崎,7.6
ＪＲ東海道本線,横浜,7.7
ＪＲ東海道本線,戸塚,6.5
ＪＲ東海道本線,大船,7.0
ＪＲ東海道本線,藤沢,6.9
ＪＲ東海道本線,辻堂,6.3
ＪＲ東海道本線,茅ケ崎,6.4
ＪＲ東海道本線,平塚,5.9
ＪＲ東海道本線,大磯,6.2
ＪＲ東海道本線,二宮,4.6
ＪＲ東海道本線,国府津,4.7
ＪＲ東海道本線,鴨宮,5.4
ＪＲ東海道本線,小田原,6.3
ＪＲ東海道本線,早川,4.4
ＪＲ東海道本線,根府川,3.7
ＪＲ東海道本線,真鶴,4.2
ＪＲ東海道本線,湯河原,5.7
ＪＲ常磐線,品川,9.2
ＪＲ常磐線,新橋,11.5
ＪＲ常磐線,東京,10.5
ＪＲ常磐線,上野,10.4
ＪＲ常磐線,日暮里,8.5
ＪＲ常磐線,三河島,8.3
ＪＲ常磐線,南千住,8.3
ＪＲ常磐線,北千住,7.9
ＪＲ常磐線,綾瀬,7.3
ＪＲ常磐線,亀有,7.1
ＪＲ常磐線,金町,6.9
ＪＲ常磐線,松戸,6.5
ＪＲ常磐線,北松戸,6.2
ＪＲ常磐線,馬橋,5.9
ＪＲ常磐線,新松戸,6.0
ＪＲ常磐線,北小金,5.9
ＪＲ常磐線,南柏,6.0
ＪＲ常磐線,柏,6.2
ＪＲ常磐線,北柏,5.8
ＪＲ常磐線,我孫子,5.7
ＪＲ常磐線,天王台,5.3
ＪＲ常磐線,取手,4.2
ＪＲ常磐線,藤代,3.0
ＪＲ常磐線,龍ケ崎市,3.0
ＪＲ常磐線,牛久,4.8
ＪＲ常磐線,ひたち野うしく,4.7
ＪＲ常磐線,荒川沖,4.2
ＪＲ常磐線,土浦,4.0
ＪＲ常磐線,神立,4.8
ＪＲ常磐線,高浜,3.4
ＪＲ常磐線,石岡,2.9
ＪＲ常磐線,羽鳥,2.9
ＪＲ常磐線,岩間,2.7
ＪＲ常磐線,友部,3.0
ＪＲ常磐線,内原,4.0
ＪＲ常磐線,赤塚,4.0
ＪＲ常磐線,偕楽園,5.1
ＪＲ常磐線,水戸,4.5
ＪＲ常磐線,勝田,4.8
ＪＲ常磐線,佐和,5.3
ＪＲ常磐線,東海,4.9
ＪＲ常磐線,大甕,4.0
ＪＲ常磐線,常陸多賀,3.7
ＪＲ常磐線,日立,4.5
ＪＲ常磐線,小木津,2.9
ＪＲ常磐線,十王,3.9
ＪＲ常磐線,高萩,3.7
