line,station,price
ＪＲ山手線,東京,27.4
ＪＲ山手線,有楽町,24.9
ＪＲ山手線,新橋,33.0
ＪＲ山手線,浜松町,33.4
ＪＲ山手線,田町,28.4
ＪＲ山手線,高輪ゲートウェイ,26.8
ＪＲ山手線,品川,28.1
ＪＲ山手線,大崎,26.0
ＪＲ山手線,五反田,28.6
ＪＲ山手線,目黒,29.7
ＪＲ山手線,恵比寿,31.8
ＪＲ山手線,渋谷,37.8
ＪＲ山手線,原宿,44.5
ＪＲ山手線,代々木,32.5
ＪＲ山手線,新宿,31.5
ＪＲ山手線,新大久保,23.7
ＪＲ山手線,高田馬場,21.4
ＪＲ山手線,目白,21.3
ＪＲ山手線,池袋,21.2
ＪＲ山手線,大塚,20.8
ＪＲ山手線,巣鴨,20.7
ＪＲ山手線,駒込,19.2
ＪＲ山手線,田端,15.8
ＪＲ山手線,西日暮里,18.2
ＪＲ山手線,日暮里,19.6
ＪＲ山手線,鶯谷,18.7
ＪＲ山手線,上野,20.5
ＪＲ山手線,御徒町,21.9
ＪＲ山手線,秋葉原,23.4
ＪＲ山手線,神田,26.3
ＪＲ京浜東北線,赤羽,16.0
ＪＲ京浜東北線,東十条,15.7
ＪＲ京浜東北線,王子,15.4
ＪＲ京浜東北線,上中里,15.2
ＪＲ京浜東北線,田端,15.8
ＪＲ京浜東北線,西日暮里,18.2
ＪＲ京浜東北線,日暮里,19.6
ＪＲ京浜東北線,鶯谷,18.7
ＪＲ京浜東北線,上野,20.5
ＪＲ京浜東北線,御徒町,21.9
ＪＲ京浜東北線,秋葉原,23.4
ＪＲ京浜東北線,神田,26.3
ＪＲ京浜東北線,東京,27.4
ＪＲ京浜東北線,有楽町,24.9
ＪＲ京浜東北線,新橋,33.0
ＪＲ京浜東北線,浜松町,33.4
ＪＲ京浜東北線,田町,28.4
ＪＲ京浜東北線,高輪ゲートウェイ,26.8
ＪＲ京浜東北線,品川,28.1
ＪＲ京浜東北線,大井町,19.3
ＪＲ京浜東北線,大森,15.8
ＪＲ京浜東北線,蒲田,15.5
ＪＲ京浜東北線,川崎,12.6
ＪＲ京浜東北線,鶴見,11.8
ＪＲ京浜東北線,新子安,13.8
ＪＲ京浜東北線,東神奈川,14.4
ＪＲ京浜東北線,横浜,16.6
ＪＲ京浜東北線,桜木町,18.5
ＪＲ京浜東北線,関内,17.6
ＪＲ京浜東北線,石川町,15.1
ＪＲ京浜東北線,山手,12.0
ＪＲ京浜東北線,根岸,11.8
ＪＲ京浜東北線,磯子,11.5
ＪＲ京浜東北線,新杉田,9.9
ＪＲ京浜東北線,洋光台,8.8
ＪＲ京浜東北線,港南台,8.6
ＪＲ京浜東北線,本郷台,8.8
ＪＲ京浜東北線,大船,9.5
ＪＲ東海道本線,東京,27.4
ＪＲ東海道本線,新橋,33.0
ＪＲ東海道本線,品川,28.1
ＪＲ東海道本線,川崎,12.6
ＪＲ東海道本線,横浜,16.6
ＪＲ東海道本線,戸塚,9.5
ＪＲ東海道本線,大船,9.5
ＪＲ東海道本線,藤沢,10.7
ＪＲ東海道本線,辻堂,9.0
ＪＲ東海道本線,茅ケ崎,9.2
ＪＲ東海道本線,平塚,7.5
ＪＲ東海道本線,大磯,7.7
ＪＲ東海道本線,二宮,6.2
ＪＲ東海道本線,国府津,6.8
ＪＲ東海道本線,鴨宮,6.8
ＪＲ東海道本線,小田原,7.1
ＪＲ東海道本線,早川,6.8
ＪＲ東海道本線,根府川,5.4
ＪＲ東海道本線,真鶴,8.1
ＪＲ東海道本線,湯河原,7.9
ＪＲ常磐線,品川,28.1
ＪＲ常磐線,新橋,33.0
ＪＲ常磐線,東京,27.4
ＪＲ常磐線,上野,20.5
ＪＲ常磐線,日暮里,19.6
ＪＲ常磐線,三河島,17.8
ＪＲ常磐線,南千住,17.0
ＪＲ常磐線,北千住,14.6
ＪＲ常磐線,綾瀬,10.8
ＪＲ常磐線,亀有,10.6
ＪＲ常磐線,金町,9.0
ＪＲ常磐線,松戸,8.6
ＪＲ常磐線,北松戸,8.2
ＪＲ常磐線,馬橋,8.0
ＪＲ常磐線,新松戸,7.9
ＪＲ常磐線,北小金,7.5
ＪＲ常磐線,南柏,8.5
ＪＲ常磐線,柏,9.0
ＪＲ常磐線,北柏,8.1
ＪＲ常磐線,我孫子,8.0
ＪＲ常磐線,天王台,6.1
ＪＲ常磐線,取手,4.7
ＪＲ常磐線,藤代,6.0
ＪＲ常磐線,龍ケ崎市,4.9
ＪＲ常磐線,牛久,6.3
ＪＲ常磐線,ひたち野うしく,6.5
ＪＲ常磐線,荒川沖,6.2
ＪＲ常磐線,土浦,6.2
ＪＲ常磐線,神立,5.4
ＪＲ常磐線,高浜,5.3
ＪＲ常磐線,石岡,5.0
ＪＲ常磐線,羽鳥,4.8
ＪＲ常磐線,岩間,3.5
ＪＲ常磐線,友部,4.7
ＪＲ常磐線,内原,6.5
ＪＲ常磐線,赤塚,6.0
ＪＲ常磐線,偕楽園,6.1
ＪＲ常磐線,水戸,6.0
ＪＲ常磐線,勝田,5.9
ＪＲ常磐線,佐和,6.9
ＪＲ常磐線,東海,5.2
ＪＲ常磐線,大甕,4.9
ＪＲ常磐線,常陸多賀,5.2
ＪＲ常磐線,日立,5.5
ＪＲ常磐線,小木津,5.3
ＪＲ常磐線,十王,5.3
ＪＲ常磐線,高萩,4.5
ＪＲ常磐線,南中郷,4.8
ＪＲ常磐線,磯原,4.6
ＪＲ常磐線,大津港,5.4
ＪＲ南武線,川崎,12.6
ＪＲ南武線,尻手,13.0
ＪＲ南武線,八丁畷,14.0
ＪＲ南武線,川崎新町,11.6
ＪＲ南武線,小田栄,11.5
ＪＲ南武線,浜川崎,10.9
ＪＲ南武線,矢向,11.9
ＪＲ南武線,鹿島田,12.0
ＪＲ南武線,平間,12.7
ＪＲ南武線,向河原,15.8
ＪＲ南武線,武蔵小杉,14.5
ＪＲ南武線,武蔵中原,12.1
ＪＲ南武線,武蔵新城,11.8
ＪＲ南武線,武蔵溝ノ口,12.4
ＪＲ南武線,津田山,12.3
ＪＲ南武線,久地,10.8
ＪＲ南武線,宿河原,11.2
ＪＲ南武線,登戸,11.6
ＪＲ南武線,中野島,10.5
ＪＲ南武線,稲田堤,10.3
ＪＲ南武線,矢野口,9.7
ＪＲ南武線,稲城長沼,9.3
ＪＲ南武線,南多摩,9.7
ＪＲ南武線,府中本町,12.4
ＪＲ南武線,分倍河原,11.1
ＪＲ南武線,西府,10.6
ＪＲ南武線,谷保,11.5
