from,to,trans,req_min,req_min+walk,price,cost_performance
京成高砂,宝町,0,27,30,5.0,867.1514921249882
青砥,八丁堀,1,27,30,5.4,940.4863244997605
南行徳,茅場町,0,22,31,5.3,981.7810091029035
浦安,日本橋(東京都),0,22,31,5.3,981.7810091029035
青砥,日本橋(東京都),0,22,31,5.4,1001.7862044082722
行徳,八丁堀,1,29,32,5.2,1022.4878216793342
新浦安,東京,0,20,32,5.2,1022.4878216793342
お花茶屋,宝町,1,28,31,5.5,1023.2133561203915
京成高砂,八丁堀,1,30,33,5.0,1042.5316134217667
浦安,宝町,1,29,32,5.3,1043.969260653896
船橋法典,八丁堀,0,31,34,4.8,1060.5528248492133
葛西臨海公園,銀座一丁目,1,21,32,5.5,1088.0260271649186
四ツ木,日本橋(東京都),0,22,31,5.8,1090.5782184545421
四ツ木,八丁堀,1,28,31,5.8,1090.5782184545421
南船橋,八丁堀,0,32,35,4.7,1097.8148474041077
平井,八丁堀,1,27,30,6.2,1116.764930517894
市川,東京,0,19,31,6.0,1138.6096641893173
武蔵小杉,東京,0,18,30,6.3,1142.2531777593117
西船橋,八丁堀,0,27,30,6.3,1142.2531777593117
行徳,茅場町,0,25,34,5.2,1149.894281748584
船堀,宝町,1,29,32,5.8,1159.6579337438566
京成立石,日本橋(東京都),0,23,32,5.8,1159.6579337438566
舞浜,新富町,1,27,35,5.0,1168.082298152334
市川塩浜,東京,0,23,35,5.0,1168.082298152334
南行徳,宝町,1,31,34,5.3,1174.0524020868884
小菅,八丁堀,0,27,30,6.5,1194.5275974953506
小岩,東京,1,20,32,6.0,1210.7318009575738
尾久,八丁堀,1,27,30,6.6,1222.3857259218253
新横浜,東京,0,18,30,6.6,1222.3857259218253
一之江,宝町,1,31,34,5.5,1223.598834630361
妙典,八丁堀,1,31,34,5.5,1223.598834630361
京成立石,八丁堀,1,30,33,5.8,1230.9162787132364
堀切菖蒲園,宝町,1,32,35,5.3,1241.5680611755645
五反野,八丁堀,0,29,32,6.2,1264.9035554574214
柴又,宝町,1,34,37,4.9,1272.3410089999695
小菅,宝町,1,28,31,6.5,1272.3856124035588
市川大野,八丁堀,0,35,38,4.7,1283.2281854873045
新小岩,八丁堀,1,30,33,6.0,1285.128519013477
堀切,八丁堀,1,30,33,6.0,1285.128519013477
東船橋,八丁堀,1,36,39,4.5,1289.2909730621398
京成曳舟,茅場町,1,21,30,6.9,1308.7808768371253
落合,八丁堀,1,27,30,7.0,1340.120967850115
田端,日本橋(東京都),1,21,30,7.0,1340.120967850115
五反野,宝町,1,30,33,6.2,1342.629004734336
川崎,東京,0,20,32,6.5,1352.9814232823192
流通センター,宝町,1,29,32,6.5,1352.9814232823192
八広,茅場町,1,23,32,6.5,1352.9814232823192
梅島,八丁堀,0,31,34,6.0,1361.5942851678244
上中里,東京,0,19,31,6.8,1362.9183542866856
市川塩浜,新富町,1,30,38,5.0,1365.3633228792598
