0,1,2,3,4
JR上越線,高崎,宝町,1,140
JR上越線,高崎問屋町,宝町,1,152
JR上越線,井野,宝町,2,78
JR上越線,新前橋,宝町,1,158
JR上越線,群馬総社,宝町,3,105
JR上越線,八木原,宝町,3,111
JR上越線,渋川,宝町,3,114
JR上越線,敷島,宝町,3,129
JR上越線,津久田,宝町,3,133
JR上越線,岩本,宝町,3,139
JR上越線,沼田,宝町,3,144
JR上越線,後閑,宝町,3,149
JR上越線,上牧,宝町,3,155
JR上越線,水上,宝町,3,161
JR上越線,湯檜曽,宝町,2,177
JR上越線,土合,宝町,2,172
JR上越線,土樽,宝町,2,164
JR上越線,越後中里,宝町,2,152
JR上越線,岩原スキー場前,宝町,2,147
JR上越線,越後湯沢,宝町,2,112
JR上越線,石打,宝町,2,140
JR上越線,大沢,宝町,2,144
JR上越線,上越国際スキー場前,宝町,2,146
JR上越線,塩沢,宝町,3,132
JR上越線,六日町,宝町,3,136
JR上越線,五日町,宝町,3,142
JR上越線,浦佐,宝町,2,121
JR上越線,八色,宝町,3,146
JR上越線,小出,宝町,3,152
JR上越線,越後堀之内,宝町,3,156
JR上越線,北堀之内,宝町,3,480
JR上越線,越後川口,宝町,3,476
JR上越線,小千谷,宝町,3,470
JR上越線,越後滝谷,宝町,3,463
JR上越線,宮内,宝町,3,139
JR上越線,長岡,宝町,2,124
JR上野東京ライン,品川,宝町,0,15
JR上野東京ライン,新橋,宝町,0,3
JR上野東京ライン,東京,宝町,1,13
JR上野東京ライン,上野,宝町,1,14
JR両毛線,高崎,宝町,1,140
JR両毛線,高崎問屋町,宝町,1,152
JR両毛線,井野,宝町,2,78
JR両毛線,新前橋,宝町,1,158
JR両毛線,前橋,宝町,1,163
JR両毛線,前橋大島,宝町,2,164
JR両毛線,駒形,宝町,2,168
JR両毛線,伊勢崎,宝町,2,165
JR両毛線,国定,宝町,2,180
JR両毛線,岩宿,宝町,2,185
JR両毛線,桐生,宝町,1,230
JR両毛線,小俣,宝町,3,231
JR両毛線,山前,宝町,2,158
JR両毛線,足利,宝町,1,133
JR両毛線,あしかがフラワーパーク,宝町,2,162
JR両毛線,富田,宝町,2,160
JR両毛線,佐野,宝町,2,129
JR両毛線,岩舟,宝町,2,148
JR両毛線,大平下,宝町,2,144
JR両毛線,栃木,宝町,2,124
JR両毛線,思川,宝町,2,132
JR両毛線,小山,宝町,1,108
JR中央・総武線各駅停車,三鷹,宝町,1,47
JR中央・総武線各駅停車,吉祥寺,宝町,1,44
JR中央・総武線各駅停車,西荻窪,宝町,1,42
JR中央・総武線各駅停車,荻窪,宝町,1,39
JR中央・総武線各駅停車,阿佐ケ谷,宝町,1,37
JR中央・総武線各駅停車,高円寺,宝町,1,35
JR中央・総武線各駅停車,中野,宝町,1,30
JR中央・総武線各駅停車,東中野,宝町,1,38
JR中央・総武線各駅停車,大久保,宝町,1,37
JR中央・総武線各駅停車,新宿,宝町,1,28
JR中央・総武線各駅停車,代々木,宝町,1,26
JR中央・総武線各駅停車,千駄ケ谷,宝町,1,29
JR中央・総武線各駅停車,信濃町,宝町,1,28
JR中央・総武線各駅停車,四ツ谷,宝町,1,26
JR中央・総武線各駅停車,市ケ谷,宝町,1,21
JR中央・総武線各駅停車,飯田橋,宝町,1,14
JR中央・総武線各駅停車,水道橋,宝町,1,19
JR中央・総武線各駅停車,御茶ノ水,宝町,1,17
JR中央・総武線各駅停車,秋葉原,宝町,1,10
JR中央・総武線各駅停車,浅草橋,宝町,0,7
JR中央・総武線各駅停車,両国,宝町,1,15
JR中央・総武線各駅停車,錦糸町,宝町,1,18
JR中央・総武線各駅停車,亀戸,宝町,1,20
JR中央・総武線各駅停車,平井,宝町,1,23
JR中央・総武線各駅停車,新小岩,宝町,1,26
JR中央・総武線各駅停車,小岩,宝町,1,30
JR中央・総武線各駅停車,市川,宝町,1,32
JR中央・総武線各駅停車,本八幡,宝町,0,43
JR中央・総武線各駅停車,下総中山,宝町,1,39
JR中央・総武線各駅停車,西船橋,宝町,1,40
JR中央・総武線各駅停車,船橋,宝町,0,48
JR中央・総武線各駅停車,東船橋,宝町,1,48
JR中央・総武線各駅停車,津田沼,宝町,1,43
JR中央・総武線各駅停車,幕張本郷,宝町,1,55
JR中央・総武線各駅停車,幕張,宝町,1,58
JR中央・総武線各駅停車,新検見川,宝町,1,60
