0,1,2,3,4
西武新宿線,武蔵関,日本橋(東京都),1,44
西武新宿線,東伏見,日本橋(東京都),1,45
西武新宿線,西武柳沢,日本橋(東京都),1,47
西武新宿線,田無,日本橋(東京都),1,47
西武新宿線,花小金井,日本橋(東京都),1,50
西武新宿線,小平,日本橋(東京都),1,54
西武新宿線,久米川,日本橋(東京都),1,58
西武新宿線,東村山,日本橋(東京都),1,60
西武新宿線,所沢,日本橋(東京都),1,64
西武新宿線,航空公園,日本橋(東京都),1,67
西武新宿線,新所沢,日本橋(東京都),1,69
西武新宿線,入曽,日本橋(東京都),1,73
西武新宿線,狭山市,日本橋(東京都),1,77
西武新宿線,新狭山,日本橋(東京都),1,80
西武新宿線,南大塚,日本橋(東京都),1,83
西武新宿線,本川越,日本橋(東京都),1,86
西武有楽町線,小竹向原,日本橋(東京都),1,34
西武有楽町線,新桜台,日本橋(東京都),1,40
西武有楽町線,練馬,日本橋(東京都),1,42
西武池袋線,池袋,日本橋(東京都),1,24
西武池袋線,椎名町,日本橋(東京都),2,34
西武池袋線,東長崎,日本橋(東京都),2,36
西武池袋線,江古田,日本橋(東京都),1,60
西武池袋線,桜台,日本橋(東京都),2,41
西武池袋線,練馬,日本橋(東京都),1,42
西武池袋線,中村橋,日本橋(東京都),1,42
西武池袋線,富士見台,日本橋(東京都),1,43
西武池袋線,練馬高野台,日本橋(東京都),1,46
西武池袋線,石神井公園,日本橋(東京都),1,48
西武池袋線,大泉学園,日本橋(東京都),1,51
西武池袋線,保谷,日本橋(東京都),1,54
西武池袋線,ひばりヶ丘,日本橋(東京都),1,57
西武池袋線,東久留米,日本橋(東京都),1,62
西武池袋線,清瀬,日本橋(東京都),1,65
西武池袋線,秋津,日本橋(東京都),1,67
西武池袋線,所沢,日本橋(東京都),1,64
西武池袋線,西所沢,日本橋(東京都),1,75
西武池袋線,小手指,日本橋(東京都),1,78
西武池袋線,狭山ヶ丘,日本橋(東京都),1,86
西武池袋線,武蔵藤沢,日本橋(東京都),1,88
西武池袋線,稲荷山公園,日本橋(東京都),1,91
西武池袋線,入間市,日本橋(東京都),1,93
西武池袋線,仏子,日本橋(東京都),1,97
西武狭山線,西所沢,日本橋(東京都),1,75
西武狭山線,下山口,日本橋(東京都),2,83
西武狭山線,西武球場前,日本橋(東京都),2,87
西武西武園線,東村山,日本橋(東京都),1,60
西武西武園線,西武園,日本橋(東京都),2,72
西武豊島線,練馬,日本橋(東京都),1,42
西武豊島線,豊島園,日本橋(東京都),2,42
都電荒川線,三ノ輪橋,日本橋(東京都),1,23
都電荒川線,荒川一中前,日本橋(東京都),2,28
都電荒川線,荒川区役所前,日本橋(東京都),2,29
都電荒川線,荒川二丁目,日本橋(東京都),2,30
都電荒川線,荒川七丁目,日本橋(東京都),2,29
都電荒川線,町屋駅前,日本橋(東京都),1,26
都電荒川線,町屋二丁目,日本橋(東京都),2,30
都電荒川線,東尾久三丁目,日本橋(東京都),2,31
都電荒川線,熊野前,日本橋(東京都),2,32
都電荒川線,宮ノ前,日本橋(東京都),2,37
都電荒川線,小台,日本橋(東京都),1,61
都電荒川線,荒川遊園地前,日本橋(東京都),2,40
都電荒川線,荒川車庫前,日本橋(東京都),2,37
都電荒川線,梶原,日本橋(東京都),1,52
都電荒川線,栄町,日本橋(東京都),2,61
都電荒川線,王子駅前,日本橋(東京都),1,30
都電荒川線,飛鳥山,日本橋(東京都),1,63
都電荒川線,滝野川一丁目,日本橋(東京都),2,36
都電荒川線,西ヶ原四丁目,日本橋(東京都),2,33
都電荒川線,新庚申塚,日本橋(東京都),1,30
都電荒川線,庚申塚,日本橋(東京都),2,31
都電荒川線,巣鴨新田,日本橋(東京都),2,32
都電荒川線,大塚駅前,日本橋(東京都),1,30
都電荒川線,東池袋四丁目,日本橋(東京都),1,28
都電荒川線,都電雑司ヶ谷,日本橋(東京都),2,32
都電荒川線,鬼子母神前,日本橋(東京都),1,49
都電荒川線,学習院下,日本橋(東京都),2,35
都電荒川線,面影橋,日本橋(東京都),2,37
金沢シーサイドライン,新杉田,日本橋(東京都),1,66
金沢シーサイドライン,鳥浜,日本橋(東京都),1,100
金沢シーサイドライン,並木北,日本橋(東京都),1,98
金沢シーサイドライン,並木中央,日本橋(東京都),1,97
金沢シーサイドライン,幸浦,日本橋(東京都),1,95
金沢シーサイドライン,産業振興センター,日本橋(東京都),1,93
金沢シーサイドライン,福浦,日本橋(東京都),1,91
金沢シーサイドライン,市大医学部,日本橋(東京都),1,89
金沢シーサイドライン,八景島,日本橋(東京都),1,86
金沢シーサイドライン,海の公園柴口,日本橋(東京都),1,85
金沢シーサイドライン,海の公園南口,日本橋(東京都),1,83
金沢シーサイドライン,野島公園,日本橋(東京都),1,82
金沢シーサイドライン,金沢八景,日本橋(東京都),0,73
みなとみらい線,横浜,日本橋(東京都),0,49
みなとみらい線,新高島,日本橋(東京都),1,57
みなとみらい線,みなとみらい,日本橋(東京都),1,59
みなとみらい線,馬車道,日本橋(東京都),1,61
みなとみらい線,日本大通り,日本橋(東京都),1,62
みなとみらい線,元町・中華街,日本橋(東京都),1,64
埼玉高速鉄道線,浦和美園,日本橋(東京都),1,57
埼玉高速鉄道線,東川口,日本橋(東京都),1,54
埼玉高速鉄道線,戸塚安行,日本橋(東京都),1,51
埼玉高速鉄道線,新井宿,日本橋(東京都),1,48
埼玉高速鉄道線,鳩ヶ谷,日本橋(東京都),1,48
埼玉高速鉄道線,南鳩ヶ谷,日本橋(東京都),1,45
埼玉高速鉄道線,川口元郷,日本橋(東京都),1,43
埼玉高速鉄道線,赤羽岩淵,日本橋(東京都),1,39
東京メトロ丸ノ内線,池袋,日本橋(東京都),1,24
東京メトロ丸ノ内線,新大塚,日本橋(東京都),1,20
東京メトロ丸ノ内線,茗荷谷,日本橋(東京都),1,17
東京メトロ丸ノ内線,後楽園,日本橋(東京都),1,15
東京メトロ丸ノ内線,本郷三丁目,日本橋(東京都),1,13
東京メトロ丸ノ内線,御茶ノ水,日本橋(東京都),1,9
東京メトロ丸ノ内線,淡路町,日本橋(東京都),1,9
東京メトロ丸ノ内線,大手町,日本橋(東京都),0,1
東京メトロ丸ノ内線,東京,日本橋(東京都),0,13
東京メトロ丸ノ内線,銀座,日本橋(東京都),0,2
東京メトロ丸ノ内線,霞ケ関,日本橋(東京都),1,10
東京メトロ丸ノ内線,国会議事堂前,日本橋(東京都),0,18
東京メトロ丸ノ内線,赤坂見附,日本橋(東京都),0,11
東京メトロ丸ノ内線,四ツ谷,日本橋(東京都),1,14
東京メトロ丸ノ内線,四谷三丁目,日本橋(東京都),1,17
東京メトロ丸ノ内線,新宿御苑前,日本橋(東京都),1,20
東京メトロ丸ノ内線,新宿三丁目,日本橋(東京都),1,18
東京メトロ丸ノ内線,新宿,日本橋(東京都),1,18
東京メトロ丸ノ内線,西新宿,日本橋(東京都),1,26
東京メトロ丸ノ内線,中野坂上,日本橋(東京都),1,28
東京メトロ丸ノ内線,新中野,日本橋(東京都),1,30
東京メトロ丸ノ内線,東高円寺,日本橋(東京都),1,32
東京メトロ丸ノ内線,新高円寺,日本橋(東京都),1,34
東京メトロ丸ノ内線,南阿佐ケ谷,日本橋(東京都),1,36
東京メトロ丸ノ内線,荻窪,日本橋(東京都),0,31
東京メトロ副都心線,和光市,日本橋(東京都),1,49
東京メトロ副都心線,地下鉄成増,日本橋(東京都),1,46
東京メトロ副都心線,地下鉄赤塚,日本橋(東京都),1,43
東京メトロ副都心線,平和台,日本橋(東京都),2,58
東京メトロ副都心線,氷川台,日本橋(東京都),1,38
東京メトロ副都心線,小竹向原,日本橋(東京都),1,34
東京メトロ副都心線,千川,日本橋(東京都),1,32
東京メトロ副都心線,要町,日本橋(東京都),1,30
東京メトロ副都心線,池袋,日本橋(東京都),1,24
東京メトロ副都心線,雑司が谷,日本橋(東京都),1,45
東京メトロ副都心線,西早稲田,日本橋(東京都),1,42
東京メトロ副都心線,東新宿,日本橋(東京都),1,28
東京メトロ副都心線,新宿三丁目,日本橋(東京都),1,18
東京メトロ副都心線,北参道,日本橋(東京都),1,32
東京メトロ副都心線,渋谷,日本橋(東京都),0,20
東京メトロ千代田線,北綾瀬,日本橋(東京都),1,34
東京メトロ千代田線,綾瀬,日本橋(東京都),1,29
東京メトロ千代田線,北千住,日本橋(東京都),1,22
東京メトロ千代田線,町屋,日本橋(東京都),1,25
東京メトロ千代田線,西日暮里,日本橋(東京都),1,19
東京メトロ千代田線,千駄木,日本橋(東京都),1,15
東京メトロ千代田線,根津,日本橋(東京都),1,13
東京メトロ千代田線,湯島,日本橋(東京都),1,11
東京メトロ千代田線,新御茶ノ水,日本橋(東京都),1,10
東京メトロ千代田線,大手町,日本橋(東京都),0,1
東京メトロ千代田線,日比谷,日本橋(東京都),1,8
東京メトロ千代田線,霞ケ関,日本橋(東京都),1,10
東京メトロ千代田線,国会議事堂前,日本橋(東京都),0,18
東京メトロ千代田線,赤坂,日本橋(東京都),1,18
東京メトロ千代田線,乃木坂,日本橋(東京都),1,21
東京メトロ千代田線,表参道,日本橋(東京都),0,17
東京メトロ千代田線,代々木公園,日本橋(東京都),1,25
東京メトロ千代田線,代々木上原,日本橋(東京都),1,28
東京メトロ半蔵門線,渋谷,日本橋(東京都),0,20
東京メトロ半蔵門線,表参道,日本橋(東京都),0,17
東京メトロ半蔵門線,青山一丁目,日本橋(東京都),0,14
東京メトロ半蔵門線,永田町,日本橋(東京都),0,16
東京メトロ半蔵門線,半蔵門,日本橋(東京都),1,13
東京メトロ半蔵門線,九段下,日本橋(東京都),0,6
東京メトロ半蔵門線,神保町,日本橋(東京都),1,9
東京メトロ半蔵門線,大手町,日本橋(東京都),0,1
東京メトロ半蔵門線,三越前,日本橋(東京都),0,1
東京メトロ半蔵門線,水天宮前,日本橋(東京都),0,11
東京メトロ半蔵門線,清澄白河,日本橋(東京都),1,11
東京メトロ半蔵門線,錦糸町,日本橋(東京都),0,52
東京メトロ南北線,赤羽岩淵,日本橋(東京都),1,39
東京メトロ南北線,志茂,日本橋(東京都),1,37
東京メトロ南北線,王子神谷,日本橋(東京都),1,34
東京メトロ南北線,王子,日本橋(東京都),1,27
東京メトロ南北線,西ケ原,日本橋(東京都),1,29
東京メトロ南北線,駒込,日本橋(東京都),1,24
東京メトロ南北線,本駒込,日本橋(東京都),1,22
東京メトロ南北線,東大前,日本橋(東京都),1,22
東京メトロ南北線,後楽園,日本橋(東京都),1,15
東京メトロ南北線,飯田橋,日本橋(東京都),0,8
東京メトロ南北線,市ケ谷,日本橋(東京都),1,13
東京メトロ南北線,四ツ谷,日本橋(東京都),1,14
東京メトロ南北線,永田町,日本橋(東京都),0,16
