0,1,2,3,4
JR上越線,井野,日本橋(東京都),2,78
JR上野東京ライン,品川,日本橋(東京都),0,16
JR上野東京ライン,新橋,日本橋(東京都),0,4
JR上野東京ライン,東京,日本橋(東京都),0,13
JR上野東京ライン,上野,日本橋(東京都),0,9
JR両毛線,井野,日本橋(東京都),2,78
JR中央・総武線各駅停車,三鷹,日本橋(東京都),0,39
JR中央・総武線各駅停車,吉祥寺,日本橋(東京都),0,36
JR中央・総武線各駅停車,西荻窪,日本橋(東京都),0,34
JR中央・総武線各駅停車,荻窪,日本橋(東京都),0,31
JR中央・総武線各駅停車,阿佐ケ谷,日本橋(東京都),0,29
JR中央・総武線各駅停車,高円寺,日本橋(東京都),0,27
JR中央・総武線各駅停車,中野,日本橋(東京都),0,24
JR中央・総武線各駅停車,東中野,日本橋(東京都),1,30
JR中央・総武線各駅停車,大久保,日本橋(東京都),1,31
JR中央・総武線各駅停車,新宿,日本橋(東京都),1,18
JR中央・総武線各駅停車,代々木,日本橋(東京都),1,23
JR中央・総武線各駅停車,千駄ケ谷,日本橋(東京都),1,24
JR中央・総武線各駅停車,信濃町,日本橋(東京都),1,22
JR中央・総武線各駅停車,四ツ谷,日本橋(東京都),1,14
JR中央・総武線各駅停車,市ケ谷,日本橋(東京都),1,13
JR中央・総武線各駅停車,飯田橋,日本橋(東京都),0,8
JR中央・総武線各駅停車,水道橋,日本橋(東京都),1,11
JR中央・総武線各駅停車,御茶ノ水,日本橋(東京都),1,9
JR中央・総武線各駅停車,秋葉原,日本橋(東京都),1,8
JR中央・総武線各駅停車,浅草橋,日本橋(東京都),0,5
JR中央・総武線各駅停車,両国,日本橋(東京都),1,13
JR中央・総武線各駅停車,錦糸町,日本橋(東京都),0,52
JR中央・総武線各駅停車,亀戸,日本橋(東京都),1,18
JR中央・総武線各駅停車,平井,日本橋(東京都),1,21
JR中央・総武線各駅停車,新小岩,日本橋(東京都),1,24
JR中央・総武線各駅停車,小岩,日本橋(東京都),1,28
