line,from,to,trans,req_min,req_min+walk
JR上野東京ライン,品川,宝町,0,15,18
JR上野東京ライン,新橋,宝町,0,3,6
JR上野東京ライン,東京,宝町,1,13,16
JR上野東京ライン,上野,宝町,1,14,17
JR中央・総武線各駅停車,三鷹,宝町,1,47,50
JR中央・総武線各駅停車,吉祥寺,宝町,1,44,47
JR中央・総武線各駅停車,西荻窪,宝町,1,42,45
JR中央・総武線各駅停車,荻窪,宝町,1,39,42
JR中央・総武線各駅停車,阿佐ケ谷,宝町,1,37,40
JR中央・総武線各駅停車,高円寺,宝町,1,35,38
JR中央・総武線各駅停車,中野,宝町,1,30,33
JR中央・総武線各駅停車,東中野,宝町,1,38,41
JR中央・総武線各駅停車,大久保,宝町,1,37,40
JR中央・総武線各駅停車,新宿,宝町,1,28,31
JR中央・総武線各駅停車,代々木,宝町,1,26,29
JR中央・総武線各駅停車,千駄ケ谷,宝町,1,29,32
JR中央・総武線各駅停車,信濃町,宝町,1,28,31
JR中央・総武線各駅停車,四ツ谷,宝町,1,26,29
JR中央・総武線各駅停車,市ケ谷,宝町,1,21,24
JR中央・総武線各駅停車,飯田橋,宝町,1,14,17
JR中央・総武線各駅停車,水道橋,宝町,1,19,22
JR中央・総武線各駅停車,御茶ノ水,宝町,1,17,20
JR中央・総武線各駅停車,秋葉原,宝町,1,10,13
JR中央・総武線各駅停車,浅草橋,宝町,0,7,10
JR中央・総武線各駅停車,両国,宝町,1,15,18
JR中央・総武線各駅停車,錦糸町,宝町,1,18,21
JR中央・総武線各駅停車,亀戸,宝町,1,20,23
JR中央・総武線各駅停車,平井,宝町,1,23,26
JR中央・総武線各駅停車,新小岩,宝町,1,26,29
JR中央・総武線各駅停車,小岩,宝町,1,30,33
JR中央・総武線各駅停車,市川,宝町,1,32,35
JR中央・総武線各駅停車,本八幡,宝町,0,43,46
JR中央・総武線各駅停車,下総中山,宝町,1,39,42
JR中央・総武線各駅停車,西船橋,宝町,1,40,43
JR中央・総武線各駅停車,船橋,宝町,0,48,51
JR中央・総武線各駅停車,東船橋,宝町,1,48,51
JR中央・総武線各駅停車,津田沼,宝町,1,43,46
JR中央・総武線各駅停車,幕張本郷,宝町,1,55,58
JR中央・総武線各駅停車,稲毛,宝町,1,51,54
JR中央・総武線各駅停車,千葉,宝町,1,55,58
JR中央本線,東京,宝町,1,13,16
JR中央本線,新宿,宝町,1,28,31
JR中央本線,三鷹,宝町,1,47,50
JR中央線,東京,宝町,1,13,16
JR中央線,神田,宝町,1,11,14
JR中央線,御茶ノ水,宝町,1,17,20
JR中央線,四ツ谷,宝町,1,26,29
JR中央線,新宿,宝町,1,28,31
JR中央線,中野,宝町,1,30,33
JR中央線,高円寺,宝町,1,35,38
JR中央線,阿佐ケ谷,宝町,1,37,40
JR中央線,荻窪,宝町,1,39,42
JR中央線,西荻窪,宝町,1,42,45
JR中央線,吉祥寺,宝町,1,44,47
JR中央線,三鷹,宝町,1,47,50
JR京浜東北線,大宮,宝町,1,53,56
JR京浜東北線,さいたま新都心,宝町,1,50,53
JR京浜東北線,浦和,宝町,1,45,48
JR京浜東北線,南浦和,宝町,1,56,59
JR京浜東北線,蕨,宝町,1,52,55
JR京浜東北線,西川口,宝町,1,49,52
JR京浜東北線,川口,宝町,1,46,49
JR京浜東北線,赤羽,宝町,1,36,39
JR京浜東北線,東十条,宝町,1,40,43
JR京浜東北線,王子,宝町,1,37,40
JR京浜東北線,上中里,宝町,1,35,38
JR京浜東北線,田端,宝町,1,29,32
JR京浜東北線,西日暮里,宝町,1,30,33
JR京浜東北線,日暮里,宝町,1,28,31
JR京浜東北線,鶯谷,宝町,1,26,29
JR京浜東北線,上野,宝町,1,14,17
JR京浜東北線,御徒町,宝町,1,17,20
JR京浜東北線,秋葉原,宝町,1,10,13
JR京浜東北線,神田,宝町,1,11,14
JR京浜東北線,東京,宝町,1,13,16
JR京浜東北線,有楽町,宝町,1,11,14
